date,open,high,low,close,volume
2017-01-03,235366,235350,221616,223541,159526
2017-01-04,229334,230353,228992,225792,203108
2017-01-05,223816,232277,229873,238095,162565
2017-01-06,239036,232123,233630,231251,95313
2017-01-09,229242,230881,226948,228132,87055
2017-01-10,229887,228173,230548,233624,122611
2017-01-11,230999,239827,225540,238615,218932
2017-01-12,234800,235660,234192,238502,145686
2017-01-13,231121,232719,233620,230728,88743
2017-01-17,236107,236812,235806,228357,93897
2017-01-18,231782,227724,225785,234680,114321
2017-01-19,233097,236737,229518,230529,105666
2017-01-20,228077,233969,227215,225914,98065
2017-01-23,232558,232683,225570,229882,166792
2017-01-24,225188,226918,223559,226247,113660
2017-01-25,223470,228402,222258,219037,211726
2017-01-26,227477,228502,229455,225325,173369
2017-01-27,0,0,0,232942,0
2017-01-30,0,0,0,231909,0
2017-01-31,223059,228277,232084,224115,121431
2017-02-01,232476,224972,220751,230736,229730
2017-02-02,228603,224601,227595,220999,239736
2017-02-03,220292,229679,219633,221989,196983
2017-02-06,229198,225039,228193,223692,169798
2017-02-07,231389,235260,230757,229932,158897
2017-02-08,233837,227795,229643,233170,175464
2017-02-09,230838,238278,224479,224606,130435
2017-02-10,231519,234895,233491,228651,175164
2017-02-13,228826,232626,236092,238459,121143
2017-02-14,232286,235787,227769,233938,121631
2017-02-15,228841,228750,224783,225725,104213
2017-02-16,225790,237472,228787,236496,140295
2017-02-17,231855,230117,228110,227708,76606
2017-02-21,237288,229261,235654,235623,98490
2017-02-22,231441,232266,231852,236722,203628
2017-02-23,236434,239179,230251,239602,163546
2017-02-24,237204,235355,235534,233858,157101
2017-02-27,233627,242045,239175,238905,93307
2017-02-28,239595,239204,234268,235213,182848
2017-03-01,0,0,0,238600,0
2017-03-02,241571,240445,238206,237425,148993
2017-03-03,229578,245413,234172,237967,190847
2017-03-06,240350,245694,238097,240707,158859
2017-03-07,239881,244099,236938,235883,85568
2017-03-08,235024,245627,235996,247190,593530
2017-03-09,256881,249969,255488,249605,402963
2017-03-10,251912,260469,254851,258515,318683
2017-03-13,246058,252831,246885,247510,267126
2017-03-14,256189,261032,247986,245803,232424
2017-03-15,252919,260499,254907,260747,439970
2017-03-16,260988,260123,263022,256056,240045
2017-03-17,265072,267471,256473,254952,203880
2017-03-20,256604,263663,247428,261389,158726
2017-03-21,263794,262366,262117,264751,172828
