date,open,high,low,close,volume
2017-01-03,7.58,7.74,7.43,7.58,12400
2017-01-04,7.5,8.0,7.43,7.42,6711
2017-01-05,8.2,8.0,7.51,7.31,23744
2017-01-06,7.29,7.7,7.0,7.29,24554
2017-01-09,6.95,7.3,7.2,6.99,14192
2017-01-10,7.34,7.4,7.34,7.5,4419
2017-01-11,7.29,7.7,7.05,7.67,2193
2017-01-12,6.97,7.88,7.15,7.83,6479
2017-01-13,7.31,7.55,7.42,7.44,1922
2017-01-17,7.2,7.82,7.23,7.51,28500
2017-01-18,7.8,7.59,7.3,7.4,11010
2017-01-19,7.54,8.36,7.3,8.32,58352
2017-01-20,8.0,7.9,7.53,7.73,7779
2017-01-23,7.22,8.0,7.14,7.68,14999
2017-01-24,8.0,8.3,7.5,7.7,34659
2017-01-25,7.96,8.33,7.68,7.61,50549
2017-01-26,0.0,0.0,0.0,7.72,0
2017-01-27,7.3,7.94,7.34,7.7,17899
2017-01-30,7.5,8.06,7.6,7.7,10555
2017-01-31,7.6,7.5,7.32,7.26,10414
2017-02-01,7.3,7.45,7.07,7.2,38677
2017-02-02,7.3,7.2,7.07,7.41,15999
2017-02-03,7.5,7.41,7.21,7.14,48420
2017-02-06,7.3,7.52,6.96,7.5,33130
2017-02-07,7.4,7.9,7.4,7.29,32860
2017-02-08,7.1,7.65,7.1,7.41,16467
2017-02-09,7.04,7.4,7.0,7.16,15460
2017-02-10,7.5,7.41,7.25,7.13,23864
2017-02-13,7.13,7.38,6.8,6.83,89014
2017-02-14,6.97,6.95,6.5,6.5,261109
2017-02-15,6.55,6.56,5.55,5.59,277915
2017-02-16,5.3,6.13,5.3,5.87,129063
2017-02-17,5.74,7.17,5.79,6.78,154176
2017-02-21,6.0,6.21,5.76,5.88,42133
2017-02-22,5.74,6.32,5.9,6.21,19629
2017-02-23,6.1,6.75,6.0,6.33,110405
2017-02-24,0.0,0.0,0.0,6.19,0
2017-02-27,6.21,6.37,6.3,6.4,12830
2017-02-28,6.0,6.55,5.95,5.88,117983
2017-03-01,6.43,6.56,6.08,5.94,39495
2017-03-02,5.95,6.63,5.9,5.8,39628
2017-03-03,5.96,5.89,5.91,6.06,5249
2017-03-06,6.1,6.4,5.83,5.96,111724
2017-03-07,5.9,5.9,5.37,5.27,209619
2017-03-08,5.52,5.51,5.18,5.4,22992
2017-03-09,5.13,5.6,5.3,5.21,69625
2017-03-10,5.13,5.3,5.19,5.2,97630
2017-03-13,0.0,0.0,0.0,5.28,0
2017-03-14,5.02,5.34,5.0,5.1,90740
2017-03-15,5.0,5.41,4.89,5.17,51803
2017-03-16,5.0,5.0,4.9,5.05,44870
2017-03-17,4.92,5.35,4.8,4.91,68259
2017-03-20,4.8,4.98,4.83,5.0,31498
2017-03-21,4.76,4.9,4.9,4.9,37262
2017-03-22,5.11,5.29,4.87,4.93,31243
2017-03-23,4.99,5.1,4.94,5.11,39119
