date,open,high,low,close,volume
2017-01-03,0.0,0.0,0.0,0.01,0
2017-01-04,0.0,0.0,0.0,0.01,0
2017-01-05,0.0,0.0,0.0,0.01,0
2017-01-06,0.0,0.0,0.0,0.01,0
2017-01-09,0.0,0.0,0.0,0.01,0
2017-01-10,0.0,0.0,0.0,0.01,0
2017-01-11,0.0,0.0,0.0,0.01,0
2017-01-12,0.0,0.0,0.0,0.01,0
2017-01-13,0.0,0.0,0.0,0.01,0
2017-01-17,0.0,0.0,0.0,0.01,0
2017-01-18,0.0,0.0,0.0,0.01,0
2017-01-19,0.0,0.0,0.0,0.01,0
2017-01-20,0.0,0.0,0.0,0.01,0
2017-01-23,0.0,0.0,0.0,0.01,0
2017-01-24,0.0,0.0,0.0,0.01,0
2017-01-25,0.0,0.0,0.0,0.01,0
2017-01-26,0.0,0.0,0.0,0.01,0
2017-01-27,0.0,0.0,0.0,0.01,0
2017-01-30,0.0,0.0,0.0,0.01,0
2017-01-31,0.0,0.0,0.0,0.01,0
2017-02-01,0.0,0.0,0.0,0.01,0
2017-02-02,0.0,0.0,0.0,0.01,0
2017-02-03,0.0,0.0,0.0,0.01,0
2017-02-06,0.0,0.0,0.0,0.01,0
2017-02-07,0.0,0.0,0.0,0.01,0
2017-02-08,0.0,0.0,0.0,0.01,0
2017-02-09,0.0,0.0,0.0,0.01,0
2017-02-10,0.0,0.0,0.0,0.01,0
2017-03-21,0.01,0.01,0.01,0.01,86
2017-03-22,0.0,0.0,0.0,0.01,0
2017-03-23,0.0,0.0,0.0,0.01,0
2017-03-24,0.0,0.0,0.0,0.01,0
2017-03-27,0.0,0.0,0.0,0.01,0
2017-03-28,0.0,0.0,0.0,0.01,0
2017-03-29,0.0,0.0,0.0,0.01,0
2017-03-30,0.0,0.0,0.0,0.01,0
2017-03-31,0.0,0.0,0.0,0.01,0
2017-04-03,0.0,0.0,0.0,0.01,0
2017-04-04,0.0,0.0,0.0,0.01,0
2017-04-05,0.0,0.0,0.0,0.01,0
2017-04-06,0.0,0.0,0.0,0.01,0
2017-04-07,0.0,0.0,0.0,0.01,0
2017-04-10,0.0,0.0,0.0,0.01,0
2017-04-11,0.0,0.0,0.0,0.01,0
2017-04-12,0.0,0.0,0.0,0.01,0
2017-04-13,0.0,0.0,0.0,0.01,0
2017-04-17,0.0,0.0,0.0,0.01,0
2017-04-18,0.0,0.0,0.0,0.01,0
2017-04-19,0.0,0.0,0.0,0.01,0
2017-04-20,0.0,0.0,0.0,0.01,0
2017-04-21,0.0,0.0,0.0,0.01,0
2017-04-24,0.0,0.0,0.0,0.01,0
2017-04-25,0.0,0.0,0.0,0.01,0
2017-04-26,0.0,0.0,0.0,0.01,0
2017-04-27,0.0,0.0,0.0,0.01,0
2017-04-28,0.0,0.0,0.0,0.01,0
2017-05-01,0.0,0.0,0.0,0.01,0
2017-05-02,0.0,0.0,0.0,0.01,0
2017-05-03,0.0,0.0,0.0,0.01,0
2017-05-04,0.0,0.0,0.0,0.01,0
2017-05-05,0.0,0.0,0.0,0.01,0
2017-05-25,0.0189,0.0256,0.0187,0.0251,7248
2017-05-26,0.037,0.046,0.035,0.046,9325
2017-05-30,0.286,0.287,0.205,0.21,7218
2017-05-31,0.0,0.0,0.0,0.214,0
2017-06-01,0.0,0.0,0.0,0.214,0
2017-06-02,0.0,0.0,0.0,0.205,0
2017-06-05,0.0,0.0,0.0,0.213,0
2017-06-06,0.2532,0.2572,0.2587,0.2525,202
2017-06-07,0.0,0.0,0.0,0.2541,0
2017-06-08,0.19,0.19,0.19,0.19,2023
2017-06-09,0.0,0.0,0.0,0.19,0
2017-06-12,0.0,0.0,0.0,0.2,0
2017-06-13,0.0,0.0,0.0,0.2,0
2017-06-14,0.0,0.0,0.0,0.19,0
2017-06-15,0.0,0.0,0.0,0.19,0
2017-06-16,0.0,0.0,0.0,0.2,0
2017-06-19,0.0,0.0,0.0,0.2,0
2017-06-20,0.0,0.0,0.0,0.2,0
2017-06-21,0.0,0.0,0.0,0.19,0
2017-06-22,0.0,0.0,0.0,0.19,0
2017-06-23,0.0,0.0,0.0,0.19,0
2017-06-26,0.0,0.0,0.0,0.19,0
2017-06-27,0.178,0.181,0.179,0.182,5210
2017-06-28,0.0,0.0,0.0,0.178,0
2017-06-29,0.0,0.0,0.0,0.183,0
2017-06-30,0.0,0.0,0.0,0.181,0
2017-07-03,0.0,0.0,0.0,0.18,0
2017-07-05,0.0,0.0,0.0,0.175,0
2017-07-06,0.0,0.0,0.0,0.178,0
2017-07-07,0.0,0.0,0.0,0.18,0
2017-07-10,0.0,0.0,0.0,0.176,0
2017-07-11,0.0,0.0,0.0,0.177,0
2017-07-12,0.0,0.0,0.0,0.18,0
2017-07-13,0.1884,0.1937,0.1964,0.1898,2684
2017-07-14,0.0,0.0,0.0,0.1889,0
2017-07-17,0.0,0.0,0.0,0.1898,0
2017-07-18,0.0,0.0,0.0,0.1895,0
2017-07-19,0.0,0.0,0.0,0.1886,0
2017-07-20,0.2048,0.2019,0.2007,0.2037,2005
2017-07-21,0.0,0.0,0.0,0.2071,0
2017-07-24,0.0,0.0,0.0,0.2032,17
2017-07-25,0.0,0.0,0.0,0.2,0
2017-07-26,0.0,0.0,0.0,0.2026,0
2017-07-27,0.187,0.189,0.187,0.194,2044
2017-07-28,0.0,0.0,0.0,0.194,0
2017-07-31,0.0,0.0,0.0,0.194,0
2017-08-01,0.12,0.115,0.116,0.119,1854
2017-08-02,0.0,0.0,0.0,0.117,0
2017-08-03,0.0,0.0,0.0,0.119,0
2017-08-04,0.0,0.0,0.0,0.12,0
2017-08-07,0.0,0.0,0.0,0.118,0
2017-08-08,0.0,0.0,0.0,0.119,0
2017-08-09,0.1322,0.1294,0.116,0.116,4145
2017-08-10,0.0,0.0,0.0,0.12,0
2017-08-11,0.0,0.0,0.0,0.119,0
2017-08-14,0.0,0.0,0.0,0.117,0
2017-08-15,0.0,0.0,0.0,0.118,0
2017-08-16,0.0,0.0,0.0,0.116,0
2017-08-17,0.0,0.0,0.0,0.119,0
2017-08-18,0.0,0.0,0.0,0.116,0
2017-08-21,0.0,0.0,0.0,0.117,0
2017-08-22,0.0,0.0,0.0,0.12,0
2017-08-23,0.0,0.0,0.0,0.118,0
2017-08-24,0.0,0.0,0.0,0.117,0
2017-08-25,0.0,0.0,0.0,0.118,0
2017-08-28,0.0,0.0,0.0,0.116,0
2017-08-29,0.0,0.0,0.0,0.116,0
2017-08-30,0.0,0.0,0.0,0.117,0
2017-08-31,0.0,0.0,0.0,0.119,0
2017-09-01,0.0,0.0,0.0,0.117,0
2017-09-05,0.0,0.0,0.0,0.116,0
2017-09-06,0.0,0.0,0.0,0.116,0
2017-09-07,0.0,0.0,0.0,0.12,0
2017-09-08,0.15,0.15,0.16,0.15,2082
2017-09-11,0.15,0.15,0.15,0.15,2500
2017-09-12,0.148,0.149,0.1348,0.1409,14821
2017-09-13,0.15,0.15,0.15,0.15,2100
2017-09-14,0.0,0.0,0.0,0.15,0
2017-09-15,0.15,0.17,0.15,0.16,9427
2017-09-18,0.0,0.0,0.0,0.16,0
2017-09-19,0.0,0.0,0.0,0.17,0
2017-09-20,0.0,0.0,0.0,0.16,0
2017-09-21,0.0,0.0,0.0,0.17,0
2017-09-22,0.0,0.0,0.0,0.16,0
2017-09-25,0.0,0.0,0.0,0.16,0
2017-09-26,0.14,0.151,0.141,0.154,12553
2017-09-27,0.0,0.0,0.0,0.1527,0
2017-09-28,0.135,0.137,0.14,0.141,2079
2017-09-29,0.139,0.141,0.136,0.14,2055
2017-10-02,0.0,0.0,0.0,0.136,0
2017-10-03,0.0,0.0,0.0,0.137,0
2017-10-04,0.14,0.16,0.14,0.15,4192
2017-10-05,0.14,0.14,0.15,0.14,2019
2017-10-06,0.0,0.0,0.0,0.15,0
2017-10-09,0.14,0.16,0.14,0.16,4187
2017-10-10,0.148,0.146,0.152,0.147,2042
2017-10-11,0.15,0.15,0.15,0.16,2052
2017-10-12,0.1558,0.15,0.1527,0.15,4157
2017-10-13,0.158,0.16,0.162,0.162,2034
2017-10-16,0.18,0.17,0.17,0.17,1026
2017-10-17,0.0,0.0,0.0,0.17,0
2017-10-18,0.0,0.0,0.0,0.18,0
2017-10-19,0.17,0.183,0.1622,0.177,9403
2017-10-20,0.0,0.0,0.0,0.183,0
2017-10-23,0.18,0.19,0.19,0.19,4152
2017-10-24,0.0,0.0,0.0,0.2,0
2017-10-25,0.2,0.19,0.2,0.2,1043
2017-10-26,0.178,0.178,0.176,0.176,2016
2017-10-27,0.181,0.179,0.178,0.181,2046
2017-10-30,0.177,0.176,0.18,0.178,2087
2017-10-31,0.18,0.18,0.18,0.18,2026
2017-11-01,0.0,0.0,0.0,0.18,0
2017-11-02,0.0,0.0,0.0,0.18,0
2017-11-03,0.189,0.187,0.185,0.191,4165
2017-11-06,0.231,0.25,0.235,0.25,11510
2017-11-07,0.2787,0.327,0.2762,0.3,14547
2017-11-08,0.0,0.0,0.0,0.3,0
2017-11-09,0.0,0.0,0.0,0.3,0
2017-11-10,0.0,0.0,0.0,0.3,0
2017-11-13,0.0,0.0,0.0,0.3,0
2017-11-14,0.0,0.0,0.0,0.3,0
2017-11-15,0.0,0.0,0.0,0.3,0
2017-11-16,0.0,0.0,0.0,0.3,0
2017-11-17,0.0,0.0,0.0,0.3,0
2017-11-20,0.0,0.0,0.0,0.3,0
2017-11-21,0.0,0.0,0.0,0.3,0
2017-11-22,0.0,0.0,0.0,0.3,0
2017-11-24,0.3,0.3,0.3,0.3,332
2017-11-27,0.0,0.0,0.0,0.3,0
2017-11-28,0.27,0.26,0.26,0.26,340
2017-11-29,0.0,0.0,0.0,0.27,0
2017-11-30,0.0,0.0,0.0,0.27,0
2017-12-01,0.0,0.0,0.0,0.26,0
2017-12-04,0.0,0.0,0.0,0.26,0
2017-12-05,0.0,0.0,0.0,0.26,0
2017-12-06,0.0,0.0,0.0,0.27,0
2017-12-07,0.25,0.3203,0.26,0.3167,13523
2017-12-08,0.327,0.4,0.334,0.407,16731
2017-12-11,0.4,0.444,0.41,0.431,5349
2017-12-12,0.36,0.36,0.36,0.35,100
2017-12-13,0.4,0.4,0.4,0.4,5173
2017-12-14,0.0,0.0,0.0,0.4,0
2017-12-15,0.0,0.0,0.0,0.4,0
2017-12-18,0.0,0.0,0.0,0.4,0
2017-12-19,0.426,0.5,0.428,0.503,5829
2017-12-20,0.6,1.2,0.6,1.0,10316
2017-12-21,1.01,1.45,1.04,1.0,12191
2017-12-22,1.2,1.2,1.2,1.2,20
2017-12-26,0.0,0.0,0.0,1.2,0
2017-12-27,0.0,0.0,0.0,1.2,0
2017-12-28,0.0,0.0,0.0,1.3,0
2017-12-29,0.0,0.0,0.0,1.2,0
2018-01-02,0.0,0.0,0.0,1.2,0
2018-01-03,0.0,0.0,0.0,1.2,12
2018-01-04,0.0,0.0,0.0,1.2,0
2018-01-05,0.6,0.9,0.6,0.9,7884
2018-01-08,2.0,1.9,1.9,1.9,127
2018-01-09,1.8,1.7,1.59,1.61,9879
2018-01-10,1.38,1.36,1.36,1.39,533
2018-01-11,1.44,1.9,1.39,1.9,7525
2018-01-12,0.0,0.0,0.0,1.91,0
2018-01-16,1.5,1.6,1.5,1.5,955
2018-01-17,0.0,0.0,0.0,1.6,0
2018-01-18,1.77,1.8,1.82,1.78,261
2018-01-19,0.0,0.0,0.0,1.83,0
2018-01-22,1.76,2.0,1.77,1.9,4900
2018-01-23,2.0,2.2,2.0,2.2,10279
2018-01-24,2.12,2.13,2.12,2.11,244
2018-01-25,0.0,0.0,0.0,2.09,1
2018-01-26,0.0,0.0,0.0,2.13,0
2018-01-29,0.0,0.0,0.0,2.1,0
2018-01-30,0.0,0.0,0.0,2.15,0
2018-01-31,0.0,0.0,0.0,2.13,0
2018-02-01,0.0,0.0,0.0,2.07,0
2018-02-02,0.0,0.0,0.0,2.1,0
2018-02-05,0.0,0.0,0.0,2.14,0
2018-02-06,0.0,0.0,0.0,2.09,0
2018-02-07,0.0,0.0,0.0,2.1,0
2018-02-08,0.0,0.0,0.0,2.12,0
2018-02-09,0.0,0.0,0.0,2.12,0
2018-02-12,0.0,0.0,0.0,2.13,0
2018-02-13,0.0,0.0,0.0,2.07,0
2018-02-14,0.0,0.0,0.0,2.06,0
2018-02-15,1.7,1.6,1.41,1.35,1047
2018-02-16,0.0,0.0,0.0,1.35,0
2018-02-20,0.0,0.0,0.0,1.38,0
2018-02-21,2.01,2.03,1.99,1.98,1031
2018-02-22,0.0,0.0,0.0,2.02,0
2018-02-23,1.09,2.06,1.08,1.06,1141
2018-02-26,2.0,2.0,2.0,2.0,262
2018-02-27,0.0,0.0,0.0,2.0,0
2018-02-28,0.0,0.0,0.0,2.0,0
2018-03-01,0.0,0.0,0.0,2.0,0
2018-03-02,1.1,1.91,1.0,1.6,23278
2018-03-05,0.0,0.0,0.0,1.5,0
2018-03-06,1.89,1.94,1.94,1.86,103
2018-03-07,0.0,0.0,0.0,1.91,0
2018-03-08,0.0,0.0,0.0,1.86,0
2018-03-09,0.0,0.0,0.0,1.88,0
2018-03-12,1.92,1.92,1.91,1.94,449
2018-03-13,0.0,0.0,0.0,1.91,32
2018-03-14,0.0,0.0,0.0,1.92,0
2018-03-15,0.0,0.0,0.0,1.95,0
2018-03-16,0.0,0.0,0.0,1.89,0
2018-03-19,0.0,0.0,0.0,1.95,0
2018-03-20,0.0,0.0,0.0,1.93,0
2018-03-21,0.0,0.0,0.0,1.9,0
2018-03-22,0.0,0.0,0.0,1.88,0
2018-03-23,0.0,0.0,0.0,1.92,0
2018-03-26,0.0,0.0,0.0,1.87,0
2018-03-27,0.0,0.0,0.0,1.88,3
2018-03-28,0.0,0.0,0.0,1.9,0
2018-03-29,1.0,1.71,1.0,1.0,258
2018-04-02,0.0,0.0,0.0,1.0,0
2018-04-03,0.0,0.0,0.0,1.0,0
2018-04-04,0.0,0.0,0.0,1.0,0
2018-04-05,0.0,0.0,0.0,1.0,0
2018-04-06,0.0,0.0,0.0,1.0,0
2018-04-09,0.0,0.0,0.0,1.0,0
2018-04-10,0.0,0.0,0.0,1.0,0
2018-04-11,0.0,0.0,0.0,1.0,2
2018-04-12,1.0,1.0,1.0,1.0,313
2018-04-13,1.0,1.6,1.0,1.5,1611
2018-04-16,1.02,1.5,1.01,1.5,430
2018-04-17,0.0,0.0,0.0,1.6,0
2018-04-18,1.06,1.5,1.02,1.39,2191
2018-04-19,0.0,0.0,0.0,1.41,0
2018-04-20,0.0,0.0,0.0,1.4,0
2018-04-23,0.0,0.0,0.0,1.38,0
2018-04-24,1.15,1.68,1.2,1.71,1115
2018-04-25,1.17,1.68,1.17,1.71,789
2018-04-26,1.17,1.15,1.19,1.16,199
2018-04-27,0.0,0.0,0.0,1.18,0
2018-04-30,1.18,1.2,1.17,1.18,1569
2018-05-01,1.0,1.06,0.56,1.06,7290
2018-05-02,0.0,0.0,0.0,1.06,0
2018-05-03,1.06,1.06,1.08,1.05,208
2018-05-04,0.0,0.0,0.0,1.06,0
2018-05-07,0.0,0.0,0.0,1.05,0
2018-05-08,0.0,0.0,0.0,1.06,61
2018-05-09,0.0,0.0,0.0,1.06,0
2018-05-10,0.0,0.0,0.0,1.04,0
2018-05-11,1.46,1.48,1.51,1.49,261
2018-05-14,1.09,1.07,1.09,1.08,318
2018-05-15,0.0,0.0,0.0,1.08,0
2018-05-16,1.18,1.2,1.2,1.21,617
2018-05-17,0.33,1.8,0.32,1.8,805
2018-05-18,1.99,2.07,2.03,2.08,545
2018-05-21,0.0,0.0,0.0,2.09,75
2018-05-22,2.17,2.18,2.25,2.24,102
2018-05-23,2.25,2.24,1.3,1.3,1066
2018-05-24,2.16,2.21,1.76,1.81,305
2018-05-25,0.0,0.0,0.0,1.77,0
2018-05-29,1.41,1.41,1.39,1.4,350
2018-05-30,0.0,0.0,0.0,1.35,0
2018-05-31,0.0,0.0,0.0,1.36,0
2018-06-01,0.0,0.0,0.0,1.41,0
2018-06-04,0.0,0.0,0.0,1.41,0
2018-06-05,0.0,0.0,0.0,1.4,0
2018-06-06,0.0,0.0,0.0,1.37,0
2018-06-07,0.0,0.0,0.0,1.41,0
2018-06-08,0.0,0.0,0.0,1.41,0
2018-06-11,0.0,0.0,0.0,1.36,0
2018-06-12,0.0,0.0,0.0,1.39,0
2018-06-13,0.0,0.0,0.0,1.42,1
2018-06-14,0.0,0.0,0.0,1.36,0
2018-06-15,0.0,0.0,0.0,1.4,0
2018-06-18,0.0,0.0,0.0,1.41,0
2018-06-19,0.0,0.0,0.0,1.38,0
2018-06-20,0.0,0.0,0.0,1.36,0
2018-06-21,0.0,0.0,0.0,1.4,0
2018-06-22,0.0,0.0,0.0,1.4,0
2018-06-25,0.0,0.0,0.0,1.41,0
2018-06-26,0.0,0.0,0.0,1.39,0
2018-06-27,0.0,0.0,0.0,1.4,0
2018-06-28,0.0,0.0,0.0,1.37,0
2018-06-29,0.0,0.0,0.0,1.36,0
2018-07-02,0.0,0.0,0.0,1.41,0
2018-07-03,1.42,1.42,1.38,1.36,2030
2018-07-05,0.0,0.0,0.0,1.39,0
2018-07-06,0.0,0.0,0.0,1.41,0
2018-07-09,0.0,0.0,0.0,1.4,0
2018-07-10,0.0,0.0,0.0,1.38,0
2018-07-11,0.0,0.0,0.0,1.36,0
2018-07-12,1.5,1.5,1.5,1.5,167
2018-07-13,0.0,0.0,0.0,1.5,26
2018-07-16,0.0,0.0,0.0,1.5,0
2018-07-17,0.0,0.0,0.0,1.6,10
2018-07-18,0.0,0.0,0.0,1.6,0
2018-07-19,0.0,0.0,0.0,1.5,177
2018-07-20,0.0,0.0,0.0,1.5,0
2018-07-23,0.0,0.0,0.0,1.5,0
