date,open,high,low,close,volume
2017-01-03,3.17,3.3,2.85,2.8,1530566
2017-01-04,2.9,3.31,2.65,3.1,994571
2017-01-05,3.14,3.65,3.05,3.29,785557
2017-01-06,3.5,3.75,3.25,3.3,686542
2017-01-09,3.33,3.41,3.2,3.21,298883
2017-01-10,3.25,3.33,2.98,3.34,168498
2017-01-11,3.51,4.85,3.54,4.56,2073978
2017-01-12,4.64,4.73,4.39,4.47,557670
2017-01-13,4.67,4.7,4.37,4.5,346701
2017-01-17,5.43,7.3,5.29,6.4,2121640
2017-01-18,6.77,7.93,6.51,7.36,2149974
2017-01-19,7.87,9.21,7.1,7.92,3225951
2017-01-20,7.39,8.34,6.35,6.44,1719740
2017-01-23,6.29,6.6,5.2,5.22,2064783
2017-01-24,5.09,6.32,4.86,6.21,1749731
2017-01-25,6.7,7.7,6.01,6.0,2283061
2017-01-26,6.87,7.16,6.41,7.0,840473
2017-01-27,7.17,7.35,6.59,6.71,470785
2017-01-30,6.7,6.84,6.12,6.34,568761
2017-01-31,6.24,6.78,6.04,6.12,374746
2017-02-01,5.31,5.7,4.59,4.95,1325575
2017-02-02,5.07,5.47,4.32,5.29,843973
2017-02-03,5.48,5.31,4.86,4.97,308392
2017-02-06,5.1,5.19,4.72,4.79,156666
2017-02-07,4.76,5.11,4.51,4.76,576533
2017-02-08,4.94,5.31,4.83,4.94,409330
2017-02-09,5.12,5.34,4.8,5.0,250320
2017-02-10,5.22,5.34,4.92,5.0,349941
2017-02-13,5.1,5.0,4.72,4.77,190026
2017-02-14,4.7,4.83,4.72,4.77,80649
2017-02-15,4.65,4.89,4.76,4.76,130131
2017-02-16,4.86,4.81,4.79,4.75,80134
2017-02-17,4.79,4.73,4.57,4.75,47025
2017-02-21,4.29,4.27,4.09,4.15,275577
2017-02-22,4.2,4.6,4.07,4.29,266362
2017-02-23,4.32,4.36,4.15,4.09,55281
2017-02-24,4.19,4.29,4.0,4.21,51070
