date,open,high,low,close,volume
2017-01-03,0.0,0.0,0.0,13.04,77
2017-01-04,13.8,13.65,13.9,13.93,81513
2017-01-05,0.0,0.0,0.0,14.04,78
2017-01-06,13.3,13.6,13.5,13.1,7189
2017-01-09,0.0,0.0,0.0,13.1,8
2017-01-10,13.6,14.1,13.8,14.1,5560
2017-01-11,0.0,0.0,0.0,13.8,1
2017-01-12,0.0,0.0,0.0,13.7,23
2017-01-13,13.79,13.89,14.03,13.44,10955
2017-01-17,15.0,14.0,13.7,13.58,2142
2017-01-18,13.8,13.71,13.94,14.26,1414
2017-01-19,13.9,13.9,13.7,14.0,13342
2017-01-20,0.0,0.0,0.0,13.9,95
2017-01-23,14.07,14.0,13.72,14.0,41135
2017-01-24,13.8,14.1,14.2,14.1,1080
2017-01-25,0.0,0.0,0.0,13.9,1
2017-01-26,0.0,0.0,0.0,13.9,125
2017-01-27,0.0,0.0,0.0,14.0,28
2017-01-30,0.0,0.0,0.0,14.3,58
2017-01-31,13.68,13.34,13.36,13.27,12586
2017-02-01,0.0,0.0,0.0,13.25,140
2017-02-02,13.06,13.39,13.23,13.3,464
2017-02-03,13.6,13.5,13.2,13.7,850
2017-02-06,0.0,0.0,0.0,13.5,0
2017-02-07,13.3,13.3,12.92,13.48,33562
2017-02-08,0.0,0.0,0.0,12.9,65
2017-02-09,0.0,0.0,0.0,13.13,2
2017-02-10,13.0,13.6,13.13,13.08,46370
2017-02-13,13.0,14.0,13.0,13.0,4880
2017-02-14,13.73,13.91,14.05,13.77,213
2017-02-15,0.0,0.0,0.0,13.57,44
2017-02-16,13.83,13.74,13.51,13.5,308
2017-02-17,13.0,13.0,13.0,13.0,8127
2017-02-21,0.0,0.0,0.0,12.62,0
2017-02-22,0.0,0.0,0.0,13.0,0
2017-02-23,0.0,0.0,0.0,12.7,22
2017-02-24,13.29,13.0,13.16,13.26,198
2017-02-27,0.0,0.0,0.0,13.35,27
2017-02-28,0.0,0.0,0.0,13.41,220
2017-03-01,12.99,13.14,13.33,13.07,9990
2017-03-02,13.0,14.0,13.0,13.0,90813
