date,open,high,low,close,volume
2017-01-03,0.2283,0.2298,0.22,0.2204,480902
2017-01-04,0.217,0.228,0.215,0.21,498799
2017-01-05,0.22,0.225,0.2138,0.22,692867
2017-01-06,0.21,0.22,0.2161,0.2227,155520
2017-01-09,0.21,0.2257,0.202,0.204,621287
2017-01-10,0.2114,0.2091,0.2005,0.2039,238965
2017-01-11,0.201,0.2121,0.204,0.2,266084
2017-01-12,0.2,0.2045,0.2003,0.2,147561
2017-01-13,0.21,0.21,0.203,0.198,765656
2017-01-17,0.2008,0.203,0.1968,0.2023,299419
2017-01-18,0.1981,0.2071,0.196,0.1976,204368
2017-01-19,0.198,0.2035,0.203,0.2,100300
2017-01-20,0.2,0.2063,0.1948,0.2108,269605
2017-01-23,0.2,0.2063,0.1964,0.197,60570
2017-01-24,0.2,0.2217,0.1998,0.2123,360766
2017-01-25,0.2,0.22,0.2,0.21,307457
2017-01-26,0.22,0.21,0.2078,0.212,176047
2017-01-27,0.22,0.2204,0.2,0.212,588759
2017-01-30,0.21,0.22,0.216,0.2123,281579
2017-01-31,0.207,0.2208,0.2026,0.2027,433083
2017-02-01,0.213,0.214,0.1991,0.2052,194912
2017-02-02,0.2034,0.2162,0.2091,0.2052,146724
2017-02-03,0.2,0.213,0.2041,0.2093,114483
2017-02-06,0.0,0.219,0.198,0.2099,39866
2017-02-07,0.223,0.219,0.19,0.2029,131878
2017-02-08,0.2,0.2,0.1957,0.2,190258
2017-02-09,0.202,0.2011,0.1971,0.2003,121234
2017-02-10,0.0,0.202,0.1936,0.1956,25158
2017-02-13,0.2,0.2,0.1975,0.2037,70751
2017-02-14,0.199,0.1999,0.193,0.1979,85256
2017-02-15,0.204,0.2053,0.201,0.2,113398
2017-02-16,0.2059,0.2007,0.19,0.2069,66775
2017-02-17,0.2,0.2066,0.1907,0.2,72417
2017-02-21,0.198,0.2073,0.1948,0.1998,91039
2017-02-22,0.205,0.21,0.1995,0.1984,151376
2017-02-23,0.0,0.205,0.2013,0.1983,44612
2017-02-24,0.198,0.197,0.192,0.1987,362867
2017-02-27,0.2,0.2018,0.186,0.195,211800
2017-02-28,0.2,0.2,0.167,0.17,1094753
2017-03-01,0.169,0.1743,0.1616,0.1718,234870
2017-03-02,0.1689,0.1665,0.1474,0.1544,1731949
2017-03-03,0.152,0.1599,0.1537,0.1499,956219
2017-03-06,0.1486,0.15,0.1507,0.1506,375118
2017-03-07,0.16,0.161,0.15,0.145,369899
2017-03-08,0.149,0.1493,0.139,0.1393,559577
2017-03-09,0.1422,0.1406,0.1214,0.1242,1300291
2017-03-10,0.133,0.1352,0.1132,0.117,1250095
2017-03-13,0.1279,0.1294,0.118,0.116,627946
2017-03-14,0.126,0.129,0.1163,0.1201,224320
2017-03-15,0.129,0.1305,0.11,0.115,189844
2017-03-16,0.127,0.1305,0.117,0.1218,111632
2017-03-17,0.123,0.1273,0.11,0.1215,96226
2017-03-20,0.11,0.1289,0.11,0.1166,313387
2017-03-21,0.117,0.1274,0.109,0.113,505919
2017-03-22,0.125,0.1237,0.117,0.1257,389746
2017-03-23,0.13,0.141,0.1194,0.1301,769525
2017-03-24,0.131,0.1355,0.12,0.1307,641766
2017-03-27,0.129,0.127,0.13,0.125,76933
2017-03-28,0.129,0.1334,0.1252,0.129,79136
2017-03-29,0.13,0.142,0.1281,0.1326,1615537
2017-03-30,0.14,0.137,0.1287,0.13,283547
2017-03-31,0.1328,0.138,0.129,0.14,405880
2017-04-03,0.146,0.152,0.127,0.1277,200451
2017-04-04,0.126,0.13,0.125,0.128,255340
2017-04-05,0.1225,0.138,0.1222,0.139,288088
2017-04-06,0.1237,0.14,0.118,0.127,319803
2017-04-07,0.12,0.12,0.122,0.12,321607
2017-04-10,0.119,0.1275,0.113,0.1245,429482
2017-04-11,0.1195,0.1286,0.116,0.1241,103538
2017-04-12,0.127,0.129,0.1201,0.1276,499411
2017-04-13,0.1267,0.1322,0.12,0.1299,64889
2017-04-17,0.0,0.0,0.0,0.127,0
2017-04-18,0.12,0.1255,0.1201,0.12,469720
2017-04-19,0.1227,0.1233,0.123,0.1217,166159
2017-04-20,0.1204,0.1196,0.117,0.1229,149641
2017-04-21,0.0,0.12,0.1211,0.1222,13310
2017-04-24,0.117,0.13,0.12,0.1193,206786
2017-04-25,0.12,0.12,0.118,0.1162,48971
2017-04-26,0.116,0.1217,0.11,0.1165,318550
2017-04-27,0.1158,0.1155,0.1116,0.116,332468
2017-04-28,0.1179,0.1218,0.1124,0.1166,169491
2017-05-01,0.0,0.0,0.0,0.1148,0
2017-05-02,0.0,0.1165,0.11,0.1177,104077
2017-05-03,0.1127,0.116,0.1117,0.1129,91228
2017-05-04,0.1101,0.12,0.1009,0.1061,138917
2017-05-05,0.109,0.1108,0.096,0.0938,748794
2017-05-08,0.1,0.1,0.0892,0.0903,1656540
2017-05-09,0.09,0.101,0.0862,0.0884,1349965
2017-05-10,0.0949,0.099,0.0889,0.0904,233890
2017-05-11,0.0915,0.1017,0.0853,0.1,520105
2017-05-12,0.1101,0.122,0.1,0.11,1594827
