date,open,high,low,close,volume
2017-01-03,0.0057,0.0055,0.0032,0.005,408129
2017-01-04,0.0048,0.0077,0.0048,0.0075,210789
2017-01-05,0.0081,0.008,0.0046,0.0046,434445
2017-01-06,0.0055,0.007,0.005,0.0067,310804
2017-01-09,0.007,0.007,0.005,0.0067,485660
2017-01-10,0.005,0.005,0.0041,0.005,555207
2017-01-11,0.0065,0.0066,0.005,0.005,153817
2017-01-12,0.0,0.0,0.0,0.005,0
2017-01-13,0.0,0.0,0.0,0.005,0
2017-01-17,0.0056,0.0057,0.0057,0.0056,132652
2017-01-18,0.0056,0.0057,0.0055,0.0056,141244
2017-01-19,0.0051,0.006,0.0049,0.006,441789
2017-01-20,0.0061,0.0068,0.005,0.0065,1035241
2017-01-23,0.007,0.008,0.005,0.0067,3426063
2017-01-24,0.0065,0.0067,0.0065,0.0068,123558
2017-01-25,0.0067,0.007,0.0066,0.0067,557146
2017-01-26,0.0078,0.0078,0.0067,0.0068,78264
2017-01-27,0.0041,0.005,0.004,0.005,181403
2017-01-30,0.0068,0.007,0.0066,0.007,249913
2017-01-31,0.007,0.008,0.007,0.0082,407642
2017-02-01,0.0,0.0,0.0,0.0081,0
2017-02-02,0.0066,0.0064,0.0064,0.0066,20275
2017-02-03,0.0074,0.0077,0.0074,0.0076,31244
2017-02-06,0.0072,0.0075,0.0046,0.0071,1592177
2017-02-07,0.006,0.0062,0.006,0.0063,103035
2017-02-08,0.0063,0.0062,0.0062,0.0062,246383
2017-02-09,0.0063,0.0062,0.0063,0.0063,10005
2017-02-10,0.006,0.007,0.0056,0.0056,3578028
2017-02-13,0.006,0.0064,0.0057,0.006,137303
2017-02-14,0.0067,0.0069,0.006,0.006,31424
2017-02-15,0.0069,0.007,0.0065,0.0063,312258
2017-02-16,0.0,0.0,0.0,0.0063,13
2017-02-17,0.006,0.0068,0.006,0.0067,106069
2017-02-21,0.0067,0.0069,0.006,0.006,47957
2017-02-22,0.006,0.006,0.006,0.006,6979
2017-02-23,0.006,0.006,0.006,0.006,71572
2017-02-24,0.0055,0.0057,0.0055,0.0055,202701
2017-02-27,0.0055,0.0056,0.0043,0.0046,1504138
2017-02-28,0.0045,0.0047,0.004,0.004,334437
2017-03-01,0.0,0.0,0.0,0.004,0
2017-03-02,0.0,0.0,0.0,0.004,77
2017-03-03,0.004,0.004,0.004,0.004,3016
2017-03-06,0.004,0.004,0.0034,0.004,172485
2017-03-07,0.0,0.0,0.0,0.004,0
2017-03-08,0.0,0.0,0.0,0.004,0
2017-03-09,0.0,0.0,0.0,0.004,0
2017-03-10,0.004,0.004,0.004,0.004,15412
2017-03-13,0.0038,0.0043,0.0032,0.0033,151484
2017-03-14,0.0046,0.0045,0.0044,0.0044,380276
2017-03-15,0.0,0.0,0.0,0.0045,0
2017-03-16,0.0034,0.0035,0.003,0.0033,150245
2017-03-17,0.003,0.003,0.003,0.003,203591
2017-03-20,0.0,0.0,0.0,0.003,0
2017-03-21,0.003,0.003,0.003,0.003,9418
2017-03-22,0.003,0.003,0.003,0.003,30405
2017-03-23,0.003,0.0045,0.0028,0.0029,161359
2017-03-24,0.0029,0.0032,0.0029,0.0031,285037
2017-03-27,0.0033,0.0035,0.003,0.003,505731
2017-03-28,0.0,0.0,0.0,0.0029,0
2017-03-29,0.0033,0.0032,0.0033,0.0033,27772
2017-03-30,0.0,0.0,0.0,0.0032,0
2017-03-31,0.0,0.0,0.0,0.0032,0
2017-04-03,0.0037,0.0038,0.0028,0.0027,186264
2017-04-04,0.0036,0.0035,0.0037,0.0036,377454
2017-04-05,0.0,0.0,0.0,0.0036,0
2017-04-06,0.0,0.0,0.0,0.0036,0
2017-04-07,0.0,0.0,0.0,0.0035,0
2017-04-10,0.0,0.0,0.0,0.0036,0
2017-04-11,0.0,0.0,0.0,0.0037,0
2017-04-12,0.0,0.0,0.0,0.0035,0
2017-04-13,0.0,0.0,0.0,0.0036,0
2017-04-17,0.0037,0.0036,0.0036,0.0037,85255
2017-04-18,0.0,0.0,0.0,0.0037,0
2017-04-19,0.003,0.003,0.003,0.003,211920
2017-04-20,0.0025,0.0024,0.0022,0.0023,280689
2017-04-21,0.0023,0.0022,0.0023,0.0023,60636
2017-04-24,0.0023,0.0022,0.0023,0.0022,508
2017-04-25,0.0,0.0,0.0,0.0023,0
2017-04-26,0.0,0.0,0.0,0.0023,0
2017-04-27,0.0025,0.0024,0.0024,0.0025,3062
2017-04-28,0.0,0.0,0.0,0.0024,0
2017-05-01,0.0035,0.0035,0.0023,0.0022,20181
2017-05-02,0.0029,0.0028,0.0029,0.0029,20075
2017-05-03,0.0,0.0,0.0,0.0029,0
2017-05-04,0.0034,0.0034,0.0032,0.0034,166695
2017-05-05,0.0033,0.0036,0.0031,0.0033,825095
2017-05-08,0.0,0.0,0.0,0.0033,0
2017-05-09,0.0037,0.0038,0.0038,0.0038,438296
2017-05-10,0.004,0.0047,0.004,0.0048,213921
2017-05-11,0.0042,0.0043,0.0042,0.0043,102
2017-05-12,0.0,0.0,0.0,0.0043,0
2017-05-15,0.0034,0.0034,0.0033,0.0034,126027
2017-05-16,0.0037,0.0036,0.0034,0.0034,42538
2017-05-17,0.0047,0.0055,0.0046,0.0055,10126
2017-05-18,0.0,0.0,0.0,0.0055,0
2017-05-19,0.0032,0.0032,0.0026,0.0026,75721
2017-05-22,0.003,0.003,0.0028,0.0028,139849
2017-05-23,0.0024,0.0023,0.0023,0.0023,5473
2017-05-24,0.0025,0.0027,0.0026,0.0027,1783201
2017-05-25,0.0034,0.0034,0.0033,0.0034,5181
2017-05-26,0.0035,0.0035,0.0035,0.0034,201
2017-05-30,0.0,0.0,0.0,0.0035,0
2017-05-31,0.0035,0.0036,0.0036,0.0036,25971
2017-06-01,0.0,0.0,0.0,0.0036,0
2017-06-02,0.0,0.0,0.0,0.0037,0
2017-06-05,0.0026,0.0026,0.0022,0.0022,82361
2017-06-06,0.0,0.0,0.0,0.0023,0
2017-06-07,0.0024,0.0024,0.0024,0.0024,136177
2017-06-08,0.0,0.0,0.0,0.0023,0
2017-06-09,0.0022,0.0023,0.0022,0.0023,100538
2017-06-12,0.0022,0.0022,0.0022,0.0023,20573
2017-06-13,0.0,0.0,0.0,0.0022,0
2017-06-14,0.0,0.0,0.0,0.0022,0
2017-06-15,0.0,0.0,0.0,0.0022,0
2017-06-16,0.0,0.0,0.0,0.0023,0
2017-06-19,0.0025,0.0024,0.0023,0.0023,38418
2017-06-20,0.0024,0.0023,0.0024,0.0024,12107
2017-06-21,0.0,0.0,0.0,0.0024,0
2017-06-22,0.0,0.0,0.0,0.0024,0
2017-06-23,0.0,0.0,0.0,0.0023,0
2017-06-26,0.0024,0.0039,0.0022,0.003,369168
2017-06-27,0.003,0.003,0.0028,0.0029,152199
2017-06-28,0.0,0.0,0.0,0.0029,0
2017-06-29,0.0,0.0,0.0,0.0028,0
2017-06-30,0.0,0.0,0.0,0.0029,0
2017-07-03,0.0032,0.0032,0.0031,0.0032,1023
2017-07-05,0.0,0.0,0.0,0.0032,0
2017-07-06,0.0025,0.0032,0.0024,0.0032,5256
2017-07-07,0.0024,0.0024,0.0025,0.0025,45664
2017-07-10,0.002,0.0025,0.002,0.0022,497542
2017-07-11,0.0024,0.003,0.002,0.003,722879
2017-07-12,0.0,0.0,0.0,0.003,0
2017-07-13,0.0,0.0,0.0,0.003,0
2017-07-14,0.0018,0.0018,0.0019,0.0019,103998
2017-07-17,0.0,0.0,0.0,0.0019,51
2017-07-18,0.0,0.0,0.0,0.0019,0
2017-07-19,0.0016,0.0016,0.0016,0.0016,133386
2017-07-20,0.0015,0.0015,0.0015,0.0015,206424
2017-07-21,0.0,0.0,0.0,0.0015,0
2017-07-24,0.0015,0.0016,0.0015,0.0015,388784
2017-07-25,0.0015,0.0016,0.0016,0.0016,822824
2017-07-26,0.0,0.0,0.0,0.0015,0
2017-07-27,0.0,0.0,0.0,0.0015,0
2017-07-28,0.0,0.0,0.0,0.0016,0
2017-07-31,0.0,0.0,0.0,0.0015,0
2017-08-01,0.0,0.0,0.0,0.0016,0
2017-08-02,0.0016,0.0017,0.0016,0.0017,1563
2017-08-03,0.0018,0.0017,0.0017,0.0017,205392
2017-08-04,0.0017,0.0017,0.0017,0.0018,7138
2017-08-07,0.0,0.0,0.0,0.0017,0
2017-08-08,0.0,0.0,0.0,0.0018,0
2017-08-09,0.0019,0.0019,0.0019,0.0019,3139
2017-08-10,0.0,0.0,0.0,0.0019,0
2017-08-11,0.0,0.0,0.0,0.0018,0
2017-08-14,0.0017,0.0017,0.0018,0.0017,10070
2017-08-15,0.0,0.0,0.0,0.0018,0
2017-08-16,0.0,0.0,0.0,0.0017,0
2017-08-17,0.0,0.0,0.0,0.0017,0
2017-08-18,0.0,0.0,0.0,0.0018,0
2017-08-21,0.0,0.0,0.0,0.0018,0
