date,open,high,low,close,volume
2017-01-03,52.3,53.3,53.65,53.2,3255
2017-01-04,52.6,52.83,53.79,53.77,1697
2017-01-05,54.03,52.42,53.4,53.28,2037
2017-01-06,53.53,52.8,52.61,51.06,1807
2017-01-09,52.41,53.32,50.2,51.5,1170
2017-01-10,50.77,51.14,49.7,50.47,6335
2017-01-11,51.5,52.44,51.52,51.93,14435
2017-01-12,49.29,50.42,50.44,49.99,1451
2017-01-13,50.4,51.09,50.8,51.58,1966
2017-01-17,52.19,51.17,51.02,50.69,3954
2017-01-18,52.06,50.19,50.0,49.21,3266
2017-01-19,51.26,51.6,50.97,50.94,3283
2017-01-20,51.1,50.01,49.86,50.94,2489
2017-01-23,50.0,50.67,50.37,51.12,1881
2017-01-24,51.24,50.73,47.24,48.02,7419
2017-01-25,48.93,47.11,46.35,48.28,14440
2017-01-26,48.08,48.01,47.27,47.43,7363
2017-01-27,47.77,47.29,46.64,47.17,2508
2017-01-30,48.88,47.23,46.74,47.7,3309
2017-01-31,46.79,46.44,46.79,46.11,1293
2017-02-01,46.43,47.12,46.35,46.1,4824
2017-02-02,46.06,46.0,44.5,44.8,4639
2017-02-03,45.4,46.48,45.25,45.46,1471
2017-02-06,46.21,47.5,45.23,46.34,3491
2017-02-07,46.39,45.61,45.28,46.76,1500
2017-02-08,47.0,46.9,46.0,46.48,10466
2017-02-09,47.3,48.0,46.6,46.35,4937
2017-02-10,47.22,48.42,46.17,46.94,5245
2017-02-13,47.18,47.3,47.04,46.3,18763
2017-02-14,46.11,46.0,45.7,46.29,7821
2017-02-15,47.38,46.37,46.11,46.7,6885
2017-02-16,47.78,46.4,47.0,45.52,3560
2017-02-17,46.4,47.5,47.53,47.49,7271
2017-02-21,47.08,48.4,48.0,48.91,6775
2017-02-22,48.06,49.06,47.66,48.35,6531
2017-02-23,48.2,49.1,48.68,49.2,2004
2017-02-24,49.23,49.64,49.1,49.66,2830
2017-02-27,48.0,49.0,47.17,47.69,2322
2017-02-28,49.3,48.28,48.54,47.24,3077
2017-03-01,47.78,47.38,47.6,47.09,986
2017-03-02,48.55,49.75,48.81,48.7,1578
2017-03-03,49.11,49.55,48.85,48.2,747
2017-03-06,48.59,47.88,47.04,48.05,1662
2017-03-07,47.37,49.74,48.0,49.0,1694
2017-03-08,47.33,48.3,48.37,47.7,2907
2017-03-09,47.26,48.11,47.29,47.11,2004
2017-03-10,48.29,48.28,47.9,46.9,3492
2017-03-13,46.43,47.14,47.69,47.04,1773
2017-03-14,48.41,48.05,46.95,47.41,3345
2017-03-15,48.01,47.09,48.63,47.33,2191
2017-03-16,48.15,47.75,47.88,48.8,1024
2017-03-17,47.64,46.97,48.6,47.26,3706
2017-03-20,47.8,48.64,47.1,47.9,1054
2017-03-21,48.16,48.4,46.68,48.0,4192
2017-03-22,46.85,48.82,46.6,47.19,9014
2017-03-23,47.1,47.59,46.09,46.89,800
2017-03-24,47.75,48.2,47.4,46.12,2082
2017-03-27,47.6,46.9,47.39,46.0,3783
2017-03-28,47.21,46.12,45.58,45.67,1435
2017-03-29,45.7,47.14,47.0,47.79,702
2017-03-30,47.54,48.14,46.96,47.64,1243
2017-03-31,47.42,46.25,46.64,45.8,2688
2017-04-03,46.0,46.0,46.3,48.0,838
2017-04-04,47.0,48.09,47.8,47.3,1278
2017-04-05,48.32,47.8,46.14,48.76,2445
2017-04-06,46.89,47.64,46.3,46.9,1479
2017-04-07,47.82,46.56,46.78,46.12,604
2017-04-10,47.5,47.35,45.89,46.0,550
2017-04-11,46.21,46.48,47.31,46.78,2140
2017-04-12,46.91,47.2,47.75,46.04,1890
2017-04-13,47.7,47.11,46.59,47.13,264
2017-04-17,0.0,0.0,0.0,46.03,0
2017-04-18,47.34,46.89,46.5,46.7,1269
2017-04-19,47.39,46.32,46.77,46.61,2110
2017-04-20,46.88,46.38,44.83,45.97,13937
2017-04-21,46.22,45.52,45.7,45.5,4809
2017-04-24,44.41,44.13,44.69,45.51,8845
2017-04-25,44.7,44.7,44.73,43.52,1719
2017-04-26,44.06,44.57,44.43,43.76,2275
2017-04-27,43.64,44.88,44.51,44.01,2237
2017-04-28,44.98,44.95,42.98,42.42,4406
2017-05-01,0.0,0.0,0.0,44.27,0
2017-05-02,43.58,43.43,43.71,42.78,3909
2017-05-03,43.0,43.85,44.0,43.66,2975
2017-05-04,42.68,44.4,43.0,42.39,3973
2017-05-05,43.69,44.06,43.56,44.24,3666
2017-05-08,43.69,43.46,43.67,43.7,1406
2017-05-09,43.54,43.0,42.63,43.6,1587
2017-05-10,44.48,44.49,44.59,44.5,1743
2017-05-11,43.41,44.6,42.81,43.25,1458
2017-05-12,44.07,43.74,42.24,43.54,2596
2017-05-15,42.69,43.8,42.78,41.78,4337
2017-05-16,41.7,41.55,41.51,41.47,3141
2017-05-17,42.4,41.85,41.61,40.7,8760
2017-05-18,41.81,41.12,41.4,42.12,2901
2017-05-19,42.34,41.53,40.82,40.8,2188
2017-05-22,42.93,41.42,42.13,41.2,3420
2017-05-23,40.53,41.05,41.76,40.68,4197
2017-05-24,41.36,42.71,41.47,40.5,4105
2017-05-25,41.21,41.95,41.51,42.31,2469
2017-05-26,40.78,42.01,42.2,41.96,2333
2017-05-30,41.46,41.45,40.73,41.05,8047
2017-05-31,41.77,43.42,41.6,43.32,1519
2017-06-01,43.24,43.63,41.81,41.84,4401
2017-06-02,41.7,43.29,42.73,43.27,10449
2017-06-05,0.0,0.0,0.0,42.54,0
2017-06-06,42.42,42.15,41.45,42.71,2188
