date,open,high,low,close,volume
2017-01-03,60.6,59.11,58.7,61.02,1225342
2017-01-04,58.86,58.8,58.96,59.42,1140350
2017-01-05,61.38,59.24,58.75,61.86,1255882
2017-01-06,59.28,59.7,60.39,60.84,1350087
2017-01-09,60.6,59.51,60.56,60.22,1209290
2017-01-10,60.0,59.37,60.65,59.36,851137
2017-01-11,58.4,58.6,57.54,61.0,1495310
2017-01-12,58.21,60.99,58.47,58.95,1352544
2017-01-13,60.86,59.82,58.78,58.41,1010559
2017-01-17,60.28,59.3,59.28,61.2,1185790
2017-01-18,60.84,60.59,59.66,59.79,1983222
2017-01-19,60.2,60.78,60.66,60.74,1003859
2017-01-20,58.97,61.87,59.6,59.22,1531865
2017-01-23,60.63,60.18,59.81,61.35,865768
2017-01-24,59.7,59.11,58.8,58.86,1324290
2017-01-25,60.07,59.72,59.81,60.24,1230703
2017-01-26,59.06,59.01,58.31,58.72,1130851
2017-01-27,60.51,59.03,59.51,60.56,1228199
2017-01-30,59.17,61.21,58.92,59.1,1303063
2017-01-31,58.98,59.72,59.8,59.39,1506415
2017-02-01,59.94,60.7,58.63,59.44,1499985
2017-02-02,59.9,59.98,58.41,58.09,2510282
2017-02-03,59.84,59.53,59.7,58.03,2060019
2017-02-06,57.7,58.7,59.24,60.17,1255204
2017-02-07,58.4,60.43,59.17,59.15,1204371
2017-02-08,60.5,59.74,59.32,59.51,1121044
2017-02-09,60.59,58.81,59.48,60.9,819741
2017-02-10,58.9,58.47,59.07,60.44,2140462
2017-02-13,61.2,59.36,60.47,59.29,1067035
2017-02-14,58.77,60.13,57.9,61.0,1418866
2017-02-15,58.06,60.32,60.38,59.84,2859219
2017-02-16,60.64,58.93,60.22,59.2,1197245
2017-02-17,59.78,59.6,58.53,61.58,1023565
2017-02-21,59.39,60.48,61.25,59.2,2894936
2017-02-22,59.8,59.5,61.53,61.85,5661332
2017-02-23,60.31,60.39,60.2,61.29,2906169
2017-02-24,61.3,58.85,59.45,60.95,3250351
2017-02-27,60.16,59.69,57.72,58.99,3931109
2017-02-28,58.4,60.05,59.18,59.87,1679929
2017-03-01,58.28,61.08,59.9,59.02,1565750
2017-03-02,57.98,60.64,60.32,58.05,1071182
2017-03-03,60.25,58.42,58.81,59.38,1169249
2017-03-06,60.15,60.29,59.88,60.5,1322581
2017-03-07,60.55,61.21,58.0,60.36,5462862
2017-03-08,60.31,60.2,60.4,59.57,1134497
2017-03-09,61.0,58.47,58.7,60.1,1695825
2017-03-10,58.79,61.31,60.76,60.87,1503592
2017-03-13,60.42,59.03,58.04,60.64,1764796
2017-03-14,59.5,59.41,58.37,57.96,1647906
2017-03-15,57.91,59.74,59.97,59.98,1243172
2017-03-16,58.75,59.45,59.43,58.87,1326493
2017-03-17,59.1,61.13,59.22,60.7,8642535
2017-03-20,60.7,59.87,59.95,58.24,2283770
2017-03-21,58.44,60.48,57.9,59.0,1635797
2017-03-22,59.9,60.86,59.49,59.69,3120106
2017-03-23,60.73,60.27,60.7,59.05,1229936
2017-03-24,60.95,62.13,60.2,59.83,1357004
2017-03-27,61.4,59.79,59.67,60.0,1425475
2017-03-28,61.2,60.7,60.31,59.27,1395334
2017-03-29,61.5,59.78,59.15,59.84,1014203
