date,open,high,low,close,volume
2017-01-03,14.89,14.65,14.57,14.9,5188
2017-01-04,14.83,15.26,15.08,15.4,8937
2017-01-05,15.67,15.65,15.12,15.0,7741
2017-01-06,15.05,15.33,15.22,15.32,4292
2017-01-09,15.7,15.92,15.0,15.44,9271
2017-01-10,15.16,15.68,15.39,15.76,3476
2017-01-11,15.45,15.35,15.33,15.21,593
2017-01-12,15.6,15.4,15.58,15.39,7191
2017-01-13,15.19,15.97,15.9,15.24,6913
2017-01-17,15.8,15.81,15.97,15.4,11803
2017-01-18,16.21,15.93,16.13,16.03,5348
2017-01-19,15.73,16.2,15.6,15.62,6972
2017-01-20,15.9,16.2,16.1,15.71,9063
2017-01-23,15.43,16.18,15.68,15.81,6568
2017-01-24,15.51,16.0,15.54,15.95,16440
2017-01-25,16.99,17.82,16.41,16.74,14011
2017-01-26,16.4,16.57,16.29,16.87,12651
2017-01-27,16.63,16.93,16.6,16.58,11029
2017-01-30,16.48,16.89,16.8,16.5,11832
2017-01-31,16.36,16.9,16.78,16.96,2165
2017-02-01,17.0,16.9,17.02,16.96,18892
2017-02-02,17.04,16.87,17.03,16.55,53686
2017-02-03,16.85,17.02,17.16,16.98,9610
2017-02-06,17.15,17.15,16.71,17.04,3096
2017-02-07,16.59,17.44,16.81,17.08,2651
2017-02-08,17.1,16.83,16.72,17.41,1796
2017-02-09,17.03,17.36,16.9,16.8,2329
2017-02-10,16.66,17.14,16.5,16.98,1711
2017-02-13,16.6,16.94,16.4,16.71,3693
2017-02-14,16.74,16.6,16.42,17.14,3072
2017-02-15,17.1,16.95,17.08,17.2,1899
2017-02-16,16.97,16.81,16.94,16.58,304
2017-02-17,17.07,17.1,16.65,16.65,1644
2017-02-21,16.45,16.86,16.39,16.51,4086
2017-02-22,17.0,17.38,17.0,16.96,2068
2017-02-23,17.5,16.82,17.46,16.9,2249
2017-02-24,16.81,17.44,17.15,16.6,3719
2017-02-27,0.0,0.0,0.0,17.0,0
2017-02-28,16.68,16.64,17.15,16.64,103
2017-03-01,16.95,17.46,17.21,16.62,201
2017-03-02,16.88,16.74,17.36,17.26,1358
2017-03-03,17.1,17.4,17.16,17.18,2566
2017-03-06,17.26,17.3,17.12,17.43,904
2017-03-07,16.86,16.78,16.77,17.4,964
2017-03-08,17.1,17.05,16.9,17.41,7526
2017-03-09,16.93,17.61,17.14,17.37,2519
2017-03-10,17.02,17.87,17.03,17.11,11216
2017-03-13,17.17,17.27,17.02,17.55,5555
2017-03-14,17.16,17.22,17.6,17.14,4741
2017-03-15,17.81,17.35,17.51,17.76,10151
2017-03-16,17.93,17.58,17.6,17.15,4556
2017-03-17,17.12,17.4,16.77,16.78,7980
2017-03-20,17.0,17.5,17.1,17.49,7493
2017-03-21,17.0,16.99,17.38,17.1,1570
2017-03-22,16.49,16.59,16.84,16.68,7282
2017-03-23,17.17,16.92,16.59,17.32,205
2017-03-24,16.72,16.65,17.32,16.89,4658
2017-03-27,16.72,16.64,17.21,16.56,1712
2017-03-28,16.6,16.49,16.7,17.2,56806
2017-03-29,16.7,16.73,16.98,17.02,5489
2017-03-30,16.84,16.84,17.0,17.2,8196
2017-03-31,17.12,16.6,16.67,16.91,5351
2017-04-03,16.7,16.7,16.83,16.49,14684
2017-04-04,17.25,16.62,17.15,17.24,17568
2017-04-05,16.52,16.64,17.0,17.12,3001
2017-04-06,16.61,17.18,16.97,17.38,4381
2017-04-07,17.2,17.26,16.4,16.72,1908
2017-04-10,17.01,16.92,16.89,17.26,7601
2017-04-11,17.57,16.84,17.17,16.98,1646
2017-04-12,17.3,16.85,16.87,17.25,535
2017-04-13,17.44,17.47,17.43,17.09,623
2017-04-17,17.42,17.47,17.11,17.1,2445
2017-04-18,16.99,17.56,16.35,17.04,7942
2017-04-19,17.33,16.56,16.62,16.9,2203
2017-04-20,16.7,16.9,17.23,16.9,1028
2017-04-21,16.44,16.52,16.96,16.64,1111
2017-04-24,17.1,16.54,16.48,17.17,8418
2017-04-25,16.53,16.7,17.01,17.3,3939
2017-04-26,17.1,16.64,17.0,16.86,5157
2017-04-27,17.17,16.94,17.07,16.93,4560
2017-04-28,0.0,0.0,0.0,16.51,0
2017-05-01,16.69,17.09,16.78,17.03,1249
2017-05-02,16.63,16.96,16.69,16.72,1249
2017-05-03,16.8,16.71,16.3,16.48,5171
2017-05-04,16.37,17.03,16.45,16.49,14389
2017-05-05,16.28,16.47,16.51,16.93,9666
2017-05-08,16.64,16.84,16.26,17.07,710
2017-05-09,16.72,16.75,16.9,16.72,9180
2017-05-10,16.56,16.57,16.57,17.04,416
2017-05-11,16.6,16.89,16.95,17.27,5318
2017-05-12,16.69,16.78,17.07,17.01,1010
2017-05-15,16.94,17.02,16.53,16.7,2799
2017-05-16,16.64,16.81,17.06,16.73,1669
2017-05-17,16.57,17.05,17.0,16.78,6332
2017-05-18,16.4,16.91,15.48,16.03,1984
2017-05-19,16.18,16.69,16.09,16.19,3129
2017-05-22,0.0,0.0,0.0,16.82,0
2017-05-23,16.53,16.56,16.65,16.4,568
2017-05-24,16.78,16.88,16.6,17.08,11523
2017-05-25,16.72,16.75,16.74,16.96,340
2017-05-26,16.3,16.3,16.61,16.08,6021
2017-05-30,16.58,16.9,16.38,16.4,10743
2017-05-31,16.9,16.48,16.44,16.4,5764
2017-06-01,16.49,16.19,16.55,16.65,2325
2017-06-02,16.54,16.3,16.55,16.18,5512
2017-06-05,16.67,16.73,16.48,16.51,2615
2017-06-06,16.65,17.0,16.43,16.62,6039
2017-06-07,16.23,16.02,16.37,16.26,2862
2017-06-08,16.29,16.23,16.36,16.29,807
2017-06-09,17.01,16.38,16.6,16.45,3369
2017-06-12,16.81,16.74,16.65,16.98,8072
2017-06-13,16.76,17.0,16.92,16.93,88404
2017-06-14,16.6,16.89,16.5,17.17,34406
2017-06-15,16.8,17.0,16.71,16.95,21967
2017-06-16,16.51,17.21,16.92,17.01,2582
2017-06-19,16.93,16.96,16.47,16.99,3484
2017-06-20,16.59,16.9,17.38,17.24,1711
2017-06-21,16.82,17.11,17.05,17.1,4597
2017-06-22,16.59,16.98,16.91,16.72,404
2017-06-23,16.87,17.12,16.88,17.17,3499
2017-06-26,16.6,16.7,16.7,17.1,5844
2017-06-27,17.15,17.21,16.55,17.19,5471
2017-06-28,16.94,17.17,17.03,17.0,2450
2017-06-29,16.8,16.94,17.16,16.7,2617
2017-06-30,17.06,17.25,17.02,16.67,660
