date,open,high,low,close,volume
2017-01-12,15.05,14.94,15.05,14.93,348
2017-01-13,15.51,16.25,15.77,16.45,1459
2017-01-17,16.8,16.5,16.4,16.3,257
2017-01-18,16.6,16.8,16.8,16.5,2342
2017-01-19,0.0,0.0,0.0,16.8,0
2017-01-20,16.1,15.8,16.0,15.8,1024
2017-01-23,0.0,0.0,0.0,16.2,0
2017-01-24,17.0,17.0,16.0,16.0,282
2017-01-25,16.16,16.0,15.9,16.38,2327
2017-01-26,16.01,16.45,15.7,15.8,3550
2017-01-27,16.53,16.26,16.17,16.31,2018
2017-01-30,16.0,17.0,16.73,16.26,9774
2017-01-31,16.87,16.62,16.4,16.3,4820
2017-02-01,16.1,16.3,17.0,17.0,3947
2017-02-02,17.0,16.7,16.0,16.4,1855
2017-02-03,16.65,16.91,16.47,17.31,2932
2017-02-06,17.37,17.18,17.38,16.95,1109
2017-02-07,16.6,17.61,16.6,17.99,3560
2017-02-08,17.6,17.5,17.2,17.2,8849
2017-02-09,0.0,0.0,0.0,16.9,0
2017-02-10,17.1,17.4,17.3,17.0,9898
2017-02-13,17.1,17.3,17.1,17.3,145
2017-02-14,17.29,17.05,17.1,17.4,8504
2017-02-15,17.0,17.0,17.0,17.0,1010
2017-02-16,17.0,17.32,17.0,17.69,3013
2017-02-17,0.0,0.0,0.0,17.81,0
2017-02-21,17.4,17.5,17.4,17.3,3435
2017-02-22,17.95,18.53,18.35,18.67,205
2017-02-23,0.0,0.0,0.0,18.22,0
2017-02-24,17.9,18.3,17.68,17.55,1012
2017-02-27,18.02,18.48,17.75,18.22,1252
2017-02-28,17.99,17.45,18.1,18.1,10578
2017-03-01,18.4,18.1,16.7,17.0,9915
2017-03-02,18.4,17.6,17.9,17.8,302
2017-03-03,0.0,0.0,0.0,17.9,0
2017-03-06,19.0,18.07,18.0,18.14,1158
2017-03-07,0.0,0.0,0.0,18.58,51
2017-03-08,18.2,18.4,18.2,18.7,507
2017-03-09,0.0,0.0,0.0,18.9,0
2017-03-10,0.0,0.0,0.0,18.8,0
2017-03-13,19.0,18.0,18.0,18.0,1524
2017-03-14,0.0,0.0,0.0,18.0,0
2017-03-15,0.0,0.0,0.0,19.0,0
2017-03-16,17.8,18.4,17.13,17.65,1337
2017-03-17,0.0,0.0,0.0,17.57,0
2017-03-20,18.61,18.26,18.52,18.54,3306
2017-03-21,18.0,19.0,18.72,18.0,1526
2017-03-22,0.0,0.0,0.0,18.0,0
2017-03-23,19.0,19.0,19.0,18.0,503
2017-03-24,0.0,0.0,0.0,18.0,0
2017-03-27,18.59,18.48,17.0,18.0,951
2017-03-28,18.0,18.0,19.0,18.0,1765
2017-03-29,18.0,19.11,18.0,18.73,1941
2017-03-30,0.0,0.0,0.0,18.36,0
2017-03-31,18.3,19.08,18.5,19.12,1413
2017-04-03,0.0,0.0,0.0,18.75,0
2017-04-04,18.0,18.0,19.0,18.0,1918
2017-04-05,18.0,19.0,19.0,19.0,2833
