date,open,high,low,close,volume
2017-01-03,20.76,22.0,20.41,20.99,2451
2017-01-04,21.6,21.63,21.26,21.75,540
2017-01-05,21.83,22.52,20.85,22.35,2859
2017-01-06,20.91,20.68,21.16,21.19,1470
2017-01-09,21.23,22.55,20.92,21.61,1638
2017-01-10,20.78,20.85,21.2,21.3,1348
2017-01-11,0.0,0.0,0.0,20.78,26
2017-01-12,20.7,21.32,21.0,21.0,1245
2017-01-13,20.4,21.6,20.31,21.43,2213
2017-01-17,20.92,21.0,19.78,20.64,2810
2017-01-18,20.95,20.98,20.31,20.58,220
2017-01-19,0.0,0.0,0.0,20.82,143
2017-01-20,0.0,0.0,0.0,20.72,3
2017-01-23,19.95,20.9,19.37,19.37,7448
2017-01-24,0.0,0.0,0.0,19.63,213
2017-01-25,19.73,20.9,19.4,20.7,3076
2017-01-26,19.99,20.27,19.21,20.61,5643
2017-01-27,20.28,20.35,19.38,19.4,7106
2017-01-30,19.13,19.7,19.47,19.57,998
2017-01-31,19.72,19.93,19.92,19.69,374
2017-02-01,19.8,20.4,19.78,19.6,1317
2017-02-02,0.0,0.0,0.0,19.8,208
2017-02-03,19.9,19.4,19.6,19.5,540
2017-02-06,20.34,20.17,19.43,18.86,1144
2017-02-07,19.25,19.07,19.11,19.01,831
2017-02-08,19.22,19.52,19.32,19.5,399
2017-02-09,18.76,18.96,18.23,19.31,409
2017-02-10,19.52,19.66,19.28,18.9,533
2017-02-13,19.82,19.85,19.85,20.12,594
2017-02-14,20.12,20.34,19.57,19.94,260
2017-02-15,20.5,19.9,20.9,20.1,559
2017-02-16,19.92,20.9,20.45,20.64,574
2017-02-17,21.31,21.3,21.2,20.9,822
2017-02-21,21.11,20.99,20.43,20.3,2535
2017-02-22,20.06,20.62,20.66,20.24,444
2017-02-23,21.11,21.6,19.78,20.07,1740
2017-02-24,0.0,0.0,0.0,20.51,129
2017-02-27,20.44,20.56,20.15,20.28,2705
2017-02-28,21.05,21.62,21.09,21.39,486
2017-03-01,20.8,20.8,20.88,20.47,1097
2017-03-02,20.57,21.32,20.81,21.2,4458
2017-03-03,20.07,21.23,20.05,20.83,1917
2017-03-06,20.0,21.0,20.39,20.47,1302
2017-03-07,0.0,0.0,0.0,20.43,43
2017-03-08,20.59,20.5,19.73,21.1,3782
2017-03-09,20.79,20.86,20.83,20.94,1748
2017-03-10,20.9,21.2,20.9,20.4,521
2017-03-13,21.26,21.01,20.08,20.32,1921
2017-03-14,21.0,21.03,20.16,20.32,11448
2017-03-15,19.82,20.4,20.35,20.6,484
2017-03-16,20.06,20.57,20.61,19.92,1396
2017-03-17,20.01,19.84,19.9,20.3,1555
2017-03-20,19.7,19.89,19.69,20.46,2374
2017-03-21,19.8,20.5,20.66,20.57,1149
2017-03-22,0.0,0.0,0.0,20.57,3
2017-03-23,19.85,19.76,19.41,19.46,148
2017-03-24,19.65,19.87,19.44,19.2,1531
2017-03-27,0.0,0.0,0.0,19.46,145
2017-03-28,20.0,20.05,20.55,20.26,1475
2017-03-29,20.7,20.7,20.45,20.42,2793
2017-03-30,20.4,20.0,20.3,19.61,1452
2017-03-31,21.0,20.0,20.0,21.0,404
2017-04-03,20.37,20.15,19.52,19.77,1231
2017-04-04,19.12,20.65,19.35,19.36,792
2017-04-05,20.44,20.0,20.25,20.0,1170
2017-04-06,20.5,20.54,20.42,20.8,439
2017-04-07,19.43,20.51,19.25,20.71,488
2017-04-10,19.73,20.6,20.06,20.35,1060
2017-04-11,0.0,0.0,0.0,19.88,69
2017-04-12,20.2,20.4,19.8,19.8,242
2017-04-13,21.0,21.0,20.68,20.02,226
2017-04-17,19.8,20.4,20.0,20.2,139
2017-04-18,20.01,20.2,19.69,20.2,2627
