date,open,high,low,close,volume
2017-01-03,7.38,7.49,7.19,7.05,14802477
2017-01-04,7.3,7.24,7.29,7.0,9488772
2017-01-05,7.27,7.17,7.04,7.3,8521928
2017-01-06,0.0,0.0,0.0,7.02,0
2017-01-09,7.07,7.39,7.32,7.24,4332530
2017-01-10,7.07,7.3,7.15,7.37,4045163
2017-01-11,7.33,7.4,7.08,7.12,3204320
2017-01-12,7.2,7.29,7.1,7.27,3575081
2017-01-13,0.0,0.0,0.0,7.2,0
2017-01-17,7.25,7.02,7.17,7.09,3515979
2017-01-18,7.14,7.33,7.25,7.04,4287710
2017-01-19,7.1,7.13,7.0,7.0,5042114
2017-01-20,0.0,0.0,0.0,7.1,0
2017-01-23,7.01,7.0,6.78,7.0,5604330
2017-01-24,6.95,6.99,6.9,6.9,12051150
2017-01-25,6.68,6.92,6.74,6.69,11771994
2017-01-26,6.79,7.04,6.9,6.85,13940698
2017-01-27,0.0,0.0,0.0,6.8,0
2017-01-30,6.71,6.7,6.73,6.82,5326478
2017-01-31,6.7,6.75,6.71,6.9,6188140
2017-02-01,6.72,6.83,6.56,6.78,6069997
2017-02-02,6.62,6.78,6.6,6.65,17534867
2017-02-03,0.0,0.0,0.0,6.59,0
2017-02-06,6.6,6.74,6.6,6.62,8479087
2017-02-07,6.74,6.6,6.52,6.52,6267643
2017-02-08,6.79,6.85,6.62,6.75,3666992
2017-02-09,6.7,6.6,6.66,6.9,27908901
2017-02-10,0.0,0.0,0.0,6.9,0
2017-02-13,6.88,6.69,6.73,6.98,10593436
2017-02-14,6.77,7.02,6.75,6.87,8857027
2017-02-15,6.67,6.95,6.9,6.9,6762878
2017-02-16,6.77,6.95,6.77,6.67,9810055
2017-02-17,0.0,0.0,0.0,6.64,0
2017-02-21,6.82,6.82,6.6,6.8,3073186
2017-02-22,6.6,6.71,6.73,6.81,6524043
2017-02-23,6.6,6.61,6.54,6.7,10555692
2017-02-24,0.0,0.0,0.0,6.81,0
2017-02-27,6.82,6.79,6.71,6.67,4615784
2017-02-28,6.64,6.7,6.53,6.8,6032244
2017-03-01,6.7,7.01,6.7,6.8,7570299
2017-03-02,6.73,7.0,6.76,6.88,17063263
2017-03-03,0.0,0.0,0.0,6.89,0
2017-03-06,6.78,7.0,6.79,6.91,3344152
2017-03-07,6.81,6.8,6.59,6.7,3707405
2017-03-08,6.67,6.79,6.69,6.79,2678579
2017-03-09,6.8,6.96,6.8,6.8,6297357
2017-03-10,0.0,0.0,0.0,6.99,0
2017-03-13,6.85,6.71,6.61,6.7,4724217
2017-03-14,6.87,6.79,6.48,6.66,5643740
2017-03-15,6.83,6.75,6.5,6.73,4696413
2017-03-16,6.56,6.83,6.61,6.4,10864747
2017-03-17,0.0,0.0,0.0,6.6,0
2017-03-20,6.43,6.65,6.54,6.57,5214717
2017-03-21,6.68,6.54,6.7,6.6,6104889
2017-03-22,6.64,6.65,6.52,6.53,7085375
2017-03-23,6.68,6.5,6.55,6.66,5531967
2017-03-24,0.0,0.0,0.0,6.61,0
2017-03-27,6.47,6.74,6.47,6.5,6982759
2017-03-28,6.8,6.62,6.62,6.57,8214487
2017-03-29,6.51,6.52,6.75,6.47,4217522
2017-03-30,6.38,6.7,6.68,6.69,10757580
2017-03-31,0.0,0.0,0.0,6.72,0
2017-04-03,6.6,6.85,6.74,6.77,5091776
2017-04-04,6.62,6.76,6.68,6.57,4459383
2017-04-05,6.49,6.79,6.45,6.6,3662623
2017-04-06,6.55,6.67,6.55,6.58,9631582
2017-04-07,0.0,0.0,0.0,6.69,0
2017-04-10,0.0,0.0,0.0,6.62,0
2017-04-11,0.0,0.0,0.0,6.57,0
2017-04-12,6.59,6.46,6.46,6.54,3998619
2017-04-13,6.36,6.5,6.31,6.3,5836305
2017-04-17,0.0,0.0,0.0,6.23,0
2017-04-18,6.46,6.5,6.22,6.3,7520867
2017-04-19,6.44,6.45,6.36,6.46,10116086
2017-04-20,6.67,6.56,6.3,6.43,6168689
2017-04-21,0.0,0.0,0.0,6.65,0
2017-04-24,6.49,6.49,6.4,6.5,6849086
2017-04-25,6.4,6.4,6.37,6.22,8033600
2017-04-26,6.37,6.34,6.2,6.37,7121098
2017-04-27,6.2,6.16,6.31,6.2,11358587
2017-04-28,0.0,0.0,0.0,6.4,0
2017-05-01,0.0,0.0,0.0,6.24,0
2017-05-02,0.0,0.0,0.0,6.14,0
2017-05-03,6.4,6.4,6.07,6.3,13915937
2017-05-04,6.3,6.33,6.2,6.36,12300564
2017-05-05,0.0,0.0,0.0,6.3,0
2017-05-08,6.51,6.55,6.52,6.49,9647697
2017-05-09,6.48,6.41,6.42,6.44,5198519
2017-05-10,6.5,6.6,6.4,6.36,5747857
2017-05-11,6.41,6.44,6.5,6.46,4226045
2017-05-12,0.0,0.0,0.0,6.4,0
2017-05-15,6.22,6.35,6.28,6.29,6006947
2017-05-16,6.0,6.21,6.25,6.04,10008426
2017-05-17,6.16,6.45,6.0,6.42,8257662
2017-05-18,6.3,6.25,6.2,6.28,14816192
2017-05-19,0.0,0.0,0.0,6.34,0
2017-05-22,6.43,6.46,6.37,6.32,4606320
2017-05-23,6.33,6.5,6.03,6.27,4515555
2017-05-24,6.1,6.33,6.3,6.16,5322968
2017-05-25,6.36,6.43,6.41,6.3,9555964
2017-05-26,0.0,0.0,0.0,6.3,0
2017-05-30,0.0,0.0,0.0,6.24,0
2017-05-31,0.0,0.0,0.0,6.32,0
2017-06-01,6.29,6.33,6.32,6.24,12730108
2017-06-02,0.0,0.0,0.0,6.17,0
2017-06-05,6.23,6.57,6.18,6.23,10366117
2017-06-06,6.21,6.35,6.2,6.45,3737326
2017-06-07,6.27,6.36,6.36,6.2,9696111
