date,open,high,low,close,volume
2017-01-03,3.8,3.79,3.72,3.87,14801970
2017-01-04,3.74,3.99,3.71,3.98,22994534
2017-01-05,3.93,3.9,3.79,3.9,18968225
2017-01-06,3.89,3.99,3.91,3.89,12705183
2017-01-09,3.96,4.02,3.88,3.97,13522240
2017-01-10,3.86,3.95,3.97,4.06,23916433
2017-01-11,4.06,4.09,4.02,3.98,29829615
2017-01-12,4.09,4.06,4.08,4.05,24927021
2017-01-13,4.1,4.08,4.0,4.11,23624456
2017-01-17,3.9,4.02,3.88,3.85,15486327
2017-01-18,3.87,4.01,3.94,3.94,19882332
2017-01-19,3.97,3.95,3.85,3.88,18026635
2017-01-20,3.8,3.94,4.0,3.99,18698310
2017-01-23,3.92,3.87,4.0,4.01,30319936
2017-01-24,3.32,3.3,3.16,3.05,220796192
2017-01-25,3.11,3.23,3.05,3.09,92621654
2017-01-26,3.08,3.2,3.0,3.08,50386651
2017-01-27,3.2,3.2,2.99,3.1,50218511
2017-01-30,3.05,3.14,3.14,3.14,34633906
2017-01-31,3.13,3.14,3.04,3.19,47545195
2017-02-01,3.11,3.28,3.11,3.09,47144055
2017-02-02,3.08,3.1,3.1,3.16,22332477
2017-02-03,3.11,3.1,3.16,3.11,20347535
2017-02-06,3.11,3.12,3.19,3.09,22561875
2017-02-07,3.12,3.13,3.11,3.14,20258835
2017-02-08,3.09,3.24,3.17,3.2,22260926
2017-02-09,3.1,3.25,3.18,3.11,22564805
2017-02-10,3.1,3.17,3.06,3.16,21441511
2017-02-13,3.06,3.1,3.17,3.08,18232619
2017-02-14,3.14,3.09,3.07,3.08,24883344
2017-02-15,3.22,3.21,3.09,3.2,20337972
2017-02-16,3.2,3.16,3.2,3.14,17803517
2017-02-17,3.21,3.22,3.2,3.25,25030941
2017-02-21,3.4,3.26,3.2,3.35,22316322
2017-02-22,3.3,3.34,3.3,3.39,25775938
2017-02-23,3.4,3.39,3.32,3.38,41663222
2017-02-24,3.47,3.43,3.42,3.41,29924887
2017-02-27,3.34,3.5,3.4,3.37,20991893
2017-02-28,3.37,3.4,3.3,3.34,33065068
2017-03-01,3.38,3.5,3.28,3.38,21388041
2017-03-02,3.3,3.55,3.29,3.41,31605703
2017-03-03,3.44,3.47,3.46,3.42,26103374
2017-03-06,3.37,3.44,3.46,3.37,20429818
2017-03-07,3.48,3.41,3.38,3.36,23265476
2017-03-08,3.29,3.4,3.3,3.4,18683669
2017-03-09,3.31,3.39,3.4,3.3,19538754
2017-03-10,3.52,3.53,3.44,3.45,58317348
2017-03-13,3.59,3.48,3.33,3.36,23079458
2017-03-14,3.37,3.4,3.39,3.37,20238995
2017-03-15,3.38,3.37,3.42,3.34,13367762
2017-03-16,3.41,3.44,3.36,3.4,27415450
2017-03-17,3.36,3.48,3.38,3.47,39682459
2017-03-20,3.46,3.45,3.39,3.43,15114538
2017-03-21,3.41,3.49,3.35,3.37,24922535
2017-03-22,3.39,3.34,3.33,3.38,20788516
2017-03-23,3.5,3.43,3.39,3.4,17844348
2017-03-24,3.4,3.32,3.34,3.34,22818587
2017-03-27,3.3,3.37,3.27,3.28,29393409
2017-03-28,3.37,3.35,3.2,3.31,15948579
2017-03-29,3.24,3.38,3.35,3.27,19993465
2017-03-30,3.3,3.4,3.29,3.22,31743296
2017-03-31,3.18,3.32,3.2,3.19,48144084
2017-04-03,3.41,3.38,3.27,3.21,23885621
2017-04-04,3.21,3.26,3.28,3.23,27664127
2017-04-05,3.21,3.24,3.17,3.22,21721154
2017-04-06,3.2,3.2,3.2,3.23,17197825
2017-04-07,3.2,3.15,3.16,3.19,19645641
2017-04-10,3.26,3.2,3.2,3.28,15666272
2017-04-11,3.3,3.31,3.1,3.26,19181971
2017-04-12,3.16,3.3,3.18,3.3,12776527
2017-04-13,3.31,3.26,3.16,3.16,14410847
2017-04-17,0.0,0.0,0.0,3.25,0
2017-04-18,3.26,3.17,3.13,3.1,18706216
2017-04-19,3.2,3.17,3.15,3.25,17969828
2017-04-20,3.19,3.22,3.2,3.17,15131575
2017-04-21,3.18,3.23,3.2,3.24,17812922
2017-04-24,3.26,3.33,3.1,3.24,14636683
2017-04-25,3.18,3.2,3.23,3.27,19198289
2017-04-26,3.28,3.21,3.2,3.1,22295386
2017-04-27,3.1,3.23,3.15,3.11,16728522
2017-04-28,3.18,3.14,3.14,3.1,21081434
2017-05-01,0.0,0.0,0.0,3.07,0
2017-05-02,3.12,3.09,3.03,3.03,22671033
2017-05-03,3.1,3.07,3.07,3.11,13374573
2017-05-04,3.07,3.09,3.12,3.08,21015397
2017-05-05,3.19,3.1,3.07,3.2,14307077
2017-05-08,3.2,3.17,3.2,3.07,17699270
2017-05-09,3.18,3.21,3.14,3.13,18740496
2017-05-10,3.22,3.26,3.07,3.13,22786693
2017-05-11,3.26,3.15,3.06,3.04,57797627
2017-05-12,3.07,3.19,3.0,3.09,34936405
2017-05-15,3.09,3.18,3.15,3.14,20327272
2017-05-16,3.19,3.1,3.0,3.1,28989984
2017-05-17,3.13,3.12,3.14,3.2,17040898
2017-05-18,3.2,3.27,3.15,3.16,21400045
2017-05-19,3.2,3.27,3.17,3.25,20598063
2017-05-22,3.2,3.27,3.17,3.25,19935377
2017-05-23,3.23,3.23,3.13,3.24,16508993
2017-05-24,3.28,3.25,3.22,3.17,21095319
2017-05-25,3.11,3.21,3.15,3.22,29622235
2017-05-26,3.24,3.32,3.1,3.19,26378495
2017-05-30,3.25,3.2,3.16,3.19,20161301
2017-05-31,3.13,3.25,3.09,3.2,32123514
2017-06-01,3.2,3.2,3.1,3.13,30220042
2017-06-02,3.08,3.23,3.07,3.06,21358693
2017-06-05,3.06,3.15,3.07,3.06,15846241
2017-06-06,3.17,3.21,3.01,3.06,17654327
2017-06-07,3.08,3.15,3.01,3.06,19509560
2017-06-08,3.09,3.13,3.0,3.14,17471473
2017-06-09,3.0,3.12,2.99,2.97,29450667
2017-06-12,2.99,3.0,3.08,3.08,21204522
2017-06-13,3.0,3.0,3.01,3.02,18926298
2017-06-14,3.04,3.0,3.06,3.02,29062111
2017-06-15,2.99,2.98,2.98,3.01,16458346
