date,open,high,low,close,volume
2017-01-03,4.4,4.46,4.5,4.6,705
2017-01-04,4.5,4.4,4.5,4.6,1705
2017-01-05,4.6,4.7,4.5,4.7,2933
2017-01-06,4.61,4.6,4.69,4.59,1351
2017-01-09,4.6,4.53,4.51,4.54,15472
2017-01-10,4.48,4.54,4.61,4.7,6515
2017-01-11,4.76,4.89,4.7,4.7,12316
2017-01-12,4.7,4.7,4.58,4.57,3721
2017-01-13,4.6,4.56,4.6,4.73,16295
2017-01-17,4.58,4.69,4.47,4.6,22472
2017-01-18,4.59,4.55,4.48,4.56,11636
2017-01-19,4.5,4.61,4.5,4.64,14796
2017-01-20,4.49,4.67,4.65,4.65,2329
2017-01-23,0.0,0.0,0.0,4.62,0
2017-01-24,3.99,4.03,3.65,3.67,1094681
2017-01-25,3.63,3.85,3.67,3.63,2356832
2017-01-26,3.83,3.84,3.66,3.8,216078
2017-01-27,3.69,3.76,3.72,3.67,257550
2017-01-30,3.81,3.77,3.7,3.66,114315
2017-01-31,3.67,3.7,3.66,3.68,131851
2017-02-01,3.72,3.7,3.68,3.66,38307
2017-02-02,3.77,3.66,3.6,3.75,82854
2017-02-03,3.75,3.76,3.7,3.77,15053
2017-02-06,3.71,3.84,3.74,3.77,164856
2017-02-07,3.68,3.82,3.72,3.7,30193
2017-02-08,3.85,3.8,3.74,3.9,71236
2017-02-09,3.72,3.76,3.83,3.84,88636
2017-02-10,3.74,3.82,3.76,3.71,26114
2017-02-13,3.84,3.74,3.72,3.76,138662
2017-02-14,3.73,3.71,3.77,3.7,253570
2017-02-15,3.73,3.82,3.71,3.77,55021
2017-02-16,3.73,3.87,3.74,3.75,109934
2017-02-17,3.91,3.76,3.8,3.92,76279
2017-02-21,4.05,4.04,3.83,3.89,71182
2017-02-22,3.92,4.12,4.02,3.95,83675
2017-02-23,4.03,4.0,4.06,4.0,176932
2017-02-24,4.08,4.16,3.97,4.09,73347
2017-02-27,4.0,4.04,3.9,3.97,59504
2017-02-28,3.9,4.1,3.95,3.9,19912
2017-03-01,4.0,4.0,3.99,3.98,63378
2017-03-02,4.0,4.14,3.97,4.11,24022
2017-03-03,4.02,3.95,3.88,3.94,27246
2017-03-06,4.05,4.07,4.02,4.07,21455
2017-03-07,3.91,4.0,3.98,3.99,11381
2017-03-08,3.88,3.99,4.0,3.87,125321
2017-03-09,3.9,4.0,3.86,4.01,35003
2017-03-10,3.96,4.0,4.02,4.07,123573
2017-03-13,4.04,4.11,3.84,3.9,6949
2017-03-14,4.01,3.97,3.98,4.0,4172
2017-03-15,4.01,3.9,3.89,3.93,32904
2017-03-16,4.04,3.98,3.88,3.91,29975
2017-03-17,3.89,4.0,3.97,4.05,19048
2017-03-20,4.11,4.05,3.94,3.92,7474
2017-03-21,4.04,4.0,3.81,3.86,12137
2017-03-22,3.96,3.97,3.87,3.98,60672
2017-03-23,3.8,3.97,3.9,3.99,10913
2017-03-24,3.84,3.85,3.84,3.85,10043
