date,open,high,low,close,volume
2017-01-03,0.0,0.0,0.0,1.83,0
2017-01-04,0.0,0.0,0.0,1.82,0
2017-01-05,0.0,0.0,0.0,1.87,0
2017-01-06,0.0,0.0,0.0,1.83,0
2017-01-09,0.0,0.0,0.0,1.83,0
2017-01-10,0.0,0.0,0.0,1.83,0
2017-01-11,0.0,0.0,0.0,1.81,0
2017-01-12,0.0,0.0,0.0,1.9,0
2017-01-13,0.0,0.0,0.0,1.83,0
2017-01-17,0.0,0.0,0.0,1.84,0
2017-01-18,0.0,0.0,0.0,1.83,0
2017-01-19,0.0,0.0,0.0,1.89,0
2017-01-20,0.0,0.0,0.0,1.87,0
2017-01-23,0.0,0.0,0.0,1.84,0
2017-01-24,0.0,0.0,0.0,1.84,0
2017-01-25,0.0,0.0,0.0,1.81,0
2017-01-26,0.0,0.0,0.0,1.82,0
2017-01-27,0.0,0.0,0.0,1.85,0
2017-01-30,0.0,0.0,0.0,1.84,0
2017-01-31,0.0,0.0,0.0,1.81,0
2017-02-01,0.0,0.0,0.0,1.86,0
2017-02-02,0.0,0.0,0.0,1.87,0
2017-02-03,0.0,0.0,0.0,1.87,0
2017-02-06,0.0,0.0,0.0,1.84,0
2017-02-07,0.0,0.0,0.0,1.87,0
2017-02-08,0.0,0.0,0.0,1.86,0
2017-02-09,0.0,0.0,0.0,1.83,0
2017-02-10,0.0,0.0,0.0,1.88,0
2017-02-13,0.0,0.0,0.0,1.88,0
2017-03-15,1.83,1.8,1.78,1.81,2736
2017-03-16,0.0,0.0,0.0,1.78,0
2017-03-17,1.9,1.8,1.8,1.9,505
2017-03-20,0.0,0.0,0.0,1.8,0
2017-03-21,0.0,0.0,0.0,1.9,0
2017-03-22,0.0,0.0,0.0,1.8,0
2017-03-23,0.0,0.0,0.0,1.8,0
2017-03-24,0.0,0.0,0.0,1.8,0
2017-03-27,0.0,0.0,0.0,1.9,0
2017-03-28,0.0,0.0,0.0,1.9,0
2017-03-29,0.0,0.0,0.0,1.9,0
2017-03-30,0.0,0.0,0.0,1.8,0
2017-03-31,0.0,0.0,0.0,1.9,0
2017-04-03,0.0,0.0,0.0,1.8,0
2017-04-04,0.0,0.0,0.0,1.8,0
2017-04-05,0.0,0.0,0.0,1.8,0
2017-04-06,1.87,1.94,1.88,1.91,2025
2017-04-07,0.0,0.0,0.0,1.87,0
2017-04-10,0.0,0.0,0.0,1.86,0
2017-04-11,0.0,0.0,0.0,1.87,0
2017-04-12,0.0,0.0,0.0,1.89,0
2017-04-13,0.0,0.0,0.0,1.92,0
2017-04-17,0.0,0.0,0.0,1.94,0
