date,open,high,low,close,volume
2017-01-03,0.034,0.034,0.0328,0.0334,105018
2017-01-04,0.034,0.034,0.034,0.034,60740
2017-01-05,0.0342,0.0412,0.0338,0.0398,39337
2017-01-06,0.039,0.038,0.0293,0.0289,138706
2017-01-09,0.029,0.029,0.029,0.028,254
2017-01-10,0.029,0.029,0.029,0.029,51866
2017-01-11,0.03,0.036,0.029,0.029,181647
2017-01-12,0.03,0.03,0.03,0.03,12515
2017-01-13,0.03,0.03,0.03,0.03,50011
2017-01-17,0.03,0.0413,0.0294,0.03,313098
2017-01-18,0.03,0.058,0.0294,0.03,468125
2017-01-19,0.0316,0.0409,0.028,0.03,205486
2017-01-20,0.0319,0.04,0.029,0.03,418075
2017-01-23,0.03,0.039,0.0298,0.03,165723
2017-01-24,0.03,0.0393,0.0311,0.039,71351
2017-01-25,0.03,0.03,0.028,0.029,711374
2017-01-26,0.0302,0.03,0.029,0.029,221968
2017-01-27,0.029,0.029,0.029,0.029,60348
2017-01-30,0.03,0.03,0.03,0.03,10290
2017-01-31,0.03,0.03,0.0308,0.0309,18700
2017-02-01,0.027,0.027,0.026,0.027,50318
2017-02-02,0.031,0.0309,0.0311,0.0306,54119
2017-02-03,0.0,0.0,0.0,0.0311,0
2017-02-06,0.0311,0.0305,0.0232,0.027,187823
2017-02-07,0.0226,0.026,0.0226,0.023,54453
2017-02-08,0.0,0.0,0.0,0.023,0
2017-02-09,0.026,0.027,0.027,0.026,145869
2017-02-10,0.027,0.026,0.0222,0.0226,321730
2017-02-13,0.0,0.0,0.0,0.0221,0
2017-02-14,0.0298,0.0307,0.023,0.0298,90729
2017-02-15,0.0,0.0,0.0,0.03,0
2017-02-16,0.0305,0.0307,0.026,0.0263,209294
2017-02-17,0.0,0.0,0.0,0.0263,0
2017-02-21,0.0298,0.0304,0.0306,0.0298,24166
2017-02-22,0.0,0.0,0.0,0.0304,0
2017-02-23,0.0303,0.03,0.0263,0.026,34592
2017-02-24,0.0,0.0,0.0,0.026,0
2017-02-27,0.0,0.0,0.0,0.0265,0
2017-02-28,0.0,0.0,0.0,0.0255,0
2017-03-01,0.0,0.0,0.0,0.026,0
2017-03-02,0.0263,0.0257,0.0263,0.0259,24260
2017-03-03,0.03,0.03,0.029,0.03,87970
2017-03-06,0.0302,0.03,0.0303,0.0299,318676
2017-03-07,0.0258,0.0256,0.024,0.024,190461
2017-03-08,0.028,0.028,0.028,0.027,18573
2017-03-09,0.0,0.0,0.0,0.027,0
2017-03-10,0.027,0.026,0.0259,0.0261,44821
2017-03-13,0.029,0.03,0.03,0.03,6086
2017-03-14,0.0301,0.0304,0.0305,0.0309,9049
2017-03-15,0.025,0.03,0.0242,0.03,56867
2017-03-16,0.0,0.0,0.0,0.03,0
2017-03-17,0.0228,0.027,0.023,0.027,9062
2017-03-20,0.025,0.026,0.025,0.026,3121
2017-03-21,0.026,0.025,0.026,0.025,124286
2017-03-22,0.0,0.0,0.0,0.025,0
2017-03-23,0.0256,0.0267,0.0255,0.0259,25911
2017-03-24,0.0,0.0,0.0,0.0259,0
2017-03-27,0.0,0.0,0.0,0.0259,0
2017-03-28,0.0,0.0,0.0,0.0263,0
2017-03-29,0.0287,0.0282,0.0282,0.0277,20181
2017-03-30,0.0,0.0,0.0,0.0285,0
2017-03-31,0.0266,0.0275,0.026,0.026,57560
2017-04-03,0.0225,0.0256,0.0231,0.026,65395
2017-04-04,0.0224,0.0272,0.0223,0.0273,57837
2017-04-05,0.0,0.0,0.0,0.0277,0
2017-04-06,0.0,0.0,0.0,0.0278,0
2017-04-07,0.0,0.0,0.0,0.0268,0
2017-04-10,0.0,0.0,0.0,0.0274,0
2017-04-11,0.03,0.03,0.0268,0.0277,45267
2017-04-12,0.0,0.0,0.0,0.0271,0
2017-04-13,0.0,0.0,0.0,0.0269,0
2017-04-17,0.0265,0.03,0.0272,0.0274,118787
2017-04-18,0.0268,0.0275,0.027,0.0275,5781
2017-04-19,0.0261,0.0269,0.0264,0.0265,520
2017-04-20,0.0,0.0,0.0,0.0259,0
2017-04-21,0.025,0.0256,0.025,0.024,354453
2017-04-24,0.026,0.0255,0.026,0.0252,54595
2017-04-25,0.026,0.025,0.026,0.026,42735
2017-04-26,0.026,0.025,0.026,0.026,114840
2017-04-27,0.026,0.03,0.026,0.026,610816
2017-04-28,0.027,0.027,0.027,0.027,62825
2017-05-01,0.0,0.0,0.0,0.026,0
2017-05-02,0.027,0.027,0.026,0.027,19953
2017-05-03,0.027,0.03,0.027,0.03,28120
2017-05-04,0.026,0.026,0.026,0.025,31818
2017-05-05,0.0261,0.025,0.0252,0.025,37842
2017-05-08,0.03,0.03,0.0231,0.0236,10853
2017-05-09,0.0,0.0,0.0,0.0233,0
2017-05-10,0.0,0.0,0.0,0.0234,0
2017-05-11,0.0227,0.024,0.0231,0.024,55558
2017-05-12,0.0301,0.03,0.025,0.026,52033
2017-05-15,0.025,0.026,0.025,0.026,377952
2017-05-16,0.0,0.0,0.0,0.026,0
2017-05-17,0.024,0.025,0.024,0.025,1042
2017-05-18,0.0,0.0,0.0,0.024,0
2017-05-19,0.0,0.0,0.0,0.025,0
2017-05-22,0.0,0.0,0.0,0.024,0
2017-05-23,0.0236,0.0229,0.0228,0.0232,10885
2017-05-24,0.0,0.0,0.0,0.0232,0
2017-05-25,0.0,0.0,0.0,0.0234,0
2017-05-26,0.03,0.03,0.0304,0.0306,3623
2017-05-30,0.03,0.0299,0.029,0.03,13139
2017-05-31,0.0,0.0,0.0,0.029,0
2017-06-01,0.023,0.0232,0.023,0.0227,115536
2017-06-02,0.0237,0.0285,0.0235,0.028,65863
2017-06-05,0.029,0.029,0.028,0.029,1827
2017-06-06,0.0,0.0,0.0,0.028,0
2017-06-07,0.0,0.0,0.0,0.029,0
2017-06-08,0.029,0.029,0.0219,0.0216,52280
2017-06-09,0.0,0.0,0.0,0.0212,0
2017-06-12,0.022,0.022,0.022,0.023,54104
2017-06-13,0.0,0.0,0.0,0.022,0
2017-06-14,0.0,0.0,0.0,0.023,0
2017-06-15,0.0,0.0,0.0,0.023,0
2017-06-16,0.023,0.0288,0.022,0.0279,68169
2017-06-19,0.0,0.0,0.0,0.0285,0
2017-06-20,0.0,0.0,0.0,0.028,0
2017-06-21,0.0,0.0,0.0,0.0284,0
2017-06-22,0.0,0.0,0.0,0.0285,0
2017-06-23,0.0,0.0,0.0,0.0291,0
2017-06-26,0.0,0.0,0.0,0.0288,0
2017-06-27,0.0231,0.0232,0.018,0.0186,98325
2017-06-28,0.017,0.018,0.017,0.017,7517
2017-06-29,0.0037,0.0213,0.0035,0.021,22476
2017-06-30,0.0278,0.0287,0.0273,0.0273,19338
2017-07-03,0.028,0.03,0.028,0.03,32933
2017-07-05,0.0,0.0,0.0,0.03,0
2017-07-06,0.0,0.0,0.0,0.03,0
2017-07-07,0.0293,0.03,0.0303,0.029,2214
2017-07-10,0.0224,0.0227,0.0179,0.0228,48624
2017-07-11,0.0287,0.0285,0.0234,0.023,34138
2017-07-12,0.0,0.0,0.0,0.0233,0
2017-07-13,0.0,0.0,0.0,0.0223,0
2017-07-14,0.0,0.0,0.0,0.0228,0
