date,open,high,low,close,volume
2017-01-03,54.8,54.98,53.72,55.37,713587
2017-01-04,53.45,54.92,55.41,54.97,534791
2017-01-05,54.64,57.43,55.03,57.55,1155105
2017-01-06,55.13,54.67,55.81,54.51,789837
2017-01-09,56.28,56.26,55.52,56.5,430063
2017-01-10,55.8,55.69,55.16,56.39,454072
2017-01-11,56.68,57.29,57.0,57.24,490848
2017-01-12,56.11,56.25,54.56,55.6,493569
2017-01-13,57.0,56.68,57.25,57.37,510849
2017-01-17,55.27,55.47,57.42,55.34,755447
2017-01-18,57.71,55.95,56.26,55.71,568307
2017-01-19,58.23,55.78,57.18,55.58,411892
2017-01-20,56.23,58.5,57.25,57.8,422507
2017-01-23,58.22,57.13,55.7,57.95,478077
2017-01-24,56.82,57.88,57.68,56.6,647217
2017-01-25,57.75,58.94,56.9,57.12,625006
2017-01-26,58.82,57.33,57.01,57.49,512250
2017-01-27,57.5,58.14,57.26,58.21,539036
2017-01-30,57.67,57.75,57.0,57.53,415668
2017-01-31,59.4,58.92,58.3,59.0,672578
2017-02-01,57.6,60.05,57.58,58.14,534909
2017-02-02,58.15,59.02,57.11,57.11,486958
2017-02-03,58.15,58.52,57.34,58.31,1048520
2017-02-06,58.24,59.25,57.0,57.83,431169
2017-02-07,57.11,58.37,59.0,57.73,332043
2017-02-08,57.18,57.98,57.4,57.28,352712
2017-02-09,57.63,58.67,58.32,57.15,794530
2017-02-10,57.45,59.93,57.81,58.05,426447
2017-02-13,58.62,60.1,58.45,60.23,360483
2017-02-14,58.8,57.09,58.38,57.2,533425
2017-02-15,57.65,57.95,58.88,57.82,480370
2017-02-16,59.0,57.6,58.68,57.24,509686
2017-02-17,56.63,56.45,56.13,56.15,457688
2017-02-21,56.45,57.92,58.0,58.82,571410
2017-02-22,58.96,56.9,59.03,58.3,318958
2017-02-23,57.09,57.29,57.25,58.74,1009354
2017-02-24,55.99,57.14,58.32,56.45,661751
2017-02-27,58.14,56.42,58.05,57.42,556160
2017-02-28,57.46,57.11,56.21,55.29,488841
2017-03-01,58.07,56.01,56.7,57.95,471110
2017-03-02,55.16,55.32,56.55,55.48,852610
2017-03-03,57.7,57.76,55.19,56.44,1353194
2017-03-06,56.79,57.61,55.71,56.9,467206
2017-03-07,55.63,56.33,56.3,55.49,461321
2017-03-08,56.72,55.61,55.11,56.98,418662
2017-03-09,55.78,55.21,56.02,56.64,571795
2017-03-10,55.9,55.35,55.56,56.79,513021
2017-03-13,55.11,56.23,55.63,55.15,540356
2017-03-14,57.05,55.47,56.57,54.97,596054
2017-03-15,55.72,57.06,56.2,56.2,818838
2017-03-16,57.05,57.32,57.56,57.68,811314
2017-03-17,58.0,58.05,58.52,57.06,985564
2017-03-20,60.35,59.91,60.32,59.4,946468
2017-03-21,58.55,59.76,59.06,58.96,1041470
2017-03-22,59.88,60.61,60.01,58.66,670326
2017-03-23,58.92,59.4,58.73,57.28,1222639
2017-03-24,57.3,58.7,56.95,58.0,1263216
2017-03-27,57.64,57.37,57.48,57.98,851867
2017-03-28,58.15,56.63,56.05,57.88,1615144
2017-03-29,55.97,58.16,57.2,56.18,645420
2017-03-30,57.64,55.86,56.5,55.89,625280
2017-03-31,57.51,57.52,55.77,55.49,965058
2017-04-03,56.6,55.7,57.77,57.84,632312
2017-04-04,57.27,58.25,55.85,58.38,432301
2017-04-05,58.04,56.24,56.59,57.15,643143
2017-04-06,57.55,57.0,56.85,57.49,442385
2017-04-07,56.35,57.71,57.0,56.56,484668
2017-04-10,56.19,56.6,55.06,57.31,357675
2017-04-11,57.2,55.38,55.37,57.06,623758
2017-04-12,57.15,55.43,56.98,57.01,387461
2017-04-13,54.57,56.27,56.82,55.9,331061
2017-04-17,55.29,56.65,54.66,55.11,405707
2017-04-18,56.22,54.89,54.88,55.7,489277
2017-04-19,54.09,55.49,53.8,54.52,462223
2017-04-20,56.63,54.98,55.98,55.17,473004
2017-04-21,55.21,56.51,56.1,56.38,355242
2017-04-24,55.24,54.0,54.27,53.41,1062887
2017-04-25,54.16,54.81,55.98,55.72,486651
2017-04-26,54.05,56.12,55.3,54.75,380825
2017-04-27,55.7,54.12,55.52,55.5,568622
2017-04-28,55.72,56.01,55.0,53.85,602814
2017-05-01,54.75,53.94,54.43,53.53,583034
2017-05-02,54.61,55.5,53.32,53.6,462201
2017-05-03,54.51,53.57,53.54,53.37,592810
2017-05-04,54.84,56.0,53.75,54.72,647139
2017-05-05,54.78,54.78,56.07,56.61,704490
2017-05-08,56.3,54.9,56.05,54.85,459304
2017-05-09,56.17,56.46,55.93,55.0,463398
2017-05-10,55.65,55.84,54.84,57.47,455302
2017-05-11,56.49,56.98,55.24,57.3,425256
2017-05-12,56.6,57.03,56.1,57.23,1231074
2017-05-15,56.3,56.27,56.49,55.99,872517
2017-05-16,57.67,56.1,57.5,55.8,521084
2017-05-17,57.51,56.12,55.58,54.89,673569
2017-05-18,55.91,56.47,56.03,55.69,424106
2017-05-19,56.91,56.87,56.02,56.49,513939
2017-05-22,57.96,56.63,58.08,56.65,352771
2017-05-23,58.4,57.32,56.4,58.39,487953
2017-05-24,57.56,58.3,58.12,58.46,462051
2017-05-25,58.31,58.6,56.69,58.37,344443
2017-05-26,56.2,56.7,57.33,56.35,398748
2017-05-30,56.74,55.83,57.87,56.84,503746
2017-05-31,57.49,55.58,54.99,57.28,565323
2017-06-01,57.8,55.9,56.44,57.35,355760
2017-06-02,56.0,56.76,56.15,57.51,756381
2017-06-05,56.0,55.85,56.89,55.72,435548
2017-06-06,56.33,57.0,56.3,57.17,303804
2017-06-07,55.41,57.25,54.89,56.17,297151
2017-06-08,55.7,55.33,56.45,54.94,390772
2017-06-09,56.05,56.35,54.77,54.84,509461
2017-06-12,55.06,55.18,54.38,54.41,463680
2017-06-13,54.44,55.69,55.27,53.86,337379
2017-06-14,53.93,56.13,55.65,53.96,366472
2017-06-15,55.38,54.75,54.79,55.93,592429
2017-06-16,55.9,56.06,55.75,55.88,400285
2017-06-19,54.54,54.74,54.78,56.1,692798
2017-06-20,54.89,54.71,53.47,55.5,404393
2017-06-21,54.72,53.91,53.6,53.71,430925
2017-06-22,56.48,54.69,55.87,55.88,379813
2017-06-23,54.13,53.7,55.1,55.86,453397
2017-06-26,55.47,55.12,55.71,54.33,432450
2017-06-27,54.01,56.2,53.53,54.55,576102
2017-06-28,54.47,53.79,54.66,54.8,409530
2017-06-29,55.43,55.54,52.55,53.09,621110
2017-06-30,54.2,54.12,53.29,53.11,328506
2017-07-03,53.53,54.96,55.55,53.8,225403
2017-07-05,52.69,53.61,54.0,53.53,1009888
2017-07-06,54.15,51.72,52.6,53.06,693694
2017-07-07,52.68,53.85,52.03,53.47,479197
2017-07-10,52.69,53.46,51.75,53.7,432361
2017-07-11,53.81,52.0,52.52,52.78,381597
2017-07-12,52.0,53.95,52.63,53.39,560914
2017-07-13,54.73,53.18,52.5,52.92,428517
2017-07-14,52.93,54.63,55.18,54.77,419757
2017-07-17,54.0,53.85,53.29,54.35,547435
2017-07-18,54.57,53.4,53.0,54.29,452627
2017-07-19,55.56,55.9,54.34,55.9,583784
2017-07-20,54.4,55.83,54.64,54.01,469787
2017-07-21,55.5,56.26,55.28,55.76,2393814
2017-07-24,55.37,56.19,55.57,54.7,1735259
2017-07-25,54.0,56.0,54.71,54.78,1271257
2017-07-26,55.37,53.97,53.57,55.02,398948
2017-07-27,54.87,53.8,53.65,53.58,685536
2017-07-28,54.66,54.24,54.22,54.91,491247
2017-07-31,53.71,54.8,54.17,54.34,466860
2017-08-01,53.8,53.72,55.24,54.76,433784
2017-08-02,55.19,55.3,54.7,54.77,371088
2017-08-03,55.29,54.89,55.9,54.74,468579
2017-08-04,55.08,53.59,53.96,55.37,334421
2017-08-07,55.5,55.06,55.24,55.46,218920
