date,open,high,low,close,volume
2017-01-03,10.74,10.9,11.03,11.03,352
2017-01-04,10.53,11.06,10.68,11.1,4161
2017-01-05,10.88,11.31,10.76,10.89,152424
2017-01-06,10.71,11.04,11.17,10.88,869
2017-01-09,10.8,10.7,10.9,10.7,756
2017-01-10,10.96,11.3,11.12,10.86,384
2017-01-11,10.81,11.45,11.27,11.29,2162
2017-01-12,0.0,0.0,0.0,11.09,37
2017-01-13,11.2,11.22,11.11,11.15,12541
2017-01-17,11.27,11.15,11.16,11.21,1961
2017-01-18,0.0,0.0,0.0,11.09,25
2017-01-19,11.47,11.53,11.43,11.15,344
2017-01-20,11.17,11.4,11.15,11.28,255
2017-01-23,11.35,11.43,11.13,11.15,577
2017-01-24,11.27,11.2,11.23,11.43,647
2017-01-25,11.5,11.2,11.3,11.4,2319
2017-01-26,11.28,11.53,11.69,11.49,3059
2017-01-27,11.17,11.58,11.66,11.23,354
2017-01-30,11.67,11.49,11.29,11.6,1870
2017-01-31,11.45,11.54,10.85,10.87,1205
2017-02-01,0.0,0.0,0.0,10.88,2139
2017-02-02,0.0,0.0,0.0,11.27,0
2017-02-03,0.0,0.0,0.0,11.21,0
2017-02-06,0.0,0.0,0.0,10.98,0
2017-02-07,11.73,11.41,11.67,11.19,2048
2017-02-08,11.3,11.5,11.7,11.5,2366
2017-02-09,11.53,11.48,11.58,11.77,715
2017-02-10,11.34,11.57,11.57,11.31,290
2017-02-13,11.92,11.47,11.82,11.48,103
2017-02-14,11.57,11.6,11.55,11.36,342
2017-02-15,11.47,11.35,11.25,11.24,281
2017-02-16,11.57,11.14,11.28,11.31,1224
2017-02-17,11.32,10.88,10.89,11.02,465
2017-02-21,11.35,11.57,11.39,11.05,1410
2017-02-22,0.0,0.0,0.0,11.35,101
2017-02-23,11.16,11.62,11.22,11.52,6005
2017-02-24,0.0,0.0,0.0,11.6,12
2017-02-27,0.0,0.0,0.0,11.43,0
2017-02-28,11.29,11.3,10.8,11.2,467
2017-03-01,11.14,11.14,11.3,11.3,1366
2017-03-02,10.9,11.04,10.86,11.06,2251
2017-03-03,11.06,11.36,10.93,10.76,1132
2017-03-06,11.47,11.23,10.94,11.2,3464
2017-03-07,12.0,11.0,11.0,11.0,2998
2017-03-08,11.3,11.29,11.3,11.48,3397
2017-03-09,11.49,11.35,11.4,11.2,1419
2017-03-10,11.3,11.2,11.2,11.2,104
2017-03-13,10.91,10.97,11.1,11.05,1758
2017-03-14,11.25,10.85,11.14,10.85,888
2017-03-15,11.07,11.13,11.02,10.84,1341
2017-03-16,11.32,11.14,11.39,11.24,1772
2017-03-17,0.0,0.0,0.0,11.16,49
2017-03-20,11.84,12.07,11.85,11.8,795
2017-03-21,11.7,12.1,11.82,12.08,828
2017-03-22,0.0,0.0,0.0,11.65,114
2017-03-23,11.4,11.88,11.3,11.4,1532
2017-03-24,11.58,11.29,11.63,11.6,4043
2017-03-27,11.21,11.38,11.22,11.1,1603
2017-03-28,11.23,11.2,11.14,11.25,606
2017-03-29,11.41,11.35,11.33,11.41,745
2017-03-30,0.0,0.0,0.0,11.16,23
2017-03-31,10.89,10.95,10.91,11.22,163
2017-04-03,11.19,11.11,11.15,11.12,3587
2017-04-04,11.06,11.23,11.25,11.18,733
2017-04-05,11.44,11.36,11.2,11.34,1770
2017-04-06,11.55,11.6,11.3,11.3,2115
2017-04-07,0.0,0.0,0.0,11.0,0
2017-04-10,0.0,0.0,0.0,11.3,0
2017-04-11,11.27,11.25,11.09,11.09,1708
2017-04-12,11.45,11.0,10.91,11.13,8463
2017-04-13,0.0,0.0,0.0,11.12,0
2017-04-17,11.0,11.35,10.9,11.35,1767
2017-04-18,11.27,10.98,11.13,11.07,3668
2017-04-19,0.0,0.0,0.0,10.89,0
2017-04-20,11.07,10.94,11.33,11.33,100
2017-04-21,11.06,10.88,10.84,10.91,8465
2017-04-24,10.83,11.25,10.99,11.11,1633
2017-04-25,10.74,11.03,10.77,10.72,2174
2017-04-26,10.71,11.2,11.22,10.8,2070
2017-04-27,0.0,0.0,0.0,11.18,1877
2017-04-28,10.81,10.88,11.14,11.05,321
2017-05-01,11.02,11.06,10.56,10.82,3317
2017-05-02,11.13,11.24,10.71,10.83,1791
2017-05-03,10.93,10.89,10.94,10.71,1727
2017-05-04,11.18,10.71,10.67,10.69,238
2017-05-05,11.03,11.08,10.78,10.78,1164
2017-05-08,0.0,0.0,0.0,10.98,0
2017-05-09,0.0,0.0,0.0,10.85,0
2017-05-10,11.1,11.1,10.92,11.07,901
2017-05-11,11.28,11.26,11.12,11.14,4470
2017-05-12,10.93,11.1,10.91,11.3,2170
2017-05-15,11.37,11.15,11.15,11.17,50703
2017-05-16,11.12,11.05,11.14,11.14,689
2017-05-17,11.13,11.34,11.3,11.33,178
2017-05-18,11.34,11.28,10.9,11.0,566
2017-05-19,11.01,11.29,10.95,11.53,1368
2017-05-22,0.0,0.0,0.0,11.1,31
2017-05-23,11.6,11.6,11.39,11.39,1701
2017-05-24,11.08,11.32,11.13,11.29,175
2017-05-25,11.67,11.3,11.0,11.0,4487
2017-05-26,11.14,11.36,11.26,11.17,21967
2017-05-30,11.18,11.37,11.55,11.26,183
2017-05-31,11.6,11.39,11.51,11.36,6530
2017-06-01,11.4,11.15,11.24,11.26,547
2017-06-02,11.0,11.03,10.98,11.07,2277
2017-06-05,10.81,10.91,11.29,11.08,3435
2017-06-06,11.0,11.4,10.85,11.09,341
2017-06-07,11.19,10.99,10.9,11.0,1006
2017-06-08,0.0,0.0,0.0,10.9,0
2017-06-09,11.07,11.09,10.89,11.01,552
2017-06-12,0.0,0.0,0.0,10.77,0
2017-06-13,0.0,0.0,0.0,10.81,0
2017-06-14,0.0,0.0,0.0,10.7,0
2017-06-15,0.0,0.0,0.0,11.03,0
2017-06-16,0.0,0.0,0.0,10.66,0
2017-06-19,0.0,0.0,0.0,10.85,0
2017-06-20,11.21,11.32,10.81,10.9,201
2017-06-21,10.66,10.91,10.87,10.69,445
2017-06-22,0.0,0.0,0.0,10.76,0
2017-06-23,0.0,0.0,0.0,11.01,0
2017-06-26,10.63,10.71,10.94,10.79,121
2017-06-27,0.0,0.0,0.0,10.77,4120
2017-06-28,10.82,10.58,10.93,10.87,467
2017-06-29,11.14,10.99,10.69,10.53,4181
2017-06-30,10.95,10.85,10.73,10.65,1163
2017-07-03,0.0,0.0,0.0,10.73,0
2017-07-05,11.02,10.86,10.98,10.59,207
2017-07-06,10.43,10.49,10.44,10.7,103
2017-07-07,10.3,10.7,10.26,10.28,1046
2017-07-10,11.02,10.92,10.6,10.3,808
2017-07-11,0.0,0.0,0.0,10.6,0
2017-07-12,0.0,0.0,0.0,10.4,1061
2017-07-13,0.0,0.0,0.0,10.2,3341
2017-07-14,0.0,0.0,0.0,10.5,0
2017-07-17,10.96,10.73,10.98,10.5,1083
2017-07-18,0.0,0.0,0.0,10.65,15467
2017-07-19,0.0,0.0,0.0,10.74,1887
2017-07-20,10.9,11.1,11.1,10.9,390
2017-07-21,0.0,0.0,0.0,10.6,31
2017-07-24,11.16,11.0,10.78,11.4,1365
2017-07-25,0.0,0.0,0.0,11.0,0
2017-07-26,11.24,11.3,11.11,11.33,113
2017-07-27,11.15,11.0,11.29,10.89,515
