date,open,high,low,close,volume
2017-01-03,13.6,13.8,13.5,13.9,2122
2017-01-04,14.47,14.11,13.84,13.86,2581
2017-01-05,14.45,14.64,14.31,14.42,944
2017-01-06,14.53,14.6,14.14,14.5,281
2017-01-09,14.6,14.64,14.7,14.64,1483
2017-01-10,14.22,14.24,14.19,14.42,306
2017-01-11,14.07,14.82,14.59,14.08,1224
2017-01-12,14.62,14.81,14.45,14.38,638
2017-01-13,14.62,14.65,14.52,14.28,1835
2017-01-17,14.85,15.15,14.74,14.54,1118
2017-01-18,15.09,14.7,14.93,14.65,969
2017-01-19,0.0,0.0,0.0,14.7,224
2017-01-20,14.99,14.83,14.6,14.75,935
2017-01-23,15.2,14.81,14.95,15.39,1889
2017-01-24,0.0,0.0,0.0,15.07,191
2017-01-25,15.45,15.75,15.23,15.6,4596
2017-01-26,15.08,15.25,15.28,15.63,303
2017-01-27,0.0,0.0,0.0,15.36,82
2017-01-30,14.67,15.14,14.79,15.65,689
2017-01-31,15.47,14.79,14.97,14.87,213
2017-02-01,15.45,15.73,15.39,14.95,1923
2017-02-02,15.73,15.18,15.42,15.46,459
2017-02-03,0.0,0.0,0.0,15.33,86
2017-02-06,15.14,15.74,15.07,15.68,493
2017-02-07,15.37,15.6,15.29,15.4,4175
2017-02-08,0.0,0.0,0.0,15.8,1
2017-02-09,16.25,16.11,15.78,15.59,401
2017-02-10,15.75,16.0,15.57,15.32,3074
2017-02-13,0.0,0.0,0.0,15.56,69
2017-02-14,15.76,15.5,15.81,15.72,104
2017-02-15,15.57,15.48,15.24,15.49,205
2017-02-16,15.4,15.05,15.02,15.4,270
2017-02-17,14.69,15.02,15.0,14.81,431
2017-02-21,14.8,14.43,14.86,14.43,1600
2017-02-22,14.6,14.57,14.56,14.59,644
2017-02-23,14.32,14.71,14.26,14.82,1485
2017-02-24,14.72,14.57,14.75,14.51,1344
2017-02-27,14.7,14.8,14.38,14.67,1563
2017-02-28,15.27,14.84,14.74,15.28,838
2017-03-01,15.06,15.28,14.82,15.02,478
2017-03-02,14.5,14.78,14.53,14.6,250
2017-03-03,14.47,14.52,14.71,14.72,128
2017-03-06,14.0,14.0,13.9,14.5,14660
2017-03-07,14.4,13.82,13.9,13.8,3050
2017-03-08,14.2,13.99,14.1,14.2,2473
2017-03-09,14.3,14.48,14.01,14.05,132
2017-03-10,0.0,0.0,0.0,13.87,119
2017-03-13,13.81,14.0,14.32,14.32,1528
2017-03-14,14.68,14.29,14.46,14.08,613
2017-03-15,14.1,14.53,14.2,14.6,1268
2017-03-16,14.82,14.55,14.17,14.24,4597
2017-03-17,0.0,0.0,0.0,14.59,266
2017-03-20,14.6,14.94,14.62,15.08,2457
2017-03-21,14.81,15.01,15.02,15.02,1090
2017-03-22,14.88,15.18,15.08,14.76,2094
2017-03-23,0.0,0.0,0.0,14.94,39
2017-03-24,14.8,14.4,14.5,14.7,1030
2017-03-27,14.54,15.3,14.66,14.83,1015
2017-03-28,15.22,15.27,14.77,15.26,768
2017-03-29,15.48,15.49,14.87,15.3,2923
2017-03-30,15.0,15.0,15.0,15.0,6353
2017-03-31,0.0,0.0,0.0,15.0,94
2017-04-03,0.0,0.0,0.0,16.0,53
2017-04-04,15.1,15.51,15.5,15.51,508
2017-04-05,15.15,15.41,15.45,15.15,269
2017-04-06,15.46,15.14,15.0,15.22,956
2017-04-07,15.3,14.9,15.1,15.0,2398
2017-04-10,15.27,15.3,15.25,14.77,1600
2017-04-11,15.12,15.32,15.05,15.4,1228
2017-04-12,0.0,0.0,0.0,15.51,37
2017-04-13,15.01,15.11,14.89,15.1,2029
2017-04-17,0.0,0.0,0.0,15.51,41
2017-04-18,15.2,15.4,15.37,15.01,628
2017-04-19,15.14,14.83,14.98,15.37,774
2017-04-20,14.89,14.61,14.84,14.88,276
2017-04-21,15.0,15.3,15.14,15.3,475
