date,open,high,low,close,volume
2017-05-19,19.2,19.17,19.2,19.17,894
2017-05-22,0.0,0.0,0.0,19.25,0
2017-05-23,0.0,0.0,0.0,18.75,0
2017-05-24,0.0,0.0,0.0,18.64,0
2017-05-25,0.0,0.0,0.0,19.16,0
2017-05-26,0.0,0.0,0.0,19.17,13225
2017-05-30,19.35,19.94,19.3,19.39,999
2017-05-31,20.27,20.02,20.56,20.18,108390
2017-06-01,20.93,20.25,20.32,20.85,898
2017-06-02,0.0,0.0,0.0,20.35,0
2017-06-05,0.0,0.0,0.0,20.42,3882
2017-06-06,0.0,0.0,0.0,20.01,0
2017-06-07,0.0,0.0,0.0,20.63,0
2017-06-08,19.93,19.22,19.66,19.43,2232
2017-06-09,0.0,0.0,0.0,20.16,0
2017-06-12,20.45,20.95,20.26,20.26,7135
2017-06-13,21.13,20.69,20.93,20.66,9753
2017-06-14,21.34,21.1,21.22,20.61,75551
2017-06-15,0.0,0.0,0.0,21.27,329
2017-06-16,21.35,21.16,21.5,20.86,1200
2017-06-19,20.8,21.19,20.69,21.55,4171
2017-06-20,21.24,21.25,21.28,20.82,597
2017-06-21,21.76,20.78,21.36,21.58,1728
2017-06-22,0.0,0.0,0.0,21.34,222
2017-06-23,20.96,20.84,20.29,20.4,219
2017-06-26,20.68,21.29,20.63,21.16,683
2017-06-27,0.0,0.0,0.0,20.85,0
2017-06-28,0.0,0.0,0.0,21.34,0
2017-06-29,20.64,19.96,20.53,20.57,2551
2017-06-30,0.0,0.0,0.0,20.05,0
2017-07-03,0.0,0.0,0.0,20.31,0
2017-07-05,0.0,0.0,0.0,20.38,0
2017-07-06,0.0,0.0,0.0,20.23,0
2017-07-07,19.82,20.46,19.78,19.85,322
2017-07-10,0.0,0.0,0.0,20.36,0
2017-07-11,19.95,19.81,20.1,20.03,647
2017-07-12,21.23,20.82,21.2,20.92,1762
2017-07-13,0.0,0.0,0.0,20.53,13
2017-07-14,21.13,20.52,20.39,20.65,108
2017-07-17,0.0,0.0,0.0,20.47,110247
2017-07-18,21.4,21.38,21.1,21.48,549
2017-07-19,0.0,0.0,0.0,21.03,0
2017-07-20,0.0,0.0,0.0,21.69,219
2017-07-21,0.0,0.0,0.0,21.7,0
2017-07-24,20.96,21.0,20.45,20.95,109
2017-07-25,0.0,0.0,0.0,21.31,2
2017-07-26,0.0,0.0,0.0,20.94,0
2017-07-27,0.0,0.0,0.0,20.48,0
2017-07-28,0.0,0.0,0.0,21.19,0
2017-07-31,0.0,0.0,0.0,20.46,0
2017-08-01,0.0,0.0,0.0,21.21,0
2017-08-02,0.0,0.0,0.0,21.28,0
2017-08-03,21.58,21.64,21.28,20.78,327
2017-08-04,0.0,0.0,0.0,20.86,5084
2017-08-07,0.0,0.0,0.0,20.99,0
2017-08-08,21.25,21.36,21.51,21.55,18330
2017-08-09,21.5,21.95,21.67,22.08,607
2017-08-10,21.11,21.49,21.71,21.52,2181
2017-08-11,0.0,0.0,0.0,21.35,0
2017-08-14,21.63,21.49,21.55,20.92,411
2017-08-15,21.19,20.46,20.95,20.92,1526
2017-08-16,0.0,0.0,0.0,20.75,0
2017-08-17,0.0,0.0,0.0,20.62,0
2017-08-18,21.19,20.74,20.8,21.11,605
2017-08-21,0.0,0.0,0.0,20.57,5
2017-08-22,20.1,20.78,19.82,20.41,662
2017-08-23,0.0,0.0,0.0,20.21,59
2017-08-24,0.0,0.0,0.0,20.45,0
2017-08-25,0.0,0.0,0.0,19.92,0
2017-08-28,0.0,0.0,0.0,19.99,3340
2017-08-29,0.0,0.0,0.0,20.06,0
2017-08-30,0.0,0.0,0.0,20.48,66
2017-08-31,0.0,0.0,0.0,19.87,0
2017-09-01,0.0,0.0,0.0,19.92,0
2017-09-05,0.0,0.0,0.0,20.46,0
2017-09-06,0.0,0.0,0.0,19.97,0
2017-09-07,0.0,0.0,0.0,20.09,0
2017-09-08,22.31,22.06,22.61,22.59,5536
2017-09-11,22.17,22.85,22.63,22.98,1505
2017-09-12,0.0,0.0,0.0,22.8,0
2017-09-13,22.75,23.16,22.96,22.82,169
2017-09-14,0.0,0.0,0.0,22.71,0
2017-09-15,22.6,22.7,22.4,22.5,3325
2017-09-18,22.11,22.69,22.48,22.55,162
2017-09-19,0.0,0.0,0.0,22.0,0
2017-09-20,0.0,0.0,0.0,21.77,57
2017-09-21,21.55,22.19,21.52,22.34,131
2017-09-22,0.0,0.0,0.0,21.72,0
2017-09-25,0.0,0.0,0.0,21.62,0
2017-09-26,22.26,22.31,21.84,22.02,428
2017-09-27,0.0,0.0,0.0,21.78,0
2017-09-28,0.0,0.0,0.0,21.98,0
