date,open,high,low,close,volume
2017-01-03,0.0,0.0,0.0,0.08,0
2017-01-04,0.0,0.0,0.0,0.08,0
2017-01-05,0.0,0.0,0.0,0.08,0
2017-01-06,0.0,0.0,0.0,0.08,0
2017-01-09,0.0,0.0,0.0,0.08,0
2017-01-10,0.0,0.0,0.0,0.08,0
2017-01-11,0.0,0.0,0.0,0.08,0
2017-01-12,0.0,0.0,0.0,0.08,0
2017-01-13,0.0,0.0,0.0,0.08,0
2017-01-17,0.0,0.0,0.0,0.08,0
2017-01-18,0.081,0.083,0.083,0.085,232
2017-01-19,0.0,0.0,0.0,0.083,0
2017-01-20,0.0,0.0,0.0,0.083,0
2017-01-23,0.0,0.0,0.0,0.084,0
2017-01-24,0.0,0.0,0.0,0.084,0
2017-01-25,0.0,0.0,0.0,0.083,0
2017-01-26,0.0,0.0,0.0,0.083,0
2017-01-27,0.07,0.07,0.07,0.07,2066
2017-01-30,0.0,0.0,0.0,0.07,0
2017-01-31,0.0,0.0,0.0,0.07,0
2017-02-01,0.07,0.07,0.07,0.07,496
2017-02-02,0.12,0.12,0.12,0.12,280
2017-02-03,0.07,0.07,0.07,0.07,516
2017-02-06,0.0,0.0,0.0,0.07,0
2017-02-07,0.0,0.0,0.0,0.07,0
2017-02-08,0.0,0.0,0.0,0.07,0
2017-02-09,0.0,0.0,0.0,0.07,0
2017-02-10,0.1,0.12,0.1,0.112,21887
2017-02-13,0.11,0.13,0.1,0.13,7229
2017-02-14,0.1,0.1,0.1,0.1,1976
2017-02-15,0.0,0.0,0.0,0.1,0
2017-02-16,0.0,0.0,0.0,0.1,0
2017-02-17,0.0,0.0,0.0,0.1,0
2017-02-21,0.117,0.118,0.115,0.117,2514
2017-02-22,0.0,0.0,0.0,0.117,0
2017-02-23,0.0,0.0,0.0,0.116,0
2017-02-24,0.0,0.0,0.0,0.115,0
2017-02-27,0.0,0.0,0.0,0.118,0
2017-02-28,0.1321,0.1327,0.1319,0.1341,510
2017-03-01,0.15,0.15,0.15,0.16,181
2017-03-02,0.0,0.0,0.0,0.15,0
2017-03-03,0.0,0.0,0.0,0.16,0
2017-03-06,0.0,0.0,0.0,0.15,0
2017-03-07,0.0,0.0,0.0,0.15,0
2017-03-08,0.0,0.0,0.0,0.16,0
2017-03-09,0.0,0.0,0.0,0.15,0
2017-03-10,0.0,0.0,0.0,0.16,0
2017-03-13,0.0,0.0,0.0,0.15,0
2017-03-14,0.0,0.0,0.0,0.15,0
2017-03-15,0.07,0.07,0.07,0.07,2272
2017-03-16,0.0,0.0,0.0,0.07,0
2017-03-17,0.106,0.107,0.1,0.1,12678
2017-03-20,0.0,0.0,0.0,0.1,0
2017-03-21,0.08,0.08,0.08,0.08,154
2017-03-22,0.08,0.08,0.08,0.08,206
2017-03-23,0.0,0.0,0.0,0.08,0
2017-03-24,0.14,0.14,0.14,0.13,367
2017-03-27,0.0,0.0,0.0,0.13,0
2017-03-28,0.0,0.0,0.0,0.14,0
2017-03-29,0.0,0.0,0.0,0.13,0
2017-03-30,0.08,0.08,0.08,0.08,272
2017-03-31,0.14,0.13,0.13,0.14,2514
2017-04-03,0.0,0.0,0.0,0.13,0
2017-04-04,0.0,0.0,0.0,0.13,0
2017-04-05,0.0,0.0,0.0,0.14,0
2017-04-06,0.0,0.0,0.0,0.13,0
2017-04-07,0.0,0.0,0.0,0.14,0
2017-04-10,0.0,0.0,0.0,0.14,0
2017-04-11,0.0,0.0,0.0,0.13,0
2017-04-12,0.0,0.0,0.0,0.14,0
2017-04-13,0.0,0.0,0.0,0.14,30
2017-04-17,0.0805,0.0835,0.0814,0.0841,172
2017-04-18,0.0,0.0,0.0,0.0818,0
2017-04-19,0.0,0.0,0.0,0.0815,0
2017-04-20,0.0,0.0,0.0,0.0823,0
2017-04-21,0.0,0.0,0.0,0.082,0
2017-04-24,0.0,0.0,0.0,0.0803,0
2017-04-25,0.0829,0.0824,0.06,0.06,15208
2017-04-26,0.0,0.0,0.0,0.06,0
2017-04-27,0.063,0.064,0.063,0.061,2894
2017-04-28,0.0,0.0,0.0,0.062,0
2017-05-01,0.0,0.0,0.0,0.063,0
2017-05-02,0.0,0.0,0.0,0.064,0
2017-05-03,0.0,0.0,0.0,0.063,0
2017-05-04,0.0,0.0,0.0,0.063,0
2017-05-05,0.0,0.0,0.0,0.061,0
2017-05-08,0.0,0.0,0.0,0.064,0
2017-05-09,0.0,0.0,0.0,0.062,0
2017-05-10,0.0,0.0,0.0,0.062,0
2017-05-11,0.0,0.0,0.0,0.064,0
2017-05-12,0.0,0.0,0.0,0.064,0
2017-05-15,0.0,0.0,0.0,0.062,0
2017-05-16,0.0,0.0,0.0,0.061,0
2017-05-17,0.0,0.0,0.0,0.063,0
2017-05-18,0.0,0.0,0.0,0.063,0
2017-05-19,0.0,0.0,0.0,0.064,0
2017-05-22,0.0,0.0,0.0,0.063,0
2017-05-23,0.0,0.0,0.0,0.064,0
2017-05-24,0.0,0.0,0.0,0.063,0
2017-05-25,0.0,0.0,0.0,0.063,0
2017-05-26,0.0,0.0,0.0,0.063,0
2017-05-30,0.0,0.0,0.0,0.063,0
2017-05-31,0.1,0.1,0.1,0.1,5076
2017-06-01,0.06,0.0618,0.0001,0.0001,39464
2017-06-02,0.02,0.1656,0.02,0.159,71083
2017-06-05,0.02,0.02,0.02,0.02,6494
