date,open,high,low,close,volume
2017-01-03,2.46,2.62,2.56,2.59,1494
2017-01-04,2.5,2.62,2.41,2.47,2504
2017-01-05,2.5,2.6,2.47,2.48,8158
2017-01-06,2.55,2.53,2.41,2.44,9071
2017-01-09,2.43,2.43,2.35,2.34,3740
2017-01-10,2.4,2.44,2.4,2.5,797
2017-01-11,2.79,2.89,2.44,2.6,1589
2017-01-12,2.6,2.6,2.39,2.59,1129
2017-01-13,2.39,2.56,2.44,2.55,816
2017-01-17,2.41,2.49,2.3,2.4,6252
2017-01-18,2.55,2.51,2.46,2.39,10427
2017-01-19,2.47,2.68,2.39,2.54,1522
2017-01-20,2.68,2.6,2.44,2.65,1882
2017-01-23,2.65,2.63,2.56,2.57,14897
2017-01-24,2.51,2.55,2.53,2.52,255
2017-01-25,2.68,2.62,2.37,2.6,1627
2017-01-26,2.58,2.59,2.48,2.65,2019
2017-01-27,2.5,2.5,2.6,2.5,503
2017-01-30,2.31,2.47,2.29,2.42,3381
2017-01-31,2.4,2.68,2.27,2.73,20859
2017-02-01,2.7,2.7,2.6,2.6,10072
2017-02-02,2.52,2.56,2.5,2.52,669
2017-02-03,2.6,2.5,2.5,2.5,104
2017-02-06,2.55,2.6,2.55,2.64,5874
2017-02-07,2.65,2.68,2.65,2.63,2062
2017-02-08,2.55,2.6,2.53,2.55,1477
2017-02-09,2.4,2.66,2.5,2.53,5287
2017-02-10,2.61,2.57,2.57,2.5,258
2017-02-13,2.65,2.68,2.64,2.66,364
2017-02-14,2.6,2.73,2.7,2.73,734
2017-02-15,2.61,2.61,2.55,2.65,699
2017-02-16,2.55,2.61,2.58,2.73,667
2017-02-17,2.62,2.7,2.65,2.7,1037
2017-02-21,2.57,2.64,2.55,2.55,5661
2017-02-22,2.49,2.64,2.52,2.58,1248
2017-02-23,2.59,2.64,2.6,2.6,913
2017-02-24,2.5,2.6,2.41,2.53,4025
2017-02-27,2.66,2.59,2.56,2.62,5333
2017-02-28,2.53,2.49,2.59,2.57,702
2017-03-01,2.51,2.5,2.51,2.43,926
2017-03-02,2.4,2.58,2.4,2.5,3708
2017-03-03,2.46,2.53,2.54,2.47,8570
2017-03-06,2.59,2.49,2.54,2.5,2274
2017-03-07,2.53,2.46,2.5,2.48,2365
2017-03-08,0.0,0.0,0.0,2.56,0
2017-03-09,2.55,2.58,2.4,2.4,3087
2017-03-10,2.4,2.49,2.35,2.48,6028
2017-03-13,2.46,2.56,2.53,2.53,1112
2017-03-14,2.5,2.57,2.51,2.59,353
2017-03-15,2.5,2.4,2.5,2.5,331
2017-03-16,2.49,2.44,2.39,2.39,2025
2017-03-17,2.36,2.4,2.38,2.42,310
2017-03-20,2.4,2.41,2.38,2.39,556
2017-03-21,2.38,2.38,2.2,2.33,5043
2017-03-22,2.18,2.34,2.27,2.3,809
2017-03-23,0.0,0.0,0.0,2.32,0
2017-03-24,2.43,2.43,2.38,2.43,260
2017-03-27,0.0,0.0,0.0,2.44,20
2017-03-28,2.27,2.32,2.19,2.29,3477
2017-03-29,2.36,2.4,2.42,2.32,4374
2017-03-30,2.39,2.41,2.41,2.35,200
2017-03-31,2.38,2.36,2.34,2.3,201
2017-04-03,2.41,2.45,2.45,2.41,504
2017-04-04,2.22,2.45,2.17,2.38,2240
2017-04-05,2.41,2.53,2.26,2.48,3206
2017-04-06,2.34,2.38,2.29,2.26,4228
2017-04-07,2.23,2.49,2.26,2.4,19949
2017-04-10,2.28,2.32,2.33,2.27,2312
2017-04-11,2.3,2.28,2.3,2.27,1401
2017-04-12,0.0,0.0,0.0,2.3,0
2017-04-13,2.36,2.39,2.44,2.39,101
2017-04-17,0.0,0.0,0.0,2.4,47
2017-04-18,2.35,2.3,2.25,2.4,2347
2017-04-19,0.0,0.0,0.0,2.3,0
2017-04-20,0.0,0.0,0.0,2.4,83
2017-04-21,2.3,2.2,2.21,2.2,7958
2017-04-24,0.0,0.0,0.0,2.2,104
2017-04-25,0.0,0.0,0.0,2.3,0
2017-04-26,2.16,2.21,1.93,2.11,9166
2017-04-27,2.03,2.04,2.05,2.0,4447
2017-04-28,2.0,2.0,1.96,1.99,4725
2017-05-01,2.04,2.01,1.97,2.0,556
2017-05-02,2.16,2.12,1.98,2.07,3707
2017-05-03,2.2,2.3,2.3,2.3,4181
2017-05-04,0.0,0.0,0.0,2.2,0
2017-05-05,2.24,2.18,2.19,2.17,474
2017-05-08,2.0,2.27,2.02,2.02,5005
2017-05-09,2.05,2.0,2.04,2.0,3668
2017-05-10,2.15,2.15,1.99,2.03,2653
2017-05-11,1.98,2.04,2.0,2.04,741
2017-05-12,2.08,2.12,2.0,2.02,569
2017-05-15,2.06,2.15,2.02,2.15,1204
2017-05-16,2.0,2.0,2.0,2.0,901
2017-05-17,2.0,2.04,2.02,2.02,456
2017-05-18,1.92,2.01,1.96,1.97,1217
2017-05-19,1.95,1.99,1.95,2.04,852
2017-05-22,2.05,2.05,2.08,2.04,2356
2017-05-23,0.0,0.0,0.0,2.0,0
2017-05-24,2.02,2.17,2.03,2.18,1411
2017-05-25,2.2,2.24,2.1,2.17,759
2017-05-26,2.16,2.12,2.14,2.16,206
2017-05-30,2.3,2.2,2.2,2.2,974
2017-05-31,2.16,2.2,1.99,2.2,4077
2017-06-01,2.07,2.21,2.07,2.18,4432
2017-06-02,2.21,2.19,2.07,2.09,399
2017-06-05,0.0,0.0,0.0,2.04,0
2017-06-06,1.99,2.11,1.97,2.0,3867
2017-06-07,2.07,2.1,2.07,2.2,2106
2017-06-08,2.09,2.25,2.1,2.2,4974
2017-06-09,0.0,0.0,0.0,2.21,52
2017-06-12,2.24,2.17,2.25,2.17,390
2017-06-13,0.0,0.0,0.0,2.22,0
2017-06-14,0.0,0.0,0.0,2.15,0
2017-06-15,0.0,0.0,0.0,2.2,0
2017-06-16,0.0,0.0,0.0,2.19,56
2017-06-19,0.0,0.0,0.0,2.17,16
2017-06-20,2.0,2.13,2.0,2.07,2144
2017-06-21,2.02,1.98,1.9,1.9,9687
2017-06-22,0.0,0.0,0.0,1.9,20
2017-06-23,2.0,2.0,2.0,1.9,2362
2017-06-26,0.0,0.0,0.0,1.9,0
2017-06-27,1.9,2.0,1.86,2.0,4397
2017-06-28,0.0,0.0,0.0,1.97,16
2017-06-29,1.88,2.07,1.84,1.99,799
2017-06-30,1.8,2.12,1.77,2.0,2205
2017-07-03,0.0,0.0,0.0,2.0,0
2017-07-05,0.0,0.0,0.0,2.0,41
2017-07-06,0.0,0.0,0.0,2.0,46
2017-07-07,2.0,2.14,2.0,2.0,3363
2017-07-10,0.0,0.0,0.0,2.0,15
2017-07-11,1.87,2.04,1.9,2.0,1607
2017-07-12,2.09,2.34,2.09,2.33,4351
2017-07-13,2.2,2.39,2.3,2.3,7661
2017-07-14,2.33,2.3,2.3,2.34,2514
2017-07-17,2.2,2.3,2.3,2.2,21756
2017-07-18,0.0,0.0,0.0,2.3,4
2017-07-19,2.3,2.3,2.22,2.24,406
2017-07-20,0.0,0.0,0.0,2.26,14
2017-07-21,0.0,0.0,0.0,2.27,0
2017-07-24,2.32,2.51,2.42,2.51,25267
2017-07-25,2.48,2.63,2.42,2.6,13319
2017-07-26,2.63,2.59,2.6,2.56,5009
2017-07-27,2.5,2.68,2.5,2.63,35954
2017-07-28,2.75,2.8,2.55,2.68,1813
2017-07-31,2.69,2.79,2.64,2.67,14540
2017-08-01,2.69,2.69,2.69,2.74,401
2017-08-02,2.62,2.74,2.67,2.67,14477
2017-08-03,2.62,2.85,2.57,2.62,3364
2017-08-04,2.71,2.67,2.68,2.58,382
2017-08-07,2.75,2.68,2.6,2.6,4431
2017-08-08,2.64,3.09,2.69,2.66,12437
2017-08-09,2.95,2.91,2.82,2.78,2974
2017-08-10,3.03,3.12,2.86,2.8,4787
2017-08-11,2.9,3.01,2.9,2.9,1525
2017-08-14,2.99,3.0,2.9,2.92,2954
2017-08-15,0.0,0.0,0.0,3.03,13
2017-08-16,2.97,2.99,2.48,2.6,11058
2017-08-17,2.88,2.86,2.6,2.5,2174
2017-08-18,2.61,2.59,2.56,2.54,732
2017-08-21,2.6,2.6,2.66,2.69,412
2017-08-22,0.0,0.0,0.0,2.59,21
2017-08-23,2.64,2.69,2.5,2.6,1084
2017-08-24,2.7,2.7,2.7,2.6,291
2017-08-25,2.69,2.61,2.53,2.49,1410
2017-08-28,2.6,2.8,2.6,2.6,16018
2017-08-29,2.6,2.62,2.5,2.58,2938
2017-08-30,2.63,2.72,2.6,2.7,5970
2017-08-31,2.7,2.77,2.65,2.64,6948
2017-09-01,2.75,2.71,2.71,2.75,531
2017-09-05,0.0,0.0,0.0,2.84,140
2017-09-06,3.07,2.98,2.84,3.05,4591
2017-09-07,2.68,3.02,2.71,2.97,2371
2017-09-08,2.79,2.85,2.8,2.9,729
2017-09-11,2.84,2.91,2.81,2.85,5975
2017-09-12,3.0,3.0,2.7,2.82,4824
2017-09-13,2.95,2.94,2.81,2.83,632
2017-09-14,2.83,2.84,2.86,2.84,1049
2017-09-15,2.84,3.0,2.91,2.95,8421
2017-09-18,3.0,2.98,2.95,2.87,9315
2017-09-19,2.8,2.9,2.88,2.9,2032
2017-09-20,2.76,2.75,2.8,2.76,571
2017-09-21,2.83,2.76,2.87,2.77,592
2017-09-22,2.8,3.01,2.6,2.6,5919
2017-09-25,2.8,2.96,2.76,2.86,6241
2017-09-26,2.6,2.7,2.6,2.7,118
2017-09-27,2.6,2.7,2.7,2.6,3009
2017-09-28,2.7,2.9,2.33,2.89,7736
2017-09-29,2.71,2.64,2.51,2.53,332
2017-10-02,2.36,2.6,2.45,2.72,1066
2017-10-03,2.51,2.58,2.55,2.58,623
2017-10-04,2.6,2.5,2.4,2.51,33774
2017-10-05,2.52,2.53,2.28,2.5,1913
2017-10-06,0.0,0.0,0.0,2.51,0
2017-10-09,0.0,0.0,0.0,2.5,0
2017-10-10,2.42,2.41,2.4,2.4,1611
2017-10-11,2.4,2.46,2.44,2.39,680
2017-10-12,2.21,2.49,2.27,2.5,1869
2017-10-13,0.0,0.0,0.0,2.39,0
2017-10-16,2.45,2.44,2.26,2.42,2584
2017-10-17,2.22,2.4,2.25,2.4,1281
2017-10-18,2.42,2.39,2.4,2.44,2942
2017-10-19,2.35,2.43,2.34,2.43,7193
2017-10-20,2.41,2.56,2.42,2.48,738
2017-10-23,2.39,2.47,2.39,2.43,19504
2017-10-24,2.4,2.5,2.4,2.5,258
2017-10-25,2.44,2.42,2.35,2.38,108
2017-10-26,2.39,2.48,2.39,2.57,13226
2017-10-27,2.49,2.67,2.49,2.57,2373
2017-10-30,2.71,2.72,2.62,2.74,766
2017-10-31,2.69,2.8,2.18,2.51,9370
2017-11-01,2.71,3.07,2.61,3.06,5934
2017-11-02,2.8,3.0,2.64,2.63,10735
2017-11-03,2.74,3.04,2.5,2.99,1988
2017-11-06,2.6,2.81,2.6,2.66,1434
2017-11-07,2.57,2.72,2.56,2.74,1170
2017-11-08,2.78,2.88,2.86,2.8,812
2017-11-09,2.7,2.8,2.5,2.63,5491
