date,open,high,low,close,volume
2017-01-03,24.75,26.18,24.48,25.61,18138941
2017-01-04,26.61,26.28,25.64,26.42,10521706
2017-01-05,26.15,25.92,25.97,26.7,8289612
2017-01-06,26.37,26.58,25.74,26.14,5915543
2017-01-09,26.54,25.77,25.98,25.37,6936353
2017-01-10,26.41,26.41,25.59,25.4,8353378
2017-01-11,25.78,26.02,25.24,26.13,5767072
2017-01-12,25.4,25.4,25.1,25.65,7362849
2017-01-13,26.29,25.99,26.12,25.83,5561158
2017-01-17,25.74,26.65,26.04,26.01,8121928
2017-01-18,25.97,25.97,26.67,26.4,6022067
2017-01-19,25.87,26.28,25.8,26.7,4516333
2017-01-20,26.31,26.58,25.55,25.72,5025238
2017-01-23,25.61,25.87,26.57,26.97,4473499
2017-01-24,25.85,26.08,26.6,26.83,5896392
2017-01-25,26.78,25.94,26.44,26.21,7610952
2017-01-26,25.67,27.28,26.3,26.36,7900102
2017-01-27,26.74,26.64,26.0,26.32,5148038
2017-01-30,26.22,26.09,25.91,26.76,4945159
2017-01-31,26.83,26.1,26.0,26.02,11821824
2017-02-01,27.17,27.4,25.62,26.26,9202869
2017-02-02,25.8,25.9,25.71,26.5,6317707
2017-02-03,25.55,26.76,25.58,26.68,5340672
2017-02-06,26.1,26.65,25.73,25.79,6485899
2017-02-07,25.75,25.38,25.3,25.58,6174659
2017-02-08,25.18,25.87,24.87,24.81,14140656
2017-02-09,24.84,24.98,25.03,24.93,10374925
2017-02-10,25.5,24.58,24.26,25.23,6091570
2017-02-13,25.37,25.78,24.69,25.22,6839956
2017-02-14,24.96,25.0,25.33,24.74,5034842
2017-02-15,25.11,24.55,25.16,24.9,5847003
2017-02-16,25.48,25.09,24.62,24.91,5209253
2017-02-17,25.36,24.74,24.7,24.51,5319177
2017-02-21,25.4,25.57,24.52,24.98,6989240
2017-02-22,25.34,25.85,24.79,25.66,6442405
2017-02-23,25.25,25.78,24.68,24.77,6831262
2017-02-24,25.59,25.23,25.65,25.14,6152525
2017-02-27,25.32,25.88,24.95,24.7,7037810
2017-02-28,24.93,25.2,24.53,24.87,13626594
2017-03-01,24.97,24.31,23.55,24.1,15389667
2017-03-02,24.16,25.01,24.27,24.61,10322138
2017-03-03,24.59,24.37,23.9,24.18,8594483
2017-03-06,23.93,23.58,23.36,23.5,8225901
2017-03-07,23.64,23.41,22.39,23.2,11897257
2017-03-08,23.59,23.8,23.1,22.68,7574626
2017-03-09,23.0,23.47,22.9,23.39,8241517
2017-03-10,23.02,23.9,22.85,24.01,6663597
2017-03-13,23.6,23.76,24.15,24.19,8517758
2017-03-14,24.29,24.63,23.67,23.66,6163941
2017-03-15,24.12,24.08,23.79,24.33,11005528
2017-03-16,24.71,24.6,23.87,23.79,10733288
2017-03-17,23.75,24.11,24.51,24.35,25110786
2017-03-20,24.63,23.79,24.07,24.43,8544622
2017-03-21,23.8,24.92,23.31,23.86,7498521
2017-03-22,23.3,23.83,23.23,23.26,12971217
2017-03-23,23.84,23.28,22.67,23.49,7057950
2017-03-24,23.22,23.68,23.18,23.3,6063805
2017-03-27,23.68,23.6,23.0,22.81,9196003
2017-03-28,22.84,23.6,22.92,23.63,7371845
2017-03-29,23.58,23.26,23.4,23.54,8458535
2017-03-30,23.9,24.36,23.13,24.57,7494984
2017-03-31,23.5,23.8,23.88,24.69,7696938
2017-04-03,24.6,24.32,24.1,24.5,7150131
2017-04-04,23.62,24.08,24.13,25.02,13353416
2017-04-05,24.1,24.57,24.93,25.06,12930997
2017-04-06,24.34,25.77,24.74,25.43,7844527
2017-04-07,25.41,25.71,25.18,24.79,10001313
2017-04-10,24.91,25.36,25.11,25.89,8497878
2017-04-11,25.8,26.0,25.71,26.1,9018480
2017-04-12,25.82,26.29,25.55,25.79,11338820
2017-04-13,25.74,25.92,25.14,25.45,10014162
2017-04-17,26.3,26.1,26.21,25.6,7432275
2017-04-18,25.52,26.38,26.0,25.87,7443939
2017-04-19,25.67,25.4,25.78,25.67,11763255
2017-04-20,25.83,26.42,25.14,26.25,8756920
2017-04-21,25.82,26.03,26.4,26.24,7498918
2017-04-24,26.5,26.2,25.63,25.86,7968187
2017-04-25,25.68,26.44,25.6,26.26,11857069
2017-04-26,27.0,27.08,26.58,26.95,9208270
2017-04-27,26.75,26.97,26.98,26.33,12623126
2017-04-28,26.4,26.92,25.5,26.56,11746934
2017-05-01,26.47,26.45,26.23,25.61,9901701
2017-05-02,25.89,27.0,25.97,26.05,9301550
2017-05-03,26.67,26.45,25.4,26.24,10558300
2017-05-04,24.83,25.78,23.21,24.64,29719980
2017-05-05,23.99,24.7,23.5,24.4,12827083
2017-05-08,24.01,26.09,24.05,25.6,27243674
2017-05-09,25.35,25.48,25.74,25.29,10343190
2017-05-10,26.1,26.03,25.7,26.12,8231868
2017-05-11,25.2,26.03,25.51,25.35,8918885
2017-05-12,25.09,24.9,24.47,24.88,8773094
2017-05-15,25.31,25.02,24.85,25.59,7051183
2017-05-16,25.99,25.64,24.99,25.08,8926071
2017-05-17,24.78,25.29,25.02,25.05,9547424
2017-05-18,25.08,24.78,24.5,25.15,7593248
2017-05-19,25.3,26.23,24.94,25.11,10637845
2017-05-22,25.58,26.19,25.2,25.24,7401069
2017-05-23,26.21,26.65,25.54,25.9,7337329
2017-05-24,25.58,25.85,25.36,25.84,5291276
2017-05-25,25.96,26.09,24.82,25.08,5847473
2017-05-26,25.24,25.29,25.76,25.2,4991506
2017-05-30,25.76,25.69,24.66,25.57,7574078
2017-05-31,25.41,26.08,25.02,25.52,11983201
2017-06-01,25.93,26.34,25.17,26.27,21427402
2017-06-02,26.72,26.13,25.83,25.93,9347464
2017-06-05,26.06,26.45,26.96,26.0,7901023
2017-06-06,26.47,27.0,26.64,26.78,8716656
2017-06-07,26.34,26.33,26.15,25.93,6641133
2017-06-08,26.3,27.17,26.6,26.51,7285737
2017-06-09,26.14,26.46,26.89,26.33,10756325
2017-06-12,26.63,27.19,27.17,27.8,10014324
2017-06-13,27.4,27.74,27.45,28.44,10662075
2017-06-14,27.15,28.09,28.3,28.04,10478254
2017-06-15,28.54,28.7,27.04,27.53,12369477
2017-06-16,28.11,27.34,25.43,25.91,44632952
2017-06-19,26.76,26.19,25.54,25.49,18746941
2017-06-20,25.5,26.03,25.53,25.2,21344711
2017-06-21,26.06,25.93,25.28,25.03,14713021
2017-06-22,25.62,25.7,24.67,24.69,10503989
2017-06-23,24.87,25.54,24.22,25.15,6414039
2017-06-26,25.38,25.75,25.64,25.61,6673460
2017-06-27,25.18,25.21,24.96,24.62,7576930
2017-06-28,25.18,26.23,25.88,25.43,11311791
2017-06-29,25.0,25.6,25.0,24.59,8704761
2017-06-30,25.38,24.65,24.0,24.36,8635727
2017-07-03,25.0,24.8,24.88,24.81,5807562
2017-07-05,24.37,24.8,24.23,23.74,11030554
2017-07-06,23.79,24.78,23.94,24.2,9009715
2017-07-07,24.63,24.35,23.68,23.9,7948017
2017-07-10,24.11,24.99,24.43,24.61,4830166
2017-07-11,23.6,24.72,23.45,24.27,6187587
2017-07-12,23.52,23.81,22.52,22.7,14916967
2017-07-13,22.97,23.32,22.78,23.4,9478451
2017-07-14,22.85,24.37,22.94,23.75,6796115
2017-07-17,23.45,24.21,23.04,23.31,4624731
2017-07-18,23.8,23.14,22.61,22.89,9087204
2017-07-19,22.72,23.67,22.38,22.69,8283064
2017-07-20,23.4,24.18,23.34,24.2,9182958
2017-07-21,23.43,24.5,24.11,23.98,8260526
2017-07-24,24.51,23.95,23.22,23.84,8109668
2017-07-25,23.0,24.05,23.21,23.48,7129069
2017-07-26,23.75,23.4,23.66,23.17,5753709
2017-07-27,23.24,23.79,23.84,24.2,9371676
2017-07-28,24.54,23.66,23.4,23.87,7025332
2017-07-31,23.85,23.65,23.39,24.01,5127617
2017-08-01,24.04,23.85,23.95,23.86,5766256
2017-08-02,24.08,24.21,23.64,24.46,7244601
2017-08-03,24.42,24.07,21.73,23.09,24304469
2017-08-04,23.18,23.83,22.94,22.61,11602150
2017-08-07,22.8,23.39,22.71,22.36,8276017
2017-08-08,23.02,23.37,22.47,22.05,12146592
2017-08-09,22.8,23.09,22.15,21.87,7944226
2017-08-10,21.9,22.98,22.25,22.55,13628246
2017-08-11,22.3,22.27,22.45,22.35,6992597
2017-08-14,22.16,22.77,22.21,22.95,4455191
2017-08-15,22.37,22.5,21.43,20.77,15764895
2017-08-16,21.05,21.53,20.63,21.1,10695718
2017-08-17,21.5,21.91,20.27,19.91,23716397
2017-08-18,19.7,19.65,19.15,19.96,23906089
2017-08-21,20.0,20.2,19.19,19.9,10001296
2017-08-22,19.96,20.51,19.3,20.0,11838121
2017-08-23,20.4,21.12,20.49,20.57,16463539
2017-08-24,21.3,21.25,20.3,21.01,8223348
2017-08-25,20.39,21.06,20.44,20.5,6565611
2017-08-28,20.41,21.66,21.04,21.21,9128724
2017-08-29,21.23,21.22,21.28,20.87,8176348
2017-08-30,21.08,21.2,21.19,21.07,11459526
2017-08-31,20.58,20.25,20.03,19.79,7552966
2017-09-01,19.98,20.42,20.83,20.66,7205107
2017-09-05,20.73,20.37,20.08,20.36,7782740
2017-09-06,20.04,20.14,19.36,20.0,12079772
2017-09-07,19.34,19.8,19.09,19.39,12496392
2017-09-08,18.71,19.19,18.98,18.83,16783890
2017-09-11,18.9,19.4,18.31,18.71,12599262
2017-09-12,18.84,20.1,18.84,19.47,12108219
2017-09-13,19.7,20.26,19.42,19.07,16480321
2017-09-14,18.84,19.15,18.65,18.8,5834445
2017-09-15,19.84,20.0,19.58,19.77,13950121
2017-09-18,19.78,19.91,18.96,18.7,11407263
2017-09-19,18.75,18.77,18.39,19.08,8548059
2017-09-20,18.62,19.39,18.75,19.1,7497802
2017-09-21,19.5,18.72,18.79,18.71,5978037
2017-09-22,18.7,18.83,18.97,19.01,7036361
2017-09-25,19.18,19.6,18.68,20.17,8394918
2017-09-26,20.07,19.72,19.83,19.89,6426302
2017-09-27,19.51,20.43,20.06,20.2,5198583
2017-09-28,19.3,19.57,19.6,19.46,5911370
2017-09-29,20.1,20.0,19.62,19.4,7471819
2017-10-02,19.57,19.66,19.07,19.33,8587843
2017-10-03,20.28,20.97,19.83,20.59,12658214
2017-10-04,21.0,21.16,20.14,21.01,9471030
2017-10-05,20.28,21.07,20.55,20.72,10578124
2017-10-06,20.27,20.34,19.81,21.0,9641318
2017-10-09,20.75,20.53,19.93,20.6,6241828
