date,open,high,low,close,volume
2017-01-03,52.4,50.5,52.6,52.0,84
2017-01-04,51.93,52.7,51.4,52.02,61
2017-01-05,53.0,54.0,52.48,53.2,174
2017-01-06,52.82,52.64,53.71,53.1,2180
2017-01-09,51.2,52.73,53.3,53.3,183
2017-01-10,53.54,53.95,51.74,52.0,81
2017-01-11,0.0,0.0,0.0,53.95,0
2017-01-12,0.0,0.0,0.0,53.52,0
2017-01-13,52.54,54.04,52.45,53.16,41
2017-01-17,0.0,0.0,0.0,53.54,0
2017-01-18,0.0,0.0,0.0,52.06,0
2017-01-19,54.46,55.15,53.22,53.68,40
2017-01-20,0.0,0.0,0.0,53.8,0
2017-01-23,53.06,54.45,52.4,53.67,164
2017-01-24,52.17,52.66,53.03,53.6,2202
2017-01-25,55.31,54.44,53.85,53.75,202
2017-01-26,0.0,0.0,0.0,54.8,0
2017-01-27,0.0,0.0,0.0,54.22,0
2017-01-30,54.0,56.0,55.0,56.0,20
2017-01-31,0.0,0.0,0.0,54.0,0
2017-02-01,0.0,0.0,0.0,56.0,0
2017-02-02,52.0,54.0,54.0,53.0,52
2017-02-03,0.0,0.0,0.0,52.0,0
2017-02-06,0.0,0.0,0.0,54.0,0
2017-02-07,56.28,56.16,56.16,55.82,156
2017-02-08,0.0,0.0,0.0,54.2,0
2017-02-09,0.0,0.0,0.0,54.68,0
2017-02-10,0.0,0.0,0.0,56.1,0
2017-02-13,53.29,53.64,55.31,54.75,15
2017-02-14,0.0,0.0,0.0,55.5,0
2017-02-15,0.0,0.0,0.0,54.38,0
2017-02-16,0.0,0.0,0.0,53.0,0
2017-02-17,54.33,54.78,53.93,54.17,1
2017-02-21,0.0,0.0,0.0,55.55,0
2017-02-22,0.0,0.0,0.0,55.11,0
2017-02-23,0.0,0.0,0.0,54.35,0
2017-02-24,52.53,54.62,53.18,53.66,57
2017-02-27,55.42,54.22,55.3,54.6,588
2017-02-28,0.0,0.0,0.0,55.3,0
2017-03-01,54.04,52.92,53.23,51.93,21
2017-03-02,0.0,0.0,0.0,51.77,0
2017-03-03,0.0,0.0,0.0,53.96,0
2017-03-06,52.66,52.34,53.83,52.14,26
2017-03-07,0.0,0.0,0.0,52.42,0
2017-03-08,0.0,0.0,0.0,52.97,0
2017-03-09,54.02,54.2,53.01,54.01,40
2017-03-10,0.0,0.0,0.0,54.57,0
2017-03-13,53.19,52.54,53.5,52.2,13
2017-03-14,0.0,0.0,0.0,51.54,0
2017-03-15,0.0,0.0,0.0,51.99,0
2017-03-16,52.7,52.95,52.85,51.73,74
2017-03-17,53.45,55.34,52.99,53.29,161
2017-03-20,53.56,55.53,54.25,56.88,62
2017-03-21,55.46,53.61,54.13,55.27,10
2017-03-22,0.0,0.0,0.0,54.79,0
2017-03-23,52.96,55.18,53.36,53.69,103
2017-03-24,0.0,0.0,0.0,54.95,0
2017-03-27,51.73,53.35,53.16,53.54,101
2017-03-28,0.0,0.0,0.0,52.25,0
2017-03-29,0.0,0.0,0.0,53.26,0
2017-03-30,0.0,0.0,0.0,53.19,0
2017-03-31,52.25,53.87,52.19,54.14,4
2017-04-03,53.3,54.9,53.61,54.0,188
2017-04-04,0.0,0.0,0.0,52.65,0
2017-04-05,0.0,0.0,0.0,52.85,0
2017-04-06,0.0,0.0,0.0,53.24,0
2017-04-07,0.0,0.0,0.0,54.23,0
2017-04-10,0.0,0.0,0.0,53.02,0
2017-04-11,0.0,0.0,0.0,54.19,0
2017-04-12,0.0,0.0,0.0,53.7,0
2017-04-13,0.0,0.0,0.0,52.61,0
2017-04-17,0.0,0.0,0.0,54.38,0
2017-04-18,0.0,0.0,0.0,52.8,0
2017-04-19,53.0,52.96,52.02,52.56,6
2017-04-20,0.0,0.0,0.0,50.97,0
2017-04-21,0.0,0.0,0.0,52.36,0
2017-04-24,51.11,49.11,50.84,51.3,6
2017-04-25,0.0,0.0,0.0,49.33,0
2017-04-26,0.0,0.0,0.0,49.19,0
2017-04-27,0.0,0.0,0.0,49.54,0
2017-04-28,51.0,50.0,52.0,52.0,2
2017-05-01,0.0,0.0,0.0,52.0,0
2017-05-02,51.39,50.61,50.1,49.33,83
2017-05-03,49.08,51.2,49.12,51.5,72
2017-05-04,49.88,50.27,49.66,50.24,32
2017-05-05,50.01,51.62,51.2,52.29,102
2017-05-08,0.0,0.0,0.0,51.17,0
2017-05-09,51.0,50.0,52.0,51.0,275
2017-05-10,50.9,52.53,50.19,50.93,83
2017-05-11,0.0,0.0,0.0,52.88,0
2017-05-12,0.0,0.0,0.0,52.91,0
2017-05-15,0.0,0.0,0.0,51.01,0
2017-05-16,0.0,0.0,0.0,51.95,0
2017-05-17,0.0,0.0,0.0,52.32,0
2017-05-18,49.9,51.09,48.44,51.28,1236
2017-05-19,0.0,0.0,0.0,49.15,0
2017-05-22,50.4,50.88,49.77,49.8,402
2017-05-23,50.46,50.79,51.46,50.82,10
2017-05-24,0.0,0.0,0.0,52.0,0
2017-05-25,0.0,0.0,0.0,50.38,0
2017-05-26,0.0,0.0,0.0,51.38,0
2017-05-30,0.0,0.0,0.0,50.73,0
2017-05-31,0.0,0.0,0.0,49.4,0
2017-06-01,0.0,0.0,0.0,50.9,0
2017-06-02,0.0,0.0,0.0,50.4,0
2017-06-05,0.0,0.0,0.0,51.4,0
2017-06-06,49.95,49.02,49.96,48.96,20
2017-06-07,0.0,0.0,0.0,49.29,0
2017-06-08,0.0,0.0,0.0,50.19,0
2017-06-09,0.0,0.0,0.0,49.83,0
2017-06-12,0.0,0.0,0.0,50.46,0
2017-06-13,0.0,0.0,0.0,49.21,0
2017-06-14,0.0,0.0,0.0,48.83,0
2017-06-15,49.74,47.72,47.69,48.78,31
2017-06-16,49.53,48.8,49.12,50.11,41
2017-06-19,48.74,48.17,49.07,48.22,20
2017-06-20,0.0,0.0,0.0,49.44,0
2017-06-21,0.0,0.0,0.0,48.8,0
2017-06-22,0.0,0.0,0.0,47.72,0
2017-06-23,49.1,49.42,48.23,49.16,20
2017-06-26,0.0,0.0,0.0,49.99,0
2017-06-27,0.0,0.0,0.0,49.77,0
2017-06-28,0.0,0.0,0.0,47.67,0
2017-06-29,0.0,0.0,0.0,48.87,0
2017-06-30,0.0,0.0,0.0,47.91,0
2017-07-03,0.0,0.0,0.0,48.02,0
2017-07-05,0.0,0.0,0.0,48.36,0
2017-07-06,0.0,0.0,0.0,47.65,0
2017-07-07,0.0,0.0,0.0,48.03,0
2017-07-10,0.0,0.0,0.0,48.63,0
2017-07-11,0.0,0.0,0.0,48.25,0
2017-07-12,0.0,0.0,0.0,47.94,0
2017-07-13,0.0,0.0,0.0,49.55,0
2017-07-14,0.0,0.0,0.0,48.6,0
2017-07-17,0.0,0.0,0.0,49.95,0
2017-07-18,0.0,0.0,0.0,49.12,0
2017-07-19,0.0,0.0,0.0,49.6,0
2017-07-20,0.0,0.0,0.0,48.34,0
2017-07-21,0.0,0.0,0.0,48.86,0
2017-07-24,0.0,0.0,0.0,49.93,0
2017-07-25,0.0,0.0,0.0,49.07,0
2017-07-26,0.0,0.0,0.0,48.92,0
2017-07-27,0.0,0.0,0.0,48.32,0
2017-07-28,0.0,0.0,0.0,48.42,0
2017-07-31,0.0,0.0,0.0,49.31,0
2017-08-01,0.0,0.0,0.0,48.21,0
2017-08-02,0.0,0.0,0.0,49.79,0
2017-08-03,0.0,0.0,0.0,48.23,0
2017-08-04,0.0,0.0,0.0,48.1,0
2017-08-07,0.0,0.0,0.0,47.83,0
