date,open,high,low,close,volume
2017-09-25,24.07,24.26,23.07,23.31,5728
2017-09-26,0.0,0.0,0.0,24.07,0
2017-09-27,0.0,0.0,0.0,23.86,2
2017-09-28,0.0,0.0,0.0,23.8,0
2017-09-29,0.0,0.0,0.0,23.48,0
2017-10-02,0.0,0.0,0.0,23.85,0
2017-10-03,0.0,0.0,0.0,23.38,5171
2017-10-04,0.0,0.0,0.0,23.34,1739
2017-10-05,0.0,0.0,0.0,24.17,2047
2017-10-06,23.6,23.2,23.1,23.0,2876
2017-10-09,0.0,0.0,0.0,23.3,2830
2017-10-10,0.0,0.0,0.0,22.7,9064
2017-10-11,0.0,0.0,0.0,23.6,5091
2017-10-12,0.0,0.0,0.0,22.6,6293
2017-10-13,0.0,0.0,0.0,23.3,4151
2017-10-16,0.0,0.0,0.0,23.1,0
2017-10-17,0.0,0.0,0.0,22.9,3406
2017-10-18,0.0,0.0,0.0,23.3,6926
2017-10-19,0.0,0.0,0.0,22.9,40525
2017-10-20,0.0,0.0,0.0,23.5,10425
2017-10-23,0.0,0.0,0.0,22.8,7810
2017-10-24,0.0,0.0,0.0,23.5,34284
2017-10-25,0.0,0.0,0.0,23.2,48085
2017-10-26,0.0,0.0,0.0,23.2,16989
2017-10-27,0.0,0.0,0.0,23.3,29928
2017-10-30,0.0,0.0,0.0,23.0,66821
2017-10-31,24.0,25.0,24.0,24.0,1584
2017-11-01,24.0,23.0,23.0,24.0,26095
2017-11-02,0.0,0.0,0.0,24.0,20204
2017-11-03,26.1,26.4,26.5,25.6,55835
2017-11-06,24.0,24.0,25.0,25.0,108
2017-11-07,25.3,25.0,24.6,25.0,20798
2017-11-08,25.0,26.0,26.0,26.0,18147
2017-11-09,24.82,24.21,24.53,24.75,2780
2017-11-10,0.0,0.0,0.0,24.74,10373
2017-11-13,25.0,24.0,24.0,24.0,7889
2017-11-14,0.0,0.0,0.0,25.0,0
2017-11-15,0.0,0.0,0.0,25.0,61033
2017-11-16,0.0,0.0,0.0,25.0,105076
2017-11-17,24.5,24.64,24.36,24.71,26703
2017-11-20,0.0,0.0,0.0,24.53,0
2017-11-21,24.39,24.79,23.72,24.18,31931
2017-11-22,24.0,24.5,23.9,24.4,13923
2017-11-24,0.0,0.0,0.0,24.2,0
2017-11-27,24.5,24.1,24.2,24.97,43399
2017-11-28,24.16,23.99,24.0,24.0,39526
2017-11-29,0.0,0.0,0.0,24.2,0
2017-11-30,23.87,23.96,23.9,23.7,1359
2017-12-01,0.0,0.0,0.0,24.06,48112
2017-12-04,24.61,24.88,25.0,25.0,3318
2017-12-05,24.55,24.5,24.0,23.0,59765
2017-12-06,24.69,24.59,24.39,24.32,46697
2017-12-07,24.78,24.25,24.48,24.7,21062
2017-12-08,23.77,24.58,24.79,24.15,26124
2017-12-11,24.88,24.06,24.51,24.56,10203
2017-12-12,25.34,25.26,24.54,24.8,30373
2017-12-13,24.09,23.97,24.1,24.51,81851
2017-12-14,23.91,23.92,24.69,24.52,54590
2017-12-15,23.9,24.41,24.5,23.7,184746
2017-12-18,25.0,26.0,25.0,25.16,83923
2017-12-19,25.81,26.26,25.5,25.8,37086
2017-12-20,25.4,25.0,24.9,25.9,12892
2017-12-21,26.41,27.0,26.17,26.16,49178
2017-12-22,28.01,27.41,26.63,26.98,32798
2017-12-26,27.6,28.0,25.3,27.0,173316
2017-12-27,27.7,27.54,26.88,27.83,258023
2017-12-28,27.2,27.2,26.3,25.4,174820
2017-12-29,0.0,0.0,0.0,26.2,6748
2018-01-02,0.0,0.0,0.0,26.0,8919
2018-01-03,26.2,28.0,25.4,25.61,40644
2018-01-04,25.6,26.65,24.8,24.9,39056
2018-01-05,26.94,26.43,25.9,25.7,26671
2018-01-08,25.71,25.76,25.56,25.45,28342
2018-01-09,26.4,25.9,26.58,26.7,191059
2018-01-10,25.64,26.2,26.0,26.23,47227
2018-01-11,26.11,25.98,25.9,26.1,9738
2018-01-12,26.16,26.7,25.41,26.02,25734
2018-01-16,27.09,27.03,27.0,27.04,66020
2018-01-17,27.1,28.81,27.45,29.29,87719
2018-01-18,27.0,28.9,28.0,28.9,17631
2018-01-19,0.0,0.0,0.0,28.7,0
2018-01-22,28.7,28.5,27.9,28.4,16875
2018-01-23,27.5,27.9,27.5,28.2,26973
2018-01-24,27.7,28.5,28.0,28.0,10115
2018-01-25,0.0,0.0,0.0,27.8,14649
2018-01-26,27.6,27.92,28.82,27.84,5215
2018-01-29,27.6,28.0,26.9,27.1,102
2018-01-30,0.0,0.0,0.0,27.9,1
2018-01-31,27.0,26.0,26.0,27.0,8687
2018-02-01,0.0,0.0,0.0,27.0,0
2018-02-02,25.88,26.22,25.77,26.13,453
2018-02-05,25.84,24.82,25.65,24.82,549
2018-02-06,23.6,24.11,22.7,24.49,131953
2018-02-07,24.57,24.86,24.46,24.48,54894
2018-02-08,0.0,24.33,24.01,24.14,60067
2018-02-09,22.77,22.69,23.24,23.1,102566
2018-02-12,0.0,0.0,0.0,22.8,0
2018-02-13,21.6,22.47,22.1,22.59,10146
2018-02-14,22.7,22.7,23.1,23.5,8176
2018-02-15,23.19,23.92,23.32,23.76,61030
2018-02-16,23.29,23.19,22.9,23.1,193629
2018-02-20,0.0,0.0,0.0,23.0,181037
2018-02-21,25.61,25.24,24.93,25.22,56115
2018-02-22,0.0,0.0,0.0,25.2,54491
2018-02-23,25.0,25.0,24.64,24.41,104580
2018-02-26,25.0,25.0,24.0,24.9,3772
2018-02-27,24.7,25.3,23.61,23.49,69173
2018-02-28,24.0,24.04,23.85,23.68,78222
2018-03-01,23.0,24.0,23.59,22.77,11874
2018-03-02,0.0,0.0,0.0,23.05,56212
2018-03-05,22.5,22.7,22.89,22.35,58412
2018-03-06,22.71,22.61,22.09,22.71,135981
2018-03-07,22.31,22.38,22.41,22.62,101682
2018-03-08,22.32,22.41,22.38,23.11,351733
2018-03-09,25.0,25.0,23.24,22.88,287347
2018-03-12,0.0,0.0,0.0,22.54,83603
2018-03-13,0.0,0.0,0.0,23.04,142421
2018-03-14,0.0,0.0,0.0,23.21,51190
2018-03-15,0.0,0.0,0.0,23.19,71749
2018-03-16,0.0,0.0,0.0,23.07,25933
2018-03-19,22.82,22.33,22.46,22.85,102463
2018-03-20,0.0,0.0,0.0,22.74,0
2018-03-21,23.3,22.85,23.03,22.76,9652
2018-03-22,0.0,0.0,0.0,22.81,0
2018-03-23,0.0,0.0,0.0,23.29,1
2018-03-26,0.0,0.0,0.0,22.46,10753
2018-03-27,0.0,0.0,0.0,22.39,18157
2018-03-28,24.0,23.0,24.0,23.0,45908
2018-03-29,0.0,0.0,0.0,24.0,0
2018-04-02,0.0,0.0,0.0,24.0,0
2018-04-03,0.0,0.0,0.0,23.0,8858
2018-04-04,22.81,22.33,23.22,22.84,1833
2018-04-05,0.0,0.0,0.0,22.95,4181
2018-04-06,0.0,0.0,0.0,22.24,765
2018-04-09,0.0,0.0,0.0,22.29,1781
2018-04-10,0.0,0.0,0.0,22.83,17412
2018-04-11,0.0,0.0,0.0,23.26,1783
2018-04-12,0.0,0.0,0.0,22.81,0
2018-04-13,0.0,0.0,0.0,22.31,0
2018-04-16,0.0,0.0,0.0,23.02,0
2018-04-17,0.0,0.0,0.0,22.56,0
2018-04-18,0.0,0.0,0.0,22.44,839
2018-04-19,0.0,0.0,0.0,22.92,0
2018-04-20,0.0,0.0,0.0,23.26,0
2018-04-23,0.0,0.0,0.0,22.21,0
2018-04-24,20.4,20.2,20.9,20.6,12486
2018-04-25,19.69,20.5,19.94,21.3,13059
2018-04-26,19.26,19.12,19.11,19.82,30329
2018-04-27,19.98,20.31,20.33,19.9,8271
2018-04-30,0.0,0.0,0.0,20.29,0
2018-05-01,0.0,0.0,0.0,20.03,0
