date,open,high,low,close,volume
2017-01-03,22.88,23.83,22.6,23.62,191809
2017-01-04,23.22,23.53,24.13,23.2,242740
2017-01-05,24.16,24.14,23.88,24.89,478466
2017-01-06,24.49,23.86,23.46,23.61,183615
2017-01-09,24.59,23.88,24.19,23.84,180082
2017-01-10,24.41,24.44,24.21,24.26,142894
2017-01-11,24.44,25.12,23.97,25.12,213555
2017-01-12,25.04,24.36,24.39,24.67,179138
2017-01-13,23.99,24.09,24.01,24.02,143698
2017-01-17,24.17,25.0,25.0,24.86,398027
2017-01-18,24.56,24.63,23.91,23.77,320705
2017-01-19,24.75,24.49,24.1,24.63,149746
2017-01-20,24.97,24.33,24.3,24.03,95486
2017-01-23,24.88,25.19,24.79,24.46,88713
2017-01-24,24.48,24.23,24.11,25.02,176919
2017-01-25,24.91,24.8,24.12,24.4,304747
2017-01-26,24.13,24.45,24.22,24.45,206358
2017-01-27,24.58,24.05,24.82,24.89,164321
2017-01-30,23.79,24.54,24.49,24.66,256359
2017-01-31,24.57,24.45,24.79,24.4,187997
2017-02-01,24.7,25.0,24.1,24.03,176346
2017-02-02,25.0,24.96,24.32,24.24,143078
2017-02-03,25.05,24.47,24.38,24.43,229348
2017-02-06,24.28,24.92,23.91,24.31,116923
2017-02-07,25.0,24.65,24.27,25.0,143220
2017-02-08,24.03,24.09,24.95,24.75,816514
2017-02-09,24.35,25.07,23.88,24.78,333063
2017-02-10,24.23,24.29,24.08,25.05,251712
2017-02-13,24.82,24.16,24.64,24.79,81859
2017-02-14,23.65,23.73,23.43,24.68,173794
2017-02-15,23.56,23.84,23.4,23.72,91063
2017-02-16,24.38,24.21,23.78,23.94,121176
2017-02-17,24.52,24.32,24.41,24.08,404979
2017-02-21,24.59,23.95,24.24,24.8,338257
2017-02-22,24.63,24.73,23.94,24.53,444874
2017-02-23,24.81,24.3,24.9,24.4,444353
2017-02-24,24.62,25.0,24.8,25.0,68201
2017-02-27,24.58,24.19,24.83,24.49,199248
2017-02-28,24.31,24.39,24.61,23.99,420407
2017-03-01,24.48,23.88,24.6,24.85,173140
2017-03-02,24.3,23.99,23.45,24.4,229170
2017-03-03,24.38,24.68,24.6,24.02,204895
2017-03-06,24.22,24.22,23.8,23.55,148618
2017-03-07,24.46,24.2,24.31,24.3,561291
2017-03-08,24.04,24.3,23.41,23.99,328488
2017-03-09,24.47,24.44,23.63,23.57,184183
2017-03-10,23.67,24.45,24.38,23.57,284662
2017-03-13,24.3,24.15,24.06,24.54,181351
2017-03-14,23.61,24.65,24.47,24.13,168769
2017-03-15,24.3,24.67,24.17,24.41,96970
2017-03-16,25.12,24.62,24.41,25.25,111155
2017-03-17,24.41,25.3,24.73,24.68,98937
2017-03-20,24.44,24.69,24.41,25.33,90794
2017-03-21,24.85,25.02,24.95,25.1,202338
2017-03-22,24.28,25.26,24.0,24.56,98393
2017-03-23,24.1,24.98,25.21,24.81,128176
2017-03-24,25.03,25.5,24.14,25.37,74892
2017-03-27,24.83,25.36,24.7,25.48,118637
2017-03-28,25.68,25.14,24.7,24.62,137122
2017-03-29,24.73,24.73,24.06,24.52,113843
2017-03-30,24.01,24.04,24.44,24.2,112242
2017-03-31,23.41,23.5,23.65,23.78,182122
2017-04-03,23.86,24.59,24.43,24.4,266282
2017-04-04,24.41,24.01,24.92,24.72,166720
2017-04-05,24.48,25.08,23.75,24.8,483298
2017-04-06,24.24,23.87,23.75,23.74,180105
2017-04-07,23.83,24.35,23.89,24.36,113542
2017-04-10,24.2,24.26,24.31,24.19,185313
2017-04-11,24.3,24.43,24.42,23.95,208316
2017-04-12,24.37,25.01,24.6,24.92,135164
2017-04-13,24.22,24.92,24.8,24.58,144720
2017-04-17,24.3,24.15,24.51,24.83,161414
2017-04-18,24.02,24.2,23.97,24.24,161126
2017-04-19,24.2,24.85,24.48,24.94,134259
2017-04-20,24.31,24.15,24.19,23.8,106126
2017-04-21,24.48,24.61,24.85,24.39,149858
2017-04-24,24.04,25.1,24.08,23.88,370831
2017-04-25,24.1,23.47,24.4,23.59,182388
2017-04-26,23.8,24.19,24.2,23.56,119216
2017-04-27,25.0,24.0,24.31,24.3,496681
2017-04-28,24.39,25.45,24.0,24.24,337832
2017-05-01,24.22,24.83,24.77,24.58,262800
2017-05-02,24.49,24.95,24.42,24.93,214885
2017-05-03,24.66,24.73,24.03,24.5,822317
2017-05-04,24.18,24.98,24.84,24.62,360600
2017-05-05,24.46,25.11,24.68,24.71,242775
2017-05-08,24.21,24.17,24.48,24.92,313982
2017-05-09,24.06,24.06,24.62,24.52,159109
2017-05-10,24.61,25.15,24.29,25.11,125419
2017-05-11,24.1,24.1,24.97,24.54,149889
2017-05-12,24.79,24.61,24.79,25.13,119102
2017-05-15,24.32,24.56,24.19,24.95,97127
2017-05-16,24.41,24.82,24.52,24.78,130238
2017-05-17,25.51,24.57,24.54,24.72,247121
2017-05-18,24.57,24.86,25.06,24.92,153154
2017-05-19,24.6,25.18,25.4,25.78,140887
2017-05-22,24.7,24.99,25.58,24.77,178886
2017-05-23,24.89,25.4,25.4,24.79,250447
2017-05-24,25.07,24.48,24.54,25.54,325296
2017-05-25,24.83,25.4,24.54,25.42,362359
2017-05-26,24.59,24.65,25.25,24.68,311549
2017-05-30,24.51,25.3,24.53,25.44,365165
2017-05-31,25.71,25.06,25.61,25.1,283436
2017-06-01,25.09,25.29,25.5,25.7,197607
2017-06-02,25.84,25.75,25.68,25.38,204378
2017-06-05,25.37,25.98,25.67,24.9,146660
2017-06-06,25.99,25.17,25.6,25.12,134889
2017-06-07,24.84,25.96,25.11,25.88,99880
2017-06-08,25.2,24.9,24.64,24.85,156193
2017-06-09,25.69,24.8,24.92,25.62,162585
2017-06-12,24.7,25.56,25.37,24.65,100982
2017-06-13,24.62,25.2,24.8,24.94,149007
2017-06-14,24.9,25.26,25.54,24.83,206284
2017-06-15,25.13,25.63,25.49,25.33,166162
2017-06-16,25.34,25.7,25.39,25.24,326664
2017-06-19,24.91,25.9,24.85,25.86,194842
2017-06-20,25.6,25.09,25.62,25.04,122522
2017-06-21,25.49,25.19,26.0,26.04,93753
