date,open,high,low,close,volume
2017-01-03,42.3,41.86,41.59,43.1,132880
2017-01-04,41.65,41.99,42.84,41.7,160822
2017-01-05,43.1,42.52,42.66,42.1,128715
2017-01-06,42.09,43.37,42.0,41.58,105239
2017-01-09,42.3,43.01,41.69,42.17,156453
2017-01-10,42.44,43.72,43.0,42.8,135565
2017-01-11,42.72,42.7,43.62,43.06,132272
2017-01-12,44.18,42.73,43.15,43.0,112707
2017-01-13,43.7,43.01,42.98,43.0,108838
2017-01-17,42.61,44.4,42.47,43.71,99054
2017-01-18,43.36,44.3,43.19,42.41,70819
2017-01-19,43.8,42.85,42.32,43.34,127492
2017-01-20,44.37,43.35,42.85,44.6,205655
2017-01-23,44.33,43.37,43.29,44.27,166770
2017-01-24,44.67,44.4,43.43,43.15,88313
2017-01-25,44.8,45.4,43.5,44.26,147799
2017-01-26,45.08,44.57,43.05,44.95,154736
2017-01-27,42.98,43.94,44.1,45.0,208115
2017-01-30,44.22,44.98,43.59,43.0,205100
2017-01-31,44.0,44.91,43.11,43.1,150105
2017-02-01,45.0,43.97,44.73,44.89,157096
2017-02-02,44.0,44.64,44.01,43.11,125163
2017-02-03,43.69,44.65,42.16,43.05,250602
2017-02-06,44.19,42.29,40.63,40.42,282008
2017-02-07,40.66,42.63,40.09,42.24,207196
2017-02-08,41.8,43.56,40.9,42.7,178257
2017-02-09,43.0,42.32,42.41,42.72,131079
2017-02-10,43.81,43.03,42.76,42.46,347702
2017-02-13,42.99,43.5,42.94,41.87,71789
2017-02-14,41.57,42.94,41.88,42.3,119887
2017-02-15,43.7,44.14,43.31,45.12,348267
2017-02-16,43.78,44.39,44.55,44.49,110294
2017-02-17,43.64,43.8,42.99,45.06,140619
2017-02-21,44.05,45.0,44.18,45.1,100592
2017-02-22,44.4,46.83,42.17,44.2,533935
2017-02-23,44.43,44.84,42.13,43.7,314258
2017-02-24,43.72,44.79,43.41,42.7,127484
2017-02-27,43.58,43.18,44.0,43.44,74463
2017-02-28,43.88,44.99,43.51,44.3,122692
2017-03-01,43.7,45.16,43.56,43.4,123911
2017-03-02,43.94,44.35,44.2,45.07,152175
2017-03-03,45.37,44.95,43.61,43.84,94118
2017-03-06,44.7,44.45,43.56,43.87,60991
2017-03-07,44.3,44.11,43.6,44.15,77941
2017-03-08,44.65,43.88,43.45,45.19,76548
2017-03-09,44.57,45.65,44.36,45.65,92788
2017-03-10,45.2,46.2,44.96,44.98,168103
2017-03-13,45.65,46.29,44.5,46.4,142214
2017-03-14,45.55,45.19,45.0,44.0,114729
2017-03-15,44.52,45.22,45.7,44.74,61562
2017-03-16,45.84,46.6,46.34,46.74,213254
2017-03-17,44.81,46.42,45.06,45.96,362383
2017-03-20,46.81,47.06,46.78,46.81,142508
2017-03-21,46.7,45.99,46.17,46.0,96500
2017-03-22,46.39,47.23,45.91,44.46,181861
2017-03-23,44.4,46.79,44.6,46.97,173503
2017-03-24,45.9,48.47,46.55,48.28,404210
2017-03-27,47.34,47.57,48.29,48.68,200332
2017-03-28,48.15,49.91,48.37,49.57,255804
2017-03-29,50.14,51.11,49.64,49.02,280887
2017-03-30,50.29,50.24,48.55,50.0,219695
2017-03-31,48.0,48.08,49.2,48.6,98029
2017-04-03,48.0,48.61,47.35,47.51,182879
2017-04-04,49.0,50.13,48.83,49.54,153315
2017-04-05,49.74,48.62,48.81,48.15,61905
2017-04-06,49.62,49.29,47.3,49.41,139461
2017-04-07,47.42,48.98,47.1,47.76,94971
2017-04-10,50.03,50.1,49.64,48.2,150347
2017-04-11,48.33,50.84,48.15,50.33,174727
2017-04-12,50.3,51.67,48.59,51.26,130926
2017-04-13,50.4,49.4,50.9,50.7,77739
2017-04-17,0.0,0.0,0.0,48.9,0
2017-04-18,51.2,49.59,49.65,49.34,153293
2017-04-19,50.02,49.32,49.9,48.75,68968
2017-04-20,48.87,48.7,48.35,49.86,65060
2017-04-21,50.68,48.82,48.13,48.78,78376
2017-04-24,50.91,51.26,50.67,51.17,152241
2017-04-25,50.39,51.37,50.4,49.94,96255
2017-04-26,51.24,51.33,49.8,50.6,189310
2017-04-27,51.1,51.5,50.86,51.58,163782
2017-04-28,49.85,51.33,51.23,51.6,80009
2017-05-01,0.0,0.0,0.0,49.69,0
2017-05-02,51.52,51.5,50.53,51.08,137579
2017-05-03,52.92,52.01,51.34,51.88,100504
2017-05-04,52.31,52.46,52.08,52.08,81215
2017-05-05,51.95,52.54,51.46,52.09,165984
2017-05-08,50.4,50.6,51.69,51.7,171764
2017-05-09,52.02,50.13,50.41,50.19,213362
2017-05-10,50.16,49.56,50.58,50.97,198382
2017-05-11,47.6,52.2,48.53,48.97,390590
2017-05-12,53.38,54.95,52.6,56.5,3023901
2017-05-15,56.1,59.69,54.7,60.25,1044695
2017-05-16,58.65,58.52,57.06,58.33,751814
2017-05-17,58.52,57.66,58.12,58.9,299578
2017-05-18,58.24,58.2,57.18,59.1,341711
2017-05-19,57.7,59.4,57.0,57.11,325324
2017-05-22,59.4,57.39,58.9,57.24,183604
2017-05-23,56.81,57.16,56.85,56.83,217292
2017-05-24,56.5,58.0,55.35,58.0,274401
2017-05-25,58.34,59.31,57.12,57.59,230088
2017-05-26,58.29,56.79,56.54,58.39,145820
2017-05-30,57.7,59.1,57.97,58.76,263203
2017-05-31,56.3,59.26,57.2,58.6,212906
2017-06-01,57.5,57.5,56.58,58.35,358105
2017-06-02,58.12,58.68,55.3,55.83,326501
2017-06-05,0.0,0.0,0.0,57.29,0
2017-06-06,57.1,57.33,54.61,56.33,379184
2017-06-07,56.27,57.0,56.23,54.3,231861
2017-06-08,54.65,55.71,54.48,53.93,454277
2017-06-09,55.39,55.49,53.0,53.36,474826
2017-06-12,55.1,53.86,54.49,55.14,261894
2017-06-13,55.66,56.1,53.49,53.77,198762
2017-06-14,54.21,55.71,54.86,55.41,163180
2017-06-15,55.23,54.0,53.16,54.81,96777
2017-06-16,53.3,54.13,53.19,53.72,464314
2017-06-19,53.49,55.3,52.84,55.7,370322
2017-06-20,56.8,56.92,55.5,56.8,202907
2017-06-21,56.2,56.64,55.33,54.69,245563
2017-06-22,56.17,56.7,56.0,56.21,164214
2017-06-23,55.92,57.12,54.56,55.48,81935
2017-06-26,55.09,56.38,56.21,56.46,73463
2017-06-27,56.2,55.4,54.7,56.17,193626
2017-06-28,54.2,55.37,53.93,53.79,121912
2017-06-29,53.81,56.03,54.7,53.9,161676
2017-06-30,54.4,55.2,54.47,55.05,164209
2017-07-03,53.22,53.72,53.5,53.55,110997
2017-07-05,53.46,55.07,53.0,54.49,113850
2017-07-06,54.18,54.81,53.43,54.11,167559
2017-07-07,53.46,53.26,53.7,54.43,154693
2017-07-10,53.33,52.68,53.06,52.6,222021
