date,open,high,low,close,volume
2017-01-03,0.0,0.0,0.0,0.28,0
2017-01-04,0.2553,0.3001,0.2599,0.2595,313
2017-01-05,0.2945,0.2947,0.2591,0.26,1802
2017-01-06,0.2599,0.2823,0.2654,0.2824,515
2017-01-09,0.2582,0.2733,0.2656,0.2666,807
2017-01-10,0.2567,0.2864,0.2579,0.275,504
2017-01-11,0.2672,0.2777,0.2612,0.2691,835
2017-01-12,0.2638,0.2864,0.2642,0.2678,524
2017-01-13,0.263,0.268,0.268,0.266,101
2017-01-17,0.2605,0.2561,0.256,0.2597,308
2017-01-18,0.2555,0.2558,0.265,0.265,100
2017-01-19,0.2768,0.279,0.2563,0.2586,606
2017-01-20,0.0,0.0,0.0,0.2558,0
2017-01-23,0.0,0.0,0.0,0.2665,0
2017-01-24,0.2767,0.2751,0.274,0.281,210
2017-01-25,0.0,0.0,0.0,0.281,0
2017-01-26,0.2633,0.2871,0.2662,0.28,12937
2017-01-27,0.0,0.0,0.0,0.28,0
2017-01-30,0.267,0.296,0.2665,0.294,808
2017-01-31,0.26,0.285,0.26,0.296,729
2017-02-01,0.2824,0.2836,0.2852,0.2738,105
2017-02-02,0.2562,0.27,0.2616,0.27,518
2017-02-03,0.282,0.29,0.285,0.291,311
2017-02-06,0.2643,0.2781,0.2674,0.2779,303
2017-02-07,0.0,0.0,0.0,0.2824,0
2017-02-08,0.0,0.0,0.0,0.2797,0
2017-02-09,0.0,0.0,0.0,0.2784,0
2017-02-10,0.2675,0.2665,0.2599,0.2676,102
2017-02-13,0.2615,0.259,0.2586,0.2555,105
2017-02-14,0.0,0.0,0.0,0.2677,0
2017-02-15,0.2727,0.29,0.2632,0.295,507
2017-02-16,0.2678,0.295,0.265,0.288,1658
2017-02-17,0.26,0.29,0.25,0.28,401
2017-02-21,0.0,0.0,0.0,0.29,16
2017-02-22,0.0,0.0,0.0,0.29,0
2017-02-23,0.0,0.0,0.0,0.29,0
2017-02-24,0.0,0.0,0.0,0.29,0
2017-02-27,0.2626,0.2785,0.2602,0.27,2092
2017-02-28,0.2675,0.27,0.2625,0.2595,209
2017-03-01,0.29,0.29,0.136,0.24,6550
2017-03-02,0.227,0.28,0.178,0.287,9954
2017-03-03,0.263,0.29,0.266,0.276,8314
2017-03-06,0.28,0.28,0.2,0.2,22993
2017-03-07,0.241,0.234,0.2188,0.2111,771
2017-03-08,0.23,0.29,0.23,0.26,5047
2017-03-09,0.26,0.53,0.24,0.53,46954
2017-03-10,0.64,2.29,0.5292,0.8313,121113
2017-03-13,0.8468,0.8755,0.6,0.73,11238
2017-03-14,0.71,1.0,0.67,1.0,27360
2017-03-15,1.0,1.2,0.76,0.9,29939
2017-03-16,0.9,0.999,0.81,0.928,12216
2017-03-17,0.84,1.0,0.8,0.86,11606
2017-03-20,0.84,0.85,0.8,0.8,2057
2017-03-21,0.835,0.942,0.8291,0.9,1463
2017-03-22,0.99,0.99,0.8425,0.87,4694
2017-03-23,0.869,0.87,0.852,0.865,1689
2017-03-24,0.8343,0.849,0.5,0.7,9149
2017-03-27,0.7,0.7,0.53,0.67,17071
2017-03-28,0.66,0.759,0.6,0.64,12153
2017-03-29,0.7,0.75,0.59,0.61,6480
2017-03-30,0.61,0.732,0.61,0.61,13051
2017-03-31,0.6,0.66,0.61,0.64,3966
2017-04-03,0.666,0.66,0.646,0.66,207
2017-04-04,0.79,0.8,0.63,0.658,4830
2017-04-05,0.61,0.76,0.61,0.77,305
2017-04-06,0.79,0.8,0.63,0.619,1727
2017-04-07,0.79,0.78,0.57,0.58,3538
2017-04-10,0.67,0.76,0.553,0.548,3715
2017-04-11,0.574,0.773,0.579,0.63,13238
2017-04-12,0.62,0.755,0.63,0.643,40596
2017-04-13,0.6157,0.67,0.582,0.66,6714
2017-04-17,0.61,0.6731,0.58,0.6683,5857
2017-04-18,0.576,0.61,0.603,0.589,1757
2017-04-19,0.6601,0.6438,0.521,0.626,1671
2017-04-20,0.53,0.6484,0.532,0.5749,4136
2017-04-21,0.61,0.6319,0.57,0.57,2119
2017-04-24,0.56,0.6345,0.58,0.56,26415
2017-04-25,0.5875,0.64,0.55,0.6,82651
2017-04-26,0.6,0.63,0.5806,0.5736,19222
2017-04-27,0.59,0.61,0.5,0.55,24367
2017-04-28,0.55,0.62,0.552,0.541,20813
2017-05-01,0.56,0.62,0.553,0.62,26998
2017-05-02,0.63,0.64,0.55,0.6,1294
2017-05-03,0.6,0.62,0.58,0.62,738
2017-05-04,0.54,0.59,0.558,0.58,5869
2017-05-05,0.54,0.57,0.55,0.54,302
2017-05-08,0.56,0.56,0.55,0.56,1504
2017-05-09,0.57,0.64,0.38,0.57,27360
2017-05-10,0.55,0.56,0.46,0.46,2704
2017-05-11,0.0,0.0,0.0,0.47,0
2017-05-12,0.6115,0.6,0.493,0.486,16271
2017-05-15,0.5,0.59,0.43,0.56,10199
2017-05-16,0.46,0.57,0.46,0.455,3930
2017-05-17,0.45,0.472,0.46,0.473,207
2017-05-18,0.45,0.474,0.45,0.464,2604
2017-05-19,0.0,0.0,0.0,0.463,13
2017-05-22,0.0,0.0,0.0,0.469,21
2017-05-23,0.45,0.59,0.46,0.59,310
2017-05-24,0.45,0.59,0.46,0.57,1807
2017-05-25,0.52,0.58,0.48,0.58,1004
2017-05-26,0.59,0.59,0.37,0.382,17648
2017-05-30,0.39,0.56,0.39,0.56,1571
2017-05-31,0.0,0.0,0.0,0.56,62
2017-06-01,0.56,0.564,0.38,0.54,823
2017-06-02,0.5235,0.5332,0.5407,0.5317,251
2017-06-05,0.4,0.548,0.39,0.544,3965
2017-06-06,0.4866,0.53,0.4,0.52,672
2017-06-07,0.54,0.56,0.42,0.53,21976
2017-06-08,0.53,0.54,0.45,0.5167,2091
2017-06-09,0.54,0.56,0.45,0.57,4703
2017-06-12,0.56,0.58,0.5,0.5,1219
2017-06-13,0.44,0.56,0.44,0.445,4020
2017-06-14,0.46,0.53,0.45,0.55,1001
2017-06-15,0.55,0.565,0.46,0.553,2053
2017-06-16,0.46,0.56,0.46,0.47,1072
2017-06-19,0.58,0.59,0.44,0.53,6702
2017-06-20,0.45,0.558,0.44,0.574,691
2017-06-21,0.56,0.57,0.4425,0.5176,2729
2017-06-22,0.4524,0.53,0.4494,0.53,2573
2017-06-23,0.53,0.53,0.52,0.52,101
2017-06-26,0.4596,0.53,0.4659,0.51,611
2017-06-27,0.573,0.576,0.47,0.46,313
2017-06-28,0.464,0.52,0.456,0.53,304
2017-06-29,0.455,0.52,0.469,0.54,406
2017-06-30,0.53,0.57,0.49,0.58,10583
2017-07-03,0.58,0.59,0.4704,0.53,10056
2017-07-05,0.58,0.63,0.54,0.54,30201
2017-07-06,0.62,0.62,0.56,0.6,13250
2017-07-07,0.59,0.6,0.6,0.6,2089
2017-07-10,0.59,0.61,0.52,0.62,13591
2017-07-11,0.603,0.605,0.599,0.605,303
2017-07-12,0.54,0.54,0.54,0.52,1673
2017-07-13,0.54,0.608,0.46,0.59,6652
2017-07-14,0.0,0.0,0.0,0.597,0
2017-07-17,0.57,0.5754,0.553,0.55,1602
2017-07-18,0.5846,0.621,0.57,0.57,11264
2017-07-19,0.53,0.52,0.54,0.54,1968
2017-07-20,0.54,0.604,0.53,0.617,6876
2017-07-21,0.535,0.5809,0.544,0.545,453
2017-07-24,0.557,0.555,0.553,0.54,908
2017-07-25,0.57,0.58,0.456,0.457,812
2017-07-26,0.45,0.6,0.44,0.44,20546
2017-07-27,0.49,0.5,0.45,0.466,11400
2017-07-28,0.53,0.52,0.53,0.51,674
2017-07-31,0.4694,0.54,0.4349,0.55,5374
2017-08-01,0.55,0.55,0.53,0.54,546
2017-08-02,0.0,0.0,0.0,0.53,0
2017-08-03,0.46,0.57,0.47,0.56,669
2017-08-04,0.58,0.57,0.56,0.57,209
2017-08-07,0.0,0.0,0.0,0.55,0
2017-08-08,0.47,0.56,0.4415,0.5,14364
2017-08-09,0.4444,0.4351,0.4427,0.4375,1009
2017-08-10,0.437,0.54,0.426,0.46,2251
2017-08-11,0.0,0.0,0.0,0.45,0
2017-08-14,0.42,0.54,0.207,0.44,58288
2017-08-15,0.45,0.46,0.452,0.45,942
2017-08-16,0.3444,0.4,0.3418,0.4,5639
2017-08-17,0.2751,0.4,0.283,0.4,10626
2017-08-18,0.3022,0.4,0.3056,0.4,1449
2017-08-21,0.32,0.44,0.3,0.44,2186
2017-08-22,0.405,0.42,0.383,0.44,3548
2017-08-23,0.32,0.43,0.309,0.4161,1609
2017-08-24,0.4,0.39,0.4,0.41,2070
2017-08-25,0.36,0.4157,0.35,0.411,470
2017-08-28,0.36,0.4119,0.36,0.413,1576
2017-08-29,0.4127,0.4373,0.4176,0.4407,4696
2017-08-30,0.4208,0.4381,0.35,0.4205,1714
2017-08-31,0.4165,0.4165,0.4148,0.4075,1024
2017-09-01,0.0,0.0,0.0,0.4137,0
2017-09-05,0.0,0.0,0.0,0.4062,0
