date,open,high,low,close,volume
2017-01-03,6.58,6.68,6.56,6.71,354216
2017-01-04,6.79,6.65,6.59,6.85,255409
2017-01-05,6.83,6.9,6.6,6.64,223226
2017-01-06,6.71,6.45,6.5,6.42,254716
2017-01-09,6.55,6.33,6.27,6.4,347833
2017-01-10,6.2,6.34,6.1,6.5,392856
2017-01-11,6.4,6.47,6.21,6.45,373648
2017-01-12,6.47,6.6,6.36,6.4,542453
2017-01-13,6.62,7.15,6.5,6.99,524272
2017-01-17,7.08,7.0,6.88,6.87,392896
2017-01-18,6.9,6.91,6.96,7.03,361734
2017-01-19,6.85,6.95,6.76,6.88,370079
2017-01-20,6.9,6.97,6.84,6.8,281606
2017-01-23,6.73,6.8,6.51,6.46,227098
2017-01-24,6.65,6.66,6.63,6.68,219061
2017-01-25,6.96,7.0,6.36,6.59,559820
2017-01-26,6.5,6.57,6.43,6.78,256129
2017-01-27,6.5,6.61,6.44,6.4,137873
2017-01-30,6.46,6.34,6.15,6.29,260778
2017-01-31,6.41,6.43,5.9,6.4,492654
2017-02-01,6.43,6.5,6.37,6.35,225637
2017-02-02,6.2,6.29,6.0,6.25,425500
2017-02-03,6.07,6.45,6.29,6.23,213075
2017-02-06,6.3,6.35,6.05,6.04,191795
2017-02-07,6.34,6.23,6.09,6.27,573756
2017-02-08,6.23,6.32,5.76,5.95,465694
2017-02-09,5.95,6.05,5.9,6.08,407500
2017-02-10,6.17,6.33,5.87,6.22,332037
2017-02-13,6.32,6.33,6.25,6.18,344126
2017-02-14,6.45,6.49,6.4,6.4,347993
2017-02-15,6.6,6.51,6.41,6.56,243243
2017-02-16,6.58,6.8,6.44,6.34,277493
2017-02-17,6.37,6.31,6.31,6.38,273278
2017-02-21,5.89,6.17,4.26,4.69,3501928
2017-02-22,4.32,4.39,4.0,4.38,2460119
2017-02-23,4.3,4.72,4.17,4.68,1458308
2017-02-24,4.56,4.71,4.31,4.53,773184
2017-02-27,4.44,4.5,4.34,4.5,570924
2017-02-28,4.4,4.6,4.29,4.4,652195
2017-03-01,4.5,4.62,4.48,4.5,652704
2017-03-02,4.7,4.69,4.48,4.78,654715
2017-03-03,4.7,4.97,4.7,4.97,697624
2017-03-06,4.95,5.01,4.91,4.97,612775
2017-03-07,4.94,4.85,4.77,4.91,798340
2017-03-08,4.95,4.97,4.82,4.79,570026
2017-03-09,4.91,4.9,4.52,4.53,692097
2017-03-10,4.46,4.6,4.14,4.27,676588
2017-03-13,4.2,4.3,4.26,4.38,314565
2017-03-14,4.59,4.71,4.1,4.29,389117
2017-03-15,4.26,4.42,4.13,4.31,488506
2017-03-16,4.23,4.36,4.12,4.22,640039
2017-03-17,4.04,4.09,3.48,3.6,2178295
2017-03-20,3.56,3.6,3.37,3.53,720551
2017-03-21,3.49,3.53,3.2,3.2,870467
2017-03-22,3.29,3.22,3.01,3.22,1641086
2017-03-23,3.29,3.36,3.1,3.11,705833
2017-03-24,3.18,3.14,3.0,3.06,901544
2017-03-27,3.02,3.2,2.8,3.23,955800
2017-03-28,3.17,3.39,3.24,3.22,438244
2017-03-29,3.19,3.5,3.18,3.4,1178979
2017-03-30,3.39,3.52,3.33,3.43,368536
2017-03-31,3.48,3.41,3.23,3.33,563330
2017-04-03,3.2,3.3,2.94,3.01,1744491
2017-04-04,3.0,3.0,2.91,3.0,1442428
2017-04-05,3.1,3.2,3.1,3.23,927886
2017-04-06,3.15,3.44,3.16,3.55,1111682
2017-04-07,3.49,3.44,3.18,3.33,652754
2017-04-10,3.2,3.3,3.24,3.32,704703
2017-04-11,3.26,3.27,3.27,3.24,440634
2017-04-12,3.24,3.34,3.13,3.25,385917
2017-04-13,3.25,3.27,3.09,3.18,315448
2017-04-17,3.0,3.19,3.0,3.09,356720
2017-04-18,3.0,3.24,3.09,3.2,417281
2017-04-19,3.3,3.39,3.0,3.15,675555
2017-04-20,3.03,3.1,3.14,3.14,545116
2017-04-21,3.11,3.05,3.1,3.03,737633
2017-04-24,3.1,3.17,3.07,2.99,659467
2017-04-25,2.99,3.18,3.03,3.09,969833
2017-04-26,3.01,3.37,2.95,3.21,1436129
2017-04-27,3.27,3.22,3.08,3.19,353993
2017-04-28,3.2,3.14,3.08,3.2,528292
2017-05-01,3.19,3.24,3.15,3.22,180492
2017-05-02,3.2,3.27,3.08,3.06,428631
2017-05-03,3.17,3.15,2.94,2.98,448426
2017-05-04,3.05,3.22,3.06,3.09,597691
2017-05-05,3.0,3.0,2.98,2.95,534338
2017-05-08,2.96,3.06,2.9,3.0,495511
2017-05-09,2.91,2.9,2.93,2.93,251570
2017-05-10,2.95,3.08,2.83,3.0,524582
2017-05-11,3.04,3.01,2.84,2.89,381374
2017-05-12,2.89,2.87,2.67,2.84,856519
2017-05-15,2.79,3.09,2.69,3.0,961953
2017-05-16,3.0,3.1,2.99,3.13,954237
2017-05-17,3.17,3.13,3.0,3.06,477580
2017-05-18,3.04,3.22,3.03,3.16,415076
2017-05-19,3.2,3.4,3.15,3.3,400981
2017-05-22,3.47,3.6,3.3,3.6,643477
2017-05-23,3.7,3.63,3.22,3.27,550708
2017-05-24,3.26,3.28,3.2,3.26,339042
2017-05-25,3.39,3.41,3.19,3.26,351719
2017-05-26,3.24,3.34,3.25,3.28,270378
2017-05-30,3.28,3.29,3.2,3.14,424352
2017-05-31,3.18,3.28,3.0,3.17,345493
2017-06-01,3.11,3.11,3.06,3.12,631407
2017-06-02,3.05,3.11,2.96,2.98,497109
2017-06-05,3.0,3.08,2.93,2.89,375291
2017-06-06,2.92,2.95,2.88,3.0,262429
2017-06-07,2.98,2.91,2.8,2.9,536805
2017-06-08,2.81,3.09,2.77,3.01,510358
2017-06-09,3.02,3.1,2.88,3.0,434567
2017-06-12,3.13,3.2,2.97,3.1,443286
2017-06-13,3.09,3.2,2.86,3.02,372770
2017-06-14,2.99,3.18,2.96,3.0,342090
2017-06-15,2.99,3.23,2.98,3.03,373650
2017-06-16,3.01,3.4,2.98,3.16,1619359
2017-06-19,3.21,3.51,3.16,3.36,462307
2017-06-20,3.38,3.4,3.2,3.26,236658
2017-06-21,3.3,3.39,3.2,3.25,423228
2017-06-22,3.25,3.31,3.1,3.18,237618
2017-06-23,3.17,3.37,3.19,3.4,709229
2017-06-26,3.44,3.49,3.34,3.32,280516
2017-06-27,3.35,3.39,3.2,3.31,340233
2017-06-28,3.42,3.5,3.33,3.35,623036
2017-06-29,3.36,3.5,3.26,3.48,976478
2017-06-30,3.4,3.72,3.4,3.69,617175
2017-07-03,3.59,3.79,3.5,3.8,329631
2017-07-05,3.63,3.66,3.44,3.63,394977
2017-07-06,3.72,3.7,3.59,3.57,341592
2017-07-07,3.65,3.63,3.5,3.64,242655
2017-07-10,3.48,3.64,3.24,3.44,295592
2017-07-11,3.37,3.6,3.4,3.5,286399
2017-07-12,3.53,3.68,3.49,3.58,266426
2017-07-13,3.51,3.61,3.39,3.62,264669
2017-07-14,3.62,3.84,3.57,3.7,456382
2017-07-17,3.74,3.79,3.64,3.72,322364
2017-07-18,3.71,3.7,3.6,3.66,341584
2017-07-19,3.73,4.0,3.75,3.87,492042
2017-07-20,3.77,3.91,3.73,3.66,431022
2017-07-21,3.76,3.79,3.5,3.64,324918
2017-07-24,3.49,3.58,3.34,3.35,325625
2017-07-25,3.43,3.56,3.3,3.47,571700
2017-07-26,3.51,3.43,2.96,3.02,2823592
2017-07-27,3.1,3.14,3.02,3.07,456700
2017-07-28,3.09,3.1,2.98,3.13,442723
2017-07-31,3.09,3.23,3.0,3.26,263841
2017-08-01,3.29,3.3,3.2,3.22,369096
2017-08-02,3.25,3.22,3.16,3.27,224558
2017-08-03,3.19,3.17,3.0,3.08,239006
2017-08-04,3.19,3.27,3.0,3.14,253738
2017-08-07,3.09,3.3,3.22,3.19,347403
2017-08-08,3.18,3.19,3.14,3.2,272882
2017-08-09,3.15,3.18,3.04,3.04,246458
2017-08-10,3.06,3.08,3.01,3.04,223830
2017-08-11,3.0,3.06,2.99,3.09,174891
2017-08-14,3.04,3.08,3.09,2.98,242376
2017-08-15,3.02,3.0,2.8,2.9,1557624
2017-08-16,2.9,2.92,2.66,2.71,703799
