date,open,high,low,close,volume
2017-01-03,0.02,0.023,0.01,0.02,7217594
2017-01-04,0.0182,0.02,0.012,0.0195,5731132
2017-01-05,0.0196,0.019,0.0163,0.018,3674837
2017-01-06,0.017,0.017,0.0151,0.0168,2608452
2017-01-09,0.018,0.018,0.014,0.015,2607173
2017-01-10,0.0157,0.017,0.016,0.0171,1332846
2017-01-11,0.0172,0.019,0.0162,0.0186,2197408
2017-01-12,0.0191,0.0195,0.016,0.017,2283058
2017-01-13,0.0188,0.0188,0.015,0.0183,1738272
2017-01-17,0.0184,0.0187,0.017,0.0177,2699886
2017-01-18,0.019,0.019,0.015,0.016,4213812
2017-01-19,0.0178,0.0206,0.015,0.02,6360736
2017-01-20,0.0239,0.025,0.0174,0.019,3388632
2017-01-23,0.018,0.02,0.017,0.018,2927884
2017-01-24,0.021,0.0218,0.0118,0.0181,3300368
2017-01-25,0.0197,0.0195,0.0113,0.0142,7128618
2017-01-26,0.014,0.014,0.01,0.0119,7569603
2017-01-27,0.0125,0.0124,0.0059,0.0071,18881344
2017-01-30,0.0076,0.01,0.007,0.0072,9919715
2017-01-31,0.0088,0.01,0.0057,0.0059,10152725
2017-02-01,0.0066,0.0081,0.0058,0.0069,5720252
2017-02-02,0.0131,0.0126,0.006,0.007,3758609
2017-02-03,0.007,0.0073,0.0052,0.006,8486372
2017-02-06,0.0067,0.0086,0.0064,0.007,3289811
2017-02-07,0.0074,0.0076,0.0058,0.0058,2563452
2017-02-08,0.007,0.0081,0.006,0.0077,2598269
2017-02-09,0.0078,0.009,0.0066,0.0072,3091920
2017-02-10,0.0076,0.0078,0.0067,0.0078,6054450
2017-02-13,0.01,0.0104,0.0075,0.0083,8860426
2017-02-14,0.0084,0.0084,0.0073,0.0075,3720141
2017-02-15,0.008,0.0095,0.007,0.0089,1885180
2017-02-16,0.0095,0.0093,0.0062,0.0073,4775385
2017-02-17,0.007,0.0073,0.006,0.0067,2559224
2017-02-21,0.0102,0.0101,0.0052,0.0069,10632109
2017-02-22,0.007,0.0087,0.0064,0.0086,2106983
2017-02-23,0.0088,0.0102,0.0074,0.009,3967077
2017-02-24,0.009,0.009,0.0075,0.008,2770051
2017-02-27,0.008,0.0088,0.007,0.0083,2353450
2017-02-28,0.0085,0.0096,0.007,0.0086,3071655
2017-03-01,0.0078,0.0085,0.0065,0.0075,2956091
2017-03-02,0.0079,0.0098,0.007,0.0077,4640922
2017-03-03,0.0077,0.0075,0.006,0.0068,6156924
2017-03-06,0.0066,0.007,0.0046,0.0046,5140116
2017-03-07,0.0051,0.0054,0.0034,0.0043,11118426
2017-03-08,0.0048,0.0064,0.004,0.0057,3627838
2017-03-09,0.0056,0.0062,0.0048,0.0063,1032789
2017-03-10,0.009,0.009,0.006,0.0071,10883661
2017-03-13,0.0088,0.0087,0.006,0.0072,5904055
