date,open,high,low,close,volume
2017-01-03,15.68,15.48,16.04,15.88,244
2017-01-04,0.0,0.0,0.0,15.5,0
2017-01-05,0.0,0.0,0.0,15.75,0
2017-01-06,0.0,0.0,0.0,15.92,1
2017-01-09,0.0,0.0,0.0,16.08,0
2017-01-10,0.0,0.0,0.0,16.03,0
2017-01-11,0.0,0.0,0.0,15.67,0
2017-01-12,0.0,0.0,0.0,16.1,0
2017-01-13,16.28,16.3,15.99,16.52,104817
2017-01-17,0.0,0.0,0.0,16.09,4
2017-01-18,0.0,0.0,0.0,16.22,0
2017-01-19,15.88,16.15,16.05,16.49,428
2017-01-20,0.0,0.0,0.0,15.99,0
2017-01-23,0.0,0.0,0.0,15.73,0
2017-01-24,15.85,15.85,16.26,16.01,502
2017-01-25,0.0,0.0,0.0,16.11,0
2017-01-26,0.0,0.0,0.0,15.84,0
2017-01-27,0.0,0.0,0.0,15.61,0
2017-01-30,15.92,15.88,15.53,15.81,1907
2017-01-31,0.0,0.0,0.0,15.79,0
2017-02-01,0.0,0.0,0.0,15.58,0
2017-02-02,15.92,15.84,15.4,15.7,1030
2017-02-03,15.85,15.73,15.84,15.91,422
2017-02-06,0.0,0.0,0.0,16.17,0
2017-02-07,15.71,16.06,15.74,15.85,171
2017-02-08,15.1,15.31,15.36,15.79,176
2017-02-09,0.0,0.0,0.0,15.75,0
2017-02-10,0.0,0.0,0.0,15.14,0
2017-02-13,0.0,0.0,0.0,15.69,0
2017-02-14,0.0,0.0,0.0,15.8,0
2017-02-15,0.0,0.0,0.0,15.25,0
2017-02-16,0.0,0.0,0.0,15.72,0
2017-02-17,15.74,15.61,15.82,16.01,222
2017-02-21,0.0,0.0,0.0,16.15,0
2017-02-22,0.0,0.0,0.0,15.84,0
2017-02-23,0.0,0.0,0.0,15.79,0
2017-02-24,15.0,16.0,15.0,16.0,207
2017-02-27,15.26,15.42,15.4,15.4,4027
2017-02-28,16.0,16.0,15.62,15.21,1304
2017-03-01,0.0,0.0,0.0,15.15,0
2017-03-02,0.0,0.0,0.0,15.7,0
2017-03-03,0.0,0.0,0.0,15.0,0
2017-03-06,0.0,0.0,0.0,15.66,0
2017-03-07,0.0,0.0,0.0,15.7,0
2017-03-08,0.0,0.0,0.0,15.21,383
2017-03-09,0.0,0.0,0.0,15.38,0
2017-03-10,0.0,0.0,0.0,15.3,0
2017-03-13,0.0,0.0,0.0,15.16,0
2017-03-14,0.0,0.0,0.0,15.02,0
2017-03-15,0.0,0.0,0.0,15.35,0
2017-03-16,0.0,0.0,0.0,15.62,0
2017-03-17,0.0,0.0,0.0,15.65,0
2017-03-20,0.0,0.0,0.0,15.31,0
2017-03-21,16.32,16.15,16.67,16.7,209
2017-03-22,16.47,16.36,16.51,15.96,476
2017-03-23,16.18,16.7,16.54,16.75,1356
2017-03-24,0.0,0.0,0.0,16.33,61
2017-03-27,0.0,0.0,0.0,16.33,0
2017-03-28,16.6,16.4,15.9,16.2,694
2017-03-29,0.0,0.0,0.0,16.2,0
2017-03-30,0.0,0.0,0.0,15.8,0
2017-03-31,0.0,0.0,0.0,15.9,792
2017-04-03,0.0,0.0,0.0,16.1,0
2017-04-04,0.0,0.0,0.0,15.9,0
2017-04-05,15.7,15.6,15.8,15.7,168
2017-04-06,0.0,0.0,0.0,15.7,0
2017-04-07,15.43,15.55,15.11,15.26,215
2017-04-10,0.0,0.0,0.0,15.08,0
2017-04-11,0.0,0.0,0.0,15.45,801
2017-04-12,15.1,15.2,15.6,15.3,527
2017-04-13,0.0,0.0,0.0,15.4,520
2017-04-17,0.0,0.0,0.0,15.6,0
2017-04-18,0.0,0.0,0.0,15.4,0
2017-04-19,0.0,0.0,0.0,15.8,0
2017-04-20,0.0,0.0,0.0,15.1,0
2017-04-21,15.9,15.6,15.4,15.9,367
2017-04-24,16.57,16.57,16.23,16.25,8219
2017-04-25,0.0,0.0,0.0,16.07,115249
2017-04-26,0.0,0.0,0.0,16.32,0
2017-04-27,16.63,16.34,16.42,16.65,1056
2017-04-28,15.73,15.5,15.45,15.7,508
2017-05-01,0.0,0.0,0.0,15.93,0
2017-05-02,0.0,0.0,0.0,16.0,1841
2017-05-03,16.1,16.0,16.3,16.1,258
2017-05-04,17.0,16.0,16.0,16.0,2063
2017-05-05,16.5,17.2,16.52,16.83,2068
2017-05-08,17.03,16.72,16.71,17.14,138
2017-05-09,0.0,0.0,0.0,16.99,138
2017-05-10,0.0,0.0,0.0,17.21,0
2017-05-11,0.0,0.0,0.0,16.97,0
2017-05-12,0.0,0.0,0.0,16.76,94
2017-05-15,16.59,16.73,17.2,16.73,168
2017-05-16,17.69,17.66,17.75,17.62,134462
2017-05-17,17.22,17.0,17.17,17.44,291
2017-05-18,0.0,0.0,0.0,17.05,0
2017-05-19,0.0,0.0,0.0,17.05,0
2017-05-22,17.77,17.82,17.88,17.58,170
2017-05-23,18.14,18.05,17.78,18.06,115
2017-05-24,17.88,18.03,18.36,17.91,211
2017-05-25,18.0,17.8,18.2,17.9,372
2017-05-26,0.0,0.0,0.0,18.4,43
2017-05-30,0.0,0.0,0.0,17.7,0
2017-05-31,18.54,18.25,17.95,18.73,104
2017-06-01,17.2,17.5,17.9,17.6,61813
2017-06-02,17.46,17.69,17.61,17.54,467
2017-06-05,17.9,17.9,17.49,17.67,863
2017-06-06,17.88,17.65,18.1,17.75,1019
2017-06-07,0.0,0.0,0.0,17.64,0
2017-06-08,17.62,17.48,17.92,18.13,120
2017-06-09,17.34,17.64,17.72,17.1,405
2017-06-12,16.91,17.11,17.29,17.37,134
2017-06-13,0.0,0.0,0.0,17.55,61
2017-06-14,17.4,17.1,17.5,16.9,1462
2017-06-15,0.0,0.0,0.0,17.5,38
2017-06-16,16.6,16.5,16.4,16.5,291
2017-06-19,16.5,16.6,16.4,16.4,558
2017-06-20,16.26,16.31,16.34,16.42,287
2017-06-21,0.0,0.0,0.0,15.94,1337
2017-06-22,0.0,0.0,0.0,16.2,0
2017-06-23,0.0,0.0,0.0,16.5,0
2017-06-26,0.0,0.0,0.0,15.98,0
2017-06-27,0.0,0.0,0.0,15.97,45484
2017-06-28,16.3,16.9,17.0,17.0,1047
2017-06-29,16.44,16.23,15.96,16.12,203
2017-06-30,16.61,16.29,16.11,16.14,336
2017-07-03,0.0,0.0,0.0,16.1,0
2017-07-05,16.0,17.0,17.0,17.0,534
2017-07-06,16.0,16.0,16.0,17.0,162
2017-07-07,16.0,16.2,16.3,16.6,262
2017-07-10,16.26,16.72,16.52,16.25,828
2017-07-11,0.0,0.0,0.0,16.25,0
2017-07-12,0.0,0.0,0.0,16.69,312
2017-07-13,0.0,0.0,0.0,16.4,0
2017-07-14,0.0,0.0,0.0,16.35,0
2017-07-17,0.0,0.0,0.0,16.65,1570
2017-07-18,0.0,0.0,0.0,16.12,0
2017-07-19,0.0,0.0,0.0,16.59,0
2017-07-20,0.0,0.0,0.0,16.79,0
2017-07-21,16.8,17.2,17.0,17.3,542
2017-07-24,0.0,0.0,0.0,16.7,1855
2017-07-25,17.15,16.93,17.2,17.24,334
2017-07-26,16.9,16.84,16.76,17.3,104
