date,open,high,low,close,volume
2017-01-03,0.0,0.0,0.0,28.6,0
2017-01-04,29.5,29.7,28.8,29.3,123
2017-01-05,0.0,0.0,0.0,29.5,0
2017-01-06,0.0,0.0,0.0,29.4,0
2017-01-09,30.46,29.93,29.28,30.39,393
2017-01-10,0.0,0.0,0.0,29.75,0
2017-01-11,0.0,0.0,0.0,30.43,0
2017-01-12,0.0,0.0,0.0,30.41,0
2017-01-13,0.0,0.0,0.0,30.12,0
2017-01-17,0.0,0.0,0.0,29.81,0
2017-01-18,0.0,0.0,0.0,29.52,0
2017-01-19,29.98,29.86,29.92,29.77,1014
2017-01-20,0.0,0.0,0.0,29.58,0
2017-01-23,0.0,0.0,0.0,30.46,1844
2017-01-24,0.0,0.0,0.0,30.44,24685
2017-01-25,0.0,0.0,0.0,29.88,0
2017-01-26,30.0,31.0,30.0,30.0,204
2017-01-27,0.0,0.0,0.0,31.0,0
2017-01-30,0.0,0.0,0.0,31.0,0
2017-01-31,30.34,30.79,30.34,31.14,919
2017-02-01,0.0,0.0,0.0,30.59,47
2017-02-02,0.0,0.0,0.0,30.3,0
2017-02-03,0.0,0.0,0.0,31.1,0
2017-02-06,0.0,0.0,0.0,30.21,0
2017-02-07,0.0,0.0,0.0,30.91,0
2017-02-08,0.0,0.0,0.0,31.06,0
2017-02-09,30.7,30.01,29.56,30.88,166
2017-02-10,0.0,0.0,0.0,30.47,0
2017-02-13,0.0,0.0,0.0,30.11,0
2017-02-14,0.0,0.0,0.0,30.26,0
2017-02-15,0.0,0.0,0.0,30.2,0
2017-02-16,0.0,0.0,0.0,29.85,0
2017-02-17,0.0,0.0,0.0,30.11,0
2017-02-21,0.0,0.0,0.0,30.54,0
2017-02-22,0.0,0.0,0.0,29.51,0
2017-02-23,0.0,0.0,0.0,30.39,0
2017-02-24,0.0,0.0,0.0,30.51,0
2017-02-27,0.0,0.0,0.0,29.98,0
2017-02-28,0.0,0.0,0.0,30.18,0
2017-03-01,0.0,0.0,0.0,29.72,0
2017-03-02,0.0,0.0,0.0,30.3,21
2017-03-03,0.0,0.0,0.0,30.06,0
2017-03-06,0.0,0.0,0.0,30.6,0
2017-03-07,0.0,0.0,0.0,30.93,0
2017-03-08,0.0,0.0,0.0,30.08,0
2017-03-09,0.0,0.0,0.0,30.38,0
2017-03-10,0.0,0.0,0.0,30.3,0
2017-03-13,0.0,0.0,0.0,30.23,0
2017-03-14,0.0,0.0,0.0,30.58,0
2017-03-15,0.0,0.0,0.0,30.77,0
2017-03-16,0.0,0.0,0.0,29.94,0
2017-03-17,0.0,0.0,0.0,30.15,0
2017-03-20,33.52,32.81,33.38,33.17,2132
2017-03-21,0.0,0.0,0.0,32.65,0
2017-03-22,32.61,32.69,31.8,32.04,27733
2017-03-23,0.0,0.0,0.0,33.1,0
2017-03-24,33.0,33.0,33.0,32.0,945
2017-03-27,0.0,0.0,0.0,33.0,0
2017-03-28,0.0,0.0,0.0,33.0,0
