date,open,high,low,close,volume
2017-01-03,2.28,2.29,1.96,2.27,28623
2017-01-04,2.28,2.43,2.28,2.37,63073
2017-01-05,2.44,2.37,2.36,2.35,31180
2017-01-06,2.33,2.37,2.08,2.15,94137
2017-01-09,2.21,2.33,2.2,2.35,24317
2017-01-10,2.3,2.37,2.26,2.38,43759
2017-01-11,2.4,2.36,2.3,2.35,36925
2017-01-12,2.43,2.42,2.21,2.21,15171
2017-01-13,2.22,2.3,2.2,2.27,7509
2017-01-17,2.27,2.32,2.18,2.29,2526
2017-01-18,2.41,2.36,2.17,2.21,8344
2017-01-19,2.1,2.37,2.08,2.22,153760
2017-01-20,2.16,2.32,2.13,2.32,23556
2017-01-23,2.34,2.28,2.1,2.2,11764
2017-01-24,2.28,2.38,1.97,2.24,145249
2017-01-25,2.23,2.2,2.1,2.28,14803
2017-01-26,2.28,2.25,2.21,2.27,25168
2017-01-27,2.26,2.35,2.18,2.25,22164
2017-01-30,2.3,2.26,2.14,2.23,40357
2017-01-31,2.25,2.35,2.16,2.25,8406
2017-02-01,2.2,2.21,2.18,2.16,7483
2017-02-02,2.21,2.21,2.19,2.23,11764
2017-02-03,2.15,2.24,2.16,2.14,2235
2017-02-06,2.19,2.18,2.2,2.15,17052
2017-02-07,2.22,2.21,2.14,2.19,22357
2017-02-08,2.16,2.19,2.14,2.15,28598
2017-02-09,2.18,2.21,2.22,2.24,3952
2017-02-10,2.2,2.26,2.13,2.27,6533
2017-02-13,2.31,2.39,2.26,2.47,20824
2017-02-14,2.3,2.42,2.33,2.4,7133
2017-02-15,2.3,2.34,2.18,2.26,30795
2017-02-16,2.23,2.45,2.25,2.25,17893
2017-02-17,2.32,2.4,2.2,2.32,13071
2017-02-21,2.28,2.43,2.25,2.16,33479
2017-02-22,2.23,2.26,2.2,2.21,76828
2017-02-23,2.15,2.27,2.11,2.15,55673
2017-02-24,2.14,2.27,2.06,2.09,29263
2017-02-27,2.15,2.21,2.02,2.22,18460
2017-02-28,2.28,2.22,2.1,2.13,13108
2017-03-01,2.2,2.25,2.1,2.22,12126
2017-03-02,2.08,2.18,2.08,2.15,20931
2017-03-03,2.16,2.23,2.19,2.23,677
2017-03-06,2.12,2.13,2.13,2.12,1162
2017-03-07,2.2,2.14,2.12,2.22,9631
2017-03-08,2.2,2.21,2.13,2.22,15075
2017-03-09,2.16,2.53,2.25,2.59,184811
2017-03-10,2.51,2.74,2.45,2.59,127049
2017-03-13,2.58,2.71,2.55,2.68,35706
2017-03-14,2.72,2.81,2.61,2.73,17406
2017-03-15,2.76,3.07,2.6,2.92,55611
2017-03-16,2.85,3.15,2.78,2.91,34883
2017-03-17,2.95,3.0,2.87,2.89,34831
2017-03-20,3.0,3.0,2.38,2.55,47099
2017-03-21,2.61,2.54,2.35,2.37,29583
2017-03-22,2.35,2.45,2.35,2.38,10240
2017-03-23,2.28,2.42,2.34,2.29,15061
2017-03-24,2.54,2.82,2.35,2.67,136038
2017-03-27,2.7,2.72,2.42,2.67,25098
2017-03-28,2.59,2.86,2.45,2.46,30473
2017-03-29,2.46,2.85,2.5,2.65,34776
2017-03-30,2.55,2.76,2.31,2.41,94559
2017-03-31,2.5,2.45,2.37,2.44,17949
2017-04-03,2.49,2.66,2.51,2.51,23686
2017-04-04,2.57,2.56,2.49,2.44,6708
2017-04-05,2.47,2.53,2.53,2.5,17516
2017-04-06,2.45,2.5,2.29,2.4,8456
2017-04-07,2.3,2.4,2.32,2.41,5574
2017-04-10,2.41,2.43,2.37,2.43,8231
2017-04-11,2.51,2.47,2.34,2.35,13356
2017-04-12,2.39,2.33,2.32,2.32,11834
2017-04-13,2.29,2.36,2.2,2.17,15904
2017-04-17,2.26,2.32,2.26,2.25,29343
2017-04-18,2.26,2.22,2.22,2.27,2582
2017-04-19,2.22,2.23,2.25,2.24,6906
2017-04-20,2.26,2.46,2.29,2.36,50089
2017-04-21,2.29,2.28,2.2,2.16,39205
2017-04-24,2.17,2.17,2.14,2.17,5408
2017-04-25,2.1,2.22,2.13,2.26,8912
2017-04-26,2.23,2.53,2.29,2.44,85459
2017-04-27,2.45,2.4,2.37,2.46,6307
2017-04-28,2.42,2.51,2.4,2.44,18330
2017-05-01,2.49,2.5,2.46,2.41,24641
2017-05-02,2.38,2.45,2.45,2.52,1839
2017-05-03,2.46,2.45,2.39,2.47,1566
2017-05-04,2.42,2.44,2.47,2.46,4199
2017-05-05,2.39,2.5,2.39,2.45,12246
2017-05-08,2.41,2.41,2.44,2.33,10393
2017-05-09,2.41,2.46,2.35,2.43,2209
2017-05-10,2.5,2.98,2.37,2.44,99392
2017-05-11,2.5,2.45,2.36,2.35,11785
2017-05-12,2.5,2.5,2.35,2.39,47155
2017-05-15,2.33,2.48,2.3,2.42,8528
2017-05-16,2.44,2.46,2.4,2.41,23912
2017-05-17,2.4,2.3,2.36,2.28,3675
2017-05-18,2.3,2.41,2.35,2.39,5025
2017-05-19,2.37,2.42,2.24,2.26,19992
2017-05-22,2.28,2.43,2.27,2.35,3810
2017-05-23,2.35,2.42,2.26,2.34,8397
2017-05-24,2.37,2.36,2.31,2.31,2980
2017-05-25,2.28,2.41,2.31,2.3,19766
2017-05-26,2.3,2.37,2.24,2.26,7084
2017-05-30,2.3,2.27,2.27,2.31,1240
2017-05-31,2.24,2.31,2.32,2.26,8104
2017-06-01,2.29,2.34,2.15,2.25,12082
2017-06-02,2.18,2.25,2.14,2.22,51349
2017-06-05,2.26,2.23,2.12,2.23,11815
2017-06-06,2.1,2.1,2.02,2.0,48623
2017-06-07,2.01,2.14,2.03,1.99,20429
2017-06-08,2.0,2.15,2.0,2.12,2453
2017-06-09,2.05,2.57,2.06,2.24,145073
2017-06-12,2.2,2.34,2.05,2.34,77385
2017-06-13,2.32,2.64,2.19,2.25,180470
2017-06-14,2.22,2.35,2.25,2.3,19858
2017-06-15,2.1,2.23,2.2,2.2,8088
2017-06-16,2.16,2.2,2.14,2.07,17886
2017-06-19,2.05,2.15,2.11,2.08,49056
2017-06-20,2.13,2.21,2.05,2.1,50344
2017-06-21,2.22,2.2,2.1,2.17,12610
2017-06-22,2.13,2.18,2.12,2.03,5005
2017-06-23,2.06,2.34,2.09,2.41,37104
2017-06-26,2.36,2.32,2.12,2.23,6218
2017-06-27,2.22,2.23,2.2,2.21,5028
2017-06-28,2.28,2.26,2.23,2.17,4068
2017-06-29,2.13,2.23,2.2,2.1,19944
2017-06-30,2.21,2.28,2.16,2.21,5192
2017-07-03,2.21,2.32,2.26,2.25,125
2017-07-05,2.24,2.32,2.21,2.19,2709
2017-07-06,2.22,2.23,2.18,2.24,25880
