date,open,high,low,close,volume
2017-01-03,52.0,55.0,53.3,56.0,2357282
2017-01-04,56.0,56.43,55.2,55.11,1647589
2017-01-05,58.11,58.7,56.8,55.99,2738325
2017-01-06,58.94,59.3,56.63,57.75,3957371
2017-01-09,59.1,57.39,56.4,55.9,2226899
2017-01-10,56.26,56.34,56.56,55.54,1278811
2017-01-11,56.62,57.4,55.79,54.68,1034629
2017-01-12,55.75,54.81,54.5,55.14,1202145
2017-01-13,54.41,55.46,54.0,53.2,539807
2017-01-17,53.83,55.57,53.24,54.73,652173
2017-01-18,53.91,55.71,54.12,53.8,604108
2017-01-19,53.7,54.9,53.49,54.5,1245336
2017-01-20,52.69,55.1,53.35,54.64,1264895
2017-01-23,54.27,55.1,52.95,55.3,765254
2017-01-24,55.74,56.2,52.9,54.45,1098677
2017-01-25,54.6,54.8,52.0,52.2,1260869
2017-01-26,51.4,54.2,51.9,54.7,785203
2017-01-27,54.11,54.4,52.72,53.6,756785
2017-01-30,55.16,54.85,51.6,52.86,1200101
2017-01-31,52.32,52.76,54.1,53.24,1128464
2017-02-01,53.3,53.7,51.0,51.68,1652063
2017-02-02,51.33,53.0,51.54,51.31,1036064
2017-02-03,53.07,52.5,52.87,53.3,1024477
2017-02-06,51.6,53.4,51.08,52.28,1734463
2017-02-07,51.27,52.0,49.6,50.91,1699944
2017-02-08,49.4,50.5,49.6,50.4,1193820
2017-02-09,50.77,50.7,51.2,50.5,1522479
2017-02-10,50.8,51.0,50.43,50.24,1649314
2017-02-13,51.5,50.6,49.6,50.92,1528283
2017-02-14,50.2,51.2,50.58,52.5,1100817
2017-02-15,51.3,51.17,50.45,50.7,1184317
2017-02-16,51.1,52.3,51.0,51.28,1646497
2017-02-17,51.73,51.2,50.02,50.89,1815630
2017-02-21,50.9,50.19,50.6,52.2,1846792
2017-02-22,52.33,51.16,51.32,51.44,1292120
2017-02-23,51.3,52.0,51.18,51.59,1206626
2017-02-24,52.0,52.2,50.97,52.18,1136346
2017-02-27,51.8,52.51,49.6,50.7,2242247
2017-02-28,48.2,47.59,45.5,45.46,8178568
2017-03-01,45.95,46.18,44.0,45.3,2518207
2017-03-02,45.4,44.2,41.7,44.08,3903499
2017-03-03,42.87,45.0,43.05,43.61,1998016
2017-03-06,43.09,44.2,40.77,41.8,3278125
2017-03-07,41.3,42.0,39.63,40.5,4845341
2017-03-08,39.7,39.8,37.54,37.9,2855912
2017-03-09,38.22,40.87,37.67,41.0,4514870
2017-03-10,40.0,40.61,40.41,41.34,3067105
2017-03-13,38.4,40.66,37.2,39.15,5298936
2017-03-14,38.9,38.1,37.0,36.44,3194392
2017-03-15,37.3,36.8,35.41,36.36,4749151
2017-03-16,37.89,38.7,37.4,38.18,3900806
2017-03-17,38.34,38.2,37.8,37.84,20887081
2017-03-20,37.89,37.77,37.62,37.23,2727052
2017-03-21,37.21,38.1,36.91,36.9,2480228
2017-03-22,32.67,34.29,29.94,32.55,7171663
2017-03-23,32.3,31.6,30.15,30.3,4917150
2017-03-24,29.52,32.34,29.7,32.25,5385246
2017-03-27,32.4,31.41,30.07,30.8,3035574
2017-03-28,31.02,31.5,30.2,29.8,4071463
2017-03-29,31.0,31.79,30.38,30.4,4140314
2017-03-30,32.37,33.9,31.2,33.27,4385506
2017-03-31,33.58,33.23,33.2,32.4,4741422
2017-04-03,32.62,33.77,31.9,31.54,2425240
2017-04-04,31.2,33.4,32.1,32.81,2904477
2017-04-05,33.4,33.77,32.79,32.6,5471541
2017-04-06,33.0,32.4,31.9,31.8,1970908
2017-04-07,32.2,32.92,32.1,31.3,2174328
2017-04-10,32.4,32.9,31.5,32.4,1231040
2017-04-11,32.2,31.9,31.47,31.16,1922214
2017-04-12,32.2,31.8,30.2,31.93,2034291
2017-04-13,30.82,32.22,29.18,30.2,2434561
2017-04-17,29.56,31.0,29.45,30.4,1356464
2017-04-18,30.27,30.87,29.2,29.8,988135
2017-04-19,30.3,31.0,27.6,28.1,2983422
2017-04-20,28.2,29.96,29.1,29.4,1860489
2017-04-21,29.7,30.2,28.44,29.4,1547462
2017-04-24,29.9,29.7,29.16,28.6,2007468
2017-04-25,28.45,29.97,28.37,29.8,2010886
2017-04-26,29.93,29.55,29.5,30.2,2176527
2017-04-27,29.44,29.98,29.2,28.71,1318083
2017-04-28,28.84,30.39,28.0,28.2,3053281
2017-05-01,29.6,28.58,27.97,28.21,1723337
2017-05-02,29.0,30.1,28.3,29.73,3935708
2017-05-03,26.8,27.53,25.22,24.99,7737257
2017-05-04,24.88,25.74,21.9,22.09,5352049
2017-05-05,21.97,22.35,21.0,22.8,2431156
2017-05-08,22.91,23.64,22.73,23.65,2586889
2017-05-09,22.6,23.5,21.0,21.78,3422842
2017-05-10,21.9,21.6,19.35,20.8,5290772
2017-05-11,20.7,20.69,18.04,18.0,4020133
2017-05-12,19.0,19.4,18.0,18.27,2873542
2017-05-15,18.35,20.58,18.24,19.51,2987554
2017-05-16,20.61,21.0,19.2,20.66,3297299
2017-05-17,20.34,21.2,20.22,20.75,2007444
2017-05-18,20.2,20.7,19.92,19.9,1663920
2017-05-19,20.4,22.8,19.85,22.8,3464107
2017-05-22,22.6,23.7,22.27,22.55,2127024
2017-05-23,23.17,22.9,21.82,21.0,2036127
2017-05-24,22.3,21.7,21.09,21.42,1851140
2017-05-25,21.2,21.24,20.48,21.2,740466
2017-05-26,20.99,21.87,20.89,20.17,1057771
2017-05-30,20.54,20.8,20.31,20.3,1714038
2017-05-31,20.3,20.1,20.1,20.26,6845082
2017-06-01,20.53,20.57,20.02,20.2,2846903
2017-06-02,20.2,21.1,19.72,19.6,1987989
2017-06-05,20.4,19.7,19.3,19.8,1407418
