date,open,high,low,close,volume
2017-01-03,0.026,0.025,0.01,0.01,96466
2017-01-04,0.0,0.0,0.0,0.01,0
2017-01-05,0.0,0.0,0.0,0.01,0
2017-01-06,0.0,0.0,0.0,0.01,0
2017-01-09,0.0,0.0,0.0,0.01,0
2017-01-10,0.0,0.0,0.0,0.01,0
2017-01-11,0.0,0.0,0.0,0.01,0
2017-01-12,0.0,0.0,0.0,0.01,0
2017-01-13,0.0,0.0,0.0,0.01,0
2017-01-17,0.0,0.0,0.0,0.01,0
2017-01-18,0.0172,0.0174,0.0174,0.0176,2505
2017-01-19,0.0,0.0,0.0,0.0172,0
2017-01-20,0.0,0.0,0.0,0.0173,0
2017-01-23,0.0,0.0,0.0,0.0171,0
2017-01-24,0.0,0.0,0.0,0.017,0
2017-01-25,0.0,0.0,0.0,0.0177,0
2017-01-26,0.0,0.0,0.0,0.0172,0
2017-01-27,0.0,0.0,0.0,0.0172,0
2017-01-30,0.0,0.0,0.0,0.0174,0
2017-01-31,0.0,0.0,0.0,0.0175,0
2017-02-01,0.0,0.0,0.0,0.0175,0
2017-02-02,0.0,0.0,0.0,0.0174,0
2017-02-03,0.0,0.0,0.0,0.0176,0
2017-02-06,0.0,0.0,0.0,0.0172,0
2017-02-07,0.0,0.0,0.0,0.0169,0
2017-02-08,0.0,0.0,0.0,0.017,0
2017-02-09,0.0,0.0,0.0,0.0176,0
2017-02-10,0.0,0.0,0.0,0.0177,0
2017-02-13,0.0,0.0,0.0,0.0174,0
2017-02-14,0.0,0.0,0.0,0.017,0
2017-02-15,0.0,0.0,0.0,0.0177,0
2017-02-16,0.0,0.0,0.0,0.0174,0
2017-02-17,0.0,0.0,0.0,0.0169,0
2017-02-21,0.0,0.0,0.0,0.0172,0
2017-02-22,0.0,0.0,0.0,0.0175,0
2017-02-23,0.0,0.0,0.0,0.0177,0
2017-02-24,0.0,0.0,0.0,0.0176,0
2017-02-27,0.0,0.0,0.0,0.0173,0
2017-02-28,0.0,0.0,0.0,0.0173,0
2017-03-01,0.0,0.0,0.0,0.0177,0
2017-03-02,0.0,0.0,0.0,0.0177,0
2017-03-03,0.0,0.0,0.0,0.0172,0
2017-04-18,0.03,0.233,0.03,0.18,1053275
2017-04-19,0.1837,0.193,0.12,0.12,136131
2017-04-20,0.131,0.128,0.0717,0.09,70351
2017-04-21,0.076,0.106,0.07,0.07,25530
2017-04-24,0.07,0.1823,0.07,0.0791,5908
2017-04-25,0.07,0.124,0.07,0.07,27886
2017-04-26,0.07,0.0826,0.07,0.077,13390
2017-04-27,0.1,0.1,0.0923,0.0926,4182
2017-04-28,0.098,0.0983,0.07,0.07,28844
2017-05-01,0.07,0.07,0.07,0.07,7800
2017-05-02,0.08,0.08,0.07,0.07,3528
2017-05-03,0.07,0.07,0.07,0.07,305
2017-05-04,0.054,0.056,0.053,0.056,30503
2017-05-05,0.07,0.07,0.07,0.07,2210
2017-05-08,0.07,0.07,0.07,0.07,4459
2017-05-09,0.055,0.055,0.055,0.054,1697
2017-05-10,0.0741,0.0751,0.05,0.05,6668
2017-05-11,0.0,0.0,0.0,0.05,0
2017-05-12,0.04,0.04,0.04,0.04,1010
2017-05-15,0.0,0.0,0.0,0.04,0
2017-05-16,0.042,0.042,0.043,0.044,523
2017-05-17,0.0,0.0,0.0,0.042,0
2017-05-18,0.052,0.053,0.05,0.05,36733
2017-05-19,0.0,0.0,0.0,0.05,0
2017-05-22,0.047,0.047,0.046,0.045,2617
2017-05-23,0.047,0.047,0.043,0.042,6163
2017-05-24,0.05,0.05,0.05,0.05,1283
2017-05-25,0.0,0.0,0.0,0.05,0
2017-05-26,0.0,0.0,0.0,0.05,0
2017-05-30,0.0,0.0,0.0,0.05,0
2017-05-31,0.0,0.0,0.0,0.05,104
2017-06-01,0.0,0.0,0.0,0.05,0
2017-06-02,0.0,0.0,0.0,0.05,0
2017-06-05,0.05,0.05,0.05,0.05,14657
2017-06-06,0.0,0.0,0.0,0.05,0
2017-06-07,0.0,0.0,0.0,0.05,0
2017-06-08,0.0,0.0,0.0,0.05,0
2017-06-09,0.0,0.0,0.0,0.05,0
2017-06-12,0.04,0.04,0.04,0.04,10475
2017-06-13,0.0,0.0,0.0,0.04,0
2017-06-14,0.0,0.0,0.0,0.04,0
2017-06-15,0.0,0.0,0.0,0.04,0
2017-06-16,0.0,0.0,0.0,0.04,0
2017-06-19,0.0,0.0,0.0,0.04,0
2017-06-20,0.0,0.0,0.0,0.04,0
2017-06-21,0.04,0.04,0.04,0.04,716
2017-06-22,0.04,0.04,0.04,0.04,593
2017-06-23,0.04,0.04,0.04,0.04,1026
2017-06-26,0.0,0.0,0.0,0.04,0
2017-06-27,0.0,0.0,0.0,0.04,0
2017-06-28,0.0,0.0,0.0,0.04,0
2017-06-29,0.04,0.04,0.04,0.04,3009
2017-06-30,0.0,0.0,0.0,0.04,0
2017-07-03,0.0,0.0,0.0,0.04,0
2017-07-05,0.0,0.0,0.0,0.04,0
2017-07-06,0.0,0.0,0.0,0.04,0
2017-07-07,0.0,0.0,0.0,0.04,0
2017-07-10,0.0,0.0,0.0,0.04,0
2017-07-11,0.0,0.0,0.0,0.04,0
2017-07-12,0.0,0.0,0.0,0.04,0
2017-07-13,0.0,0.0,0.0,0.04,0
2017-07-14,0.0,0.0,0.0,0.04,0
2017-07-17,0.0,0.0,0.0,0.04,0
2017-07-18,0.0,0.0,0.0,0.04,0
2017-07-19,0.04,0.04,0.04,0.04,359
2017-07-20,0.0,0.0,0.0,0.04,0
2017-07-21,0.0,0.0,0.0,0.04,0
2017-07-24,0.0,0.0,0.0,0.04,0
2017-07-25,0.0,0.0,0.0,0.04,0
2017-07-26,0.0,0.0,0.0,0.04,0
2017-07-27,0.0,0.0,0.0,0.04,0
2017-07-28,0.0,0.0,0.0,0.04,0
2017-07-31,0.04,0.04,0.04,0.04,1530
2017-08-01,0.0,0.0,0.0,0.04,0
2017-08-02,0.0,0.0,0.0,0.04,0
2017-08-03,0.0,0.0,0.0,0.04,0
2017-08-04,0.0,0.0,0.0,0.04,0
2017-08-07,0.04,0.04,0.04,0.04,10115
2017-08-08,0.0,0.0,0.0,0.04,0
2017-08-09,0.0,0.0,0.0,0.04,0
2017-08-10,0.0,0.0,0.0,0.04,0
2017-08-11,0.0,0.0,0.0,0.04,0
2017-08-14,0.0,0.0,0.0,0.04,0
2017-08-15,0.04,0.04,0.04,0.04,2064
2017-08-16,0.0,0.0,0.0,0.04,0
2017-08-17,0.0,0.0,0.0,0.04,0
2017-08-18,0.0,0.0,0.0,0.04,0
2017-08-21,0.08,0.08,0.08,0.08,2006
2017-08-22,0.0,0.0,0.0,0.08,0
2017-08-23,0.0,0.0,0.0,0.08,0
2017-08-24,0.04,0.04,0.04,0.04,503
2017-08-25,0.0,0.0,0.0,0.04,0
2017-08-28,0.04,0.04,0.04,0.04,2094
2017-08-29,0.0,0.0,0.0,0.04,0
2017-08-30,0.0,0.0,0.0,0.04,0
2017-08-31,0.0,0.0,0.0,0.04,0
