date,open,high,low,close,volume
2018-03-12,19.0,24.14,18.7,23.35,834224
2018-03-13,23.17,23.8,22.9,23.35,270280
2018-03-14,22.6,24.1,22.5,23.96,135286
2018-03-15,24.12,24.5,23.15,23.5,53274
2018-03-16,23.87,23.47,23.4,23.42,132937
2018-03-19,24.37,24.41,23.52,23.07,71440
2018-03-20,22.94,24.4,22.79,24.22,61180
2018-03-21,23.0,23.79,23.69,23.24,23550
2018-03-22,23.41,23.31,23.43,23.28,46886
2018-03-23,23.75,24.25,23.48,23.25,105796
2018-03-26,24.0,23.7,23.6,23.69,27064
2018-03-27,23.75,24.2,24.0,23.34,107704
2018-03-28,23.4,24.38,23.2,23.99,38791
2018-03-29,23.5,24.67,23.31,23.93,152763
2018-04-02,23.49,24.4,23.69,23.71,52971
2018-04-03,24.3,24.06,24.3,24.9,72678
2018-04-04,23.62,24.3,23.93,24.43,51072
2018-04-05,24.16,24.7,23.75,24.21,92600
2018-04-06,23.82,25.0,24.1,24.65,36819
2018-04-09,24.75,24.67,24.36,24.79,68698
2018-04-10,25.05,24.75,24.8,24.58,47164
2018-04-11,24.5,25.53,24.4,24.66,142101
2018-04-12,25.06,24.82,24.82,24.72,78401
2018-04-13,25.01,25.53,23.96,24.22,72267
2018-04-16,25.06,24.3,24.0,24.39,58451
2018-04-17,24.41,24.96,23.97,24.65,100018
2018-04-18,24.21,23.95,24.5,24.65,48180
2018-04-19,23.84,24.44,23.92,23.49,147457
2018-04-20,24.04,23.6,23.37,24.36,932847
2018-04-23,23.19,24.44,23.59,24.35,21219
2018-04-24,23.5,24.27,23.18,23.92,46832
2018-04-25,23.83,24.54,24.02,23.87,27443
2018-04-26,23.68,23.82,24.0,24.03,18516
2018-04-27,24.2,25.5,23.48,25.0,74442
2018-04-30,24.0,25.0,23.97,24.32,45203
2018-05-01,24.97,25.25,24.2,23.77,18717
2018-05-02,24.8,24.7,24.7,24.94,36823
2018-05-03,24.39,24.1,23.66,25.1,20117
2018-05-04,23.98,25.06,23.7,25.1,6799
2018-05-07,24.59,24.8,24.55,24.34,50792
2018-05-08,23.83,24.59,24.32,24.14,42102
2018-05-09,24.87,25.21,24.45,24.38,123621
2018-05-10,24.64,24.31,24.0,24.84,79571
2018-05-11,24.48,24.62,24.2,24.41,74055
2018-05-14,24.64,24.34,24.45,24.8,29365
2018-05-15,24.77,24.69,24.21,24.91,61124
2018-05-16,23.94,24.0,23.86,23.87,32997
2018-05-17,24.34,24.13,24.46,24.22,11045
2018-05-18,24.2,24.8,23.87,24.84,10152
2018-05-21,24.52,24.64,24.59,24.6,12489
2018-05-22,23.98,23.98,24.24,23.99,8288
