date,open,high,low,close,volume
2017-01-03,2.7,2.9,2.2,2.7,4335
2017-01-04,2.55,2.73,2.48,2.75,1458
2017-01-05,2.76,2.8,2.7,2.7,1699
2017-01-06,2.7,2.85,2.6,2.8,200
2017-01-09,2.73,2.93,2.6,2.95,1453
2017-01-10,2.8,3.0,2.7,2.7,2565
2017-01-11,3.05,2.98,2.7,2.68,350
2017-01-12,2.64,2.85,2.5,2.61,2072
2017-01-13,2.65,2.8,2.68,2.7,262
2017-01-17,2.7,2.8,2.6,2.6,202
2017-01-18,2.6,2.7,2.5,2.6,277
2017-01-19,2.7,2.7,2.67,2.73,43
2017-01-20,2.81,2.79,2.5,2.67,123
2017-01-23,2.82,2.77,2.6,2.6,47
2017-01-24,2.72,2.78,2.64,2.78,243
2017-01-25,2.86,2.81,2.5,2.8,619
2017-01-26,2.8,3.0,2.5,2.8,4980
2017-01-27,3.0,3.3,3.1,3.2,2946
2017-01-30,3.2,3.7,3.2,3.45,1140
2017-01-31,3.57,3.53,3.31,3.33,176
2017-02-01,3.2,3.6,3.0,3.0,710
2017-02-02,3.26,3.7,3.19,3.5,712
2017-02-03,3.7,4.0,3.4,3.39,5958
2017-02-06,3.6,3.6,3.3,3.3,695
2017-02-07,3.4,3.6,3.29,3.5,770
2017-02-08,3.32,3.9,3.3,3.7,718
2017-02-09,3.6,4.0,3.28,3.3,953
2017-02-10,3.7,4.0,3.4,3.62,2193
2017-02-13,3.16,3.4,2.9,3.2,2226
2017-02-14,3.36,3.48,3.0,2.9,1559
2017-02-15,3.01,3.16,3.02,3.02,1520
2017-02-16,3.1,3.2,3.11,3.08,52
2017-02-17,3.4,3.3,3.1,3.2,55
2017-02-21,3.28,3.32,3.0,3.26,813
2017-02-22,3.44,3.55,3.0,3.08,589
2017-02-23,3.36,3.4,3.19,3.49,314
2017-02-24,3.59,3.62,3.0,3.2,10770
2017-02-27,3.33,3.5,3.2,3.41,1250
2017-02-28,3.15,3.4,3.03,3.3,129
2017-03-01,3.46,3.41,3.17,3.32,222
2017-03-02,3.2,3.2,3.11,3.06,305
2017-03-03,3.0,3.19,3.0,3.0,80
2017-03-06,3.0,3.0,3.0,3.0,609
2017-03-07,3.0,3.2,3.0,3.0,1140
2017-03-08,3.07,3.15,3.13,3.19,278
2017-03-09,3.13,3.64,3.24,3.45,2122
2017-03-10,3.3,3.3,3.0,3.2,522
2017-03-13,3.12,3.33,3.0,3.2,1027
2017-03-14,3.05,3.14,2.9,3.23,724
2017-03-15,2.99,3.17,3.07,3.12,351
2017-03-16,3.03,3.08,3.0,2.9,121
2017-03-17,3.0,3.02,2.9,2.99,822
2017-03-20,2.8,3.0,2.9,3.0,68
2017-03-21,3.01,3.0,3.0,2.9,597
2017-03-22,2.9,3.0,3.0,3.05,615
2017-03-23,3.0,3.1,2.93,3.1,316
2017-03-24,3.14,3.21,3.03,3.2,249
2017-03-27,3.08,3.09,2.9,3.0,1934
2017-03-28,3.0,3.0,2.9,3.0,684
2017-03-29,2.9,3.0,2.9,3.0,703
2017-03-30,2.9,3.0,2.8,2.9,1147
2017-03-31,2.88,3.0,2.9,3.02,668
2017-04-03,2.5,3.11,2.6,3.08,2469
2017-04-04,2.9,3.14,3.0,2.98,766
2017-04-05,2.9,3.2,3.0,3.2,497
2017-04-06,3.1,3.1,2.7,3.0,680
2017-04-07,2.98,2.96,2.95,2.92,81
2017-04-10,2.86,3.01,2.75,3.02,686
