date,open,high,low,close,volume
2017-01-03,1.72,1.92,1.66,1.81,17333528
2017-01-04,1.9,1.9,1.76,1.74,12385969
2017-01-05,1.75,1.77,1.53,1.61,10697569
2017-01-06,1.82,1.85,1.6,1.79,29587283
2017-01-09,1.8,1.7,1.65,1.63,12077721
2017-01-10,1.63,1.64,1.5,1.6,8914185
2017-01-11,1.59,1.66,1.54,1.6,4515847
2017-01-12,1.67,1.64,1.42,1.48,7741657
2017-01-13,1.43,1.59,1.4,1.56,10346478
2017-01-17,1.55,1.52,1.4,1.46,9468532
2017-01-18,1.51,1.49,1.41,1.46,5507918
2017-01-19,1.4,1.49,1.41,1.4,8250710
2017-01-20,1.42,1.44,1.39,1.43,5264704
2017-01-23,1.4,1.47,1.35,1.47,8062109
2017-01-24,1.47,1.5,1.38,1.54,14826947
2017-01-25,1.5,1.6,1.5,1.48,7328349
2017-01-26,1.5,1.54,1.41,1.47,6410853
2017-01-27,1.48,1.72,1.44,1.71,18848984
2017-01-30,1.73,1.8,1.61,1.68,18635823
2017-01-31,1.77,1.79,1.62,1.66,21267269
2017-02-01,1.72,1.65,1.42,1.6,22606643
2017-02-02,1.48,1.63,1.49,1.51,5436790
2017-02-03,1.5,1.59,1.45,1.6,4697840
2017-02-06,1.55,1.64,1.6,1.6,3900195
2017-02-07,1.6,1.56,1.48,1.5,8542401
2017-02-08,1.44,1.49,1.39,1.4,8480081
2017-02-09,1.4,1.48,1.39,1.42,5841955
2017-02-10,1.4,1.46,1.36,1.35,8833986
2017-02-13,1.39,1.47,1.36,1.51,3837118
2017-02-14,1.47,1.51,1.45,1.51,2863629
2017-02-15,1.45,1.56,1.47,1.5,3423228
2017-02-16,1.46,1.52,1.5,1.46,2305748
2017-02-17,1.44,1.5,1.4,1.44,6756649
2017-02-21,1.5,1.5,1.45,1.45,4487021
2017-02-22,1.6,1.53,1.43,1.46,3254840
2017-02-23,1.45,1.49,1.35,1.37,9568986
2017-02-24,1.36,1.5,1.36,1.41,9894961
2017-02-27,1.4,1.47,1.38,1.5,3636723
2017-02-28,1.5,1.52,1.41,1.39,5750996
2017-03-01,1.42,1.48,1.41,1.46,4689505
2017-03-02,1.5,1.46,1.4,1.45,2805986
2017-03-03,1.47,1.51,1.4,1.48,2567642
2017-03-06,1.4,1.5,1.4,1.45,5245086
2017-03-07,1.47,1.5,1.45,1.41,3888626
2017-03-08,1.45,1.61,1.45,1.46,6287285
2017-03-09,1.47,1.53,1.42,1.48,4066631
2017-03-10,1.47,1.5,1.48,1.53,5754637
2017-03-13,1.45,1.52,1.4,1.4,3883614
2017-03-14,1.43,1.42,1.4,1.5,5139383
2017-03-15,1.4,1.45,1.43,1.5,3650261
2017-03-16,1.45,1.46,1.4,1.47,3522758
2017-03-17,1.4,1.59,1.42,1.52,20248134
2017-03-20,1.5,1.64,1.54,1.61,11146636
2017-03-21,1.61,1.7,1.6,1.68,7090283
2017-03-22,1.62,1.71,1.64,1.62,4591936
2017-03-23,1.68,1.68,1.65,1.63,3572632
2017-03-24,1.66,1.67,1.63,1.67,1841789
2017-03-27,1.68,1.73,1.7,1.71,3055028
2017-03-28,1.71,1.75,1.61,1.6,2865771
2017-03-29,1.62,1.66,1.58,1.6,2693185
2017-03-30,1.59,1.67,1.58,1.68,2553505
2017-03-31,1.71,1.67,1.62,1.6,2394132
2017-04-03,1.6,1.64,1.7,1.65,2138352
2017-04-04,1.69,1.73,1.7,1.63,2995167
2017-04-05,1.69,1.69,1.63,1.68,4025649
2017-04-06,1.7,1.71,1.62,1.7,4421041
2017-04-07,1.7,1.65,1.6,1.69,2670500
2017-04-10,1.92,1.96,1.68,1.72,15571679
2017-04-11,1.8,1.7,1.65,1.69,5642169
2017-04-12,1.7,1.77,1.7,1.8,3116797
2017-04-13,1.7,1.76,1.73,1.74,2381432
2017-04-17,1.77,2.02,1.79,1.9,11322815
2017-04-18,2.0,2.03,1.93,1.9,5815817
2017-04-19,1.92,2.0,1.96,1.97,4331472
2017-04-20,1.92,2.01,1.87,1.87,4436008
2017-04-21,1.89,1.94,1.78,1.81,3690225
2017-04-24,1.84,1.96,1.82,1.96,4402695
2017-04-25,1.9,2.1,1.9,2.06,25949050
2017-04-26,2.1,2.05,1.9,2.0,6464331
2017-04-27,2.02,2.02,1.97,1.95,5771903
2017-04-28,2.04,2.04,1.9,1.92,4407714
2017-05-01,1.94,1.96,2.0,2.02,2541767
2017-05-02,2.01,1.98,1.88,2.0,3547924
2017-05-03,1.96,2.04,1.8,1.8,5357359
2017-05-04,1.82,1.86,1.57,1.74,10096085
2017-05-05,1.7,1.82,1.72,1.82,3598519
2017-05-08,1.89,2.0,1.84,2.04,9554071
2017-05-09,1.96,2.02,1.85,1.88,4989650
2017-05-10,1.93,1.99,1.93,1.94,3077647
2017-05-11,2.01,1.95,1.92,1.93,2795443
2017-05-12,2.0,2.64,1.9,2.35,44160158
2017-05-15,2.3,2.42,2.13,2.32,15342280
2017-05-16,2.3,2.52,2.22,2.45,15015587
2017-05-17,2.39,2.43,2.26,2.31,14281550
2017-05-18,2.31,2.49,2.26,2.42,7763754
2017-05-19,2.56,2.49,2.4,2.44,14227539
2017-05-22,2.4,2.47,2.28,2.37,3887616
2017-05-23,2.29,2.3,2.27,2.31,3770591
2017-05-24,2.23,2.31,2.18,2.25,5139069
2017-05-25,2.27,2.41,2.24,2.34,4342214
2017-05-26,2.36,2.35,2.19,2.19,4196834
2017-05-30,2.34,2.35,2.09,2.08,5490386
2017-05-31,2.14,2.19,1.97,2.05,9505977
2017-06-01,2.01,2.08,1.98,2.04,4335875
2017-06-02,2.0,2.16,2.04,2.14,4407679
2017-06-05,2.03,2.1,2.01,2.12,2796191
2017-06-06,2.0,2.18,2.0,2.13,4013134
2017-06-07,2.18,2.22,2.11,2.12,4290921
2017-06-08,2.09,2.28,2.08,2.21,3443786
2017-06-09,2.13,2.25,2.05,2.12,4049757
2017-06-12,2.08,2.23,2.08,2.21,3669156
2017-06-13,2.19,2.17,2.18,2.18,2584811
2017-06-14,2.16,2.28,2.11,2.19,2006871
2017-06-15,2.19,2.16,2.14,2.21,2178462
2017-06-16,2.17,2.27,2.11,2.3,10147612
2017-06-19,2.19,2.22,2.2,2.27,2901037
2017-06-20,2.31,2.27,2.08,2.15,3525315
2017-06-21,2.15,2.29,2.15,2.21,2854599
2017-06-22,2.27,2.29,2.21,2.28,2961439
2017-06-23,2.24,2.31,2.19,2.35,7063288
2017-06-26,2.29,2.4,2.14,2.21,4521186
2017-06-27,2.21,2.27,2.2,2.1,4307331
2017-06-28,2.21,2.25,2.15,2.17,5507469
2017-06-29,2.21,2.24,2.05,2.09,2431246
2017-06-30,2.16,2.16,2.04,2.18,4227888
2017-07-03,2.22,2.22,2.1,2.25,1416251
2017-07-05,2.14,2.19,2.2,2.1,1914524
2017-07-06,2.1,2.22,2.11,2.14,3008924
2017-07-07,2.13,2.11,1.99,2.03,7177188
2017-07-10,2.1,2.2,2.1,2.23,7114389
2017-07-11,2.2,2.31,2.15,2.18,6161509
2017-07-12,2.15,2.23,2.13,2.17,1792071
2017-07-13,2.21,2.24,2.18,2.18,1548804
2017-07-14,2.23,2.23,2.18,2.22,2538720
2017-07-17,2.22,2.27,2.14,2.23,2480643
2017-07-18,2.27,2.23,2.09,2.14,2290040
2017-07-19,2.18,2.18,2.1,2.08,1677836
2017-07-20,2.16,2.17,2.08,2.1,1420465
2017-07-21,2.22,2.23,2.09,2.1,2529029
2017-07-24,2.12,2.09,1.95,2.0,4298004
2017-07-25,2.0,2.06,1.97,2.03,2592688
2017-07-26,2.06,2.17,2.05,2.06,2193374
2017-07-27,2.1,2.13,2.0,1.98,2950137
2017-07-28,1.98,2.0,1.95,1.88,2844356
2017-07-31,2.0,1.9,1.94,1.86,2853777
2017-08-01,1.92,1.95,1.92,1.94,1492882
2017-08-02,1.85,2.0,1.92,1.98,2000142
2017-08-03,2.0,2.07,1.95,2.0,3094960
2017-08-04,1.9,2.05,1.8,1.95,2566604
2017-08-07,1.99,2.1,2.0,2.0,2966479
2017-08-08,2.0,2.17,2.02,2.05,5284935
2017-08-09,2.03,2.13,1.95,2.0,4125894
2017-08-10,2.0,2.05,1.97,2.01,3043974
