date,open,high,low,close,volume
2017-01-03,31.55,31.98,31.42,32.19,403
2017-01-04,0.0,0.0,0.0,31.82,60
2017-01-05,0.0,0.0,0.0,32.4,83
2017-01-06,34.51,33.6,34.56,33.92,1561
2017-01-09,0.0,0.0,0.0,34.46,68
2017-01-10,0.0,0.0,0.0,33.57,57
2017-01-11,0.0,0.0,0.0,34.9,76
2017-01-12,0.0,0.0,0.0,33.54,123
2017-01-13,34.22,33.93,34.57,35.13,178
2017-01-17,33.36,32.77,33.67,32.71,263
2017-01-18,33.97,35.34,34.7,34.07,553
2017-01-19,0.0,0.0,0.0,34.72,31
2017-01-20,34.54,34.72,33.27,33.68,617
2017-01-23,35.65,37.29,36.87,36.28,1191
2017-01-24,37.5,36.83,37.42,37.4,854
2017-01-25,0.0,0.0,0.0,37.3,6
2017-01-26,0.0,0.0,0.0,37.2,15
2017-01-27,0.0,0.0,0.0,37.6,0
2017-01-30,35.29,37.3,36.39,38.15,834
2017-01-31,0.0,0.0,0.0,36.66,95
2017-02-01,34.62,33.82,35.4,35.18,200
2017-02-02,0.0,0.0,0.0,35.31,58
2017-02-03,0.0,0.0,0.0,33.91,9
2017-02-06,0.0,0.0,0.0,35.1,58
2017-02-07,0.0,0.0,0.0,34.95,42
2017-02-08,35.51,34.86,34.62,34.55,582
2017-02-09,0.0,0.0,0.0,34.93,144
2017-02-10,0.0,0.0,0.0,34.72,20
2017-02-13,36.91,36.4,36.42,36.8,913
2017-02-14,0.0,0.0,0.0,37.3,66
2017-02-15,0.0,0.0,0.0,37.1,41
2017-02-16,0.0,0.0,0.0,36.37,75
2017-02-17,0.0,0.0,0.0,37.16,64
2017-02-21,35.98,35.58,36.01,35.26,248
2017-02-22,35.57,35.47,35.93,35.34,739
2017-02-23,0.0,0.0,0.0,36.08,129
2017-02-24,38.09,38.17,37.16,38.2,306
2017-02-27,0.0,0.0,0.0,37.08,40
2017-02-28,0.0,0.0,0.0,37.19,74
2017-03-01,0.0,0.0,0.0,38.0,23
2017-03-02,0.0,0.0,0.0,37.42,149
2017-03-03,37.11,37.65,36.36,36.6,4197
2017-03-06,36.35,36.49,36.85,36.87,168
2017-03-07,38.65,38.19,38.4,38.53,223
2017-03-08,0.0,0.0,0.0,37.88,1855
2017-03-09,0.0,0.0,0.0,38.37,63
2017-03-10,0.0,0.0,0.0,38.71,179
2017-03-13,39.44,39.94,40.21,40.47,661
2017-03-14,0.0,0.0,0.0,40.36,44
2017-03-15,39.74,39.52,39.73,38.23,236
2017-03-16,0.0,0.0,0.0,39.78,96
2017-03-17,0.0,0.0,0.0,39.38,59
2017-03-20,0.0,0.0,0.0,39.83,30
2017-03-21,0.0,0.0,0.0,38.57,55
2017-03-22,0.0,0.0,0.0,37.96,2
2017-03-23,0.0,0.0,0.0,38.73,179
2017-03-24,0.0,0.0,0.0,39.22,2
2017-03-27,39.74,38.69,39.29,38.2,196
2017-03-28,40.07,39.67,39.84,39.42,353
2017-03-29,41.31,41.0,39.85,40.7,720
