date,open,high,low,close,volume
2017-01-03,29.0,30.47,28.28,28.15,203416
2017-01-04,28.14,29.9,29.2,29.5,162527
2017-01-05,29.22,29.35,28.35,28.55,96207
2017-01-06,29.6,28.6,27.8,29.1,103705
2017-01-09,28.9,28.32,28.1,28.5,205763
2017-01-10,28.4,30.3,29.2,29.94,534365
2017-01-11,30.5,31.1,29.01,29.9,324227
2017-01-12,30.3,30.3,29.0,29.65,129423
2017-01-13,28.63,30.1,28.71,28.66,125347
2017-01-17,28.8,28.6,28.5,28.57,104993
2017-01-18,29.25,28.8,28.3,30.02,151107
2017-01-19,30.18,28.91,28.65,29.7,123077
2017-01-20,29.18,30.3,29.2,29.07,252608
2017-01-23,29.4,29.83,29.4,28.9,139752
2017-01-24,30.3,29.39,29.8,30.38,223561
2017-01-25,30.4,30.8,29.77,29.64,87623
2017-01-26,30.18,30.31,29.74,29.7,84182
2017-01-27,29.6,30.1,29.78,30.24,74427
2017-01-30,30.11,30.43,29.28,28.6,86435
2017-01-31,29.39,28.8,28.6,28.61,99571
2017-02-01,29.09,29.14,27.5,28.7,239478
2017-02-02,29.13,27.98,28.15,28.4,75279
2017-02-03,28.3,28.4,28.77,29.02,108755
2017-02-06,29.1,28.7,27.62,28.6,67493
2017-02-07,28.1,28.19,28.44,28.36,78019
2017-02-08,28.48,28.55,28.27,28.41,136220
2017-02-09,29.3,28.6,28.16,29.64,85712
2017-02-10,28.86,29.8,29.0,28.81,96623
2017-02-13,29.7,30.2,28.07,28.8,166229
2017-02-14,29.6,28.87,29.63,29.62,105104
2017-02-15,29.1,29.48,29.56,29.7,146314
2017-02-16,29.09,30.62,29.86,29.2,120740
2017-02-17,30.4,30.19,29.8,30.0,109728
2017-02-21,29.66,30.24,28.92,28.6,111777
2017-02-22,28.49,29.46,29.3,30.0,124695
2017-02-23,29.7,29.0,28.0,29.8,112993
2017-02-24,28.5,29.32,29.0,28.0,62311
2017-02-27,29.0,29.2,28.74,29.6,124337
2017-02-28,29.7,29.7,28.3,28.5,149420
2017-03-01,29.1,29.3,27.89,29.2,177561
2017-03-02,28.2,28.73,28.14,28.19,148106
2017-03-03,28.4,28.97,27.0,28.0,254661
2017-03-06,26.78,27.57,26.8,27.56,92262
2017-03-07,26.5,27.9,26.8,27.3,594672
2017-03-08,27.2,27.08,25.6,25.5,702253
2017-03-09,26.96,27.0,23.7,23.6,846294
