date,open,high,low,close,volume
2019-04-24,6.4,6.4,6.3,6.4,8284
2019-04-25,6.2,6.35,6.1,6.45,13496
2019-04-26,6.19,6.6,6.28,6.6,18090
2019-04-29,6.47,6.58,5.28,5.5,2465
2019-04-30,6.44,6.36,6.51,6.35,768
2019-05-01,6.5,6.5,6.5,6.5,702
2019-05-02,6.6,6.8,6.45,6.55,886
2019-05-03,6.62,6.47,6.35,6.5,4208
2019-05-06,7.2,7.2,6.58,6.56,2490
2019-05-07,6.6,6.6,6.5,6.7,113
2019-05-08,6.8,6.7,6.6,6.8,499
2019-05-09,0.0,0.0,0.0,6.7,11
2019-05-10,6.7,6.6,6.7,6.7,727
2019-05-13,6.62,6.74,6.7,6.71,1917
2019-05-14,4.2,4.42,4.0,4.3,273978
2019-05-15,3.7,3.72,3.5,3.78,71874
2019-05-16,3.8,3.7,3.8,3.8,2022
2019-05-17,3.4,3.4,3.4,3.4,741
2019-05-20,3.49,3.49,3.2,3.2,3690
2019-05-21,3.5,3.6,3.51,3.52,4626
2019-05-22,3.6,3.67,3.55,3.59,1850
2019-05-23,3.69,3.57,3.37,3.42,3782
2019-05-24,3.61,3.87,3.61,3.58,2342
2019-05-28,0.0,0.0,0.0,3.6,0
2019-05-29,0.0,0.0,0.0,3.61,0
2019-05-30,3.49,3.55,3.54,3.42,385
2019-05-31,3.49,3.6,3.41,3.7,8254
2019-06-03,3.39,3.63,3.35,3.64,1866
2019-06-04,3.78,3.79,3.54,3.51,2652
2019-06-05,3.59,3.67,3.5,3.71,1321
2019-06-06,3.63,3.69,3.6,3.49,2200
2019-06-07,3.46,3.8,3.5,3.6,5987
2019-06-10,0.0,0.0,0.0,3.6,26
2019-06-11,3.55,3.63,3.47,3.48,1255
2019-06-12,3.7,3.6,3.48,3.45,1818
2019-06-13,3.54,3.6,3.47,3.58,18299
2019-06-14,3.5,3.59,3.43,3.45,128499
2019-06-17,3.46,3.7,3.44,3.46,63383
2019-06-18,0.0,0.0,0.0,3.49,3
2019-06-19,3.43,3.49,3.5,3.45,3871
2019-06-20,3.53,3.45,3.45,3.56,166
2019-06-21,3.62,3.55,3.61,3.64,796
2019-06-24,3.7,3.6,3.7,3.7,814
2019-06-25,3.6,3.6,3.6,3.6,362
2019-06-26,3.5,3.6,3.5,3.5,2266
2019-06-27,3.7,3.7,3.56,3.6,104
2019-06-28,0.0,0.0,0.0,3.68,0
2019-07-01,0.0,0.0,0.0,3.72,0
2019-07-02,3.55,3.53,3.53,3.45,103
2019-07-03,0.0,0.0,0.0,3.49,97
