date,open,high,low,close,volume
2017-01-03,2.72,2.87,2.81,2.9,209174
2017-01-04,2.92,3.28,2.83,3.1,444864
2017-01-05,3.2,3.2,3.06,3.13,240675
2017-01-06,3.03,3.27,2.97,3.2,617083
2017-01-09,3.13,3.2,3.01,3.06,154250
2017-01-10,2.98,3.2,2.94,3.0,196018
2017-01-11,3.07,3.07,3.03,3.08,195282
2017-01-12,3.0,3.0,2.9,3.0,324317
2017-01-13,3.08,3.12,3.02,3.12,77765
2017-01-17,3.14,3.04,2.98,3.0,163687
2017-01-18,3.0,2.95,2.8,2.91,139857
2017-01-19,2.88,2.88,2.82,2.9,137944
2017-01-20,2.8,2.97,2.9,3.01,222331
2017-01-23,3.01,3.11,2.9,3.02,272652
2017-01-24,3.04,3.21,3.0,3.2,340645
2017-01-25,3.45,3.5,3.3,3.35,1103928
2017-01-26,3.48,3.35,3.16,3.37,584277
2017-01-27,3.32,3.48,3.25,3.48,272884
2017-01-30,3.43,3.53,3.3,3.46,523276
2017-01-31,3.36,3.79,3.37,3.71,1204625
2017-02-01,3.7,3.8,3.65,3.76,708592
2017-02-02,3.79,3.79,3.56,3.73,516099
2017-02-03,3.8,4.0,3.72,3.59,758014
2017-02-06,3.73,3.73,3.54,3.44,348722
2017-02-07,3.6,3.46,3.44,3.43,235960
2017-02-08,3.45,3.46,3.3,3.42,225165
2017-02-09,3.42,3.54,3.38,3.6,183310
2017-02-10,3.65,3.75,3.57,3.72,392756
2017-02-13,3.7,3.91,3.57,3.84,386329
2017-02-14,3.86,4.1,3.81,4.03,585870
2017-02-15,4.16,4.2,3.99,4.15,527260
2017-02-16,4.21,4.2,4.03,4.17,364450
2017-02-17,4.15,4.22,4.19,4.19,336740
2017-02-21,4.2,4.8,4.22,4.86,1207605
2017-02-22,5.1,5.1,4.65,4.62,1415598
2017-02-23,4.66,4.64,4.32,4.61,471299
2017-02-24,4.68,4.79,4.49,4.77,493774
2017-02-27,4.81,6.07,4.66,5.92,1132571
2017-02-28,5.43,5.73,4.87,5.06,6923037
2017-03-01,5.26,5.31,4.4,4.57,1724961
2017-03-02,4.69,4.91,3.5,3.83,4386354
2017-03-03,3.72,4.08,3.84,3.98,1093624
2017-03-06,3.99,4.06,3.69,3.7,733813
2017-03-07,3.83,3.87,3.65,3.82,747380
2017-03-08,3.78,4.26,3.78,3.98,846225
2017-03-09,4.02,4.14,3.94,4.11,688262
2017-03-10,4.02,4.2,4.0,4.14,413256
2017-03-13,4.17,4.23,4.0,4.23,425704
2017-03-14,4.27,4.17,3.99,4.08,320384
2017-03-15,4.08,4.3,4.09,4.25,385054
2017-03-16,4.21,4.37,4.22,4.26,356865
2017-03-17,4.28,4.34,4.3,4.3,740498
2017-03-20,4.48,4.4,4.25,4.33,618222
2017-03-21,4.4,4.6,4.34,4.25,891162
2017-03-22,4.3,4.65,4.24,4.46,415533
2017-03-23,4.41,4.6,4.46,4.5,313690
2017-03-24,4.6,4.61,4.51,4.67,284798
2017-03-27,4.4,4.5,4.41,4.5,336137
2017-03-28,4.4,4.4,4.31,4.38,260070
2017-03-29,4.26,4.48,4.19,4.23,595243
2017-03-30,4.35,4.59,4.2,4.39,430679
2017-03-31,4.42,4.41,4.24,4.29,533497
2017-04-03,4.3,4.34,4.09,4.29,371308
2017-04-04,4.1,4.3,4.2,4.36,263042
2017-04-05,4.4,4.43,4.08,4.13,463538
2017-04-06,4.19,4.4,4.0,4.4,513765
2017-04-07,4.3,4.6,4.31,4.47,486247
2017-04-10,4.3,4.55,4.34,4.44,445640
2017-04-11,4.5,4.48,4.52,4.45,427033
2017-04-12,4.4,4.67,4.47,4.5,645778
2017-04-13,4.35,4.45,4.33,4.3,483472
2017-04-17,4.28,4.41,4.02,4.1,387871
2017-04-18,4.14,4.28,3.86,4.02,367717
2017-04-19,4.04,4.03,3.81,4.01,358907
2017-04-20,3.98,4.24,3.84,3.9,502691
2017-04-21,3.87,4.06,3.72,3.72,460885
2017-04-24,3.7,3.93,3.81,3.82,346709
2017-04-25,3.89,3.9,3.9,3.82,202588
2017-04-26,3.98,4.07,3.8,3.92,406596
2017-04-27,3.74,3.79,3.48,3.63,547652
2017-04-28,3.6,3.7,3.0,3.05,1422079
2017-05-01,3.11,3.45,3.04,3.25,817475
2017-05-02,3.21,3.36,3.13,3.19,381565
2017-05-03,3.24,3.26,3.06,3.04,451500
2017-05-04,3.03,3.1,2.87,3.03,533190
2017-05-05,3.09,3.2,3.07,3.16,335372
2017-05-08,3.0,3.17,3.03,3.03,420462
2017-05-09,3.15,3.11,3.0,3.11,276516
2017-05-10,3.04,3.13,2.78,2.83,339716
2017-05-11,2.92,2.95,2.72,2.95,533573
2017-05-12,2.93,3.03,2.8,3.11,349918
2017-05-15,3.08,3.27,3.07,2.97,453686
2017-05-16,3.05,3.03,2.9,2.95,289799
2017-05-17,2.89,3.03,2.81,2.88,325335
2017-05-18,2.93,3.25,2.87,3.11,513052
2017-05-19,3.22,3.24,3.11,3.27,520610
2017-05-22,3.2,3.25,3.2,3.22,195101
2017-05-23,3.2,3.13,3.07,3.22,368794
2017-05-24,3.12,3.3,3.1,3.26,164612
2017-05-25,3.27,3.27,3.1,3.2,172441
2017-05-26,3.31,3.4,3.23,3.24,158442
2017-05-30,3.21,3.3,3.12,3.23,354505
2017-05-31,3.21,3.3,3.07,3.09,421565
2017-06-01,3.0,3.16,2.98,3.04,586039
2017-06-02,3.0,3.12,3.04,3.14,283715
2017-06-05,3.0,3.15,3.1,3.06,131407
2017-06-06,3.0,3.15,3.04,3.0,223721
2017-06-07,3.09,3.07,3.08,3.16,268177
2017-06-08,2.99,3.11,3.09,3.1,264168
2017-06-09,3.15,3.1,3.07,3.09,242540
2017-06-12,3.1,3.24,3.0,3.14,465926
2017-06-13,3.18,3.21,3.14,3.27,283896
2017-06-14,3.19,3.36,3.21,3.34,330234
2017-06-15,3.19,3.31,3.19,3.35,158927
2017-06-16,3.19,3.3,3.14,3.25,389038
2017-06-19,3.3,3.37,3.18,3.14,274142
2017-06-20,3.2,3.18,3.14,3.15,171513
2017-06-21,3.3,3.18,3.07,3.1,308312
2017-06-22,3.08,3.22,3.15,3.17,505010
2017-06-23,3.18,3.25,3.19,3.17,561025
2017-06-26,3.22,3.36,3.14,3.27,139400
2017-06-27,3.27,3.4,3.18,3.23,234651
2017-06-28,3.33,3.38,3.28,3.22,145667
2017-06-29,3.3,3.28,3.14,3.1,301814
2017-06-30,3.09,3.1,3.15,3.11,130766
2017-07-03,3.13,3.3,3.14,3.39,77450
2017-07-05,3.35,3.24,3.11,3.22,83048
2017-07-06,3.28,3.35,3.27,3.26,161730
2017-07-07,3.16,3.27,3.2,3.3,82460
2017-07-10,3.18,3.29,3.14,3.16,135261
2017-07-11,3.29,3.33,3.19,3.19,98870
2017-07-12,3.22,3.27,3.2,3.22,92119
2017-07-13,3.17,3.2,3.1,3.16,173977
2017-07-14,3.2,3.3,3.2,3.23,179782
2017-07-17,3.19,3.16,3.03,3.08,191257
2017-07-18,3.1,3.11,3.03,3.11,246448
2017-07-19,3.0,3.11,3.07,3.0,157677
2017-07-20,3.0,3.17,3.11,3.07,142183
