date,open,high,low,close,volume
2017-01-03,18.95,20.34,18.9,20.18,196421
2017-01-04,19.78,20.54,19.88,19.87,114465
2017-01-05,20.2,20.69,19.51,19.49,87369
2017-01-06,20.01,19.8,19.4,19.99,128591
2017-01-09,19.62,19.66,19.59,20.15,86398
2017-01-10,19.74,20.89,19.64,20.71,99178
2017-01-11,20.5,20.49,19.68,20.77,169658
2017-01-12,20.39,20.3,20.0,19.81,228137
2017-01-13,20.37,20.76,19.6,20.24,107416
2017-01-17,19.73,20.2,20.22,19.33,126645
2017-01-18,19.58,19.78,19.36,19.65,100472
2017-01-19,20.0,19.8,19.0,19.33,130671
2017-01-20,19.62,19.9,19.14,18.92,114837
2017-01-23,19.4,20.1,19.28,19.2,92881
2017-01-24,20.09,19.8,19.4,19.65,86625
2017-01-25,19.2,20.15,19.23,20.2,71813
2017-01-26,19.68,19.73,19.57,19.09,76248
2017-01-27,19.7,19.89,19.09,20.4,115554
2017-01-30,19.65,19.8,19.08,19.73,141450
2017-01-31,19.14,19.6,19.2,20.0,132389
2017-02-01,19.8,19.85,20.01,19.72,148500
2017-02-02,20.13,19.84,19.37,19.9,75115
2017-02-03,20.1,20.39,19.9,20.25,83015
2017-02-06,20.29,19.85,20.14,20.56,117502
2017-02-07,20.4,20.48,19.12,19.68,96082
2017-02-08,19.83,19.75,19.55,19.53,83004
2017-02-09,19.35,20.17,19.5,19.34,65734
2017-02-10,19.28,19.8,19.96,20.05,89537
2017-02-13,20.02,20.56,20.18,20.34,103386
2017-02-14,19.74,20.54,20.16,19.75,87652
2017-02-15,19.7,20.45,19.55,19.52,101933
2017-02-16,19.75,20.33,19.31,19.81,104723
2017-02-17,20.5,20.7,20.2,20.23,66120
2017-02-21,20.39,20.34,20.5,20.49,85208
2017-02-22,19.99,20.1,19.82,19.49,69814
2017-02-23,20.03,19.85,19.61,19.78,113035
2017-02-24,19.7,20.37,19.5,20.19,178492
2017-02-27,20.1,20.24,19.8,20.17,209232
2017-02-28,20.27,20.08,19.44,19.8,410277
2017-03-01,20.3,20.27,19.6,20.62,199518
2017-03-02,20.22,20.69,20.5,20.92,234314
2017-03-03,20.28,20.93,19.42,20.34,234672
2017-03-06,19.9,19.6,18.69,19.45,330936
2017-03-07,18.48,18.71,15.51,15.79,868152
2017-03-08,16.0,15.88,13.84,13.63,816762
2017-03-09,13.87,13.94,13.24,14.04,476978
2017-03-10,13.57,14.22,13.55,13.17,285704
2017-03-13,13.34,13.41,13.2,13.06,579290
2017-03-14,13.2,13.2,12.77,12.95,416023
2017-03-15,13.05,13.44,12.58,13.4,218136
2017-03-16,13.32,13.4,12.88,12.85,274833
2017-03-17,12.9,13.11,12.75,12.86,338512
2017-03-20,12.55,12.6,12.61,12.89,262592
2017-03-21,13.06,13.1,12.43,13.0,221284
2017-03-22,12.99,13.03,12.15,12.3,257308
2017-03-23,12.42,13.42,12.28,12.91,211129
2017-03-24,12.8,13.0,12.92,12.79,130990
2017-03-27,12.68,12.59,12.8,12.77,144013
2017-03-28,12.91,12.56,12.27,12.67,200774
2017-03-29,12.64,12.94,12.56,12.94,141322
2017-03-30,13.04,13.28,12.47,13.28,171627
2017-03-31,13.25,13.39,13.08,13.14,163554
2017-04-03,13.1,13.36,12.7,13.06,202912
2017-04-04,13.0,12.99,12.6,13.24,214935
2017-04-05,13.3,13.65,13.26,13.21,393335
2017-04-06,13.3,13.28,13.59,13.64,205998
2017-04-07,13.27,13.86,13.43,13.5,257473
2017-04-10,13.46,14.03,13.53,13.88,569388
2017-04-11,14.12,14.88,14.22,14.6,407398
2017-04-12,14.68,14.35,14.33,14.54,228488
2017-04-13,14.39,15.08,14.25,14.78,461084
2017-04-17,14.93,15.8,15.15,15.02,292586
2017-04-18,15.6,15.4,15.16,15.26,176079
2017-04-19,15.26,15.52,15.27,15.14,228970
2017-04-20,14.88,15.3,14.89,15.9,203805
2017-04-21,15.67,15.96,15.61,15.4,184225
2017-04-24,15.52,16.06,15.7,16.11,173761
2017-04-25,15.83,16.5,15.35,15.79,268065
2017-04-26,15.68,16.25,15.24,16.63,389623
2017-04-27,16.69,16.16,15.94,16.07,267786
2017-04-28,15.77,16.0,15.75,15.79,190622
2017-05-01,15.56,15.99,14.88,15.41,182747
2017-05-02,15.26,15.17,15.29,15.21,168604
2017-05-03,15.5,14.99,14.54,14.99,276084
2017-05-04,15.14,15.21,14.42,14.84,379717
2017-05-05,14.7,15.99,14.51,15.41,260372
2017-05-08,15.47,16.0,15.4,16.09,246764
