date,open,high,low,close,volume
2017-01-03,48.0,48.0,46.4,44.6,63194
2017-01-04,45.8,47.62,45.91,45.38,37410
2017-01-05,45.39,46.4,45.63,45.52,17290
2017-01-06,0.0,0.0,0.0,45.29,0
2017-01-09,44.9,45.12,45.48,44.38,26261
2017-01-10,44.47,46.45,44.78,43.18,30865
2017-01-11,43.17,44.07,42.4,43.43,38522
2017-01-12,42.7,43.13,42.14,42.64,40386
2017-01-13,0.0,0.0,0.0,43.67,0
2017-01-17,40.74,41.17,41.91,41.84,51804
2017-01-18,40.41,42.8,41.04,41.36,25013
2017-01-19,40.58,42.52,41.4,39.85,33860
2017-01-20,0.0,0.0,0.0,40.89,0
2017-01-23,41.39,40.9,39.73,38.98,52379
2017-01-24,39.03,39.44,38.7,38.72,67282
2017-01-25,38.6,40.16,39.8,40.6,31039
2017-01-26,40.4,41.46,39.5,40.7,22581
2017-01-27,0.0,0.0,0.0,40.9,0
2017-01-30,40.3,41.88,39.62,40.26,23006
2017-01-31,38.6,40.42,40.2,39.07,25639
2017-02-01,40.1,40.2,40.31,39.93,23360
2017-02-02,38.8,39.7,38.8,38.97,45613
2017-02-03,0.0,0.0,0.0,40.05,0
2017-02-06,38.99,40.32,38.49,40.12,18683
2017-02-07,39.5,39.1,39.0,40.0,27661
2017-02-08,38.91,40.35,39.98,39.51,27893
2017-02-09,38.75,39.5,38.69,39.42,78429
2017-02-10,0.0,0.0,0.0,39.97,0
2017-02-13,40.79,40.93,40.32,41.25,28918
2017-02-14,41.98,42.02,41.32,42.01,38547
2017-02-15,42.01,43.05,41.89,42.11,18722
2017-02-16,41.7,42.4,42.2,42.2,13729
2017-02-17,0.0,0.0,0.0,41.6,0
2017-02-21,44.24,42.77,44.0,43.38,11530
2017-02-22,43.68,42.49,40.98,41.52,23369
2017-02-23,41.97,42.41,42.45,40.79,13070
2017-02-24,0.0,0.0,0.0,41.08,0
2017-02-27,41.8,41.68,39.8,39.69,23301
2017-02-28,39.72,41.75,39.91,40.83,11473
2017-03-01,40.62,42.38,40.98,42.15,20662
2017-03-02,42.06,43.1,41.34,42.8,21607
2017-03-03,0.0,0.0,0.0,43.5,0
2017-03-06,43.98,42.99,42.58,42.88,23202
2017-03-07,41.47,41.98,40.47,42.59,11873
2017-03-08,40.22,42.0,41.49,42.96,7251
2017-03-09,42.86,42.45,41.74,41.91,13241
2017-03-10,0.0,0.0,0.0,41.63,0
2017-03-13,41.0,42.69,39.76,40.82,30234
2017-03-14,41.54,40.82,41.45,40.79,22846
2017-03-15,41.11,41.1,40.84,41.22,12905
2017-03-16,39.73,41.34,38.0,39.25,38122
2017-03-17,0.0,0.0,0.0,39.47,0
2017-03-20,37.71,39.0,37.9,39.25,9952
2017-03-21,39.54,39.54,38.3,39.54,15811
2017-03-22,38.62,40.47,39.14,40.02,11783
2017-03-23,39.9,39.97,38.8,38.65,7580
2017-03-24,0.0,0.0,0.0,39.4,0
2017-03-27,38.38,39.99,38.33,38.98,16591
2017-03-28,38.28,39.49,39.18,37.88,8392
2017-03-29,38.5,39.0,37.9,37.56,11801
2017-03-30,39.54,38.67,38.98,39.2,11489
2017-03-31,0.0,0.0,0.0,39.2,0
2017-04-03,39.78,39.5,38.03,38.77,74546
2017-04-04,38.7,39.11,38.81,38.83,15434
2017-04-05,39.0,38.57,37.37,39.13,19184
2017-04-06,38.73,38.65,39.3,39.4,21166
2017-04-07,0.0,0.0,0.0,39.1,0
2017-04-10,0.0,0.0,0.0,38.24,0
2017-04-11,0.0,0.0,0.0,37.94,0
