date,open,high,low,close,volume
2017-01-03,11.8,11.7,10.5,11.37,8479
2017-01-04,11.83,11.8,10.95,10.89,2376
2017-01-05,11.44,11.44,11.13,11.53,2746
2017-01-06,0.0,0.0,0.0,11.21,96
2017-01-09,11.6,11.85,11.8,11.98,1606
2017-01-10,11.47,11.37,11.34,11.6,3155
2017-01-11,11.0,11.0,10.62,10.9,2393
2017-01-12,11.51,11.0,10.61,10.88,17029
2017-01-13,11.43,11.0,11.14,11.23,476
2017-01-17,11.09,10.74,10.7,10.75,10011
2017-01-18,10.9,11.09,10.64,10.55,671
2017-01-19,11.0,10.77,10.5,10.71,1100
2017-01-20,10.8,10.44,10.7,10.6,519
2017-01-23,10.27,10.69,10.7,10.6,467
2017-01-24,10.31,10.59,10.7,10.62,1164
2017-01-25,10.68,10.58,10.45,11.0,1788
2017-01-26,10.61,10.41,10.4,10.46,1115
2017-01-27,10.58,10.53,10.72,10.34,120
2017-01-30,0.0,0.0,0.0,10.49,67
2017-01-31,10.7,10.85,10.26,10.71,3984
2017-02-01,0.0,0.0,0.0,10.76,9
2017-02-02,9.67,10.57,9.7,10.39,975
2017-02-03,10.0,10.51,10.0,10.18,770
2017-02-06,10.3,10.62,9.89,10.52,24701
2017-02-07,10.51,10.27,10.33,10.2,1429
2017-02-08,10.34,10.55,10.51,10.71,268
2017-02-09,9.83,10.5,10.25,10.6,3373
2017-02-10,10.49,10.66,10.45,10.25,359
2017-02-13,11.05,11.32,10.96,11.36,3946
2017-02-14,11.57,11.45,11.0,11.01,1256
2017-02-15,11.0,11.12,11.0,11.56,5659
2017-02-16,11.5,12.91,11.3,11.49,5001
2017-02-17,11.29,11.59,11.68,11.64,338
2017-02-21,0.0,0.0,0.0,11.74,87
2017-02-22,11.48,11.79,11.78,11.42,5147
2017-02-23,10.5,11.02,10.9,10.84,499
2017-02-24,10.85,11.08,11.04,11.24,1209
2017-02-27,11.11,11.25,10.83,11.09,644
2017-02-28,11.2,11.0,10.88,11.4,5158
2017-03-01,11.67,11.61,11.36,11.35,2469
2017-03-02,11.3,11.5,11.45,11.27,293
2017-03-03,0.0,0.0,0.0,11.39,4
