date,open,high,low,close,volume
2017-01-03,31.0,32.6,31.19,30.98,143
2017-01-04,31.54,35.28,28.84,33.11,334
2017-01-05,33.93,35.45,33.11,33.77,170
2017-01-06,32.94,35.95,28.14,29.32,232
2017-01-09,29.01,29.38,28.11,27.72,12
2017-01-10,29.76,33.05,27.81,27.24,37
2017-01-11,27.24,45.47,26.55,44.77,659
2017-01-12,45.64,45.09,29.53,32.57,983
2017-01-13,31.57,46.95,28.84,45.74,4455
2017-01-17,47.46,67.76,46.61,55.4,3458
2017-01-18,56.34,64.9,46.98,52.42,951
2017-01-19,46.58,49.98,31.42,41.42,1297
2017-01-20,43.31,48.12,35.54,42.55,330
2017-01-23,38.85,53.6,32.7,47.09,696
2017-01-24,46.06,46.38,37.29,46.77,497
2017-01-25,46.53,53.8,41.51,48.44,731
2017-01-26,50.03,70.39,40.89,57.76,4629
2017-01-27,58.05,64.6,51.8,54.93,923
2017-01-30,55.9,61.81,51.9,53.71,374
2017-01-31,51.9,58.66,44.84,52.49,413
2017-02-01,52.74,54.41,46.43,46.86,359
2017-02-02,51.5,57.05,48.14,46.61,341
2017-02-03,47.6,52.2,45.74,47.66,326
2017-02-06,47.04,54.79,45.47,47.69,1019
2017-02-07,48.25,46.74,34.91,45.0,1797
2017-02-08,43.82,51.7,38.72,45.26,597
2017-02-09,44.5,52.2,41.8,46.7,685
2017-02-10,48.15,53.74,43.01,49.83,550
2017-02-13,50.17,51.3,42.43,48.03,107
2017-02-14,50.19,49.61,38.2,40.1,308
2017-02-15,37.12,41.89,33.85,40.67,500
2017-02-16,43.66,49.69,39.6,44.13,179
2017-02-17,41.49,45.52,36.59,45.88,98
2017-02-21,42.36,47.74,36.89,44.37,149
2017-02-22,38.8,38.3,32.76,36.51,665
2017-02-23,36.86,37.49,27.17,32.93,860
2017-02-24,29.21,30.07,25.41,26.99,1855
2017-02-27,25.5,29.14,21.15,23.22,813
2017-02-28,21.14,27.61,21.73,28.13,523
2017-03-01,26.1,25.5,21.99,23.43,770
2017-03-02,23.41,27.22,21.19,27.55,299
2017-03-03,25.82,25.87,21.47,25.33,246
2017-03-06,23.75,23.58,19.76,19.36,325
2017-03-07,19.33,21.27,15.44,15.65,837
2017-03-08,17.7,31.08,17.83,24.0,2860
2017-03-09,24.11,23.25,17.42,19.21,969
2017-03-10,19.82,21.65,17.26,19.98,635
2017-03-13,19.61,26.0,17.49,21.21,278
2017-03-14,22.21,23.55,21.44,23.12,210
2017-03-15,23.32,25.4,20.06,23.3,189
2017-03-16,23.12,25.7,21.29,21.5,239
2017-03-17,23.33,25.9,17.61,17.4,381
2017-03-20,20.06,23.0,19.38,23.73,38
2017-03-21,19.86,19.82,15.56,17.55,371
2017-03-22,15.71,21.35,15.39,19.43,410
2017-03-23,19.71,19.75,16.06,17.66,22
2017-03-24,19.54,23.43,19.7,19.22,1003
2017-03-27,21.81,23.54,19.48,21.92,609
2017-03-28,23.62,23.74,19.48,19.4,488
2017-03-29,19.93,31.87,17.71,23.11,1439
2017-03-30,22.67,25.3,21.43,22.99,452
2017-03-31,21.99,25.2,20.13,25.3,126
2017-04-03,21.81,27.58,21.83,25.3,970
2017-04-04,24.01,27.37,23.89,27.33,203
2017-04-05,23.63,28.4,22.24,28.0,258
2017-04-06,23.5,25.5,22.59,24.0,233
2017-04-07,23.35,25.0,21.9,23.82,102
2017-04-10,25.1,25.7,19.2,21.41,295
2017-04-11,21.48,25.9,21.81,23.56,50
2017-04-12,23.36,27.1,23.61,25.6,109
2017-04-13,22.98,27.02,23.31,27.32,62
2017-04-17,26.93,26.83,22.07,23.96,286
2017-04-18,21.85,23.84,19.39,22.07,199
2017-04-19,23.19,23.73,21.35,21.9,11
2017-04-20,21.12,21.58,17.86,19.54,316
2017-04-21,19.79,19.41,15.62,17.55,283
2017-04-24,17.78,19.53,15.57,17.74,267
2017-04-25,16.95,22.84,15.5,19.26,1504
2017-04-26,17.49,21.35,17.54,17.26,80
2017-04-27,17.92,17.77,17.83,17.91,36
2017-04-28,17.35,19.3,17.27,18.07,33
2017-05-01,15.92,15.38,13.8,16.07,381
2017-05-02,15.68,21.77,15.19,17.83,2331
2017-05-03,17.44,17.94,13.64,18.0,284
2017-05-04,15.99,16.13,15.59,15.62,71
2017-05-05,15.96,15.7,13.56,14.01,261
2017-05-08,15.9,15.52,15.86,15.53,8
2017-05-09,14.0,13.46,14.03,14.06,211
2017-05-10,13.43,15.84,11.89,15.45,494
2017-05-11,13.46,15.49,11.85,13.92,91
2017-05-12,13.46,13.96,11.78,11.7,80
2017-05-15,13.73,19.82,13.6,19.81,1041
2017-05-16,19.41,19.32,15.98,15.92,714
2017-05-17,15.66,16.08,15.94,15.8,205
2017-05-18,13.42,21.74,14.06,19.76,856
2017-05-19,17.61,17.32,15.92,18.05,661
2017-05-22,15.98,16.06,15.52,16.01,44
2017-05-23,17.81,17.38,14.04,15.36,31
2017-05-24,15.65,17.8,11.68,17.28,1035
2017-05-25,17.97,17.84,16.75,17.81,152
2017-05-26,17.36,31.98,17.46,22.09,4327
2017-05-30,21.74,23.19,17.25,17.38,544
2017-05-31,17.54,25.2,16.05,19.83,1867
2017-06-01,19.67,20.0,15.61,18.07,728
2017-06-02,17.59,17.37,13.95,17.71,473
2017-06-05,15.55,15.96,14.74,15.57,132
2017-06-06,15.75,21.73,15.74,15.51,2401
2017-06-07,15.9,17.75,13.56,15.42,563
2017-06-08,15.59,16.12,15.74,15.52,118
2017-06-09,13.7,17.74,13.57,17.29,1872
2017-06-12,17.94,17.3,15.57,15.74,707
2017-06-13,17.32,20.03,17.81,18.03,1243
2017-06-14,15.52,18.01,13.41,15.79,1538
2017-06-15,15.97,27.95,15.84,21.35,3284
2017-06-16,23.62,26.1,17.69,19.69,1052
2017-06-19,17.58,19.37,17.59,17.34,517
2017-06-20,19.99,19.39,17.39,17.83,252
2017-06-21,17.26,17.55,15.37,17.51,529
2017-06-22,17.64,17.42,15.96,16.03,435
2017-06-23,15.37,17.53,15.5,15.48,315
2017-06-26,13.7,15.39,13.87,13.68,346
2017-06-27,13.32,15.74,11.62,13.71,500
2017-06-28,13.95,15.57,13.43,13.83,393
2017-06-29,15.47,15.92,14.03,13.95,28
2017-06-30,13.61,13.74,13.42,13.67,46
2017-07-03,12.74,15.48,12.9,16.06,1062
2017-07-05,13.67,16.08,13.56,13.89,91
2017-07-06,13.88,16.22,13.63,14.05,744
2017-07-07,13.73,15.76,13.42,13.46,148
2017-07-10,11.97,17.3,12.02,17.57,1080
2017-07-11,17.69,17.44,18.04,17.66,5
2017-07-12,14.03,15.78,11.74,15.41,299
2017-07-13,13.84,15.58,13.55,13.52,104
2017-07-14,12.06,15.75,11.87,15.82,1240
2017-07-17,15.37,15.74,11.6,11.49,993
2017-07-18,11.65,13.49,11.5,13.5,830
2017-07-19,13.53,21.92,13.12,17.88,2923
2017-07-20,15.41,15.42,13.55,13.58,754
2017-07-21,15.98,17.4,14.08,15.96,392
2017-07-24,13.75,17.53,13.74,17.33,342
2017-07-25,15.77,16.09,13.75,15.36,215
2017-07-26,13.91,15.89,13.79,15.49,74
2017-07-27,13.98,23.26,13.69,19.94,3797
2017-07-28,19.3,20.04,15.45,17.82,1881
2017-07-31,18.01,17.35,15.12,15.4,1498
2017-08-01,15.81,15.52,13.74,13.92,602
2017-08-02,13.91,16.06,13.99,15.37,94
2017-08-03,16.08,17.31,14.96,15.59,246
2017-08-04,13.97,15.78,13.69,15.33,159
2017-08-07,13.7,16.02,13.69,15.58,204
2017-08-08,13.53,15.71,13.62,15.61,501
2017-08-09,13.69,13.53,13.56,13.86,214
2017-08-10,13.62,13.89,13.79,13.91,52
2017-08-11,14.0,17.87,12.77,15.36,7185
2017-08-14,13.78,15.96,13.61,15.45,850
2017-08-15,13.84,13.56,12.01,14.06,84
2017-08-16,11.85,13.61,10.99,11.7,1982
2017-08-17,13.6,13.97,11.9,11.62,244
2017-08-18,11.81,11.96,8.0,9.93,1226
2017-08-21,10.05,9.83,9.82,10.03,113
2017-08-22,10.0,10.6,9.66,9.63,1346
2017-08-23,9.61,11.83,9.51,11.74,497
2017-08-24,11.83,12.2,9.62,11.87,4724
2017-08-25,11.75,11.88,9.73,10.74,493
2017-08-28,9.98,11.68,9.67,11.52,345
2017-08-29,10.91,11.74,9.62,10.03,124
2017-08-30,11.81,11.77,8.0,9.93,456
2017-08-31,7.96,9.88,8.04,9.91,1370
2017-09-01,9.92,11.94,8.81,9.9,4363
2017-09-05,9.92,10.01,7.84,9.75,348
2017-09-06,8.3,9.6,7.81,9.94,453
2017-09-07,7.75,8.04,7.88,7.98,14
2017-09-08,7.9,9.67,7.83,9.61,279
2017-09-11,9.91,11.97,9.57,11.8,551
2017-09-12,11.99,16.09,9.98,13.72,6101
2017-09-13,15.89,18.1,11.71,14.07,4317
2017-09-14,11.61,13.74,12.01,14.02,379
2017-09-15,11.64,11.71,9.96,11.77,657
2017-09-18,9.93,12.04,9.81,9.67,628
2017-09-19,9.86,12.0,8.04,9.86,1461
2017-09-20,9.78,9.9,7.82,7.85,1002
2017-09-21,7.88,7.95,7.75,8.04,1787
2017-09-22,7.9,9.99,7.89,7.85,586
2017-09-25,7.86,13.85,7.96,9.84,6882
2017-09-26,9.71,11.93,7.92,10.01,885
2017-09-27,9.74,9.94,9.94,9.7,158
2017-09-28,9.85,9.61,9.78,10.02,348
2017-09-29,9.8,14.03,9.39,11.62,4850
2017-10-02,10.05,9.81,10.0,9.81,348
2017-10-03,9.9,9.99,7.83,9.97,153
2017-10-04,7.83,9.93,7.84,9.79,33
2017-10-05,9.65,9.71,7.85,8.03,1340
2017-10-06,7.79,9.6,7.77,7.7,208
2017-10-09,7.73,9.86,7.91,7.79,59
2017-10-10,7.77,7.93,7.94,7.94,1190
2017-10-11,8.01,7.93,7.62,7.69,3323
2017-10-12,0.0,0.0,0.0,7.89,0
2017-10-13,7.71,7.71,7.88,7.73,84
2017-10-16,7.72,7.91,5.78,7.81,886
2017-10-17,6.18,9.91,5.75,9.64,2149
2017-10-18,8.0,10.01,8.04,7.88,455
2017-10-19,7.86,9.83,7.5,10.05,538
2017-10-20,7.97,7.82,7.95,8.01,199
2017-10-23,7.87,7.78,8.01,7.7,233
2017-10-24,7.85,7.84,7.92,7.86,236
2017-10-25,5.9,5.83,5.86,5.96,4
2017-10-26,5.82,7.8,5.86,8.01,957
2017-10-27,7.82,7.94,6.8,6.7,25
2017-10-30,5.82,6.02,5.82,5.82,739
2017-10-31,6.01,9.82,5.96,9.81,4609
2017-11-01,7.97,9.89,5.84,9.67,5180
2017-11-02,9.62,9.85,7.51,9.87,1389
2017-11-03,7.85,9.84,6.01,9.69,4823
2017-11-06,9.95,9.71,5.97,9.69,349
2017-11-07,9.71,9.9,5.83,9.76,163
2017-11-08,7.94,9.66,7.99,9.87,315
2017-11-09,9.87,12.04,5.86,9.7,8651
2017-11-10,9.97,11.67,7.35,7.82,4129
2017-11-13,10.02,9.64,7.64,9.58,1223
2017-11-14,7.95,7.8,7.52,7.84,919
2017-11-15,7.92,7.88,5.92,7.81,344
2017-11-16,7.95,7.99,5.87,7.74,991
2017-11-17,5.99,7.94,6.0,5.93,1193
2017-11-20,6.36,6.46,5.89,6.02,1122
2017-11-21,5.87,7.76,5.4,7.87,2170
2017-11-22,6.8,7.8,5.98,8.01,102
2017-11-24,0.0,0.0,0.0,7.97,0
2017-11-27,6.0,6.06,5.71,5.9,1362
2017-11-28,5.78,5.77,4.01,5.93,820
2017-11-29,5.88,5.76,3.98,3.91,558
2017-11-30,5.77,5.98,3.93,3.97,1294
2017-12-01,5.86,6.0,5.83,5.82,52
2017-12-04,3.9,3.86,3.81,3.92,2468
2017-12-05,3.93,6.03,3.86,5.98,858
2017-12-06,3.97,3.84,3.91,3.85,1982
2017-12-07,3.91,5.82,3.82,3.96,3358
2017-12-08,3.87,4.83,3.9,3.97,1384
2017-12-11,3.93,5.84,3.73,5.8,4407
2017-12-12,3.86,4.02,3.93,3.83,3031
2017-12-13,3.95,3.87,3.51,3.88,3528
2017-12-14,4.02,3.88,3.98,3.99,159
2017-12-15,3.97,3.87,3.95,3.9,306
2017-12-18,3.87,4.02,3.85,3.84,78
2017-12-19,3.84,5.8,3.83,5.97,20
2017-12-20,3.9,4.4,3.94,3.99,797
2017-12-21,3.85,3.98,3.83,3.95,55
2017-12-22,3.85,3.98,3.92,4.01,10
2017-12-26,3.97,3.93,4.0,3.92,74
2017-12-27,3.93,3.92,1.99,3.9,420
2017-12-28,3.93,3.86,3.91,3.85,554
2017-12-29,1.94,3.83,1.99,3.93,1592
2018-01-02,3.96,5.95,3.85,6.0,593
2018-01-03,5.92,11.95,5.43,9.97,9200
2018-01-04,9.65,11.62,5.98,5.9,4020
2018-01-05,5.97,7.82,5.75,7.92,1743
2018-01-08,5.76,7.83,5.95,7.86,876
2018-01-09,5.81,7.98,5.88,7.81,1900
2018-01-10,9.75,9.7,7.93,9.77,134
2018-01-11,10.02,9.91,5.76,7.67,141
2018-01-12,5.91,9.77,5.86,10.0,450
2018-01-16,9.63,9.81,7.98,9.64,38
2018-01-17,7.76,9.93,7.79,10.02,215
2018-01-18,8.04,9.77,7.81,8.65,416
2018-01-19,9.86,11.59,8.03,9.77,2389
2018-01-22,7.83,9.61,8.02,9.92,171
2018-01-23,10.06,10.54,8.67,9.86,453
2018-01-24,9.99,9.88,5.91,7.81,3021
2018-01-25,8.3,9.92,5.87,8.01,350
2018-01-26,7.82,9.82,8.0,9.77,332
2018-01-29,10.02,9.91,10.03,9.64,6
2018-01-30,9.76,10.04,9.63,9.69,1
2018-01-31,0.0,0.0,0.0,9.98,0
2018-02-01,7.88,8.63,5.84,7.79,2268
2018-02-02,7.76,7.93,5.77,7.83,961
2018-02-05,5.97,7.72,5.88,8.01,1138
2018-02-06,5.87,5.95,5.81,5.83,3550
2018-02-07,5.96,5.95,3.95,4.58,4927
2018-02-08,3.87,3.97,3.91,3.89,2183
2018-02-09,5.76,5.92,5.8,5.88,33
2018-02-12,5.85,5.81,5.95,6.0,109
2018-02-13,0.0,0.0,0.0,5.88,0
2018-02-14,5.93,5.96,4.0,5.88,2192
2018-02-15,3.93,5.76,3.81,4.01,3144
2018-02-16,3.89,3.84,3.84,3.96,51
2018-02-20,0.0,0.0,0.0,3.98,0
2018-02-21,4.98,5.8,4.0,3.95,1300
2018-02-22,3.98,4.0,3.88,3.91,1252
2018-02-23,3.92,5.85,3.95,3.98,5410
2018-02-26,5.8,6.01,3.96,3.89,480
2018-02-27,3.84,4.09,3.92,3.98,2175
2018-02-28,3.97,6.01,3.92,5.94,1238
2018-03-01,3.99,3.88,3.95,3.96,2290
2018-03-02,3.83,3.99,3.95,3.94,5020
2018-03-05,5.97,5.76,3.87,5.76,1741
2018-03-06,6.03,5.9,4.95,4.97,115
2018-03-07,4.0,4.01,4.0,4.02,2176
2018-03-08,5.85,5.97,3.9,5.97,3886
2018-03-09,5.89,5.83,5.82,5.98,26
2018-03-12,5.93,5.84,3.95,3.99,668
2018-03-13,3.99,3.89,3.96,3.83,1173
2018-03-14,3.89,3.9,4.02,3.91,1124
2018-03-15,3.88,3.87,4.02,3.97,4
2018-03-16,3.95,3.91,3.99,3.94,351
2018-03-19,4.0,5.86,3.93,3.85,1206
2018-03-20,3.89,3.99,3.93,3.85,798
2018-03-21,3.91,4.01,2.0,3.97,8652
2018-03-22,0.0,0.0,0.0,3.95,0
2018-03-23,0.0,0.0,0.0,3.91,0
2018-03-26,3.93,3.95,1.99,4.02,9515
2018-03-27,1.92,2.01,1.93,1.94,178
2018-03-28,1.97,3.94,1.97,3.93,525
2018-03-29,3.87,3.95,3.91,3.85,711
2018-04-02,2.96,3.98,1.98,3.91,15
2018-04-03,3.86,4.01,1.98,2.0,1770
2018-04-04,2.94,3.98,1.93,3.87,467
2018-04-05,2.95,3.84,1.96,3.85,70
2018-04-06,1.97,1.93,1.97,1.96,80
2018-04-09,3.95,3.96,3.01,2.88,158
2018-04-10,3.98,3.92,3.92,3.93,98
2018-04-11,1.94,2.95,2.0,1.99,23056
2018-04-12,1.93,1.94,1.92,1.96,231
2018-04-13,0.0,0.0,0.0,1.95,0
2018-04-16,1.95,1.98,1.98,1.98,186
2018-04-17,1.92,1.99,1.93,1.99,424
2018-04-18,1.97,1.94,2.01,1.94,54
2018-04-19,2.01,1.94,1.99,2.01,205
2018-04-20,1.96,1.92,1.97,1.98,543
2018-04-23,1.93,1.94,1.93,1.93,26
2018-04-24,1.93,2.01,2.0,1.99,158
2018-04-25,1.99,1.94,2.0,1.94,264
2018-04-26,1.96,2.01,1.98,1.98,22
2018-04-27,2.01,1.99,1.94,1.95,3
2018-04-30,0.0,0.0,0.0,1.93,0
2018-05-01,1.96,1.95,1.94,1.93,5
2018-05-02,0.0,0.0,0.0,1.99,0
2018-05-03,1.92,1.97,1.99,1.93,26
2018-05-04,0.0,0.0,0.0,1.96,0
2018-05-07,1.94,1.92,2.01,1.96,5
2018-05-08,1.92,1.96,1.99,1.97,363
2018-05-09,0.26,0.26,0.26,0.26,149
2018-05-10,0.263,0.6,0.263,0.4459,6074
2018-05-11,0.2571,0.4402,0.264,0.4302,1215
2018-05-14,0.4253,0.4199,0.25,0.27,6320
2018-05-15,0.27,0.26,0.26,0.27,1727
2018-05-16,0.27,0.56,0.27,0.56,518
2018-05-17,0.0,0.0,0.0,0.57,1
2018-05-18,0.0,0.0,0.0,0.57,53
2018-05-21,0.0,0.0,0.0,0.58,1
2018-05-22,0.4,0.47,0.4,0.47,992
2018-05-23,0.57,0.57,0.55,0.57,725
2018-05-24,0.59,0.6,0.36,0.36,3255
2018-05-25,0.0,0.0,0.0,0.36,28
2018-05-29,0.0,0.0,0.0,0.36,0
2018-05-30,0.0,0.0,0.0,0.36,1
2018-05-31,0.53,0.7,0.54,0.7,1056
2018-06-01,0.0,0.0,0.0,0.7,54
2018-06-04,0.0,0.0,0.0,0.7,1
2018-06-05,0.4,0.4,0.4,0.4,303
2018-06-06,0.6,0.6,0.6,0.6,125
2018-06-07,0.0,0.0,0.0,0.6,30
2018-06-08,0.0,0.0,0.0,0.6,0
2018-06-11,0.0,0.0,0.0,0.6,3
2018-06-12,0.0,0.0,0.0,0.6,0
2018-06-13,0.0,0.0,0.0,0.6,0
2018-06-14,0.0,0.0,0.0,0.6,0
2018-06-15,0.0,0.0,0.0,0.6,0
2018-06-18,0.0,0.0,0.0,0.6,0
2018-06-19,0.0,0.0,0.0,0.6,36
2018-06-20,0.0,0.0,0.0,0.6,1
2018-06-21,0.0,0.0,0.0,0.6,22
2018-06-22,0.0,0.0,0.0,0.6,0
2018-06-25,0.4,0.5,0.4,0.5,212
2018-06-26,0.4,0.4,0.4,0.4,1877
2018-06-27,0.0,0.0,0.0,0.4,82
2018-06-28,0.0,0.0,0.0,0.4,0
2018-06-29,0.6,2.9,0.434,2.6,46378
2018-07-02,2.86,4.97,2.75,4.08,42094
2018-07-03,3.69,4.0,2.18,3.3,8621
2018-07-05,3.14,3.7,2.23,3.69,5486
2018-07-06,3.08,3.4,2.6,3.5,1594
2018-07-09,2.65,2.73,2.65,2.7,619
2018-07-10,2.87,2.98,2.3,2.92,2031
2018-07-11,2.96,3.53,2.89,3.0,1164
2018-07-12,2.9,3.3,2.9,3.3,2145
2018-07-13,3.35,3.5,3.31,3.6,1080
2018-07-16,3.54,3.91,3.57,3.8,2260
2018-07-17,3.9,4.18,4.0,4.07,937
2018-07-18,4.11,4.16,4.06,4.0,466
2018-07-19,4.09,4.9,3.3,3.3,4481
2018-07-20,3.4,4.0,3.3,4.0,706
2018-07-23,3.8,5.0,2.02,4.8,2030
2018-07-24,3.67,3.81,3.78,3.68,287
2018-07-25,3.83,3.81,3.82,3.7,177
2018-07-26,3.72,4.34,3.67,4.31,527
2018-07-27,0.0,0.0,0.0,4.26,1
2018-07-30,3.81,3.7,3.49,3.54,713
2018-07-31,0.0,0.0,0.0,3.54,0
2018-08-01,0.0,0.0,0.0,3.44,79
2018-08-02,0.0,0.0,0.0,3.59,37
2018-08-03,2.89,2.84,2.79,2.89,112
2018-08-06,2.91,2.9,2.85,2.95,271
2018-08-07,2.85,2.91,2.98,2.9,229
2018-08-08,2.84,4.18,2.77,4.23,644
2018-08-09,3.0,3.0,3.0,3.0,158
2018-08-10,4.02,4.01,3.9,3.99,471
2018-08-13,2.22,2.22,2.21,2.22,387
2018-08-14,4.06,3.97,4.02,4.02,411
2018-08-15,4.02,4.11,2.5,3.38,805
2018-08-16,2.5,2.6,2.5,2.5,222
2018-08-17,0.0,0.0,0.0,2.6,46
2018-08-20,2.6,2.6,2.6,2.6,133
2018-08-21,3.63,3.6,3.45,3.41,542
2018-08-22,0.0,0.0,0.0,3.46,1
2018-08-23,3.46,3.51,3.36,3.42,204
2018-08-24,0.0,0.0,0.0,3.38,0
2018-08-27,1.94,1.92,1.99,1.94,118
2018-08-28,0.0,0.0,0.0,1.93,5
2018-08-29,3.53,3.58,2.5,2.6,715
2018-08-30,0.0,0.0,0.0,2.5,71
2018-08-31,0.0,0.0,0.0,2.6,30
2018-09-04,2.5,2.5,2.5,2.6,120
