date,open,high,low,close,volume
2018-10-23,0.0,0.0,0.0,0.8,0
2018-10-24,0.4,0.4,0.4,0.4,679
2018-10-25,0.6,0.8,0.6,0.8,502
2018-10-26,0.0,0.0,0.0,0.8,37
2018-10-29,0.6,0.6,0.4,0.4,1394
2018-10-30,0.4,0.4,0.4,0.4,1053
2018-10-31,0.6,0.6,0.4,0.4,941
2018-11-01,0.4,0.4,0.4,0.4,198
2018-11-02,0.0,0.0,0.0,0.4,16
2018-11-05,0.0,0.0,0.0,0.4,0
2018-11-06,0.0,0.0,0.0,0.4,5
2018-11-07,0.4,0.4,0.4,0.4,102
2018-11-08,0.4,0.4,0.4,0.4,78
2018-11-09,0.4,0.4,0.4,0.4,243
2018-11-12,0.5,0.6,0.5,0.6,547
2018-11-13,0.0,0.0,0.0,0.6,0
2018-11-14,0.4,0.4,0.4,0.4,1464
2018-11-15,0.4,0.4,0.4,0.4,155
2018-11-16,0.4,0.4,0.4,0.4,610
2018-11-19,0.6,0.6,0.6,0.6,97
2018-11-20,0.0,0.0,0.0,0.6,0
2018-11-21,0.0,0.0,0.0,0.6,0
2018-11-23,0.0,0.0,0.0,0.6,0
2018-11-26,0.0,0.0,0.0,0.6,0
2018-11-27,0.0,0.0,0.0,0.6,0
2018-11-28,0.0,0.0,0.0,0.6,0
2018-11-29,0.4,0.4,0.4,0.4,102
2018-11-30,0.2,0.2,0.2,0.2,564
2018-12-03,0.3,0.4,0.3,0.4,786
2018-12-04,0.3,0.4,0.3,0.4,4415
2018-12-06,0.3,0.3,0.3,0.3,100
2018-12-07,0.3,0.3,0.3,0.3,202
2018-12-10,0.3,1.0,0.3,1.0,1198
2018-12-11,0.3,0.9,0.3,0.9,736
2018-12-12,0.3,0.4,0.3,0.4,601
2018-12-13,0.3,0.4,0.3,0.4,3379
2018-12-14,0.2,0.2,0.2,0.2,28121
2018-12-17,0.2,0.2,0.2,0.2,1326
2018-12-18,0.1,0.2,0.1,0.2,26204
2018-12-19,0.1,0.2,0.1,0.2,1050
2018-12-20,0.1,0.1,0.1,0.1,279
2018-12-21,0.1,0.1,0.1,0.1,2677
2018-12-24,0.1,0.1,0.1,0.1,1205
2018-12-26,0.0,0.0,0.0,0.1,0
2018-12-27,0.1,0.2,0.1,0.2,6291
2018-12-28,0.1,0.1,0.1,0.1,5702
2018-12-31,0.0,0.0,0.0,0.1,0
2019-01-02,0.0,0.0,0.0,0.1,0
2019-01-03,0.2,0.2,0.2,0.2,3347
2019-01-04,0.2,0.2,0.2,0.2,257
2019-01-07,0.2,0.2,0.2,0.2,14293
2019-01-08,0.1,0.2,0.1,0.2,2743
2019-01-09,0.2,0.2,0.2,0.2,1029
2019-01-10,0.2,0.2,0.2,0.2,4804
2019-01-11,0.1,0.2,0.1,0.2,1813
2019-01-14,0.2,0.2,0.2,0.2,6259
2019-01-15,0.0,0.0,0.0,0.2,0
2019-01-16,0.1,0.1,0.1,0.1,206
2019-01-17,0.1,0.1,0.1,0.1,2025
2019-01-18,0.2,0.2,0.2,0.2,4192
2019-01-22,0.4,0.6,0.4,0.5,10956
2019-01-23,0.5,0.5,0.5,0.5,1538
2019-01-24,0.3,0.3,0.3,0.3,51
2019-01-25,0.0,0.0,0.0,0.3,18
2019-01-28,0.3,0.3,0.3,0.3,2622
2019-01-29,0.0,0.0,0.0,0.3,0
2019-01-30,0.2,0.2,0.2,0.2,510
2019-01-31,0.2,0.2,0.2,0.2,8177
2019-02-01,0.2,0.2,0.2,0.2,787
2019-02-04,0.0,0.0,0.0,0.2,0
2019-02-05,0.0,0.0,0.0,0.2,0
2019-02-06,0.0,0.0,0.0,0.2,0
2019-02-07,0.2,0.2,0.2,0.2,307
2019-02-08,0.0,0.0,0.0,0.2,0
2019-02-11,0.0,0.0,0.0,0.2,0
2019-02-12,0.0,0.0,0.0,0.2,0
2019-02-13,0.0,0.0,0.0,0.2,0
2019-02-14,0.2,0.2,0.2,0.2,52
2019-02-15,0.0,0.0,0.0,0.2,0
2019-02-19,0.2,0.2,0.2,0.2,51
2019-02-20,0.0,0.0,0.0,0.2,0
2019-02-21,0.0,0.0,0.0,0.2,0
2019-02-22,0.3,0.3,0.3,0.3,100
2019-02-25,0.5,0.5,0.3,0.3,167
2019-02-26,0.0,0.0,0.0,0.3,0
2019-02-27,0.3,0.3,0.3,0.3,1426
2019-02-28,0.4,0.4,0.4,0.4,1632
2019-03-01,0.0,0.0,0.0,0.4,0
2019-03-04,0.0,0.0,0.0,0.4,0
2019-03-05,0.0,0.0,0.0,0.4,0
2019-03-06,0.0,0.0,0.0,0.4,0
2019-03-07,0.0,0.0,0.0,0.4,0
2019-03-08,0.0,0.0,0.0,0.4,0
2019-03-11,0.0,0.0,0.0,0.4,0
2019-03-12,0.0,0.0,0.0,0.4,0
2019-03-13,0.0,0.0,0.0,0.4,0
2019-03-14,0.0,0.0,0.0,0.4,0
2019-03-15,0.0,0.0,0.0,0.4,10
2019-03-18,0.0,0.0,0.0,0.4,0
2019-03-19,0.0,0.0,0.0,0.4,0
2019-03-20,0.0,0.0,0.0,0.4,0
2019-03-21,0.0,0.0,0.0,0.4,0
2019-03-22,0.3,0.3,0.3,0.3,2534
2019-03-25,0.3,0.3,0.3,0.3,100
2019-03-26,0.3,0.3,0.3,0.3,50
2019-03-27,0.0,0.0,0.0,0.3,0
2019-03-28,0.0,0.0,0.0,0.3,0
2019-03-29,0.0,0.0,0.0,0.3,0
2019-04-01,0.3,0.3,0.3,0.3,154
2019-04-02,0.0,0.0,0.0,0.3,0
2019-04-03,0.0,0.0,0.0,0.3,0
2019-04-04,0.0,0.0,0.0,0.3,0
2019-04-05,0.5,1.2,0.5,0.5,16234
2019-04-08,0.6,0.6,0.3,0.3,30404
2019-04-09,0.0,0.0,0.0,0.3,0
2019-04-10,0.0,0.0,0.0,0.3,0
2019-04-11,0.0,0.0,0.0,0.3,0
2019-04-12,0.0,0.0,0.0,0.3,0
2019-04-15,0.0,0.0,0.0,0.3,0
2019-04-16,0.0,0.0,0.0,0.3,0
2019-04-17,0.0,0.0,0.0,0.3,0
2019-04-18,0.0,0.0,0.0,0.3,0
2019-04-22,0.0,0.0,0.0,0.3,0
2019-04-23,0.0,0.0,0.0,0.3,0
2019-04-24,0.0,0.0,0.0,0.3,0
2019-04-25,0.0,0.0,0.0,0.3,0
2019-04-26,0.0,0.0,0.0,0.3,0
2019-04-29,0.0,0.0,0.0,0.3,0
2019-04-30,0.0,0.0,0.0,0.3,0
2019-05-01,0.0,0.0,0.0,0.3,0
2019-05-02,0.0,0.0,0.0,0.3,0
2019-05-03,0.0,0.0,0.0,0.3,0
2019-05-06,0.0,0.0,0.0,0.3,0
2019-05-07,0.0,0.0,0.0,0.3,0
2019-05-08,0.0,0.0,0.0,0.3,0
2019-05-09,0.0,0.0,0.0,0.3,0
2019-05-10,0.0,0.0,0.0,0.3,0
2019-05-13,0.0,0.0,0.0,0.3,0
2019-05-14,0.0,0.0,0.0,0.3,0
2019-05-15,0.0,0.0,0.0,0.3,0
2019-05-16,0.0,0.0,0.0,0.3,0
2019-05-17,0.0,0.0,0.0,0.3,0
2019-05-20,0.0,0.0,0.0,0.3,0
2019-05-21,0.0,0.0,0.0,0.3,0
2019-05-22,0.0,0.0,0.0,0.3,0
2019-05-23,0.0,0.0,0.0,0.3,0
