date,open,high,low,close,volume
2017-01-03,0.98,0.988,0.9369,0.9395,1031697
2017-01-04,0.9503,0.95,0.955,0.95,282022
2017-01-05,0.9705,0.973,0.9192,0.931,1053391
2017-01-06,0.9,0.922,0.925,0.9325,488801
2017-01-09,0.9,0.9384,0.894,0.9,494328
2017-01-10,0.949,0.9509,0.9116,0.919,462718
2017-01-11,0.95,0.9251,0.923,0.9,759135
2017-01-12,0.95,0.96,0.8985,0.9439,432178
2017-01-13,0.9143,0.9733,0.92,0.9,557692
2017-01-17,0.937,0.956,0.91,0.9,639960
2017-01-18,0.9193,0.952,0.9022,0.94,369160
2017-01-19,0.925,0.9262,0.893,0.948,220113
2017-01-20,0.9479,0.95,0.92,0.9404,363630
2017-01-23,0.9566,0.9275,0.9,0.92,327461
2017-01-24,0.9157,0.96,0.9109,0.938,364810
2017-01-25,0.92,0.91,0.9023,0.915,344203
2017-01-26,0.9052,0.9484,0.9144,0.903,247949
2017-01-27,0.95,0.92,0.89,0.928,207051
2017-01-30,0.9,0.9232,0.9,0.9085,343659
2017-01-31,0.89,0.9,0.89,0.917,272924
2017-02-01,0.9,0.9458,0.92,0.9,469387
2017-02-02,0.9,0.9,0.91,0.9122,420064
2017-02-03,0.95,0.9447,0.9,0.9353,477258
2017-02-06,0.94,0.94,0.914,0.932,201134
2017-02-07,0.9345,0.9129,0.9,0.9149,397882
2017-02-08,0.94,0.94,0.9335,0.919,343588
2017-02-09,0.947,0.9413,0.9,0.91,337520
2017-02-10,0.917,0.923,0.8979,0.9,223825
2017-02-13,0.93,0.9456,0.93,0.95,309830
2017-02-14,0.94,0.92,0.9211,0.916,403197
2017-02-15,0.921,0.9396,0.9326,0.9,860202
2017-02-16,0.93,0.94,0.904,0.9,276903
2017-02-17,0.93,0.93,0.9218,0.9,445718
2017-02-21,0.921,0.9343,0.9437,0.92,365765
2017-02-22,0.9479,0.9764,0.939,0.95,1260568
2017-02-23,0.92,0.9429,0.93,0.9489,233443
2017-02-24,0.929,0.9349,0.9186,0.9363,371707
2017-02-27,0.9,0.909,0.9355,0.9362,922289
2017-02-28,0.9256,0.9291,0.946,0.95,551531
2017-03-01,0.964,0.94,0.9463,0.94,177427
2017-03-02,0.92,0.91,0.9,0.9029,261858
2017-03-03,0.9,0.951,0.9327,0.9,423379
2017-03-06,0.931,0.95,0.9088,0.91,491203
2017-03-07,0.94,0.9375,0.9215,0.9474,358312
2017-03-08,0.9162,0.9559,0.9098,0.9339,181319
2017-03-09,0.916,0.9561,0.926,0.93,212625
2017-03-10,0.9201,0.93,0.8948,0.9112,434498
2017-03-13,0.8985,0.9,0.93,0.9317,426845
2017-03-14,0.9379,0.9211,0.917,0.9236,218452
2017-03-15,0.93,0.9275,0.9319,0.92,297710
2017-03-16,0.91,0.9097,0.89,0.89,746734
2017-03-17,0.9,0.9153,0.9,0.9459,615475
2017-03-20,0.949,0.927,0.8956,0.89,214856
2017-03-21,0.903,0.946,0.91,0.907,280594
2017-03-22,0.89,0.947,0.9242,0.9306,496153
2017-03-23,0.898,0.926,0.889,0.938,266458
2017-03-24,0.934,0.952,0.906,0.936,288825
2017-03-27,0.899,0.92,0.901,0.9383,149840
2017-03-28,0.902,0.9202,0.936,0.9,262642
2017-03-29,0.93,0.9383,0.894,0.9042,322905
2017-03-30,0.9,0.9033,0.8965,0.9,2527777
2017-03-31,0.95,0.93,0.93,0.9,1670922
2017-04-03,0.95,0.946,0.91,0.89,680545
2017-04-04,0.9275,0.9048,0.9126,0.9089,338079
2017-04-05,0.89,0.9088,0.92,0.9,648356
2017-04-06,0.927,0.949,0.887,0.9169,364980
2017-04-07,0.9145,0.9203,0.913,0.9235,605530
2017-04-10,0.9,0.9,0.89,0.93,317953
2017-04-11,0.9,0.9185,0.8969,0.91,446213
2017-04-12,0.91,0.9358,0.91,0.921,243398
2017-04-13,0.9,0.9,0.91,0.9017,358963
2017-04-17,0.0,0.0,0.0,0.9213,0
2017-04-18,0.9,0.9,0.8989,0.9281,269946
2017-04-19,0.884,0.914,0.89,0.8898,517561
2017-04-20,0.9,0.9,0.9191,0.91,261894
2017-04-21,0.9,0.9355,0.9128,0.9294,290601
2017-04-24,0.9033,0.9,0.89,0.9,270456
2017-04-25,0.908,0.932,0.9206,0.901,350311
2017-04-26,0.92,0.9059,0.886,0.902,533050
2017-04-27,0.885,0.9092,0.897,0.89,398616
2017-04-28,0.896,0.9126,0.881,0.916,336638
2017-05-01,0.0,0.0,0.0,0.898,0
2017-05-02,0.927,0.9266,0.8788,0.8842,211873
2017-05-03,0.908,0.9,0.883,0.914,208113
2017-05-04,0.8925,0.9102,0.895,0.89,226256
2017-05-05,0.9088,0.894,0.918,0.9,191601
2017-05-08,0.914,0.8897,0.884,0.899,206299
2017-05-09,0.88,0.9,0.897,0.9,678535
2017-05-10,0.89,0.93,0.929,0.9532,496891
2017-05-11,0.9,0.9477,0.9227,0.961,565091
2017-05-12,0.94,0.94,0.9236,0.93,310615
2017-05-15,0.9432,0.9525,0.9103,0.9217,552922
2017-05-16,0.9685,0.9627,0.9317,0.9495,311263
2017-05-17,0.96,0.93,0.935,0.9439,403979
2017-05-18,0.9335,0.9453,0.9226,0.936,644383
2017-05-19,0.9482,0.922,0.92,0.944,297408
2017-05-22,0.936,0.952,0.9123,0.94,24615675
2017-05-23,0.92,0.94,0.9165,0.9222,737079
2017-05-24,0.968,0.9793,0.941,0.977,702570
2017-05-25,0.9556,0.9466,0.922,0.97,445183
2017-05-26,0.99,0.97,0.96,0.9817,367273
2017-05-30,0.92,0.9948,0.95,0.982,654161
2017-05-31,0.9707,1.0081,0.9714,0.9523,687277
2017-06-01,0.9793,1.0017,0.9493,0.93,660220
2017-06-02,0.98,0.978,0.953,0.96,721970
2017-06-05,0.979,0.965,0.9268,0.9382,165303
2017-06-06,0.98,0.97,0.9291,0.9,564000
2017-06-07,0.9217,0.9602,0.9021,0.9,442612
2017-06-08,0.9126,0.9287,0.9421,0.94,196482
2017-06-09,0.93,0.94,0.9,0.9548,738868
2017-06-12,0.9256,0.95,0.9166,0.93,861906
2017-06-13,0.9728,0.9488,0.9527,0.9455,290561
2017-06-14,0.96,0.9516,0.906,0.95,5608494
2017-06-15,0.9227,0.9613,0.9,0.9338,588031
2017-06-16,0.952,0.9321,0.9399,0.9291,5236300
2017-06-19,0.945,0.9943,0.9524,0.95,402943
2017-06-20,1.002,0.9654,0.9334,0.9596,574984
2017-06-21,0.959,0.976,0.9529,0.9582,852569
2017-06-22,0.94,0.9246,0.8945,0.9009,9514356
2017-06-23,0.9121,0.917,0.9358,0.947,1431437
2017-06-26,0.937,0.9136,0.89,0.9205,848763
2017-06-27,0.924,0.916,0.9,0.914,948231
2017-06-28,0.9,0.9,0.905,0.92,1458557
2017-06-29,0.899,0.9,0.8984,0.9,453004
2017-06-30,0.8984,0.9,0.887,0.9,4800885
2017-07-03,0.9233,0.923,0.8808,0.92,1632970
2017-07-05,0.92,0.9,0.8972,0.9,250410
2017-07-06,0.9284,0.9116,0.901,0.915,423979
2017-07-07,0.9348,0.9338,0.9167,0.93,340768
2017-07-10,0.911,0.9249,0.9,0.9143,177069
2017-07-11,0.9418,0.92,0.9023,0.94,408701
2017-07-12,0.8889,0.9474,0.9285,0.924,360276
2017-07-13,0.9423,0.9315,0.9104,0.942,230848
