date,open,high,low,close,volume
2017-01-03,0.0,0.0,0.0,25.3,0
2017-01-04,25.6,25.8,26.1,25.5,961
2017-01-05,27.0,27.0,27.0,27.0,45
2017-01-06,0.0,0.0,0.0,26.0,0
2017-01-09,0.0,0.0,0.0,27.0,0
2017-01-10,0.0,0.0,0.0,27.0,0
2017-01-11,0.0,0.0,0.0,27.0,0
2017-01-12,0.0,0.0,0.0,27.0,0
2017-01-13,0.0,0.0,0.0,26.0,0
2017-01-17,0.0,0.0,0.0,27.0,0
2017-01-18,0.0,0.0,0.0,26.0,0
2017-01-19,0.0,0.0,0.0,27.0,0
2017-01-20,0.0,0.0,0.0,27.0,0
2017-01-23,0.0,0.0,0.0,27.0,0
2017-01-24,0.0,0.0,0.0,27.0,0
2017-01-25,0.0,0.0,0.0,26.0,0
2017-01-26,0.0,0.0,0.0,27.0,0
2017-01-27,26.88,27.72,27.82,26.93,28
2017-01-30,0.0,0.0,0.0,27.44,0
2017-01-31,27.01,27.6,26.96,26.6,4142
2017-02-01,27.3,27.7,27.8,27.5,44529
2017-02-02,26.0,27.0,27.0,27.0,44
2017-02-03,0.0,0.0,0.0,26.0,0
2017-02-06,0.0,0.0,0.0,27.0,1644
2017-02-07,26.4,26.0,26.5,27.0,199
2017-02-08,0.0,0.0,0.0,27.0,1791
2017-02-09,0.0,0.0,0.0,27.0,0
2017-02-10,0.0,0.0,0.0,27.0,0
2017-02-13,27.0,26.9,27.8,27.6,20
2017-02-14,25.9,26.9,26.4,26.9,11277
2017-02-15,0.0,0.0,0.0,26.0,0
2017-02-16,26.56,26.3,26.91,26.13,1075
2017-02-17,26.8,26.0,25.8,26.1,47
2017-02-21,0.0,0.0,0.0,25.7,0
2017-02-22,26.2,26.4,26.3,26.4,43
2017-02-23,0.0,0.0,0.0,27.0,0
2017-02-24,0.0,0.0,0.0,26.1,0
2017-02-27,0.0,0.0,0.0,26.8,0
2017-02-28,0.0,0.0,0.0,26.1,0
2017-03-01,0.0,0.0,0.0,26.7,0
2017-03-02,0.0,0.0,0.0,26.1,0
2017-03-03,0.0,0.0,0.0,26.7,0
2017-03-06,0.0,0.0,0.0,26.7,0
2017-03-07,27.0,27.0,27.0,26.0,57
2017-03-08,0.0,0.0,0.0,27.0,0
2017-03-09,25.99,26.0,26.16,25.6,398
2017-03-10,0.0,0.0,0.0,26.1,0
2017-03-13,27.4,27.2,26.7,26.5,396
2017-03-14,0.0,0.0,0.0,26.8,0
2017-03-15,0.0,0.0,0.0,26.9,0
2017-03-16,0.0,0.0,0.0,26.9,0
2017-03-17,0.0,0.0,0.0,26.1,0
2017-03-20,0.0,0.0,0.0,26.5,0
2017-03-21,26.7,27.7,27.8,27.1,75
2017-03-22,0.0,0.0,0.0,27.8,0
2017-03-23,0.0,0.0,0.0,27.1,0
2017-03-24,0.0,0.0,0.0,27.4,0
2017-03-27,0.0,0.0,0.0,26.9,0
2017-03-28,0.0,0.0,0.0,27.5,0
2017-03-29,0.0,0.0,0.0,26.8,0
2017-03-30,0.0,0.0,0.0,26.9,0
2017-03-31,0.0,0.0,0.0,28.0,0
2017-04-03,0.0,0.0,0.0,27.0,0
2017-04-04,0.0,0.0,0.0,27.1,0
2017-04-05,0.0,0.0,0.0,27.2,0
2017-04-06,26.79,26.52,26.51,26.07,586
2017-04-07,0.0,0.0,0.0,26.28,0
2017-04-10,0.0,0.0,0.0,25.88,0
2017-04-11,0.0,0.0,0.0,26.03,0
2017-04-12,0.0,0.0,0.0,26.46,0
2017-04-13,0.0,0.0,0.0,25.83,6045
2017-04-17,0.0,0.0,0.0,26.6,0
2017-04-18,0.0,0.0,0.0,26.7,0
2017-04-19,26.8,27.2,27.2,27.7,206
2017-04-20,0.0,0.0,0.0,27.8,0
2017-04-21,0.0,0.0,0.0,27.4,0
2017-04-24,0.0,0.0,0.0,26.9,1329
2017-04-25,0.0,0.0,0.0,26.8,0
2017-04-26,0.0,0.0,0.0,27.2,0
2017-04-27,0.0,0.0,0.0,26.9,0
2017-04-28,26.2,27.2,26.6,26.6,190
2017-05-01,0.0,0.0,0.0,27.0,0
2017-05-02,0.0,0.0,0.0,26.7,0
2017-05-03,0.0,0.0,0.0,26.9,0
2017-05-04,0.0,0.0,0.0,26.4,0
2017-05-05,0.0,0.0,0.0,26.4,0
2017-05-08,0.0,0.0,0.0,26.8,0
2017-05-09,0.0,0.0,0.0,27.0,0
2017-05-10,27.15,27.04,26.35,26.51,49
2017-05-11,0.0,0.0,0.0,26.79,0
2017-05-12,0.0,0.0,0.0,26.45,0
2017-05-15,0.0,0.0,0.0,27.24,0
2017-05-16,0.0,0.0,0.0,26.84,0
2017-05-17,0.0,0.0,0.0,27.45,0
2017-05-18,27.4,27.5,27.8,27.6,1073
2017-05-19,27.7,28.2,27.4,28.1,31
2017-05-22,0.0,0.0,0.0,28.0,0
2017-05-23,0.0,0.0,0.0,27.3,0
2017-05-24,0.0,0.0,0.0,28.0,0
2017-05-25,0.0,0.0,0.0,27.5,0
2017-05-26,0.0,0.0,0.0,27.8,0
2017-05-30,28.0,27.0,28.0,28.0,68533
2017-05-31,27.62,28.05,27.95,27.71,82
2017-06-01,28.1,27.5,28.6,28.7,48
2017-06-02,28.3,28.6,28.2,28.3,45
2017-06-05,0.0,0.0,0.0,27.8,0
2017-06-06,0.0,0.0,0.0,28.7,0
2017-06-07,0.0,0.0,0.0,28.2,0
2017-06-08,0.0,0.0,0.0,28.1,0
2017-06-09,0.0,0.0,0.0,27.7,0
2017-06-12,0.0,0.0,0.0,27.7,0
2017-06-13,0.0,0.0,0.0,28.1,0
