date,open,high,low,close,volume
2017-01-03,0.0,0.0,0.0,73.32,15
2017-01-04,0.0,0.0,0.0,73.87,0
2017-01-05,0.0,0.0,0.0,74.2,77
2017-01-06,0.0,0.0,0.0,74.83,65
2017-01-09,0.0,0.0,0.0,76.22,27
2017-01-10,0.0,0.0,0.0,74.56,0
2017-01-11,0.0,0.0,0.0,76.23,0
2017-01-12,0.0,0.0,0.0,75.77,20
2017-01-13,0.0,0.0,0.0,75.78,0
2017-01-17,0.0,0.0,0.0,73.06,26
2017-01-18,0.0,0.0,0.0,73.93,0
2017-01-19,0.0,0.0,0.0,76.1,0
2017-01-20,76.33,76.06,76.99,78.05,131
2017-01-23,0.0,0.0,0.0,77.66,0
2017-01-24,0.0,0.0,0.0,77.34,0
2017-01-25,0.0,0.0,0.0,79.28,0
2017-01-26,0.0,0.0,0.0,78.03,102
2017-01-27,0.0,0.0,0.0,77.99,0
2017-01-30,0.0,0.0,0.0,78.16,0
2017-01-31,0.0,0.0,0.0,79.31,0
2017-02-01,0.0,0.0,0.0,76.47,0
2017-02-02,0.0,0.0,0.0,77.91,0
2017-02-03,0.0,0.0,0.0,76.82,0
2017-02-06,0.0,0.0,0.0,78.81,0
2017-02-07,0.0,0.0,0.0,79.06,3
2017-02-08,0.0,0.0,0.0,79.3,0
2017-02-09,0.0,0.0,0.0,76.82,0
2017-02-10,0.0,0.0,0.0,76.24,0
2017-02-13,0.0,0.0,0.0,76.92,0
2017-02-14,0.0,0.0,0.0,75.77,26
2017-02-15,0.0,0.0,0.0,77.81,0
2017-02-16,0.0,0.0,0.0,78.71,26
2017-02-17,0.0,0.0,0.0,76.14,0
2017-02-21,0.0,0.0,0.0,77.29,0
2017-02-22,0.0,0.0,0.0,77.79,0
2017-02-23,0.0,0.0,0.0,76.53,61
2017-02-24,0.0,0.0,0.0,77.59,1
2017-02-27,0.0,0.0,0.0,76.04,0
2017-02-28,0.0,0.0,0.0,76.75,0
2017-03-01,0.0,0.0,0.0,78.1,0
2017-03-02,0.0,0.0,0.0,76.74,0
2017-03-03,86.7,84.0,84.9,87.0,104
2017-03-06,0.0,0.0,0.0,83.9,0
2017-03-07,0.0,0.0,0.0,87.8,0
2017-03-08,0.0,0.0,0.0,86.1,0
2017-03-09,0.0,0.0,0.0,87.7,0
2017-03-10,0.0,0.0,0.0,87.3,23
2017-03-13,86.15,88.15,84.09,87.14,607
2017-03-14,0.0,0.0,0.0,84.8,0
2017-03-15,0.0,0.0,0.0,87.64,19
2017-03-16,0.0,0.0,0.0,86.05,0
2017-03-17,0.0,0.0,0.0,84.38,0
2017-03-20,0.0,0.0,0.0,86.56,0
2017-03-21,0.0,0.0,0.0,85.25,0
2017-03-22,0.0,0.0,0.0,85.16,0
2017-03-23,0.0,0.0,0.0,87.92,0
2017-03-24,0.0,0.0,0.0,86.28,0
2017-03-27,0.0,0.0,0.0,87.69,10
2017-03-28,0.0,0.0,0.0,87.55,6
2017-03-29,0.0,0.0,0.0,85.35,18
2017-03-30,0.0,0.0,0.0,85.16,18
2017-03-31,0.0,0.0,0.0,84.62,0
2017-04-03,0.0,0.0,0.0,87.14,0
2017-04-04,0.0,0.0,0.0,87.44,0
2017-04-05,0.0,0.0,0.0,85.96,0
2017-04-06,0.0,0.0,0.0,84.07,0
2017-04-07,0.0,0.0,0.0,85.34,0
2017-04-10,0.0,0.0,0.0,84.59,0
2017-04-11,0.0,0.0,0.0,85.96,0
2017-04-12,0.0,0.0,0.0,86.98,0
2017-04-13,0.0,0.0,0.0,85.76,1
2017-04-17,0.0,0.0,0.0,85.8,0
2017-04-18,0.0,0.0,0.0,84.99,2
2017-04-19,0.0,0.0,0.0,85.51,0
2017-04-20,0.0,0.0,0.0,86.26,0
2017-04-21,0.0,0.0,0.0,84.7,0
2017-04-24,90.68,88.93,91.94,90.15,106
2017-04-25,0.0,0.0,0.0,90.96,0
2017-04-26,0.0,0.0,0.0,93.02,30
2017-04-27,0.0,0.0,0.0,91.63,0
2017-04-28,91.86,91.49,91.39,94.34,105
2017-05-01,0.0,0.0,0.0,91.57,1
2017-05-02,90.03,93.61,89.52,89.68,102
2017-05-03,91.98,88.5,92.47,90.95,254
2017-05-04,0.0,0.0,0.0,92.48,2
2017-05-05,87.26,86.3,90.14,88.69,564
2017-05-08,86.7,90.25,86.73,87.1,102
2017-05-09,0.0,0.0,0.0,89.86,0
2017-05-10,0.0,0.0,0.0,86.38,0
2017-05-11,0.0,0.0,0.0,86.9,0
2017-05-12,0.0,0.0,0.0,90.13,0
2017-05-15,0.0,0.0,0.0,88.01,0
2017-05-16,86.01,85.22,87.8,86.32,202
2017-05-17,83.64,84.84,83.27,82.79,186
2017-05-18,0.0,0.0,0.0,84.7,0
2017-05-19,0.0,0.0,0.0,85.46,0
2017-05-22,0.0,0.0,0.0,84.13,0
