date,open,high,low,close,volume
2017-12-14,0.3843,0.3769,0.3865,0.3729,1531
2017-12-15,0.3804,0.3726,0.3798,0.3677,5024
2017-12-18,0.3869,0.3734,0.3791,0.3794,10280
2017-12-19,0.3702,0.3645,0.3679,0.3716,2100
2017-12-20,0.3435,0.3551,0.3498,0.3581,5204
2017-12-21,0.33,0.343,0.333,0.341,5017
2017-12-22,0.0,0.0,0.0,0.335,0
2017-12-26,0.0,0.0,0.0,0.33,0
2017-12-27,0.3387,0.3551,0.3489,0.3403,5457
2017-12-28,0.3431,0.3422,0.35,0.336,4110
2017-12-29,0.3531,0.3412,0.3481,0.3498,27727
2018-01-02,0.0,0.0,0.0,0.3461,0
2018-01-03,0.4517,0.4675,0.4621,0.4821,2432
2018-01-04,0.59,0.59,0.516,0.5131,68229
2018-01-05,0.529,0.509,0.518,0.512,512
2018-01-08,0.5927,0.7279,0.5698,0.7057,47503
2018-01-09,0.8205,0.8201,0.6941,0.6996,19016
2018-01-10,0.702,0.7106,0.6505,0.6456,9945
2018-01-11,0.6713,0.68,0.6469,0.702,13522
2018-01-12,0.6326,0.6145,0.6141,0.6071,4020
2018-01-16,0.6103,0.6236,0.5503,0.5642,24687
2018-01-17,0.5189,0.5271,0.472,0.4896,16911
2018-01-18,0.4435,0.4638,0.45,0.48,20905
2018-01-19,0.4674,0.4835,0.43,0.4412,43855
2018-01-22,0.4275,0.4312,0.3945,0.3899,10757
2018-01-23,0.3713,0.4616,0.3556,0.4645,9799
2018-01-24,0.4584,0.4691,0.4447,0.4579,7139
2018-01-25,0.4228,0.5,0.4104,0.4077,34869
2018-01-26,0.4249,0.4669,0.4202,0.4606,4986
2018-01-29,0.4131,0.4164,0.3932,0.3932,5656
2018-01-30,0.358,0.3625,0.3511,0.3624,12331
2018-01-31,0.0,0.0,0.0,0.3696,0
2018-02-01,0.2999,0.2953,0.2993,0.2917,12265
2018-02-02,0.0,0.0,0.0,0.2948,0
2018-02-05,0.2228,0.2733,0.2288,0.2432,22792
2018-02-06,0.2436,0.28,0.2423,0.28,2476
2018-02-07,0.2542,0.2577,0.2627,0.2612,12151
2018-02-08,0.2384,0.2339,0.2324,0.2327,1027
2018-02-09,0.2413,0.2397,0.2379,0.248,3468
2018-02-12,0.252,0.25,0.2472,0.2429,1341
2018-02-13,0.0,0.0,0.0,0.2436,0
2018-02-14,0.2365,0.2276,0.2306,0.2329,202
2018-02-15,0.2219,0.219,0.2275,0.2203,100
