date,open,high,low,close,volume
2017-01-03,4.66,4.73,4.61,4.6,2095
2017-01-04,4.6,4.5,4.6,4.5,1041
2017-01-05,4.6,4.6,4.5,4.6,508
2017-01-06,4.5,4.6,4.5,4.5,512
2017-01-09,4.5,5.0,4.5,5.0,926
2017-01-10,4.96,5.25,4.91,5.0,1065
2017-01-11,4.84,5.0,4.95,5.0,602
2017-01-12,5.24,5.31,4.5,5.0,2032
2017-01-13,0.0,0.0,0.0,5.0,0
2017-01-17,5.0,4.9,5.0,5.0,997
2017-01-18,4.9,5.0,5.01,5.0,2089
2017-01-19,4.99,5.07,5.06,5.03,307
2017-01-20,5.02,5.0,4.7,4.7,2341
2017-01-23,4.5,4.5,4.5,4.5,2976
2017-01-24,4.6,4.6,4.5,4.5,1714
2017-01-25,4.8,4.7,4.8,4.6,516
2017-01-26,4.8,4.7,4.6,4.7,1005
2017-01-27,0.0,0.0,0.0,4.8,0
2017-01-30,4.7,4.8,4.6,4.7,178
2017-01-31,4.6,4.6,4.7,4.7,103
2017-02-01,0.0,0.0,0.0,4.6,0
2017-02-02,4.55,4.6,4.38,4.42,2036
2017-02-03,0.0,0.0,0.0,4.44,0
2017-02-06,0.0,0.0,0.0,4.48,0
2017-02-07,4.0,4.4,4.0,4.4,341
2017-02-08,4.0,4.0,4.0,4.0,627
2017-02-09,4.5,4.4,4.3,4.2,2691
2017-02-10,4.1,4.6,4.1,4.7,5812
2017-02-13,4.6,4.7,4.7,4.8,2312
2017-02-14,4.3,4.5,4.4,4.5,443
2017-02-15,4.6,4.7,4.7,4.6,2148
2017-02-16,4.57,4.6,4.62,4.7,2072
2017-02-17,4.6,4.7,4.7,4.7,2042
2017-02-21,4.6,5.0,4.6,5.0,12914
2017-02-22,5.19,5.99,4.84,5.0,12984
2017-02-23,5.37,5.33,5.0,5.0,5809
2017-02-24,5.12,5.0,4.93,5.0,6999
2017-02-27,4.8,5.06,4.9,5.18,13874
2017-02-28,5.35,5.6,5.47,5.6,3194
2017-03-01,5.7,5.94,5.5,5.4,14089
2017-03-02,5.8,5.82,5.46,5.32,6782
2017-03-03,5.62,5.85,5.61,5.92,838
2017-03-06,5.4,5.86,5.39,6.02,2135
2017-03-07,5.8,6.0,5.9,5.86,5275
2017-03-08,6.0,6.78,5.24,6.0,11594
2017-03-09,5.34,5.98,5.0,6.04,21644
2017-03-10,5.41,5.59,5.0,5.7,8381
