date,open,high,low,close,volume
2017-01-03,7.5,7.47,7.08,7.0,11521
2017-01-04,7.0,7.44,7.0,7.26,30913
2017-01-05,7.29,7.22,6.99,7.47,5424
2017-01-06,7.48,7.3,7.39,7.37,59280
2017-01-09,7.67,7.45,7.6,7.5,5432
2017-01-10,7.35,7.6,7.07,7.51,6381
2017-01-11,0.0,0.0,0.0,7.42,64
2017-01-12,7.2,7.49,6.96,7.1,1445
2017-01-13,7.33,7.4,7.2,7.0,34411
2017-01-17,7.0,7.0,7.07,7.25,26227
2017-01-18,6.92,7.09,7.11,7.12,27613
2017-01-19,6.87,7.03,7.06,7.25,1413
2017-01-20,6.66,7.27,6.59,7.16,18782
2017-01-23,7.09,7.21,6.98,7.41,20247
2017-01-24,7.3,7.3,7.12,7.09,3555
2017-01-25,7.33,7.1,7.0,7.28,7526
2017-01-26,7.06,7.23,6.9,7.22,1444
2017-01-27,7.31,7.27,6.91,7.0,1493
2017-01-30,7.0,7.0,6.9,7.0,53971
2017-01-31,7.0,7.0,6.91,7.0,1305
2017-02-01,0.0,0.0,0.0,7.0,33
2017-02-02,7.0,7.0,7.06,7.24,8685
2017-02-03,6.99,6.99,6.97,6.98,15781
2017-02-06,0.0,0.0,0.0,6.84,0
2017-02-07,6.82,6.81,6.68,6.78,2556
2017-02-08,6.83,6.77,6.4,6.43,976
2017-02-09,6.51,6.64,6.37,6.62,84413
2017-02-10,6.6,6.57,6.6,6.42,37023
2017-02-13,6.6,6.64,6.59,6.46,382
2017-02-14,6.66,6.63,6.45,6.41,54901
2017-02-15,6.5,6.61,6.31,6.55,98374
2017-02-16,6.57,6.4,6.56,6.39,118933
2017-02-17,6.64,6.54,6.47,6.49,112493
2017-02-21,6.2,6.8,6.28,6.76,362
2017-02-22,6.67,6.53,6.64,6.54,10679
2017-02-23,6.62,6.37,6.41,6.44,16127
2017-02-24,6.66,6.68,6.4,6.67,10648
2017-02-27,6.7,6.66,6.47,6.5,34103
2017-02-28,6.67,6.66,6.54,6.54,19798
2017-03-01,6.66,6.55,6.47,6.44,7783
2017-03-02,0.0,0.0,0.0,6.58,0
2017-03-03,6.39,6.68,6.14,6.77,4804
2017-03-06,6.55,6.99,6.4,6.7,3676
2017-03-07,6.93,6.68,6.73,6.84,320
2017-03-08,6.44,6.49,6.51,6.45,2859
2017-03-09,0.0,0.0,0.0,6.39,0
2017-03-10,6.44,6.73,6.48,6.44,7663
2017-03-13,6.44,6.38,6.62,6.37,6379
2017-03-14,6.64,6.54,6.5,6.62,3161
2017-03-15,6.55,6.74,6.47,6.51,22814
2017-03-16,6.61,6.63,6.36,6.53,18490
2017-03-17,6.52,6.72,6.61,6.49,641
2017-03-20,0.0,0.0,0.0,6.57,0
2017-03-21,0.0,0.0,0.0,6.51,90
2017-03-22,0.0,0.0,0.0,6.71,0
2017-03-23,0.0,0.0,0.0,6.68,0
2017-03-24,6.73,6.58,6.13,6.45,25090
2017-03-27,6.01,6.44,5.99,6.23,16161
2017-03-28,6.01,6.0,5.49,5.58,154034
2017-03-29,5.72,5.78,5.96,5.8,342
2017-03-30,6.0,6.25,5.75,5.94,19631
2017-03-31,6.37,6.45,5.91,6.13,14783
2017-04-03,5.99,6.37,5.99,6.11,475
2017-04-04,6.27,6.24,6.16,6.36,4916
2017-04-05,6.46,6.54,6.27,6.37,382
2017-04-06,6.29,6.32,6.16,6.05,1477
2017-04-07,6.05,6.05,5.84,5.97,2771
2017-04-10,5.85,6.0,5.78,5.81,3394
2017-04-11,5.97,6.01,5.69,5.93,36637
2017-04-12,5.69,5.91,5.86,5.78,22716
2017-04-13,0.0,0.0,0.0,5.67,0
2017-04-17,0.0,0.0,0.0,5.86,38
2017-04-18,0.0,0.0,0.0,5.71,39
2017-04-19,6.1,5.8,5.76,5.8,496
2017-04-20,5.1,5.54,5.34,5.63,16152
2017-04-21,5.6,5.56,5.34,5.2,15323
2017-04-24,5.41,5.71,5.42,5.42,5197
2017-04-25,5.52,6.02,5.62,5.79,91693
2017-04-26,5.72,7.5,5.58,7.22,218615
2017-04-27,7.18,8.15,7.01,7.68,134822
2017-04-28,7.82,8.2,7.0,7.53,23137
2017-05-01,0.0,0.0,0.0,7.36,0
2017-05-02,7.64,7.65,7.17,7.62,14696
2017-05-03,7.58,7.62,7.0,7.57,58873
2017-05-04,7.44,7.66,7.57,7.32,1182
2017-05-05,7.24,7.63,7.0,7.4,57855
2017-05-08,7.33,7.91,7.12,7.78,38472
2017-05-09,7.63,7.68,7.54,7.78,25697
2017-05-10,7.88,8.01,7.74,7.64,258
2017-05-11,7.75,7.69,7.97,7.96,426
2017-05-12,7.76,7.82,7.8,7.62,1182
2017-05-15,0.0,0.0,0.0,7.93,10
2017-05-16,7.39,7.96,7.36,7.84,3984
2017-05-17,7.57,7.77,7.49,7.73,413
2017-05-18,0.0,0.0,0.0,7.81,157
2017-05-19,0.0,0.0,0.0,7.63,4
2017-05-22,0.0,0.0,0.0,7.63,51
2017-05-23,7.33,7.4,7.02,7.21,428
2017-05-24,6.9,7.68,7.11,7.3,280494
2017-05-25,7.5,7.4,7.2,7.34,1008
2017-05-26,7.0,7.0,7.17,7.15,1275
2017-05-30,7.65,7.45,7.3,7.36,59635
2017-05-31,7.44,7.36,7.19,7.26,3635
2017-06-01,0.0,0.0,0.0,7.32,21
2017-06-02,7.0,7.0,7.04,7.03,13973
2017-06-05,7.2,7.22,7.1,7.14,108616
2017-06-06,7.13,7.38,7.11,6.9,36696
2017-06-07,6.96,7.35,7.28,7.15,2517
2017-06-08,7.29,7.15,7.2,7.0,802
2017-06-09,7.51,7.44,6.86,7.24,1182
2017-06-12,7.45,7.46,7.47,7.41,1259
2017-06-13,7.33,7.67,7.31,7.46,350
2017-06-14,7.56,7.58,7.46,7.65,14404
2017-06-15,0.0,0.0,0.0,7.42,0
2017-06-16,0.0,0.0,0.0,7.69,0
2017-06-19,0.0,0.0,0.0,7.47,0
2017-06-20,0.0,0.0,0.0,7.52,6
2017-06-21,0.0,0.0,0.0,7.61,6
2017-06-22,7.2,7.12,6.86,7.1,18225
2017-06-23,7.08,7.12,7.14,7.2,339998
2017-06-26,7.26,7.35,6.89,6.99,8293
2017-06-27,7.0,7.22,7.07,7.36,2151
2017-06-28,6.91,7.35,7.05,7.5,31484
2017-06-29,7.27,7.51,7.37,7.27,111
2017-06-30,7.05,7.45,7.2,7.56,666
2017-07-03,0.0,0.0,0.0,7.56,109
2017-07-05,6.9,7.52,7.08,7.34,35056
2017-07-06,7.1,7.39,7.1,7.23,21296
2017-07-07,0.0,0.0,0.0,7.5,1
2017-07-10,7.0,6.97,7.08,7.09,44131
2017-07-11,7.0,7.28,7.01,7.02,32755
2017-07-12,6.67,6.98,6.71,6.96,16542
2017-07-13,7.0,7.08,6.9,7.2,4721
2017-07-14,7.07,7.23,6.91,7.17,1140
2017-07-17,0.0,0.0,0.0,7.06,7
2017-07-18,6.99,7.19,6.96,7.19,11999
2017-07-19,6.9,7.15,7.09,7.27,10725
2017-07-20,7.16,7.25,6.9,7.25,389
2017-07-21,6.9,7.07,7.04,6.99,6929
2017-07-24,7.1,6.98,6.94,7.07,4331
2017-07-25,6.92,7.14,7.1,6.98,123331
2017-07-26,7.15,7.22,6.91,6.97,1356
2017-07-27,0.0,0.0,0.0,6.96,103
2017-07-28,0.0,0.0,0.0,6.97,1
2017-07-31,0.0,0.0,0.0,7.09,40
2017-08-01,0.0,0.0,0.0,6.86,0
2017-08-02,7.0,7.11,6.8,7.01,23551
2017-08-03,0.0,0.0,0.0,7.14,0
2017-08-04,7.05,7.07,7.07,7.29,689
2017-08-07,0.0,0.0,0.0,7.22,0
2017-08-08,7.01,7.12,6.91,7.06,541
2017-08-09,6.78,6.93,6.85,7.15,4577
2017-08-10,7.12,7.01,6.92,7.25,472
2017-08-11,0.0,0.0,0.0,7.0,104
2017-08-14,6.72,7.01,6.71,7.14,1919
2017-08-15,6.9,7.16,6.96,6.82,1438
2017-08-16,6.99,6.94,6.94,6.94,383
2017-08-17,7.2,7.03,7.05,7.1,107
2017-08-18,0.0,0.0,0.0,6.95,96
2017-08-21,6.97,6.92,6.57,6.93,2889
2017-08-22,6.86,7.0,6.76,7.0,38528
2017-08-23,7.18,7.32,7.02,7.32,90184
2017-08-24,7.28,7.08,7.21,7.31,58742
2017-08-25,0.0,0.0,0.0,7.12,0
2017-08-28,7.2,7.07,7.25,7.11,1091
2017-08-29,0.0,0.0,0.0,6.97,0
2017-08-30,7.19,7.04,6.96,7.19,6458
2017-08-31,6.89,7.18,6.84,7.21,57114
2017-09-01,6.9,6.89,6.9,6.9,53094
2017-09-05,6.74,6.99,6.77,7.14,28069
2017-09-06,6.83,7.14,6.78,7.09,7199
2017-09-07,7.16,7.14,6.76,6.9,5518
2017-09-08,0.0,0.0,0.0,7.2,0
2017-09-11,0.0,0.0,0.0,7.0,39
2017-09-12,6.72,6.91,6.67,6.72,1391
2017-09-13,7.2,7.0,7.0,7.0,1187
2017-09-14,7.2,7.03,6.83,7.02,41590
2017-09-15,7.1,7.22,7.0,7.52,27817
2017-09-18,0.0,0.0,0.0,7.43,105
2017-09-19,0.0,0.0,0.0,7.4,0
2017-09-20,0.0,0.0,0.0,7.33,136
2017-09-21,0.0,0.0,0.0,7.21,0
2017-09-22,6.8,7.0,6.86,7.05,13845
2017-09-25,7.35,7.32,7.39,7.33,209
2017-09-26,0.0,0.0,0.0,7.28,0
2017-09-27,7.0,7.08,7.26,7.18,50941
2017-09-28,7.0,7.32,7.0,7.39,4245
2017-09-29,0.0,0.0,0.0,7.39,0
2017-10-02,0.0,0.0,0.0,7.1,2
2017-10-03,6.9,7.0,6.9,6.95,42359
2017-10-04,7.0,7.0,6.97,6.94,502
2017-10-05,7.19,6.97,6.9,6.8,91495
2017-10-06,7.0,7.34,7.0,7.0,25810
2017-10-09,7.29,7.3,7.0,7.43,18699
2017-10-10,7.43,7.69,7.46,7.35,19369
2017-10-11,7.0,7.57,7.0,7.38,2851
2017-10-12,7.37,7.45,7.3,7.77,843
2017-10-13,7.43,7.5,7.0,7.5,58932
2017-10-16,0.0,0.0,0.0,7.6,0
2017-10-17,7.0,7.43,7.0,7.25,25409
2017-10-18,7.0,7.21,7.0,7.43,105415
2017-10-19,7.0,7.16,7.0,7.42,7977
2017-10-20,0.0,0.0,0.0,7.27,5
2017-10-23,7.0,7.0,7.0,7.0,3227
2017-10-24,7.4,7.29,7.2,7.32,2473
2017-10-25,7.07,7.4,7.0,7.6,31066
2017-10-26,7.4,7.5,7.0,7.0,44333
2017-10-27,7.04,7.16,7.0,7.0,91265
2017-10-30,7.0,7.25,7.0,7.25,57381
2017-10-31,7.2,7.2,7.3,7.1,13895
2017-11-01,7.0,7.0,7.0,7.0,103211
2017-11-02,0.0,0.0,0.0,7.0,0
2017-11-03,7.12,7.31,7.17,7.29,6413
2017-11-06,7.47,8.0,7.39,7.48,597728
2017-11-07,7.5,8.0,7.7,7.7,9827
2017-11-08,7.96,8.33,7.75,8.2,377679
2017-11-09,8.21,8.6,8.0,8.37,111800
2017-11-10,8.8,9.0,8.7,9.3,6808
2017-11-13,9.5,9.6,8.8,8.97,13330
2017-11-14,9.0,9.62,9.0,9.23,371131
2017-11-15,9.0,9.47,8.9,8.99,19064
2017-11-16,8.95,9.1,9.05,8.99,165439
2017-11-17,9.2,9.39,9.06,9.0,22694
2017-11-20,0.0,0.0,0.0,9.0,0
2017-11-21,9.6,9.8,9.39,9.42,2329
2017-11-22,9.29,9.5,9.16,9.4,2072
2017-11-24,9.0,9.73,9.0,9.42,27958
2017-11-27,9.4,9.54,9.0,9.86,19629
2017-11-28,9.5,9.9,9.52,9.7,17697
2017-11-29,9.6,9.5,9.4,9.8,60621
2017-11-30,9.75,9.7,9.72,9.65,60683
2017-12-01,9.76,9.54,9.51,9.53,1707
2017-12-04,9.7,9.6,9.4,9.7,573
2017-12-05,9.59,9.92,9.5,9.6,42570
2017-12-06,9.4,9.4,9.0,9.0,158355
2017-12-07,9.8,9.89,9.7,9.5,824
2017-12-08,9.92,9.8,9.55,9.6,3102
2017-12-11,0.0,0.0,0.0,9.9,0
2017-12-12,0.0,0.0,0.0,9.6,0
2017-12-13,9.24,9.87,9.11,9.92,63620
2017-12-14,0.0,0.0,0.0,9.69,20
2017-12-15,9.2,9.73,9.2,9.8,5439
2017-12-18,0.0,0.0,0.0,9.72,0
2017-12-19,9.5,9.52,9.0,9.32,44561
2017-12-20,9.31,9.04,8.86,8.72,16647
2017-12-21,8.9,8.82,8.85,9.0,79138
2017-12-22,8.67,8.66,8.3,8.6,87696
2017-12-26,8.4,8.5,8.3,8.31,52521
2017-12-27,8.26,8.29,8.0,8.0,90937
2017-12-28,8.0,8.0,8.13,8.0,43943
2017-12-29,8.0,8.0,7.7,7.95,50237
2018-01-02,7.91,8.0,7.96,8.0,585
2018-01-03,8.0,8.0,8.0,8.0,1392
2018-01-04,8.0,7.9,8.2,8.0,1263
2018-01-05,7.9,8.3,7.71,7.81,22767
2018-01-08,8.0,8.0,8.02,7.82,625
2018-01-09,8.01,8.2,7.82,8.2,7055
2018-01-10,0.0,0.0,0.0,8.1,1
2018-01-11,8.0,8.03,8.1,8.33,543
2018-01-12,0.0,0.0,0.0,8.12,25
2018-01-16,7.82,8.1,7.96,8.1,506
2018-01-17,0.0,0.0,0.0,8.2,71
2018-01-18,0.0,0.0,0.0,8.1,3
2018-01-19,8.1,8.31,7.9,8.21,83699
2018-01-22,7.6,8.12,7.9,8.26,2006
2018-01-23,7.93,8.0,7.9,8.1,48439
2018-01-24,0.0,0.0,0.0,8.2,13
2018-01-25,7.99,8.1,8.01,8.11,56071
2018-01-26,0.0,0.0,0.0,8.02,58
2018-01-29,0.0,0.0,0.0,7.97,65
2018-01-30,8.0,8.0,8.1,8.07,1727
2018-01-31,8.0,8.0,8.0,8.22,6002
2018-02-01,8.0,8.0,8.0,8.0,19112
2018-02-02,8.3,8.0,8.0,8.0,5573
2018-02-05,0.0,0.0,0.0,8.0,0
2018-02-06,7.9,8.0,8.03,8.0,24635
2018-02-07,7.9,8.0,7.8,7.7,11086
2018-02-08,8.01,8.0,7.7,8.06,70421
2018-02-09,7.79,7.78,7.62,7.82,1649
2018-02-12,0.0,0.0,0.0,8.04,52
2018-02-13,0.0,0.0,0.0,7.91,0
2018-02-14,8.4,8.48,8.33,8.6,86285
2018-02-15,8.6,8.73,8.4,8.6,61460
2018-02-16,0.0,0.0,0.0,8.5,5
2018-02-20,8.74,8.79,8.54,8.42,4270
2018-02-21,8.7,8.94,8.5,8.74,54870
2018-02-22,0.0,0.0,0.0,8.66,136
2018-02-23,0.0,0.0,0.0,8.68,0
2018-02-26,0.0,0.0,0.0,8.95,1
2018-02-27,8.71,8.86,8.02,9.0,212950
2018-02-28,0.0,0.0,0.0,8.93,38
2018-03-01,9.13,9.08,9.16,9.25,536
2018-03-02,8.7,8.64,8.7,8.7,11536
2018-03-05,0.0,0.0,0.0,8.7,104
2018-03-06,8.2,8.4,8.4,8.4,1538
2018-03-07,8.33,8.4,8.41,8.3,6547
2018-03-08,8.0,8.0,8.03,8.0,23144
2018-03-09,7.9,8.47,7.7,8.33,14629
2018-03-12,0.0,0.0,0.0,8.38,0
2018-03-13,8.12,8.5,8.4,8.4,612
2018-03-14,0.0,0.0,0.0,8.7,8
2018-03-15,0.0,0.0,0.0,8.5,0
2018-03-16,0.0,0.0,0.0,8.3,10
2018-03-19,0.0,0.0,0.0,8.6,0
2018-03-20,0.0,0.0,0.0,8.7,10
2018-03-21,0.0,0.0,0.0,8.6,2
2018-03-22,0.0,0.0,0.0,8.5,0
2018-03-23,7.74,7.79,7.8,7.8,9031
2018-03-26,7.91,7.92,7.95,8.01,220
2018-03-27,7.74,8.0,7.73,8.2,953
2018-03-28,8.06,8.36,8.23,8.17,4007
2018-03-29,0.0,0.0,0.0,8.51,0
2018-04-02,0.0,0.0,0.0,8.47,67
2018-04-03,0.0,0.0,0.0,8.28,0
2018-04-04,7.9,7.75,7.9,7.7,4003
2018-04-05,8.1,8.3,7.8,8.11,3109
2018-04-06,0.0,0.0,0.0,7.87,0
2018-04-09,8.12,8.49,8.11,8.44,11736
2018-04-10,0.0,0.0,0.0,8.4,0
2018-04-11,0.0,0.0,0.0,8.42,1
2018-04-12,0.0,0.0,0.0,8.34,24
2018-04-13,0.0,0.0,0.0,8.21,0
2018-04-16,0.0,0.0,0.0,8.46,12
2018-04-17,0.0,0.0,0.0,8.21,36
2018-04-18,7.68,8.0,7.0,7.51,14685
2018-04-19,7.68,7.71,7.6,7.43,12251
2018-04-20,7.29,7.6,7.15,7.48,2954
2018-04-23,7.36,7.29,7.37,7.2,4046
2018-04-24,7.32,7.38,7.34,7.0,7757
2018-04-25,0.0,0.0,0.0,7.0,104
2018-04-26,7.0,7.0,7.0,7.0,9331
2018-04-27,7.0,7.5,7.0,7.4,59083
2018-04-30,0.0,0.0,0.0,7.7,0
2018-05-01,0.0,0.0,0.0,7.5,0
2018-05-02,0.0,0.0,0.0,7.5,0
2018-05-03,7.0,7.0,7.0,7.0,15029
2018-05-04,7.0,7.43,7.0,7.4,1294
2018-05-07,0.0,0.0,0.0,7.35,1
2018-05-08,7.0,7.3,7.0,7.4,184481
2018-05-09,7.0,7.3,7.0,7.5,1108
2018-05-10,7.2,7.27,7.3,7.43,2300
2018-05-11,7.2,7.2,7.5,7.2,666
2018-05-14,7.0,7.3,7.0,7.38,410
2018-05-15,7.18,7.3,7.26,7.16,272560
2018-05-16,0.0,0.0,0.0,7.32,125
2018-05-17,7.12,7.15,7.16,7.08,15043
2018-05-18,0.0,0.0,0.0,7.17,18
2018-05-21,6.9,7.31,6.7,7.31,1354
2018-05-22,0.0,0.0,0.0,7.38,0
2018-05-23,6.7,7.2,6.5,7.3,7490
2018-05-24,0.0,0.0,0.0,7.3,0
2018-05-25,7.11,7.35,7.3,7.33,183324
2018-05-29,6.8,7.0,6.9,7.0,2342
2018-05-30,0.0,0.0,0.0,7.0,93
2018-05-31,0.0,0.0,0.0,7.0,56
2018-06-01,0.0,0.0,0.0,7.0,0
2018-06-04,0.0,0.0,0.0,7.0,1
2018-06-05,0.0,0.0,0.0,7.0,0
2018-06-06,0.0,0.0,0.0,7.0,4
2018-06-07,0.0,0.0,0.0,7.0,0
2018-06-08,6.91,6.86,6.97,6.98,356
2018-06-11,7.15,7.1,6.9,7.2,2889
2018-06-12,0.0,0.0,0.0,7.0,0
2018-06-13,6.8,6.78,6.95,6.94,592
2018-06-14,7.01,6.85,6.94,6.93,338
2018-06-15,7.2,7.1,7.0,7.1,204
2018-06-18,6.73,6.88,6.8,6.86,103
2018-06-19,6.67,6.7,6.41,6.5,2728
2018-06-20,6.7,6.8,6.6,6.5,1556
2018-06-21,6.7,6.7,6.4,6.8,1404
2018-06-22,6.48,6.9,6.1,6.8,11280
2018-06-25,7.0,6.7,6.9,7.0,1102
2018-06-26,6.49,6.63,6.38,6.51,1765
2018-06-27,6.63,7.0,6.44,7.01,2018
2018-06-28,6.8,6.85,6.8,6.9,274
2018-06-29,6.71,7.2,6.79,7.2,73931
2018-07-02,0.0,0.0,0.0,7.2,3
2018-07-03,0.0,0.0,0.0,7.2,36
2018-07-05,0.0,0.0,0.0,7.1,0
2018-07-06,0.0,0.0,0.0,7.0,47
2018-07-09,0.0,0.0,0.0,7.0,48
2018-07-10,6.9,6.9,7.0,6.9,115
2018-07-11,0.0,0.0,0.0,7.0,0
2018-07-12,0.0,0.0,0.0,6.8,0
2018-07-13,7.02,6.85,6.88,6.98,102
2018-07-16,6.74,6.74,6.96,6.87,68282
2018-07-17,6.0,6.0,6.0,6.0,1962
2018-07-18,0.0,0.0,0.0,6.0,190
2018-07-19,0.0,0.0,0.0,6.0,62
2018-07-20,6.4,6.3,6.6,6.3,103
2018-07-23,6.87,6.84,6.62,6.65,311
2018-07-24,0.0,0.0,0.0,6.58,50
2018-07-25,6.69,6.93,6.97,6.79,101
2018-07-26,6.0,6.41,6.0,6.48,5158
2018-07-27,6.22,6.41,6.34,6.26,236
2018-07-30,0.0,0.0,0.0,6.29,10
2018-07-31,0.0,0.0,0.0,6.44,0
2018-08-01,0.0,0.0,0.0,6.29,0
2018-08-02,0.0,0.0,0.0,6.23,169
2018-08-03,6.3,6.3,6.3,6.3,210
2018-08-06,6.2,6.95,6.2,6.96,67877
2018-08-07,6.79,7.45,6.93,7.25,226849
2018-08-08,6.8,6.8,7.0,7.0,109
2018-08-09,0.0,0.0,0.0,6.8,33
2018-08-10,0.0,0.0,0.0,6.7,2
2018-08-13,6.2,6.9,6.32,6.86,484418
2018-08-14,6.74,6.8,6.8,6.8,14813
2018-08-15,6.57,6.63,6.73,6.63,101250
2018-08-16,6.8,6.6,6.8,6.7,105
2018-08-17,6.9,6.9,6.8,7.0,208
2018-08-20,0.0,0.0,0.0,6.9,100
2018-08-21,0.0,0.0,0.0,7.0,2
2018-08-22,6.6,6.6,6.8,6.6,103
2018-08-23,6.4,6.77,6.32,6.8,2560
2018-08-24,6.4,6.5,6.2,6.6,1400
2018-08-27,0.0,0.0,0.0,6.5,101
2018-08-28,0.0,0.0,0.0,6.6,1
2018-08-29,6.61,6.6,6.28,6.7,5138
2018-08-30,6.57,6.68,6.72,6.51,2326
2018-08-31,0.0,0.0,0.0,6.53,0
2018-09-04,6.9,7.14,6.8,6.9,119525
2018-09-05,6.4,6.8,6.6,6.8,945
2018-09-06,0.0,0.0,0.0,7.0,0
2018-09-07,0.0,0.0,0.0,6.9,0
2018-09-10,6.4,6.6,6.6,6.5,459
2018-09-11,6.6,6.7,6.8,6.8,10152
2018-09-12,0.0,0.0,0.0,6.7,0
2018-09-13,6.4,6.5,6.7,6.7,2318
2018-09-14,6.6,6.4,6.6,6.7,2601
2018-09-17,6.7,6.5,6.5,6.7,102
2018-09-18,6.61,6.67,6.57,6.57,3858
2018-09-19,6.5,6.73,6.4,6.39,4312
2018-09-20,6.4,6.4,6.2,6.41,1500
2018-09-21,0.0,0.0,0.0,6.39,10
2018-09-24,0.0,0.0,0.0,6.3,16
2018-09-25,6.4,6.3,6.22,6.32,29569
2018-09-26,0.0,0.0,0.0,6.39,10
2018-09-27,6.36,6.3,5.8,6.29,218637
2018-09-28,6.09,6.32,6.23,6.3,1716
2018-10-01,6.2,6.1,6.2,6.4,1605
2018-10-02,0.0,0.0,0.0,6.2,0
2018-10-03,0.0,0.0,0.0,6.2,0
2018-10-04,0.0,0.0,0.0,6.1,35
2018-10-05,0.0,0.0,0.0,6.4,0
2018-10-08,0.0,0.0,0.0,6.2,0
2018-10-09,0.0,0.0,0.0,6.4,12
2018-10-10,6.0,6.2,6.0,6.3,21063
2018-10-11,0.0,0.0,0.0,6.2,0
2018-10-12,0.0,0.0,0.0,6.4,3
2018-10-15,0.0,0.0,0.0,6.3,0
2018-10-16,0.0,0.0,0.0,6.2,0
2018-10-17,0.0,0.0,0.0,6.2,10
2018-10-18,0.0,0.0,0.0,6.3,3
2018-10-19,6.23,6.14,6.05,6.21,105
2018-10-22,0.0,0.0,0.0,6.09,41
2018-10-23,6.13,6.2,5.94,6.0,1547
2018-10-24,0.0,0.0,0.0,6.0,0
2018-10-25,5.98,5.94,5.94,6.04,1023
2018-10-26,5.94,6.05,5.93,5.88,29778
2018-10-29,6.08,5.98,5.97,6.0,77049
