date,open,high,low,close,volume
2017-01-03,0.5289,0.5257,0.5155,0.5391,1447
2017-01-04,0.5,0.52,0.5,0.5,24080
2017-01-05,0.5,0.5,0.5,0.5,4065
2017-01-06,0.5,0.5,0.5,0.5,525
2017-01-09,0.0,0.0,0.0,0.5,85
2017-01-10,0.5,0.5,0.5,0.5,197
2017-01-11,0.5,0.5,0.5,0.5,4414
2017-01-12,0.0,0.0,0.0,0.5,23
2017-01-13,0.53,0.5868,0.52,0.5913,414
2017-01-17,0.0,0.0,0.0,0.5924,30
2017-01-18,0.5244,0.5503,0.5277,0.5452,414
2017-01-19,0.0,0.0,0.0,0.5456,8
2017-01-20,0.52,0.51,0.53,0.53,6292
2017-01-23,0.0,0.0,0.0,0.52,78
2017-01-24,0.53,0.53,0.53,0.53,260
2017-01-25,0.0,0.0,0.0,0.53,96
2017-01-26,0.0,0.0,0.0,0.53,49
2017-01-27,0.0,0.0,0.0,0.52,45
2017-01-30,0.0,0.0,0.0,0.52,67
2017-01-31,0.53,0.51,0.52,0.52,216
2017-02-01,0.52,0.51,0.53,0.53,366
2017-02-02,0.0,0.0,0.0,0.53,152
2017-02-03,0.56,0.66,0.55,0.62,28282
2017-02-06,0.0,0.0,0.0,0.63,53
2017-02-07,0.62,0.64,0.61,0.63,7829
2017-02-08,0.0,0.0,0.0,0.63,19
2017-02-09,0.64,0.63,0.65,0.66,2608
2017-02-10,0.65,0.7,0.65,0.7,1582
2017-02-13,0.738,0.719,0.6,0.6,7320
2017-02-14,0.628,0.634,0.62,0.63,5731
2017-02-15,0.39,0.4,0.4,0.39,110
2017-02-16,0.4,0.4,0.4,0.4,112
2017-02-17,0.0,0.0,0.0,0.4,0
2017-02-21,0.0,0.0,0.0,0.4,0
2017-02-22,0.38,0.39,0.38,0.39,174
2017-02-23,0.0,0.0,0.0,0.38,5
2017-02-24,0.46,0.44,0.46,0.46,366
2017-02-27,0.473,0.479,0.493,0.488,511
2017-02-28,0.0,0.0,0.0,0.491,0
2017-03-01,0.0,0.0,0.0,0.487,0
2017-03-02,0.519,0.536,0.536,0.532,1537
2017-03-03,0.0,0.0,0.0,0.53,8
2017-03-06,0.0,0.0,0.0,0.525,113
2017-03-07,0.54,0.56,0.55,0.56,3059
2017-03-08,0.0,0.0,0.0,0.55,22
2017-03-09,0.66,0.66,0.69,0.68,269
2017-03-10,0.0,0.0,0.0,0.68,109
2017-03-13,0.57,0.58,0.58,0.57,282
2017-03-14,0.6,0.636,0.58,0.616,1972
2017-03-15,0.631,0.66,0.617,0.68,1731
2017-03-16,0.649,0.7109,0.635,0.6816,17917
2017-03-17,0.0,0.0,0.0,0.6951,43
2017-03-20,0.68,0.7,0.68,0.69,11789
2017-03-21,0.6973,0.6971,0.7,0.69,8867
2017-03-22,0.677,0.6835,0.63,0.6811,23720
2017-03-23,0.712,0.715,0.64,0.65,3853
2017-03-24,0.0,0.0,0.0,0.63,59
2017-03-27,0.71,0.68,0.6441,0.6216,4724
2017-03-28,0.0,0.0,0.0,0.6395,80
2017-03-29,0.0,0.0,0.0,0.6368,0
2017-03-30,0.441,0.433,0.427,0.436,139
2017-03-31,0.0,0.0,0.0,0.435,0
2017-04-03,0.511,0.49,0.51,0.49,593
2017-04-04,0.41,0.5,0.41,0.5,7186
2017-04-05,0.52,0.595,0.52,0.588,6022
2017-04-06,0.68,0.7,0.6461,0.6454,779
2017-04-07,0.63,0.71,0.63,0.7,6575
