date,open,high,low,close,volume
2017-01-03,9.63,9.74,9.41,9.33,176045
2017-01-04,9.64,10.18,9.83,9.96,124784
2017-01-05,9.94,10.0,9.89,9.87,44568
2017-01-06,9.89,10.14,10.15,10.08,72197
2017-01-09,9.87,9.78,9.68,9.69,38668
2017-01-10,9.86,9.98,9.72,10.09,49314
2017-01-11,9.41,9.49,9.55,9.66,53250
2017-01-12,9.5,9.83,9.84,9.45,61770
2017-01-13,9.67,9.71,9.65,9.57,54478
2017-01-17,9.54,9.6,9.61,9.58,40732
2017-01-18,9.38,9.76,9.68,9.66,24952
2017-01-19,9.38,9.47,9.5,9.28,19296
2017-01-20,9.6,9.61,9.13,9.62,15775
2017-01-23,9.33,9.53,9.52,9.5,18253
2017-01-24,9.83,9.79,9.89,9.61,10221
2017-01-25,10.01,9.64,9.64,9.76,12857
2017-01-26,10.21,10.07,9.82,10.29,27485
2017-01-27,9.77,9.59,9.74,9.77,33557
2017-01-30,9.5,9.41,9.1,9.53,34838
2017-01-31,9.51,9.39,9.45,9.61,18586
2017-02-01,9.62,9.37,9.45,9.29,37881
2017-02-02,9.32,9.65,9.2,9.61,22644
2017-02-03,9.59,9.35,9.5,9.24,25389
2017-02-06,9.34,9.2,8.9,9.06,30000
2017-02-07,8.71,8.72,9.01,8.98,27192
2017-02-08,9.02,9.05,8.54,8.9,29302
2017-02-09,8.94,8.91,8.64,8.67,48368
2017-02-10,9.0,9.24,8.93,8.88,28599
2017-02-13,8.95,8.97,8.94,8.85,16504
2017-02-14,9.12,9.13,8.78,9.0,29218
2017-02-15,9.17,9.48,9.22,9.32,16911
2017-02-16,9.38,9.2,9.26,9.33,54778
2017-02-17,9.51,9.13,8.97,9.14,53245
2017-02-21,9.27,9.31,9.0,9.05,74883
2017-02-22,9.35,9.27,9.07,9.55,80407
2017-02-23,9.32,9.43,9.6,9.62,64502
2017-02-24,9.5,9.4,9.03,9.48,40958
2017-02-27,9.57,9.31,9.5,9.32,37591
2017-02-28,9.2,9.4,9.24,9.21,61880
2017-03-01,8.93,9.16,9.11,9.17,104838
2017-03-02,9.68,10.01,9.88,9.7,86388
2017-03-03,9.6,9.6,9.7,9.83,18868
2017-03-06,9.47,9.41,9.51,9.6,63119
2017-03-07,9.71,9.87,9.41,9.38,48911
2017-03-08,9.61,9.6,9.2,9.5,29763
2017-03-09,9.47,9.4,9.07,9.33,42717
2017-03-10,9.6,9.64,9.5,9.45,29265
2017-03-13,9.43,9.74,9.64,9.88,42371
2017-03-14,9.66,9.55,9.39,9.24,39061
2017-03-15,9.7,9.99,9.8,10.11,98592
2017-03-16,10.47,10.51,10.41,10.14,118621
2017-03-17,9.96,10.0,10.09,10.04,41452
2017-03-20,10.07,10.18,10.38,9.92,24945
2017-03-21,10.15,10.28,9.92,9.95,16739
2017-03-22,9.6,10.04,9.91,10.16,16327
2017-03-23,10.1,10.39,10.15,10.22,12651
2017-03-24,10.19,10.24,10.2,10.22,25107
2017-03-27,9.76,9.85,9.8,9.71,10915
2017-03-28,9.61,9.71,9.81,9.9,12259
2017-03-29,9.6,9.77,9.55,9.68,10616
