date,open,high,low,close,volume
2017-01-03,0.0,0.0,0.0,1.5,0
2017-01-04,0.0,0.0,0.0,1.6,0
2017-01-05,0.0,0.0,0.0,1.5,0
2017-01-06,0.0,0.0,0.0,1.6,0
2017-01-09,0.0,0.0,0.0,1.5,0
2017-01-10,0.0,0.0,0.0,1.6,0
2017-01-11,0.0,0.0,0.0,1.6,0
2017-01-12,0.0,0.0,0.0,1.5,0
2017-05-01,1.46,1.5,1.46,1.51,1044
2017-05-02,0.0,0.0,0.0,1.49,0
2017-05-03,0.0,0.0,0.0,1.44,0
2017-05-04,0.0,0.0,0.0,1.49,0
2017-05-05,0.0,0.0,0.0,1.44,0
2017-05-08,0.0,0.0,0.0,1.45,0
2017-05-09,0.0,0.0,0.0,1.49,0
2017-05-10,0.0,0.0,0.0,1.51,0
2017-05-11,0.0,0.0,0.0,1.48,0
2017-05-12,0.0,0.0,0.0,1.44,0
2017-05-15,0.0,0.0,0.0,1.49,0
2017-05-16,0.0,0.0,0.0,1.49,0
2017-05-17,0.0,0.0,0.0,1.48,0
2017-05-18,0.0,0.0,0.0,1.46,0
2017-05-19,0.0,0.0,0.0,1.45,0
2017-05-22,0.0,0.0,0.0,1.45,0
2017-05-23,0.0,0.0,0.0,1.49,0
2017-05-24,0.0,0.0,0.0,1.45,0
2017-05-25,0.0,0.0,0.0,1.5,0
2017-05-26,0.0,0.0,0.0,1.5,0
2017-05-30,0.0,0.0,0.0,1.44,0
2017-05-31,0.0,0.0,0.0,1.49,0
2017-06-01,0.0,0.0,0.0,1.5,0
2017-06-02,0.0,0.0,0.0,1.49,0
2017-06-05,0.0,0.0,0.0,1.48,0
2017-06-06,0.0,0.0,0.0,1.49,0
2017-06-07,0.0,0.0,0.0,1.44,0
2017-06-08,0.0,0.0,0.0,1.45,0
2017-06-09,0.0,0.0,0.0,1.5,0
2017-06-12,0.0,0.0,0.0,1.46,0
2017-06-13,0.0,0.0,0.0,1.49,0
2017-06-14,0.0,0.0,0.0,1.51,0
2017-06-15,0.0,0.0,0.0,1.49,0
2017-09-11,1.5,1.54,1.51,1.53,1043
2017-09-12,0.0,0.0,0.0,1.51,0
2017-09-13,0.0,0.0,0.0,1.48,0
2017-09-14,0.0,0.0,0.0,1.48,0
2017-09-15,0.0,0.0,0.0,1.51,0
2017-09-18,0.0,0.0,0.0,1.5,0
2017-09-19,0.0,0.0,0.0,1.53,0
2017-09-20,0.0,0.0,0.0,1.5,0
2017-09-21,0.0,0.0,0.0,1.49,0
2017-09-22,0.0,0.0,0.0,1.54,0
2017-09-25,0.0,0.0,0.0,1.52,0
2017-09-26,0.0,0.0,0.0,1.55,0
2017-09-27,0.0,0.0,0.0,1.51,0
2017-09-28,0.0,0.0,0.0,1.52,0
2017-09-29,0.0,0.0,0.0,1.49,0
2017-10-02,0.0,0.0,0.0,1.54,0
2017-10-03,0.0,0.0,0.0,1.55,0
2017-10-04,0.0,0.0,0.0,1.52,0
2017-10-05,0.0,0.0,0.0,1.54,0
2017-10-06,0.0,0.0,0.0,1.54,0
2017-10-09,0.0,0.0,0.0,1.49,0
2017-10-10,0.0,0.0,0.0,1.5,0
2017-10-11,0.0,0.0,0.0,1.5,0
2017-10-12,0.0,0.0,0.0,1.55,0
2017-10-13,0.0,0.0,0.0,1.52,0
2017-10-16,0.0,0.0,0.0,1.52,0
2017-10-17,0.0,0.0,0.0,1.49,0
2017-10-18,0.0,0.0,0.0,1.54,0
2017-10-19,0.0,0.0,0.0,1.52,0
2017-10-20,0.0,0.0,0.0,1.54,0
2017-10-23,0.0,0.0,0.0,1.48,0
2017-10-24,0.0,0.0,0.0,1.55,0
2017-10-25,0.0,0.0,0.0,1.54,0
2017-10-26,0.0,0.0,0.0,1.52,0
2017-10-31,1.5,1.47,1.48,1.49,2090
2017-11-01,0.0,0.0,0.0,1.5,0
2017-11-02,0.0,0.0,0.0,1.46,0
2017-11-03,0.0,0.0,0.0,1.46,0
2017-11-06,0.0,0.0,0.0,1.49,0
2017-11-07,0.0,0.0,0.0,1.45,0
2017-11-08,0.0,0.0,0.0,1.44,0
2017-11-09,0.0,0.0,0.0,1.48,0
2017-11-10,0.0,0.0,0.0,1.5,0
2017-11-13,0.0,0.0,0.0,1.48,0
2017-11-14,0.0,0.0,0.0,1.5,0
2017-11-15,0.0,0.0,0.0,1.51,0
2017-11-16,0.0,0.0,0.0,1.44,0
2017-11-17,1.4,1.4,1.4,1.4,1000
2017-11-20,0.0,0.0,0.0,1.5,0
2017-11-21,0.0,0.0,0.0,1.4,0
2017-11-22,0.0,0.0,0.0,1.4,0
2017-11-24,0.0,0.0,0.0,1.4,0
2017-11-27,0.0,0.0,0.0,1.4,0
2017-11-28,0.0,0.0,0.0,1.5,0
2017-11-29,0.0,0.0,0.0,1.5,0
2017-11-30,0.0,0.0,0.0,1.4,0
2017-12-01,0.0,0.0,0.0,1.4,0
2017-12-04,0.0,0.0,0.0,1.4,0
2017-12-05,0.0,0.0,0.0,1.4,0
2017-12-06,0.0,0.0,0.0,1.4,0
2017-12-07,0.0,0.0,0.0,1.5,0
2017-12-08,0.0,0.0,0.0,1.5,0
2017-12-11,0.0,0.0,0.0,1.5,0
2017-12-12,0.0,0.0,0.0,1.4,0
2017-12-13,0.0,0.0,0.0,1.5,0
2017-12-14,0.0,0.0,0.0,1.4,0
2017-12-15,0.0,0.0,0.0,1.4,0
2017-12-18,0.0,0.0,0.0,1.4,0
2017-12-19,0.0,0.0,0.0,1.5,0
2017-12-20,0.0,0.0,0.0,1.5,0
2017-12-21,0.0,0.0,0.0,1.5,0
2017-12-22,0.0,0.0,0.0,1.4,0
2017-12-26,0.0,0.0,0.0,1.5,0
2017-12-27,0.0,0.0,0.0,1.4,0
2017-12-28,0.0,0.0,0.0,1.4,0
2017-12-29,0.0,0.0,0.0,1.4,0
2018-01-09,1.4,1.4,1.4,1.4,1022
2018-01-10,0.0,0.0,0.0,1.4,0
2018-01-11,0.0,0.0,0.0,1.4,0
2018-01-12,0.0,0.0,0.0,1.5,0
2018-01-16,0.0,0.0,0.0,1.4,0
2018-01-17,0.0,0.0,0.0,1.4,0
2018-01-18,0.0,0.0,0.0,1.5,0
2018-01-19,0.0,0.0,0.0,1.4,0
2018-01-22,0.0,0.0,0.0,1.5,0
2018-01-23,0.0,0.0,0.0,1.4,0
2018-01-24,0.0,0.0,0.0,1.5,0
2018-01-25,0.0,0.0,0.0,1.5,0
2018-01-26,0.0,0.0,0.0,1.4,0
2018-01-29,0.0,0.0,0.0,1.5,0
2018-01-30,0.0,0.0,0.0,1.4,0
2018-01-31,0.0,0.0,0.0,1.5,0
2018-02-01,0.0,0.0,0.0,1.4,0
2018-02-02,0.0,0.0,0.0,1.4,0
2018-02-05,0.0,0.0,0.0,1.4,0
2018-02-06,0.0,0.0,0.0,1.4,0
2018-02-07,0.0,0.0,0.0,1.5,0
2018-02-08,0.0,0.0,0.0,1.4,0
2018-02-09,0.0,0.0,0.0,1.4,0
2018-02-12,0.0,0.0,0.0,1.4,0
2018-02-13,0.0,0.0,0.0,1.4,0
2018-02-14,0.0,0.0,0.0,1.5,0
2018-02-15,0.0,0.0,0.0,1.4,0
2018-02-16,0.0,0.0,0.0,1.4,0
2018-02-20,0.0,0.0,0.0,1.4,0
2018-02-21,0.0,0.0,0.0,1.4,0
2018-02-22,0.0,0.0,0.0,1.4,0
2018-02-23,0.0,0.0,0.0,1.5,0
2018-10-25,0.5,0.49,0.5,0.48,1031
2018-10-26,0.0,0.0,0.0,0.48,0
2018-10-29,0.0,0.0,0.0,0.49,0
2018-10-30,0.0,0.0,0.0,0.49,0
2018-10-31,0.0,0.0,0.0,0.48,0
2018-11-01,0.0,0.0,0.0,0.5,0
2018-11-02,0.0,0.0,0.0,0.49,0
2018-11-05,0.0,0.0,0.0,0.5,0
2018-11-06,0.0,0.0,0.0,0.48,0
