date,open,high,low,close,volume
2017-01-03,0.0,0.0,0.0,0.07,0
2017-01-04,0.06,0.06,0.06,0.06,20644
2017-01-05,0.066,0.067,0.067,0.068,8235
2017-01-06,0.0,0.0,0.0,0.066,0
2017-01-09,0.0,0.0,0.0,0.066,0
2017-01-10,0.07,0.07,0.07,0.07,13565
2017-01-11,0.07,0.07,0.065,0.07,7163
2017-01-12,0.0,0.0,0.0,0.07,0
2017-01-13,0.07,0.077,0.07,0.078,21268
2017-01-17,0.07,0.07,0.07,0.07,10316
2017-01-18,0.077,0.076,0.078,0.075,12189
2017-01-19,0.075,0.077,0.076,0.075,7043
2017-01-20,0.07,0.07,0.07,0.07,6217
2017-01-23,0.08,0.08,0.07,0.07,13357
2017-01-24,0.078,0.076,0.065,0.07,147425
2017-01-25,0.077,0.088,0.078,0.087,17208
2017-01-26,0.077,0.088,0.077,0.08,30205
2017-01-27,0.087,0.085,0.088,0.088,13168
2017-01-30,0.086,0.089,0.087,0.089,20028
2017-01-31,0.0,0.0,0.0,0.086,0
2017-02-01,0.0,0.0,0.0,0.085,0
2017-02-02,0.0,0.0,0.0,0.087,0
2017-02-03,0.08,0.087,0.076,0.085,83543
2017-02-06,0.089,0.088,0.085,0.086,18513
2017-02-07,0.089,0.09,0.08,0.088,33643
2017-02-08,0.0,0.0,0.0,0.086,0
2017-02-09,0.076,0.088,0.077,0.088,28169
2017-02-10,0.09,0.09,0.09,0.09,1013
2017-02-13,0.086,0.088,0.08,0.08,30549
2017-02-14,0.088,0.09,0.087,0.09,15070
2017-02-15,0.0,0.0,0.0,0.09,202
2017-02-16,0.08,0.09,0.08,0.088,96569
2017-02-17,0.0,0.0,0.0,0.087,0
2017-02-21,0.077,0.08,0.078,0.08,8061
2017-02-22,0.077,0.078,0.076,0.077,2011
2017-02-23,0.0,0.0,0.0,0.078,0
2017-02-24,0.076,0.076,0.077,0.078,15130
2017-02-27,0.07,0.07,0.07,0.07,35023
2017-02-28,0.077,0.078,0.078,0.076,9318
2017-03-01,0.0,0.0,0.0,0.078,0
2017-03-02,0.07,0.07,0.07,0.07,10392
