date,open,high,low,close,volume
2017-01-03,2.3,3.3,2.3,2.8,3941366
2017-01-04,2.7,3.2,2.65,3.2,2078524
2017-01-05,3.08,3.62,2.8,3.0,2124875
2017-01-06,3.0,3.0,2.8,2.77,516825
2017-01-09,2.8,2.8,2.5,2.8,397663
2017-01-10,2.8,3.0,2.75,2.99,879922
2017-01-11,3.0,3.28,2.85,3.11,416515
2017-01-12,3.15,3.07,2.84,2.98,314627
2017-01-13,3.0,3.1,3.0,3.1,691261
2017-01-17,3.2,3.39,3.19,3.4,724860
2017-01-18,3.4,3.45,3.0,3.0,370056
2017-01-19,3.03,3.2,3.04,3.0,520741
2017-01-20,3.0,3.29,3.07,3.0,260458
2017-01-23,3.0,3.2,2.88,2.9,339813
2017-01-24,2.97,2.9,2.77,2.89,318215
2017-01-25,3.0,2.9,2.9,2.9,282453
2017-01-26,2.93,3.0,2.98,3.05,295634
2017-01-27,3.0,3.05,3.0,2.99,706528
2017-01-30,3.0,3.0,2.8,2.8,310770
2017-01-31,2.84,3.0,2.8,2.84,726620
2017-02-01,2.9,3.07,2.44,2.5,2297435
2017-02-02,2.6,2.73,2.39,2.4,2173340
2017-02-03,2.51,2.7,2.5,2.63,600489
2017-02-06,2.61,2.6,2.34,2.4,554691
2017-02-07,2.38,2.5,2.3,2.2,455108
2017-02-08,2.36,2.4,2.23,2.26,628982
2017-02-09,2.3,2.3,2.1,2.3,933555
2017-02-10,2.31,2.44,2.1,2.22,451587
2017-02-13,2.17,2.29,2.1,2.18,616792
2017-02-14,2.2,2.34,2.2,2.25,929631
2017-02-15,2.22,2.2,2.2,2.21,322564
2017-02-16,2.18,2.23,2.09,2.2,265911
2017-02-17,2.16,2.2,2.13,2.23,311950
2017-02-21,2.19,2.3,2.1,2.2,516153
2017-02-22,2.22,2.2,2.0,2.06,384498
2017-02-23,2.15,2.1,1.95,2.0,1165121
2017-02-24,2.0,2.2,1.96,1.98,2204946
2017-02-27,2.0,2.24,2.02,2.12,1817721
2017-02-28,2.2,2.2,2.01,2.0,5962144
2017-03-01,2.17,2.21,2.1,2.17,970224
2017-03-02,2.14,2.1,2.03,2.0,482341
2017-03-03,2.0,2.0,1.8,1.93,644397
2017-03-06,1.9,1.9,1.8,1.8,1027905
2017-03-07,1.93,1.91,1.75,1.9,420431
2017-03-08,1.88,2.0,1.9,1.87,1185970
2017-03-09,1.82,1.8,1.58,1.6,1151675
2017-03-10,1.6,1.6,1.3,1.41,3402441
2017-03-13,1.4,1.6,1.4,1.54,1457447
2017-03-14,1.56,1.66,1.5,1.49,523948
2017-03-15,1.5,1.58,1.4,1.6,1088196
2017-03-16,1.5,1.57,1.4,1.56,785093
2017-03-17,1.5,1.62,1.46,1.5,4504919
2017-03-20,1.46,1.6,1.41,1.4,600075
2017-03-21,1.4,1.4,1.16,1.3,1466038
2017-03-22,1.4,1.4,1.16,1.3,1269723
2017-03-23,1.3,1.28,1.3,1.25,584609
2017-03-24,1.3,1.4,1.1,1.1,1021308
2017-03-27,1.15,1.16,1.1,1.17,443382
2017-03-28,1.15,1.2,1.09,1.09,1596047
2017-03-29,1.1,1.3,1.09,1.1,1250964
2017-03-30,1.17,1.25,1.1,1.3,1217193
2017-03-31,1.2,1.35,1.2,1.3,557266
2017-04-03,1.3,1.3,1.18,1.2,396532
2017-04-04,1.2,1.28,1.1,1.17,220398
2017-04-05,1.16,1.2,0.9,1.07,979588
2017-04-06,1.08,1.1,1.0,1.1,588004
2017-04-07,1.09,1.17,1.0,1.1,364573
2017-04-10,1.07,1.3,1.0,1.09,539160
2017-04-11,1.1,1.16,1.06,1.2,257840
2017-04-12,1.1,1.3,1.1,1.15,329154
2017-04-13,1.2,1.31,1.21,1.2,529128
2017-04-17,1.2,1.2,1.1,1.19,225877
