date,open,high,low,close,volume
2017-01-03,0.0,0.0,0.0,66.0,101
2017-01-04,0.0,0.0,0.0,67.0,51
2017-01-05,0.0,0.0,0.0,67.0,0
2017-01-06,61.2,61.0,62.5,62.9,555
2017-01-09,0.0,0.0,0.0,62.4,0
2017-01-10,0.0,0.0,0.0,61.5,0
2017-01-11,66.0,66.2,65.0,66.0,801
2017-01-12,0.0,0.0,0.0,66.0,0
2017-01-13,0.0,0.0,0.0,66.0,0
2017-01-17,0.0,0.0,0.0,66.0,0
2017-01-18,0.0,0.0,0.0,66.0,0
2017-01-19,0.0,0.0,0.0,67.0,0
2017-01-20,0.0,0.0,0.0,66.0,0
2017-01-23,64.0,64.0,67.0,67.0,187
2017-01-24,0.0,0.0,0.0,66.0,28
2017-01-25,0.0,0.0,0.0,65.0,0
2017-01-26,0.0,0.0,0.0,65.0,0
2017-01-27,0.0,0.0,0.0,65.0,0
2017-01-30,65.0,66.85,65.33,65.0,3053
2017-01-31,0.0,0.0,0.0,65.0,26
2017-02-01,65.0,66.0,66.0,65.0,170
2017-02-02,0.0,0.0,0.0,66.0,6
2017-02-03,0.0,0.0,0.0,68.0,0
2017-02-06,0.0,0.0,0.0,68.0,0
2017-02-07,0.0,0.0,0.0,67.0,18
2017-02-08,0.0,0.0,0.0,67.0,0
2017-02-09,0.0,0.0,0.0,65.0,0
2017-02-10,0.0,0.0,0.0,67.0,0
2017-02-13,0.0,0.0,0.0,68.0,0
2017-02-14,0.0,0.0,0.0,65.0,0
2017-02-15,0.0,0.0,0.0,66.0,0
2017-02-16,0.0,0.0,0.0,66.0,0
2017-02-17,0.0,0.0,0.0,67.0,0
2017-02-21,0.0,0.0,0.0,67.0,0
2017-02-22,0.0,0.0,0.0,66.0,0
2017-02-23,70.0,71.0,70.0,70.0,220
2017-02-24,71.3,73.2,71.8,72.6,203
2017-02-27,0.0,0.0,0.0,71.1,0
2017-02-28,0.0,0.0,0.0,71.1,74
2017-03-01,0.0,0.0,0.0,71.3,0
2017-03-02,68.95,70.9,67.6,66.88,13909
2017-03-03,67.1,67.55,69.1,69.0,2851
2017-03-06,0.0,0.0,0.0,67.3,0
2017-03-07,0.0,0.0,0.0,68.0,0
2017-03-08,0.0,0.0,0.0,68.3,0
2017-03-09,70.1,70.1,67.4,67.6,241
2017-03-10,0.0,0.0,0.0,70.1,0
2017-03-13,0.0,0.0,0.0,66.9,0
2017-03-14,0.0,0.0,0.0,69.0,0
2017-03-15,0.0,0.0,0.0,66.9,0
2017-03-16,70.29,69.0,68.4,67.0,313
2017-03-17,0.0,0.0,0.0,69.0,52
2017-03-20,0.0,0.0,0.0,67.0,0
2017-03-21,0.0,0.0,0.0,68.0,0
2017-03-22,67.31,67.7,69.62,67.33,202
2017-03-23,69.4,68.5,67.8,68.2,103
2017-03-24,0.0,0.0,0.0,68.8,0
2017-03-27,70.0,68.0,69.0,70.0,102
2017-03-28,66.35,67.65,67.0,68.0,2827
2017-03-29,0.0,0.0,0.0,66.0,0
2017-03-30,68.17,67.4,67.17,66.64,207
2017-03-31,0.0,0.0,0.0,65.68,0
2017-04-03,0.0,0.0,0.0,68.62,0
2017-04-04,0.0,0.0,0.0,67.92,0
2017-04-05,69.41,75.9,69.31,74.0,406
2017-04-06,67.37,66.11,68.43,66.81,101
2017-04-07,0.0,0.0,0.0,66.2,0
2017-04-10,0.0,0.0,0.0,65.68,0
2017-04-11,0.0,0.0,0.0,68.84,0
2017-04-12,66.82,68.61,67.48,67.9,104
2017-04-13,0.0,0.0,0.0,67.63,0
2017-04-17,0.0,0.0,0.0,67.95,0
2017-04-18,0.0,0.0,0.0,66.22,0
2017-04-19,68.6,68.2,65.8,66.7,103
2017-04-20,0.0,0.0,0.0,68.5,0
2017-04-21,0.0,0.0,0.0,67.4,0
2017-04-24,0.0,0.0,0.0,66.7,0
2017-04-25,0.0,0.0,0.0,68.1,0
2017-04-26,65.72,67.7,68.47,68.11,105
2017-04-27,0.0,0.0,0.0,68.86,0
2017-04-28,0.0,0.0,0.0,68.0,0
2017-05-01,0.0,0.0,0.0,68.67,0
2017-05-02,0.0,0.0,0.0,68.44,0
2017-05-03,0.0,0.0,0.0,67.87,26
2017-05-04,68.9,66.25,66.16,67.48,105
2017-05-05,0.0,0.0,0.0,67.62,0
2017-05-08,0.0,0.0,0.0,68.71,0
2017-05-09,0.0,0.0,0.0,67.02,0
2017-05-10,67.44,68.26,67.88,65.7,104
2017-05-11,67.55,68.57,65.97,67.59,209
2017-05-12,0.0,0.0,0.0,66.14,0
2017-05-15,0.0,0.0,0.0,67.55,0
2017-05-16,0.0,0.0,0.0,66.43,0
2017-05-17,69.0,67.0,68.0,69.0,205
2017-05-18,0.0,0.0,0.0,67.0,0
2017-05-19,0.0,0.0,0.0,67.0,0
2017-05-22,0.0,0.0,0.0,69.0,0
2017-05-23,0.0,0.0,0.0,66.0,0
2017-05-24,0.0,0.0,0.0,68.0,0
2017-05-25,67.0,68.0,69.0,69.0,104
2017-05-26,0.0,0.0,0.0,66.0,0
2017-05-30,0.0,0.0,0.0,69.0,0
2017-05-31,68.0,67.0,69.0,69.0,105
2017-06-01,67.0,69.0,69.0,67.0,104
2017-06-02,0.0,0.0,0.0,69.0,0
2017-06-05,66.0,66.0,67.0,67.0,514
2017-06-06,0.0,0.0,0.0,67.0,0
2017-06-07,0.0,0.0,0.0,68.0,0
2017-06-08,0.0,0.0,0.0,69.0,0
2017-06-09,67.0,69.0,66.0,66.0,205
2017-06-12,0.0,0.0,0.0,67.0,0
2017-06-13,0.0,0.0,0.0,69.0,0
2017-06-14,0.0,0.0,0.0,68.0,0
2017-06-15,67.69,66.1,67.99,66.76,205
2017-06-16,0.0,0.0,0.0,67.24,0
2017-06-19,70.2,67.7,69.1,68.6,155
2017-06-20,0.0,0.0,0.0,70.2,0
2017-06-21,68.3,70.5,68.9,68.5,151
2017-06-22,0.0,0.0,0.0,68.3,0
2017-06-23,66.92,68.78,68.02,67.65,105
2017-06-26,0.0,0.0,0.0,69.1,0
2017-06-27,0.0,0.0,0.0,67.05,0
2017-06-28,68.6,69.6,68.1,67.8,102
2017-06-29,0.0,0.0,0.0,69.0,0
2017-06-30,0.0,0.0,0.0,67.9,0
2017-07-03,0.0,0.0,0.0,68.7,0
2017-07-05,67.0,68.0,68.0,67.0,105
2017-07-06,0.0,0.0,0.0,70.0,0
2017-07-07,0.0,0.0,0.0,70.0,0
2017-07-10,70.0,70.0,69.0,67.0,115
2017-07-11,0.0,0.0,0.0,69.0,0
2017-07-12,68.0,68.0,68.0,69.0,603
2017-07-13,68.76,69.1,66.47,66.48,102
2017-07-14,0.0,0.0,0.0,66.12,0
2017-07-17,0.0,0.0,0.0,66.7,0
2017-07-18,0.0,0.0,0.0,67.51,0
