date,open,high,low,close,volume
2017-01-03,0.0,0.0,0.0,41.22,0
2017-01-04,0.0,0.0,0.0,42.64,0
2017-01-05,0.0,0.0,0.0,42.28,0
2017-01-06,0.0,0.0,0.0,42.61,0
2017-01-09,0.0,0.0,0.0,41.47,0
2017-01-10,0.0,0.0,0.0,41.49,0
2017-01-11,0.0,0.0,0.0,41.82,0
2017-01-12,0.0,0.0,0.0,42.06,0
2017-01-13,0.0,0.0,0.0,43.08,0
2017-01-17,0.0,0.0,0.0,42.67,0
2017-01-18,0.0,0.0,0.0,41.66,0
2017-01-19,42.02,40.65,40.97,41.79,324
2017-01-20,0.0,0.0,0.0,41.6,0
2017-01-23,0.0,0.0,0.0,41.06,0
2017-01-24,0.0,0.0,0.0,41.91,249
2017-01-25,40.67,43.95,40.62,43.79,623
2017-01-26,0.0,0.0,0.0,44.14,0
2017-01-27,0.0,0.0,0.0,44.55,0
2017-01-30,0.0,0.0,0.0,43.89,0
2017-01-31,41.6,41.48,41.85,40.15,1
2017-02-01,42.16,41.84,41.09,41.13,367
2017-02-02,0.0,0.0,0.0,41.02,0
2017-02-03,0.0,0.0,0.0,40.9,0
2017-02-06,0.0,0.0,0.0,42.29,0
2017-02-07,0.0,0.0,0.0,40.95,0
2017-02-08,44.02,44.28,43.71,43.68,34918
2017-02-09,44.1,42.74,42.69,42.27,49
2017-02-10,0.0,0.0,0.0,43.17,0
2017-02-13,0.0,0.0,0.0,44.13,0
2017-02-14,0.0,0.0,0.0,42.56,10304
2017-02-15,39.3,38.7,38.52,38.09,225
2017-02-16,41.76,41.64,41.83,42.42,999
2017-02-17,39.37,38.15,38.31,39.04,85
2017-02-21,0.0,0.0,0.0,38.69,0
2017-02-22,39.38,38.89,38.77,39.52,38
2017-02-23,0.0,0.0,0.0,39.75,0
2017-02-24,0.0,0.0,0.0,38.5,0
2017-02-27,0.0,0.0,0.0,38.75,0
2017-02-28,41.64,42.0,43.26,43.0,146
2017-03-01,0.0,0.0,0.0,42.0,0
2017-03-02,43.25,42.05,42.54,41.63,3644
2017-03-03,0.0,0.0,0.0,42.86,256
2017-03-06,43.86,43.6,42.45,43.96,41401
2017-03-07,43.23,43.56,43.29,43.23,30328
2017-03-08,42.84,43.8,43.73,44.09,41394
2017-03-09,39.6,39.09,40.7,40.15,683
2017-03-10,43.55,41.64,41.96,42.99,338
2017-03-13,40.69,40.61,41.28,40.4,476
2017-03-14,0.0,0.0,0.0,41.03,0
2017-03-15,0.0,0.0,0.0,40.63,0
2017-03-16,0.0,0.0,0.0,40.5,0
2017-03-17,0.0,0.0,0.0,40.72,0
2017-03-20,49.4,47.1,45.2,43.54,102692
2017-03-21,43.24,44.7,44.47,43.91,80555
2017-03-22,45.2,45.07,44.88,45.82,169396
2017-03-23,0.0,0.0,0.0,44.56,0
2017-03-24,45.84,45.27,45.83,46.55,114
2017-03-27,0.0,0.0,0.0,45.24,32365
2017-03-28,0.0,0.0,0.0,47.4,0
2017-03-29,44.78,45.91,42.5,41.1,175675
2017-03-30,41.05,40.82,40.26,39.97,31931
2017-03-31,43.23,44.07,40.27,40.36,366497
2017-04-03,41.8,40.7,40.49,42.35,72
2017-04-04,0.0,0.0,0.0,41.14,0
2017-04-05,0.0,0.0,0.0,42.27,28327
