date,open,high,low,close,volume
2017-01-03,0.0,0.0,0.0,24.0,0
2017-01-04,22.8,23.9,23.14,23.7,94116
2017-01-05,24.0,24.6,24.0,23.6,78
2017-01-06,0.0,0.0,0.0,24.0,0
2017-01-09,0.0,0.0,0.0,24.4,0
2017-01-10,0.0,0.0,0.0,24.0,0
2017-01-11,0.0,0.0,0.0,24.1,0
2017-01-12,0.0,0.0,0.0,23.7,0
2017-01-13,0.0,0.0,0.0,23.5,0
2017-01-17,0.0,0.0,0.0,23.9,0
2017-01-18,0.0,0.0,0.0,23.9,0
2017-01-19,0.0,0.0,0.0,24.5,0
2017-01-20,24.57,24.13,24.7,24.7,698
2017-01-23,0.0,0.0,0.0,24.0,0
2017-01-24,0.0,0.0,0.0,24.6,0
2017-01-25,0.0,0.0,0.0,24.1,0
2017-01-26,0.0,0.0,0.0,24.1,0
2017-01-27,24.13,24.06,24.51,24.62,48
2017-01-30,24.7,24.0,23.9,24.6,896
2017-01-31,24.28,24.84,24.57,24.57,148
2017-02-01,24.7,24.1,24.2,24.3,78
2017-02-02,24.1,24.4,24.7,24.6,65
2017-02-03,0.0,0.0,0.0,23.8,0
2017-02-06,0.0,0.0,0.0,24.3,0
2017-02-07,24.1,23.8,24.1,24.1,80
2017-02-08,0.0,0.0,0.0,24.2,19658
2017-02-09,23.9,24.2,24.2,24.1,102
2017-02-10,0.0,0.0,0.0,23.6,0
2017-02-13,0.0,0.0,0.0,23.6,523
2017-02-14,24.0,24.0,24.0,24.0,57
2017-02-15,0.0,0.0,0.0,23.0,0
2017-02-16,0.0,0.0,0.0,24.0,0
2017-02-17,24.5,24.2,24.5,24.6,83
2017-02-21,0.0,0.0,0.0,24.4,0
2017-02-22,0.0,0.0,0.0,23.6,0
2017-02-23,0.0,0.0,0.0,23.7,0
2017-02-24,0.0,0.0,0.0,24.4,0
2017-02-27,0.0,0.0,0.0,24.0,0
2017-02-28,23.8,24.3,24.4,23.8,405
2017-03-01,0.0,0.0,0.0,24.1,0
2017-03-02,0.0,0.0,0.0,24.0,0
2017-03-03,0.0,0.0,0.0,23.7,0
2017-03-06,0.0,0.0,0.0,24.4,0
2017-03-07,23.74,24.0,24.1,24.13,117252
2017-03-08,0.0,0.0,0.0,23.85,83322
2017-03-09,23.26,24.14,24.0,23.0,659
2017-03-10,0.0,0.0,0.0,24.0,66859
2017-03-13,0.0,0.0,0.0,23.0,0
2017-03-14,0.0,0.0,0.0,23.0,0
2017-03-15,0.0,0.0,0.0,24.0,0
2017-03-16,0.0,0.0,0.0,23.0,0
2017-03-17,0.0,0.0,0.0,23.0,0
2017-03-20,24.6,24.7,24.8,24.6,205
2017-03-21,24.85,24.7,24.3,24.72,125
2017-03-22,0.0,0.0,0.0,24.04,0
2017-03-23,0.0,0.0,0.0,24.65,0
2017-03-24,0.0,0.0,0.0,23.98,0
2017-03-27,25.05,24.77,25.19,24.89,3085
2017-03-28,0.0,0.0,0.0,25.01,0
2017-03-29,0.0,0.0,0.0,25.08,0
2017-03-30,0.0,0.0,0.0,25.1,0
2017-03-31,0.0,0.0,0.0,24.31,0
2017-04-03,23.89,24.46,23.8,23.76,52639
2017-04-04,24.68,24.67,24.26,24.37,50966
2017-04-05,0.0,0.0,0.0,24.23,0
2017-04-06,23.93,24.23,23.76,24.24,1021
2017-04-07,0.0,0.0,0.0,23.43,0
2017-04-10,0.0,0.0,0.0,23.59,0
2017-04-11,0.0,0.0,0.0,23.65,0
2017-04-12,0.0,0.0,0.0,24.35,0
2017-04-13,0.0,0.0,0.0,23.67,0
2017-04-17,0.0,0.0,0.0,24.12,0
2017-04-18,0.0,0.0,0.0,23.65,0
2017-04-19,0.0,0.0,0.0,23.65,0
2017-04-20,0.0,0.0,0.0,24.11,0
2017-04-21,0.0,0.0,0.0,24.12,0
2017-04-24,24.2,24.33,24.7,24.35,64939
2017-04-25,0.0,0.0,0.0,24.45,1454
2017-04-26,0.0,0.0,0.0,23.96,0
2017-04-27,23.21,23.9,23.95,24.7,43482
2017-04-28,24.14,24.3,24.63,24.63,123792
2017-05-01,0.0,0.0,0.0,25.39,0
2017-05-02,0.0,0.0,0.0,25.18,0
2017-05-03,0.0,0.0,0.0,24.78,0
2017-05-04,0.0,0.0,0.0,24.73,0
2017-05-05,24.3,23.9,24.7,24.1,74
2017-05-08,24.62,24.87,24.55,24.09,126354
2017-05-09,0.0,0.0,0.0,25.11,0
2017-05-10,24.4,24.2,24.4,24.8,82
2017-05-11,0.0,0.0,0.0,24.6,0
2017-05-12,0.0,0.0,0.0,24.5,0
2017-05-15,0.0,0.0,0.0,24.6,0
2017-05-16,0.0,0.0,0.0,24.0,0
2017-05-17,0.0,0.0,0.0,23.8,0
2017-05-18,24.7,24.8,24.84,25.36,1557
2017-05-19,25.27,24.81,24.54,24.89,44
2017-05-22,25.72,25.35,25.0,24.9,24093
2017-05-23,0.0,0.0,0.0,24.7,0
2017-05-24,24.42,25.51,25.55,24.82,60052
2017-05-25,25.02,24.88,25.58,25.49,50348
2017-05-26,24.8,24.6,24.7,25.5,43933
2017-05-30,25.71,24.67,25.09,24.89,16365
2017-05-31,24.66,25.62,24.5,25.3,40147
2017-06-01,24.64,24.74,25.35,25.11,80
2017-06-02,24.3,24.9,25.1,24.8,73
2017-06-05,24.97,25.28,25.55,24.63,607
2017-06-06,0.0,0.0,0.0,25.78,0
2017-06-07,0.0,0.0,0.0,25.55,0
2017-06-08,0.0,0.0,0.0,25.56,0
2017-06-09,0.0,0.0,0.0,25.13,913
2017-06-12,0.0,0.0,0.0,24.65,0
2017-06-13,0.0,0.0,0.0,25.56,0
2017-06-14,25.0,24.9,24.5,25.3,29290
2017-06-15,25.3,25.0,24.9,24.8,154
2017-06-16,0.0,0.0,0.0,24.4,0
2017-06-19,0.0,0.0,0.0,24.8,0
2017-06-20,0.0,0.0,0.0,24.5,0
2017-06-21,25.2,25.92,25.5,26.14,874
2017-06-22,0.0,0.0,0.0,25.85,0
2017-06-23,0.0,0.0,0.0,26.01,0
2017-06-26,25.29,24.77,25.11,24.79,55773
2017-06-27,0.0,0.0,0.0,25.09,0
2017-06-28,0.0,0.0,0.0,25.51,0
2017-06-29,0.0,0.0,0.0,24.71,107232
2017-06-30,0.0,0.0,0.0,25.08,221942
2017-07-03,0.0,0.0,0.0,25.19,0
2017-07-05,0.0,0.0,0.0,25.7,298
2017-07-06,0.0,0.0,0.0,25.23,0
2017-07-07,23.0,23.63,24.0,23.15,532
2017-07-10,23.0,24.0,23.0,23.0,105229
2017-07-11,0.0,0.0,0.0,23.0,0
2017-07-12,0.0,0.0,0.0,23.0,0
2017-07-13,23.4,23.9,23.5,23.8,79
2017-07-14,0.0,0.0,0.0,24.3,0
2017-07-17,0.0,0.0,0.0,23.5,0
2017-07-18,0.0,0.0,0.0,23.8,0
2017-07-19,0.0,0.0,0.0,23.6,0
2017-07-20,0.0,0.0,0.0,23.8,0
2017-07-21,0.0,0.0,0.0,24.1,0
2017-07-24,24.5,24.4,24.4,24.6,8
2017-07-25,0.0,0.0,0.0,24.3,0
2017-07-26,0.0,0.0,0.0,24.1,0
2017-07-27,0.0,0.0,0.0,23.8,0
2017-07-28,23.15,23.77,24.1,24.14,61351
2017-07-31,0.0,0.0,0.0,23.72,0
2017-08-01,0.0,0.0,0.0,24.12,0
2017-08-02,0.0,0.0,0.0,23.97,0
2017-08-03,0.0,0.0,0.0,24.09,0
2017-08-04,0.0,0.0,0.0,24.03,313
2017-08-07,0.0,0.0,0.0,23.54,0
2017-08-08,0.0,0.0,0.0,23.26,0
2017-08-09,0.0,0.0,0.0,24.12,0
2017-08-10,0.0,0.0,0.0,23.78,0
2017-08-11,0.0,0.0,0.0,23.74,0
2017-08-14,0.0,0.0,0.0,23.67,0
2017-08-15,0.0,0.0,0.0,23.14,0
2017-08-16,0.0,0.0,0.0,24.16,0
2017-08-17,0.0,0.0,0.0,23.91,0
2017-08-18,23.68,23.65,23.96,23.7,410
2017-08-21,23.0,23.0,24.0,23.0,73
2017-08-22,23.44,23.82,23.99,23.94,41537
2017-08-23,0.0,0.0,0.0,23.71,28720
2017-08-24,23.6,23.96,23.93,24.17,10119
