date,open,high,low,close,volume
2017-01-03,42.9,44.09,43.6,43.39,350522
2017-01-04,42.79,43.05,43.29,43.63,177822
2017-01-05,44.53,44.37,45.5,44.46,203964
2017-01-06,43.93,45.08,44.2,43.33,211115
2017-01-09,44.61,45.64,43.56,44.49,190160
2017-01-10,43.6,46.1,44.34,45.51,195983
2017-01-11,44.51,45.33,44.78,45.22,160407
2017-01-12,44.68,44.3,44.43,45.35,525836
2017-01-13,45.61,44.89,44.72,44.7,161030
2017-01-17,44.45,46.27,43.99,45.49,345748
2017-01-18,45.58,45.09,44.06,45.7,187518
2017-01-19,45.7,46.04,44.84,45.38,101566
2017-01-20,46.45,45.66,44.19,45.41,1196012
2017-01-23,45.52,45.3,45.3,44.37,542719
2017-01-24,46.15,45.29,45.49,46.22,150087
2017-01-25,44.4,46.46,45.38,45.37,160330
2017-01-26,45.55,45.95,44.27,45.42,230395
2017-01-27,45.51,43.7,43.48,43.8,243334
2017-01-30,43.91,43.68,45.06,43.97,172989
2017-01-31,44.0,44.94,45.42,45.3,178609
2017-02-01,45.37,43.87,43.5,43.87,266914
2017-02-02,43.53,43.54,44.41,45.04,165400
2017-02-03,44.58,44.25,44.35,44.05,202006
2017-02-06,44.84,44.43,43.78,45.52,163397
2017-02-07,45.24,43.77,45.31,43.52,120906
2017-02-08,43.32,44.5,45.19,45.3,219603
2017-02-09,44.63,45.37,43.98,45.3,195088
2017-02-10,45.19,44.34,45.36,45.8,319832
2017-02-13,44.0,43.55,44.57,44.69,240034
2017-02-14,42.98,43.43,43.79,42.41,269508
2017-02-15,43.2,43.58,42.3,42.74,392633
2017-02-16,43.37,42.69,42.39,42.7,345347
2017-02-17,42.96,43.02,42.43,42.24,221930
2017-02-21,41.79,43.76,41.67,42.78,177049
2017-02-22,42.19,44.1,41.99,42.4,277129
2017-02-23,42.76,43.77,43.14,43.3,209631
2017-02-24,42.71,44.36,43.75,43.98,125612
2017-02-27,42.6,44.01,42.51,43.73,205153
2017-02-28,44.75,44.33,43.24,42.96,193525
2017-03-01,43.6,43.28,44.16,44.41,172118
2017-03-02,43.33,43.76,43.2,44.06,169880
2017-03-03,42.31,43.68,43.51,44.51,176820
2017-03-06,43.47,44.38,43.12,43.99,430348
2017-03-07,43.97,43.67,44.08,43.19,249972
2017-03-08,43.22,44.49,42.68,42.85,171255
2017-03-09,44.54,43.1,42.7,43.19,152929
2017-03-10,44.4,44.59,44.33,44.26,346669
2017-03-13,43.4,43.82,44.29,43.68,335801
2017-03-14,43.7,44.47,43.63,44.08,406755
2017-03-15,43.91,44.98,43.46,44.06,340485
2017-03-16,45.42,45.64,43.29,44.58,367603
2017-03-17,43.45,44.12,44.78,45.3,523488
2017-03-20,44.59,44.92,43.69,45.05,459315
2017-03-21,45.35,45.13,44.8,44.07,530161
2017-03-22,45.22,44.9,45.0,46.2,695905
2017-03-23,44.98,45.5,46.14,46.1,444155
2017-03-24,46.02,45.92,46.32,46.1,407758
2017-03-27,44.63,45.82,46.01,46.67,437379
2017-03-28,45.13,45.1,44.25,46.17,386169
2017-03-29,45.11,44.85,44.71,45.55,598856
2017-03-30,44.2,43.64,43.61,43.95,444934
2017-03-31,44.49,44.09,43.79,43.47,887105
2017-04-03,44.0,45.8,43.0,44.11,979174
2017-04-04,45.77,45.23,44.2,45.54,539376
2017-04-05,44.77,45.42,44.79,45.2,268398
2017-04-06,44.22,45.95,44.8,44.26,282273
2017-04-07,46.12,45.17,46.0,44.87,112096
2017-04-10,46.08,44.33,44.28,45.08,142967
2017-04-11,44.73,44.91,45.94,45.74,79559
2017-04-12,44.9,45.29,46.1,44.74,523153
2017-04-13,46.07,46.02,46.0,45.5,316785
2017-04-17,46.0,45.4,44.82,44.52,189173
2017-04-18,45.58,44.31,45.45,44.79,105353
2017-04-19,44.23,44.58,44.19,44.04,130189
2017-04-20,45.73,45.0,44.92,44.52,121768
2017-04-21,45.34,44.34,45.2,44.2,50859
2017-04-24,44.37,44.79,46.2,45.22,861605
2017-04-25,44.95,44.83,44.5,43.2,359670
2017-04-26,42.2,43.03,42.46,42.52,655073
2017-04-27,43.13,43.0,42.4,44.06,451581
2017-04-28,43.18,44.93,44.03,43.8,67683
2017-05-01,43.68,44.93,43.08,43.81,310239
2017-05-02,42.92,43.8,43.95,43.31,367470
2017-05-03,44.27,44.01,45.17,43.69,74014
2017-05-04,43.37,43.34,43.22,45.3,38601
2017-05-05,44.65,45.02,44.61,45.14,62937
2017-05-08,46.35,44.86,45.61,45.84,102683
2017-05-09,45.0,45.23,45.51,45.31,104569
2017-05-10,46.1,46.0,45.44,44.46,129219
2017-05-11,45.76,46.19,46.49,45.25,68855
2017-05-12,44.93,47.05,45.1,46.66,35928
2017-05-15,46.2,46.59,46.2,47.5,49199
2017-05-16,48.3,48.8,47.32,46.56,88292
2017-05-17,48.5,49.16,47.5,47.54,398720
2017-05-18,48.27,48.0,48.31,47.36,120762
2017-05-19,47.22,48.43,47.33,48.4,99547
2017-05-22,47.57,48.82,47.81,48.21,53709
