date,open,high,low,close,volume
2017-01-03,3.52,3.56,3.46,3.53,28195
2017-01-04,3.49,3.56,3.41,3.5,29364
2017-01-05,3.52,3.63,3.6,3.53,29541
2017-01-06,3.73,3.7,3.4,3.5,42757
2017-01-09,3.76,3.8,3.61,3.7,63091
2017-01-10,3.76,3.89,3.61,3.77,691879
2017-01-11,3.85,3.8,3.6,3.84,70087
2017-01-12,3.9,4.1,3.87,3.85,16205
2017-01-13,4.04,4.13,4.04,4.14,24441
2017-01-17,4.24,4.5,4.25,4.43,48982
2017-01-18,4.21,4.22,4.09,4.05,18918
2017-01-19,4.13,4.13,4.04,4.1,28016
2017-01-20,4.26,4.27,4.1,4.12,26695
2017-01-23,4.12,4.23,4.17,4.19,41065
2017-01-24,4.27,4.31,4.04,4.0,13017
2017-01-25,4.21,4.19,4.18,4.12,12501
2017-01-26,4.3,4.68,4.2,4.65,87971
2017-01-27,5.28,5.26,4.87,4.9,216327
2017-01-30,4.92,5.1,4.89,4.97,97143
2017-01-31,4.97,5.21,4.9,4.98,76496
2017-02-01,4.95,5.0,5.01,5.05,151494
2017-02-02,5.27,5.11,5.09,5.05,54178
2017-02-03,5.09,5.17,4.9,5.15,55802
2017-02-06,5.04,5.0,4.94,5.0,21520
2017-02-07,5.0,5.24,5.02,5.28,39634
2017-02-08,5.08,5.23,4.92,5.25,18714
2017-02-09,5.21,5.35,5.13,5.3,24808
2017-02-10,5.3,5.47,5.23,5.29,20561
2017-02-13,5.24,5.2,5.35,5.34,30305
2017-02-14,5.3,5.19,5.26,5.22,72286
2017-02-15,5.34,5.52,5.29,5.1,122367
2017-02-16,5.59,5.81,5.58,5.6,75092
2017-02-17,5.74,5.67,5.44,5.67,21685
2017-02-21,5.51,5.68,5.6,5.52,83826
2017-02-22,5.59,5.78,5.56,5.72,41546
2017-02-23,5.7,5.76,5.58,5.74,170102
2017-02-24,6.6,6.5,5.61,5.88,82598
2017-02-27,5.71,5.87,5.28,5.33,33757
2017-02-28,5.24,5.83,5.24,5.6,59804
2017-03-01,5.89,5.92,5.86,5.97,42483
2017-03-02,6.1,6.0,5.94,5.95,55707
2017-03-03,6.45,6.54,6.32,6.39,137259
2017-03-06,6.92,7.48,6.63,7.2,236554
2017-03-07,7.93,8.04,7.05,7.13,190314
2017-03-08,7.1,7.39,6.96,6.77,42497
2017-03-09,7.11,7.4,7.0,7.5,42476
2017-03-10,7.56,7.61,7.28,7.36,43670
2017-03-13,7.37,7.43,6.9,7.2,26840
2017-03-14,6.65,6.92,6.68,6.92,47759
2017-03-15,6.8,7.26,7.01,7.19,34923
